QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
91,College of Arts & Sciences,,4.0,2.0,14.1%,Fall 2026,,,"$64,300/Year",,"$2,010 per credit","From $20,000 to $25,000 per year, with some covering full tuition",,"Merit-based, Athletic, ROTC",4 years,"$64,300/Year",Bachelor of Arts in African American & Black Diaspora Studies,https://www.bu.edu/academics/cas/programs/african-american-black-diaspora-studies/ba/
78,Frederick S. Pardee School of Global Studies,,4.0,2.0,11%,Fall 2026,,,,"$52,787","$2,084",,,"Merit-based, Need-based, BU-specific",Completion of six 4-credit courses (24 credits),"$66,670/Year",Minor in African Studies,https://www.bu.edu/africa/forstudents/undergraduate/
66,College of Arts & Sciences,,4.0,2.0,14.1%,Fall 2026,,,"$68,100/Year","over $55,000 per student","$2,128/Credit","over $55,000 per student",,"Merit-based, Need-based",,"$68,100/Year",Bachelor of Arts in American Studies,https://www.bu.edu/academics/cas/programs/american-new-england-studies/ba/
90,College of Arts & Sciences,,4.0,2.0,13.5%,Fall 2026,,,"1,288/Year",,"$2,270/Credit",,,"Merit-based, Need-based",4 Years,"68,100/Year",Bachelor of Arts in Anthropology,https://www.bu.edu/anthrop/academics/undergraduate-program/major-in-anthropology/
93,College of Arts & Sciences,,4.0,2.0,14.1%,Fall 2026,,,"$64,370/Year",,"$2,012/credit","$54,920/Year",,"Merit-based, Need-based",4 years,"$64,370/Year",Bachelor of Arts in Archaeology,https://www.bu.edu/academics/cas/programs/archaeology/ba/
67,College of Arts & Sciences,,4.0,2.0,14.4% (Class of 2027),Fall 2026,,,68100/Year,,2128,"Trustee Scholarship: Full tuition; Presidential Scholarship: $25,000/year",,"Merit-based, Need-based",4 years (8 semesters),68100/Year,Bachelor of Arts in Asian Studies,https://www.bu.edu/academics/cas/programs/asian-studies/ba-in-asian-studies/
93,College of Arts & Sciences,,4.0,2.0,14%,,,,68690/Year,,2147,,,"Merit-based, ROTC, Athletic",4 years,,Bachelor of Arts in Astronomy,https://www.bu.edu/
93rd,College of Arts & Sciences,,4.0,2.0,14.1%,Fall 2026,,,68100/Year,"$48,822","$2,130 per credit","Trustee Scholarship (full tuition), Dean's Scholarship ($25,000 per year)",Up to 100%,"Merit-based, Need-based",4 years,68100/Year,Bachelor of Arts in Biology,https://www.bu.edu/academics/cas/departments/biology/
108,College of Arts & Sciences,,4.0,2.0,14%,Fall 2026,,,68100,57204,2129 per credit,"Ranges from $20,000–$25,000 per year, up to full tuition",,"Merit-based, Need-based",4 years,"$68,100/Year",Bachelor of Arts in Biochemistry & Molecular Biology,https://www.bu.edu/bmb/files/2019/09/BMB-Advising-Worksheet-8-28-2019.pdf
#69,College of Arts & Sciences,16.0,4.0,2.0,14.1%,Fall 2026,,,"$68,100/Year","$52,246","$2,128/credit","Range from $5,000 to full tuition",,"Need-based, Merit-based",4 years,"$68,100/Year",Bachelor of Science in Chemistry,https://www.bu.edu/chemistry/undergrad/
93,College of Arts & Sciences,,4.0,2.0,14.1%,Fall 2026,,,"$68,100/Year","$58,367","$2,130/Credit","$25,000/Year",,"Merit-based, Need-based",4 Years,"$68,100/Year",Bachelor of Arts in Cinema & Media Studies,https://www.bu.edu/academics/cas/programs/cinema-media-studies/ba-in-cinema-media-studies/
70,College of Arts & Sciences,,4.0,2.0,13.24,Fall 2026,,,70760/Year,25000,2267,,,Merit-based,4 years,68100/Year,Bachelor of Arts in Classical Studies,https://www.bu.edu/academics/cas/programs/classical-studies/ba-in-classics-archaeology/
93,College of Arts & Sciences,,4.0,2.0,11%,Fall 2026,,,"$66,670/Year",,,,,"Merit-based, Need-based, International scholarships",4 years,"$66,670/Year",Bachelor of Arts in Computer Science,https://www.bu.edu/academics/cas/programs/computer-science/ba/
70,College of Arts & Sciences,,4.0,2.0,11% for the Class of 2027,,,,"$64,370/Year",,"$2,012",,,"Merit-based, Need-based",,,Minor in Core Curriculum,https://www.bu.edu/academics/cas/programs/minor-in-the-core-curriculum/
50,College of Arts & Sciences,,4.0,2.0,,,,,,,,,,,"6 courses (24 credits), typically completed during sophomore, junior, and senior years.",,Minor in Core Independent Studies,https://www.bu.edu/academics/cas/programs/core-curriculum-interdisciplinary-minor/
93,College of Arts & Sciences,,4.0,2.0,11%,Fall 2026,,,"$68,100/Year","$52,820","$2,128/Credit",,77.56%,"Merit-based, Need-based",4 years,"$68,100/Year",Bachelor of Arts in Earth & Environment,https://www.bu.edu/academics/cas/programs/earth-environment/ba-in-earth-environmental-sciences/
93,College of Arts & Sciences,,4.0,2.0,14.1%,Fall 2026,,,"$68,100/Year","$54,954","$2,130 per credit","$25,000 annually",,"Merit-based, Need-based",4 years,"$68,100/Year",Bachelor of Arts in Economics,https://www.bu.edu/academics/cas/programs/economics/ba/
93,College of Arts & Sciences,,4.0,2.0,11%,Fall 2026,,,"$68,100/Year",,"$2,270/Credit",,,"Merit-based, Need-based",4 years,"$68,100/Year",Bachelor of Arts in English,https://www.bu.edu/academics/cas/programs/english/ba/
93,College of Arts & Sciences,,4.0,2.0,11.2%,Fall 2026,,,"$1,348/Year","$59,100","$2,142/credit",,,"Merit-based, Need-based, Athletic, ROTC",4 years,"$68,544/Year",Bachelor of Arts in European Studies,https://www.bu.edu/academics/cas/programs/european-studies/ba/
70,Frederick S. Pardee School of Global Studies and College of Arts & Sciences,,4.0,2.0,11% (Class of 2027),,,,68100/Year,50578,"Summer Term: $1,800 per credit",,,"Merit-based, Need-based, Army ROTC",4 years,68100/Year,Bachelor of Arts in Global Medieval Studies,https://www.bu.edu/medieval/
93,College of Arts & Sciences,,4.0,2.0,14%,,,,"$68,100/Year","$49,000","$2,130/credit",,,"Merit-based, Need-based",4 years,"$68,100/Year",Bachelor of Arts in History,https://www.bu.edu/academics/cas/programs/history/ba/
