Program name,Program Page url
Bachelor of Arts in African American & Black Diaspora Studies,https://www.bu.edu/academics/cas/programs/african-american-black-diaspora-studies/ba/
Minor in African Studies,https://www.bu.edu/africa/forstudents/undergraduate/
Bachelor of Arts in American Studies,https://www.bu.edu/academics/cas/programs/american-new-england-studies/ba/
Bachelor of Arts in Anthropology,https://www.bu.edu/anthrop/academics/undergraduate-program/major-in-anthropology/
Bachelor of Arts in Archaeology,https://www.bu.edu/academics/cas/programs/archaeology/ba/
Bachelor of Arts in Asian Studies,https://www.bu.edu/academics/cas/programs/asian-studies/ba-in-asian-studies/
Bachelor of Arts in Astronomy,https://www.bu.edu/
Bachelor of Arts in Biology,https://www.bu.edu/academics/cas/departments/biology/
Bachelor of Arts in Biochemistry & Molecular Biology,https://www.bu.edu/bmb/files/2019/09/BMB-Advising-Worksheet-8-28-2019.pdf
Bachelor of Science in Chemistry,https://www.bu.edu/chemistry/undergrad/
Bachelor of Arts in Cinema & Media Studies,https://www.bu.edu/academics/cas/programs/cinema-media-studies/ba-in-cinema-media-studies/
Bachelor of Arts in Classical Studies,https://www.bu.edu/academics/cas/programs/classical-studies/ba-in-classics-archaeology/
Bachelor of Arts in Computer Science,https://www.bu.edu/academics/cas/programs/computer-science/ba/
Minor in Core Curriculum,https://www.bu.edu/academics/cas/programs/minor-in-the-core-curriculum/
Minor in Core Independent Studies,https://www.bu.edu/academics/cas/programs/core-curriculum-interdisciplinary-minor/
Bachelor of Arts in Earth & Environment,https://www.bu.edu/academics/cas/programs/earth-environment/ba-in-earth-environmental-sciences/
Bachelor of Arts in Economics,https://www.bu.edu/academics/cas/programs/economics/ba/
Bachelor of Arts in English,https://www.bu.edu/academics/cas/programs/english/ba/
Bachelor of Arts in European Studies,https://www.bu.edu/academics/cas/programs/european-studies/ba/
Bachelor of Arts in Global Medieval Studies,https://www.bu.edu/medieval/
Bachelor of Arts in History,https://www.bu.edu/academics/cas/programs/history/ba/
Bachelor of Arts in History of Art & Architecture,https://www.bu.edu/academics/cas/programs/art-history/ba/
"Bachelor of Arts in Holocaust, Genocide & Human Rights Studies",https://www.bu.edu/jewishstudies/academics/hghrs-major/
Bachelor of Arts in International Relations,https://www.bu.edu/academics/cas/programs/international-relations/
Bachelor of Arts in Israel Studies,https://www.bu.edu/academics/cas/programs/minor-in-israel-studies/
Bachelor of Arts in Jewish Studies,https://www.bu.edu/academics/cas/courses/jewish-studies/
Bachelor of Arts in Latin American Studies,https://www.bu.edu/academics/cas/programs/latin-american-studies/ba/
Bachelor of Arts in Linguistics,https://www.bu.edu/academics/cas/programs/linguistics/ba-linguistics/
Bachelor of Arts in Literary Translation,https://www.bu.edu/classics/academics/dual-degree-programs/ba-in-latin-mfa-in-literary-translation/
Bachelor of Arts in Marine Science,https://www.bu.edu/earth/academics/undergraduate/ba-marine-science/
Bachelor of Arts in Mathematics & Statistics,https://www.bu.edu/math/undergraduate/degree-programs/
Bachelor of Arts in Middle East & North Africa Studies,https://www.bu.edu/academics/cas/departments/middle-east-north-africa-studies/
Bachelor of Arts in Muslim Studies,https://www.bu.edu/academics/cas/departments/muslim-studies/
Bachelor of Arts in Neuroscience,https://www.bu.edu/upn/
Bachelor of Arts in Philosophy,https://www.bu.edu/academics/cas/programs/philosophy/ba/
Bachelor of Arts in Physics,https://www.bu.edu/academics/cas/programs/physics/ba/
Bachelor of Arts in Political Science,https://www.bu.edu/academics/cas/programs/political-science/ba/
Bachelor of Arts in Psychological & Brain Sciences,https://www.bu.edu/academics/cas/departments/psychology/
Bachelor of Arts in Religion,https://www.bu.edu/religion/academics/undergraduate/
Bachelor of Arts in Romance Studies,https://www.bu.edu/academics/cas/departments/romance-studies/
Bachelor of Arts in Science Education,https://www.bu.edu/scied/academics/program-overview/
Bachelor of Arts in Sociology,https://www.bu.edu/academics/cas/programs/sociology/ba/
Urban Studies Minor,https://www.bu.edu/academics/cas/programs/minor-in-urban-studies/
"Bachelor of Arts in Women's, Gender & Sexuality Studies",https://www.bu.edu/academics/cas/programs/
Bachelor of Arts in World Languages & Literatures,https://www.bu.edu/wll/undergraduate/languages/
Arts & Sciences Writing Program,https://www.bu.edu/academics/cas/programs/writing/
Honors in the Major,https://www.bu.edu/cas/academics/undergraduate-education/special-academic-opportunities/honors-in-the-major/
Bachelor's-to-Master's Programs,https://www.bu.edu/academics/cas/programs/bama-programs/
BA-to-MPH,https://www.bu.edu/sph/education/degrees-and-programs/undergraduate-programs-in-public-health/ba-and-master-of-public-health/
Educator Licensure,https://www.bu.edu/academics/cas/programs/teaching-licensure/
Sea Education Association,https://www.bu.edu/academics/cas/programs/boston-university-affiliated-programs-sea/
The Frederick S. Pardee School of Global Studies,https://www.bu.edu/academics/cas/programs/pardee-school/
Bachelor of Science in Management Studies,https://www.bu.edu/academics/met/programs/administrative-sciences/bs/
Bachelor of Science in Mathematics,https://www.bu.edu/met/degrees-certificates/bs-mathematics/
Bachelor of Science in Economics,https://www.bu.edu/econ/
Bachelor of Science in Computer Science,https://www.bu.edu/cs/undergraduate/
