Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Not Required,"To be considered for admission as a first-time freshman, you must be a high school graduate (or have the legal equivalent of a high school diploma), complete the 15-unit college preparatory 'a-g' course pattern with a grade of C- or better, and have a 2.5 or greater 'a-g' GPA. For California residents, a 2.0-2.49 GPA may be considered.",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Business Administration,https://catalog.csuchico.edu/,,
,,,,,,,,,,,error,Bachelor of Arts in Humanities,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To be considered for admission as a first-time freshman, you must graduate from high school, complete the 15-unit comprehensive ""a-g"" pattern of college preparatory courses, and have a qualifying ""a-g"" grade point average (GPA).",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Liberal Arts,https://catalog.csuchico.edu/,,
Not Required,Not Required,"To be considered for admission to Chico State as a first-year student, you must: Be a high school graduate (or have a GED or California High School Proficiency Exam). Complete the 15-unit comprehensive ""a-g"" pattern of college preparatory courses. Earn a qualifying ""a-g"" grade point average (GPA). California residents need a 2.50 or greater GPA. Non-residents of California need a 3.00 or greater GPA. The GPA is based on the ""a-g"" courses taken during the 10th and 11th grades of high school.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Liberal Studies,https://catalog.csuchico.edu/,,
,,,,,,,,,,,error,Bachelor of Arts in Multicultural and Gender Studies,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"The RN-BSN program admits once a year for the spring semester. Application to the University and the School of Nursing are due August 1-31. There are two separate application processes, one to the University and one to the School of Nursing. To be considered for admission to the RN-BSN program, all applicants must have the following:

- A current, valid, and unrestricted California Registered Nurse license.
- An Associate Degree in Nursing (ADN) or a diploma in nursing from an accredited school.
- A cumulative GPA of 3.0 or higher.
- Completion of all prerequisite courses with a 'C' or higher.
- A 'B' or higher in all nursing transfer courses.",Not Required,True,False,True,False,False,,,program,RN to BSN,https://catalog.csuchico.edu/,,
,,,,,,,,,,,error,Bachelor of Arts in Religious Studies,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Arts in Social Science,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Arts in Sociology,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,,Not Required,True,False,True,False,False,,,program,Minor in 3D Digital Modeling and Environments,https://catalog.csuchico.edu/,,
Not Required,Not Required,"All courses taken to fulfill program requirements must be taken for a letter grade, except for those courses specified by the department as credit/no credit grading only. A 2.0 grade point average in all minor coursework is required for graduation.",Not Required,True,False,False,False,False,,,program,Minor in Accounting,https://catalog.csuchico.edu/,,
Not Required,Not Required,"Total units required for minor: 21.

Required Courses (6 units):
KINE 342 - Introduction to Adapted Physical Activity
KINE 443 - Practicum in Adapted Physical Activity

Electives (15 units):
Select 15 units from the following: KINE 323, KINE 331, KINE 344, KINE 345, KINE 442, KINE 444, KINE 445, KINE 490, PSYC 356, EDSP 451.",Not Required,True,False,False,False,False,,,program,Minor in Adapted Physical Activity,https://catalog.csuchico.edu/,,
,,,,,,,,,,,error,Bachelor of Science in Advanced Manufacturing and Applied Robotics,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To be admitted to the minor, a student must have a Chico State grade point average of at least 2.0. The minor requires 21 units. A minimum grade of C- is required in all coursework for the minor.",Not Required,True,False,True,False,False,,,program,Minor in Advanced Manufacturing,https://catalog.csuchico.edu/,,
,,,,True,False,False,False,False,,,program,Minor in African American Studies,https://catalog.csuchico.edu/,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,Minor in African Studies,https://catalog.csuchico.edu/,,
,,,,,,,,,,,error,Bachelor of Science in Agricultural Business,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Minor in Agricultural Business,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Science in Agricultural Science,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Minor in Agriculture,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"The minor in agriculture, food, and the environment is a 21-unit interdisciplinary course of study that offers a critical perspective on agriculture and food systems. The minor also meets the requirements for a General Education Pathway. A grade of C or higher is required in all coursework. Advising is mandatory for all students in the minor.",Not Required,True,False,True,False,False,,,program,"Minor in Agriculture, Food, and the Environment GE",https://catalog.csuchico.edu/,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,Minor in American Indian Studies,https://catalog.csuchico.edu/,,
,,,,,,,,,,,error,Bachelor of Science in Animal Science,https://catalog.csuchico.edu/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
