QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Business,,4.0,2.0,,Fall 2026,"October 1, 2025","November 30, 2025","$7,953/Year",,,,,"Merit-based, Need-based",4 years,"$7,953/Year (Based on 2024-2025 full-time California resident rates)",Bachelor of Science in Business Administration,https://catalog.csuchico.edu/
,College of Humanities and Fine Arts,,4.0,2.0,,Fall 2026,,,"$7,976/Year",,,,,"Merit-based, Talent-based, Need-based",4 years,"$7,976/Year",Bachelor of Arts in Humanities,https://catalog.csuchico.edu/
,College of Humanities and Fine Arts,,4.0,2.0,,Fall 2026,,,7258/Year,,,,,University-wide and department-specific,120 units,7258/Year,Bachelor of Arts in Liberal Arts,https://catalog.csuchico.edu/
,College of Humanities and Fine Arts,,4.0,2.0,,Fall 2026,,,7962/Year,,396/credit,,,"Merit-based, Need-based, Major-specific",4 years,"$7,962/Year",Bachelor of Arts in Liberal Studies,https://catalog.csuchico.edu/
,College of Humanities and Fine Arts,,4.0,2.0,,Fall 2026,,,"$7,962/Year",,396,,,"Scholastic achievement, financial need, and/or specific talents",4 years,"$5,742/Year",Bachelor of Arts in Multicultural and Gender Studies,https://catalog.csuchico.edu/
,School of Nursing,,4.0,3.0,,,,,"$3,901/Semester or $7,802/Year",,,,,"Need-based, Merit-based",Three semesters,"$3,901/Semester or $7,802/Year",RN to BSN,https://catalog.csuchico.edu/
,College of Humanities and Fine Arts,,4.0,2.0,,Fall 2026,"October 1, 2025","November 30, 2025","$7,068/Year",,,,,"scholarships, grants, loans, and Federal Work-Study",4 years (120 units),"$7,068/Year",Bachelor of Arts in Religious Studies,https://catalog.csuchico.edu/
,College of Behavioral and Social Sciences,,4.0,2.0,,Fall 2026,,,"$3,981/Semester or $7,962/Year",,,,,"Merit-based, need-based",120 units,"$3,981/Semester or $7,962/Year",Bachelor of Arts in Social Science,https://catalog.csuchico.edu/
,College of Behavioral and Social Sciences,,4.0,2.0,,Fall 2026,,,7962,,396,,,"Merit-based, need-based, leadership, major-specific",4 years,"$7,962.00/Year",Bachelor of Arts in Sociology,https://catalog.csuchico.edu/
,College of Humanities and Fine Arts,,4.0,2.0,,,,,,,,,,,,,Minor in 3D Digital Modeling and Environments,https://catalog.csuchico.edu/
,College of Business,,4.0,2.0,,,,,"$7,022/Year",,$420/unit (for non-residents),,,"Scholarships, grants, loans, and Federal Work-Study",24 units,"$7,022/Year (Resident)",Minor in Accounting,https://catalog.csuchico.edu/
,College of Health and Human Services,,4.0,2.0,,,,,,,$420 per unit (for non-residents),,,"Merit-based, Need-based",,"$9,348 per year (full-time, resident)",Minor in Adapted Physical Activity,https://catalog.csuchico.edu/
,"College of Engineering, Computer Science, and Construction Management",,4.0,2.0,,Fall 2026,,,7322,,396,,,"Academic merit, financial need, leadership, major, and/or community service",4 years,"$7,322/Year",Bachelor of Science in Advanced Manufacturing and Applied Robotics,https://catalog.csuchico.edu/
,"College of Engineering, Computer Science, and Construction Management",,4.0,2.0,,,,,,,,,,,,,Minor in Advanced Manufacturing,https://catalog.csuchico.edu/
,College of Humanities and Fine Arts,,4.0,2.0,,Fall 2026,"October 1, 2025","November 30, 2025",7962,,396,,,,,"$7,962/Year",Minor in African American Studies,https://catalog.csuchico.edu/
,College of Humanities and Fine Arts,,4.0,2.0,,,,,,,,,,"Merit-based, need-based, major-specific",,,Minor in African Studies,https://catalog.csuchico.edu/
