QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
58,College of Engineering,,4.0,,11%,Fall 2026,,,"$64,250/Year",,$668/unit,,,Primarily need-based,4 years,"$64,250/Year",Bachelor of Science in Chemical Engineering,https://www.cmu.edu/admission/majors-programs
52,College of Engineering,,4.0,,11%,Fall 2026,,,"$64,596/Year","$47,609",,,48% of students,"Need-based, Merit-based",4 years,"$64,596/Year",Bachelor of Science in Civil Engineering,https://www.cmu.edu/admission/majors-programs
52,College of Engineering,,4.0,2.0,11%,Fall 2026,,,66390,,"$2,197/Unit",,,"Need-based, Merit-based",4 years,"$66,390/Year",Bachelor of Science in Electrical and Computer Engineering,https://www.cmu.edu/admission/majors-programs
52,College of Engineering,,4.0,,11%,,,,64596/Year,,2100,,,"Merit-based, Need-based",4 years,64596/Year,Bachelor of Science in Environmental Engineering,https://www.cmu.edu/admission/majors-programs
58,College of Engineering,,4.0,,11%,,,,66160,"$55,395",$920/unit,,,"Need-based, Merit-based",4 years,"$66,160/Year",Bachelor of Science in Materials Science and Engineering,https://www.cmu.edu/admission/majors-programs
58,College of Engineering,,4.0,2.0,11%,Fall 2026,,,"$64,596/Year","over $55,000","$2,693 per unit",,,"Need-based, Merit-based",4 years,"$64,596/Year",Bachelor of Science in Mechanical Engineering,https://www.cmu.edu/admission/majors-programs
58,College of Engineering,,4.0,,11%,Fall 2026,,,"$32,625/Semester","$49,525",$910/Unit,"$2,000/year",45% of undergraduate students,"Need-based, Merit-based",4 years,"$32,625/Semester",Additional Major in Biomedical Engineering,https://www.cmu.edu/admission/majors-programs
,College of Engineering,,4.0,3.0,,Fall 2026,,,"$66,160/Year","$53,753","$2,060/unit",,52%,"Merit-based, Need-based",4 years,"$66,160/Year",Additional Major in Engineering and Public Policy,https://www.cmu.edu/admission/majors-programs
52,College of Engineering,,4.0,,,Fall 2026,,,"$64,596/Year",,$898/unit,,,"Need-based, Merit-based",,"$64,596/Year","Additional Major in Engineering Design, Innovation & Entrepreneurship",https://www.cmu.edu/admission/majors-programs
52,College of Fine Arts,,,,11%,Fall 2026,,,"$64,300/Year",,$893 per unit,,,"Merit-based, Need-based",5 years,,Bachelor of Architecture (B.Arch),https://www.cmu.edu/admission/majors-programs
52,School of Architecture,,4.0,2.0,3.9%,Fall 2026,"August 1, 2025","January 3, 2026","$64,596/Year",51664,$898/unit,,,"Need-based, ROTC",4 years,"$64,596/Year",Bachelor of Arts in Architecture (B.A. in Architecture),https://www.cmu.edu/admission/majors-programs
52,"School of Art, College of Fine Arts",,4.0,,4.2% (College of Fine Arts),Fall 2026,,,64596,47698,898,,,Need-based,4 years,,Bachelor of Fine Arts in Art,https://www.cmu.edu/admission/majors-programs
58,School of Design,,4.0,,4%,Fall 2026,,,"$64,300/Year",,,,,Need-based,4 years,"$64,300/Year",Bachelor of Design (B.Des),https://www.cmu.edu/admission/majors-programs
52,School of Drama,,4.0,,4%,Fall 2026,,,"$64,800/Year","$49,000+",$2143/unit,,,"Need-based, Merit-based, Talent-based",4 years,"$64,800/Year",Bachelor of Fine Arts in Drama,https://www.cmu.edu/admission/majors-programs
52,College of Fine Arts,,,,4% (College of Fine Arts),Fall 2026,"August 1, 2025","January 3, 2026","$66,160/Year","$51,400 (for first-year students awarded need-based aid in 2022-2023)","$2,192/unit","Presidential Scholarships range from $4,000 to $10,000 per year",44% of undergraduate students received grant or scholarship aid (2022-2023),"Merit-based, Need-based",4 years,"$66,160/Year",Bachelor of Fine Arts in Music Composition,https://www.cmu.edu/admission/majors-programs
52,"School of Music, College of Fine Arts",,4.0,,4% (College of Fine Arts),Fall 2026,,,"$66,160/Year",,$894 per unit,,,"Need-based, Merit-based",4 years,"$66,160/Year",Bachelor of Fine Arts in Electronic Music,https://www.cmu.edu/admission/majors-programs
52,College of Fine Arts,,4.0,,11.1%,Fall 2026,,,"$65,224/Year",,$899/unit,,,Merit-based and Need-based,4 years,65224,Bachelor of Fine Arts in Instrumental Performance,https://www.cmu.edu/admission/majors-programs
28,College of Fine Arts,,4.0,2.0,4% (College of Fine Arts),Fall 2026,,,"$66,160/Year","$50,477 (Average Need-Based Scholarship/Grant Award)",$894 per unit,,,"Merit-based, Need-based",4 years,"$66,160/Year",Bachelor of Fine Arts in Piano Performance,https://www.cmu.edu/admission/majors-programs
52,"School of Music, College of Fine Arts",,4.0,,"3% (College of Fine Arts, Fall 2023)",Fall 2026,,,"$66,100/Year",,$275.50 per unit,,,Need-based and Merit-based,4 years,"$66,100/Year",Bachelor of Fine Arts in Vocal Performance,https://www.cmu.edu/admission/majors-programs
52,College of Fine Arts,,4.0,2.0,11%,Fall 2026,"August 1, 2025","January 3, 2026","$64,596/Year","$49,030",$884 per unit,,,"Need-based, Merit-based",4 years,"$64,596/Year",Bachelor of Science in Music and Technology,https://www.cmu.edu/admission/majors-programs
58,Dietrich College of Humanities and Social Sciences,,4.0,,,Fall 2026,,,"$66,160/Year","$48,342 (average need-based CMU Grant)",$920 per unit,,46% of undergraduate students received grant/scholarship aid from CMU,"Need-based, Merit-based",4 years,"$66,160/Year",B.A. in Applied Multilingual Studies,https://www.cmu.edu/admission/majors-programs
52,Dietrich College of Humanities and Social Sciences,,4.0,2.0,11%,Fall 2026,,,"$64,596/Year","$55,679",$898 per unit,,,"Need-based, Merit-based",4 years,"$64,596/Year",B.A. in Chinese Studies,https://www.cmu.edu/admission/majors-programs
