Program name,Program Page url
Bachelor of Science in Chemical Engineering,https://www.cmu.edu/admission/majors-programs
Bachelor of Science in Civil Engineering,https://www.cmu.edu/admission/majors-programs
Bachelor of Science in Electrical and Computer Engineering,https://www.cmu.edu/admission/majors-programs
Bachelor of Science in Environmental Engineering,https://www.cmu.edu/admission/majors-programs
Bachelor of Science in Materials Science and Engineering,https://www.cmu.edu/admission/majors-programs
Bachelor of Science in Mechanical Engineering,https://www.cmu.edu/admission/majors-programs
Additional Major in Biomedical Engineering,https://www.cmu.edu/admission/majors-programs
Additional Major in Engineering and Public Policy,https://www.cmu.edu/admission/majors-programs
"Additional Major in Engineering Design, Innovation & Entrepreneurship",https://www.cmu.edu/admission/majors-programs
Bachelor of Architecture (B.Arch),https://www.cmu.edu/admission/majors-programs
Bachelor of Arts in Architecture (B.A. in Architecture),https://www.cmu.edu/admission/majors-programs
Bachelor of Fine Arts in Art,https://www.cmu.edu/admission/majors-programs
Bachelor of Design (B.Des),https://www.cmu.edu/admission/majors-programs
Bachelor of Fine Arts in Drama,https://www.cmu.edu/admission/majors-programs
Bachelor of Fine Arts in Music Composition,https://www.cmu.edu/admission/majors-programs
Bachelor of Fine Arts in Electronic Music,https://www.cmu.edu/admission/majors-programs
Bachelor of Fine Arts in Instrumental Performance,https://www.cmu.edu/admission/majors-programs
Bachelor of Fine Arts in Piano Performance,https://www.cmu.edu/admission/majors-programs
Bachelor of Fine Arts in Vocal Performance,https://www.cmu.edu/admission/majors-programs
Bachelor of Science in Music and Technology,https://www.cmu.edu/admission/majors-programs
B.A. in Applied Multilingual Studies,https://www.cmu.edu/admission/majors-programs
B.A. in Chinese Studies,https://www.cmu.edu/admission/majors-programs
B.A. in Creative Writing,https://www.cmu.edu/admission/majors-programs
B.A. in Film and Visual Media,https://www.cmu.edu/admission/majors-programs
B.A. in French and Francophone Studies,https://www.cmu.edu/admission/majors-programs
B.A. in German Studies,https://www.cmu.edu/admission/majors-programs
B.A. in Hispanic Studies,https://www.cmu.edu/admission/majors-programs
B.A. in Japanese Studies,https://www.cmu.edu/admission/majors-programs
B.A. in Literature and Culture,https://www.cmu.edu/admission/majors-programs
B.A. in Professional Writing,https://www.cmu.edu/admission/majors-programs
B.A. in Russian Studies,https://www.cmu.edu/admission/majors-programs
"B.A./B.S. in Ethics, History and Public Policy",https://www.cmu.edu/admission/majors-programs
"B.S. in Behavioral Economics, Policy, and Organizations",https://www.cmu.edu/admission/majors-programs
B.S. in Economics,https://www.cmu.edu/admission/majors-programs
B.S. in Economics and Mathematical Sciences,https://www.cmu.edu/admission/majors-programs
B.S. in Economics and Politics,https://www.cmu.edu/admission/majors-programs
B.S. in Economics and Statistics,https://www.cmu.edu/admission/majors-programs
B.S. in Information Systems,https://www.cmu.edu/admission/majors-programs
B.S. in International Relations and Politics,https://www.cmu.edu/admission/majors-programs
B.S. in Psychology,https://www.cmu.edu/admission/majors-programs
B.S. in Psychology and Biological Sciences,https://www.cmu.edu/admission/majors-programs
B.S. in Social and Decision Sciences,https://www.cmu.edu/admission/majors-programs
B.S. in Statistics & Data Science,https://www.cmu.edu/admission/majors-programs
B.S. in Statistics and Machine Learning,https://www.cmu.edu/admission/majors-programs
B.S. in Technical Writing and Communication,https://www.cmu.edu/admission/majors-programs
Bachelor of Science in Biological Sciences,https://www.cmu.edu/admission/majors-programs
Bachelor of Science in Biological Sciences/Neuroscience Track,https://www.cmu.edu/admission/majors-programs
