Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Science in Chemical Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Engineering,"$64,250/Year",,,,,,"['Advanced Chemical Engineering', 'Bioengineered Drug Delivery & Development', 'Computational & Data-Driven Chemical Engineering', 'Energy & Climate', 'Entrepreneurship', 'Materials Science & Engineering', 'Process Systems Engineering', 'Research']","The undergraduate program in chemical engineering provides a curriculum where the scientific and engineering content is thoroughly integrated and carefully sequenced to provide a cohesive and comprehensive education. From the very beginning, students are introduced to chemical engineering principles and practice through a series of courses that spiral throughout the curriculum, culminating in a year-long, capstone design course. A unique aspect of the undergraduate curriculum is its emphasis on process systems engineering, an area pioneered at Carnegie Mellon that provides students with the tools to manage the complexity that is inherent in the chemical and manufacturing industries.",,https://www.cmu.edu/admission/majors-programs,"The Bachelor of Science in Chemical Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,$668/unit,,,,4.0,,11%,58,,,,,,,,,"$64,250/Year",,,,,,,,,,,135.0,,,,7.5,,,,,102.0,,,,,,,,,,,,,Primarily need-based,,,,,,,
,Bachelor of Science in Civil Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Optional,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,,,College of Engineering,"$64,596/Year",,,,,,"Advanced Infrastructure Systems, Environmental Engineering, and Mechanics, Materials and Computing","Civil engineers design and build the world’s infrastructure, and address critical societal challenges, such as climate change adaptation and mitigation. The undergraduate curriculum provides a foundation in engineering sciences and design that you’ll apply to solve challenges in the natural and built environment. You can personalize your degree through technical concentrations in areas like Advanced Infrastructure Systems, Environmental Engineering, and Mechanics, Materials and Computing, or through a variety of minors and second majors. Our department has a vibrant student community where you’ll engage in hands-on learning through project courses, student clubs and undergraduate research.",,https://www.cmu.edu/admission/majors-programs,"The Bachelor of Science in Civil Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.","$47,609",,,,,4.0,,11%,52,,,,,,,,,"$64,596/Year",,,,,,,,,,,130.0,,,,7.5,,,,,102.0,,,,,,,,,,,,48% of students,"Need-based, Merit-based",,,,,,,
,Bachelor of Science in Electrical and Computer Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,College of Engineering,"$66,390/Year",,,,,,"Device Science & Nanofabrication, Circuits & Systems, Signals & Systems, Computer Hardware & Systems, Software & Systems","The undergraduate programs in electrical and computer engineering at Carnegie Mellon provide a balance of fundamental theory and practical application to prepare our students for the real-world problems they will face throughout their careers. A flexible curriculum, with a rich set of electives and a number of double major and minor options, enables our students to customize their academic experience and to pursue their interests. In addition, the college-wide emphasis on interdisciplinary study and research makes ECE an exciting place to learn and grow.",,https://www.cmu.edu/admission/majors-programs,"The Bachelor of Science in Electrical and Computer Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org",,"$2,197/Unit",,,,4.0,2.0,11%,52,,,,,,,,,66390,,,,,,,,,,,125.0,,,,7.5,,,,,102.0,,,,,,,,,,,,,"Need-based, Merit-based",,,,,,,
,Bachelor of Science in Environmental Engineering,,,,,Undergraduate,,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Engineering,64596/Year,,,,,,,"Environmental Engineering focuses on the scientific and engineering principles needed to protect and clean the environment and to provide for a sustainable future. In the Bachelor of Science in Environmental Engineering (EnvE) program, you’ll focus on fundamental areas of the discipline, including water and air quality, hydrology, environmental chemistry, and environmental modeling. You’ll become equipped with the tools needed to design and create a sustainable world by developing green products and creating sustainable energy solutions. You’ll be prepared to recognize and address the environmental consequences of human activities and to design systems to minimize their negative impacts.",,https://www.cmu.edu/admission/majors-programs,"The Bachelor of Science in Environmental Engineering program is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",,2100,,,,4.0,,11%,52,,,,,,,,,64596/Year,,,,,,,,,,,135.0,,,,7.5,,,,,102.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Materials Science and Engineering,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Required,"First-year applicants to Carnegie Mellon are required to submit the Common Application, a $75 application fee or waiver, an official high school transcript, a Secondary School Counselor Evaluation, one Teacher Recommendation, and answers to the Carnegie Mellon Writing Questions. Submission of SAT or ACT scores is optional. English Proficiency Testing is required for students whose native language is not English.",Not Required,,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Engineering,"$66,160/Year",,,,,,"Biomaterials, Electronic materials, Materials for energy, Mechanical behavior, Metallurgy, Nanomaterials, Polymers, Sustainability","Materials are everywhere. Everything is made of something, and that something is a material. From transportation to electronics, advanced medical devices to sustainable energy, materials science and engineering (MSE) is at the forefront of technology and the student who graduates with a materials science degree from Carnegie Mellon University will have a bright future. Our students learn the fundamentals of materials science and engineering through a core curriculum and then can specialize in a specific area by choosing from a variety of electives. Our undergraduate students get hands-on experience by completing lab courses as part of their curriculum. Research opportunities with our world-renowned faculty allow students to gain valuable research experience. In addition, many of our students take advantage of study abroad opportunities, co-ops and internships to broaden their education.",,https://www.cmu.edu/admission/majors-programs,"The Bachelor of Science in Materials Science and Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.","$55,395",$920/unit,,True,,4.0,,11%,58,,,,,,,,,66160,,,,,,,False,False,,,135.0,,,,7.5,,,,,102.0,,,,,,,,,,,,,"Need-based, Merit-based",,,,,,,
,Bachelor of Science in Mechanical Engineering,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"All first-year applicants must submit the following for a complete application: Common Application, a non-refundable $75 application fee or an approved fee waiver, official high school transcript, one teacher recommendation, a Secondary School Counselor Recommendation, and the Common Application Essay and Writing Supplement. For students applying for Fall 2025 admission, standardized test scores (SAT/ACT) are optional. For students who've taken college courses while in high school, an official college/university transcript is required. English Language Proficiency Testing is required for applicants whose native language is not English.",Not Required,,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Engineering,"$64,596/Year",,,,,,"Aerospace Engineering, Biomechanics, Computational Engineering, Energy & the Environment, Manufacturing & Materials, Product Design, Robotics","Mechanical engineering is a broad and diverse discipline of engineering that applies the principles of physics and materials science for the analysis, design, manufacturing, and maintenance of mechanical systems. At Carnegie Mellon University, our Mechanical Engineering program prepares you to become a leader in this ever-changing field. Our curriculum provides you with a strong foundation in the fundamentals of mechanical engineering, including mechanics, thermodynamics, fluid dynamics, and heat transfer. You will also have the opportunity to specialize in a number of areas, including robotics, biomechanics, and energy systems. Our faculty are world-renowned experts in their fields, and they are committed to providing you with a high-quality education. You will have the opportunity to learn from the best and to work on cutting-edge research projects. We also have a number of state-of-the-art facilities, including a wind tunnel, a water tunnel, and a robotics lab. You will have the opportunity to use these facilities to conduct experiments and to develop your skills.",,https://www.cmu.edu/admission/majors-programs,The Bachelor of Science in Mechanical Engineering program is accredited by the Engineering Accreditation Commission of ABET.,"over $55,000","$2,693 per unit",,True,,4.0,2.0,11%,58,,,,,,,,,"$64,596/Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Need-based, Merit-based",,,,,,,
,Additional Major in Biomedical Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,College of Engineering,"$32,625/Semester",,,,,,"Bioimaging and Biophotonics, Biomechanics and Biomaterials, Cellular and Molecular Bioengineering, Computational Biomedical Engineering",The undergraduate curriculum in biomedical engineering is offered as an additional major to students who have a declared primary major in one of the traditional engineering disciplines offered at Carnegie Mellon. The flexible curriculum provides a strong background in the fundamentals of biomedical engineering as well as in-depth knowledge in specific areas of interest through a variety of elective courses.,,https://www.cmu.edu/admission/majors-programs,,"$49,525",$910/Unit,,,,4.0,,11%,58,,,,,,,,,"$32,625/Semester",,,,,,,,,,,135.0,,,,7.5,,,,,102.0,,,,,,,,,,,"$2,000/year",45% of undergraduate students,"Need-based, Merit-based",,,,,,,
,Additional Major in Engineering and Public Policy,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Engineering,"$66,160/Year",,,,,,,"Technological change lies at the heart of many pressing contemporary public policy issues, including those related to the environment, energy, information and communication, national security, and transportation. The additional major in Engineering and Public Policy (EPP) is designed to give engineering and computer science students a special set of skills that will allow them to better understand and deal with these complex problems. The curriculum provides a foundation for students in two broad areas: social analysis, with an emphasis on the fundamental concepts of economics, statistics, and decision science; and technology and policy analysis, a set of skills for applying social and technical analysis to policy issues in which technology is a critical factor.",,https://www.cmu.edu/admission/majors-programs,,"$53,753","$2,060/unit",,,,4.0,3.0,,,,,,,,,,,"$66,160/Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52%,"Merit-based, Need-based",,,,,,,
,"Additional Major in Engineering Design, Innovation & Entrepreneurship",,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"The additional major is open to any student in the College of Engineering. You may declare the additional major as early as the spring of your first year, and no later than the fall of your junior year. You must use the Intent to Declare form to begin the process.",Not Required,,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Engineering,"$64,596/Year",,,,,,"Design, Entrepreneurship","The Additional Major in Engineering Design, Innovation, and Entrepreneurship (EDIE) is a program offered through the Integrated Innovation Institute that focuses on creating value through new products, services, and ventures. It provides engineering students with a foundation in the principles and practices of innovation and entrepreneurship, combining design-centric thinking with technology and business. The additional major allows students to choose a concentration in either Design or Entrepreneurship, which will be specified on their transcript. The curriculum for the program is anchored by a two-semester capstone course in which student teams create a new product or service venture. It is the undergraduate component of the College of Engineering's three-tiered, cross-campus entrepreneurship educational ladder.",,https://www.cmu.edu/admission/majors-programs,,,$898/unit,,True,,4.0,,,52,,,,,,,,,"$64,596/Year",,,,,,,False,False,,,135.0,,,,7.5,,,,,102.0,,,,,,,,,,,,,"Need-based, Merit-based",,,,,,,
,Bachelor of Architecture (B.Arch),,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"All first-year applicants must submit the following:
- Common Application
- Official High School Transcript
- One Teacher Recommendation
- Guidance Counselor Recommendation
- Common Application Essay and Carnegie Mellon Writing Questions
- Standardized Test Scores (Optional for 2025 Applicants)
- English Proficiency Test Scores (if applicable)
- Application Fee or Waiver
- Portfolio of creative work is required for all applicants to the School of Architecture.",Not Required,,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Fine Arts,,,,,,,"['Sustainable Design', 'Computational Design', 'Building Performance', 'Urban Design']","The five-year Bachelor of Architecture (B.Arch) is a first-professional undergraduate degree that is nationally accredited by the National Architectural Accrediting Board (NAAB). The B.Arch curriculum is centered on the design studio, a project-based learning environment in which students develop their design skills and abilities. In addition to a rigorous design curriculum, B.Arch students take required courses in building technology, computational design, architectural history and theory, and representation. These are supported by a combination of School of Architecture (SoA), College of Fine Arts (CFA), and university-wide electives that allow students to pursue their unique interests. The B.Arch program enables students to concentrate in an area of their interest through the selection of advanced synthesis option studios (ASOS) and SoA electives in their fourth and fifth years. These studios and electives are clustered in four areas of focus: Sustainable Design; Computational Design; Building Performance; and Urban Design. The School of Architecture encourages students to develop their own focus and deepen their expertise in a particular area of interest through a variety of advanced courses including ASOS, SoA seminars and workshops, and university-wide electives. Many students take advantage of the university’s strengths in other disciplines by pursuing minors and second majors.",,https://www.cmu.edu/admission/majors-programs,"Carnegie Mellon University, School of Architecture offers the following NAAB-accredited degree program: Bachelor of Architecture (B.Arch), 160 credits.",,$893 per unit,,True,,,,11%,52,,,,,,,,,"$64,300/Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
