QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,The Fu Foundation School of Engineering and Applied Science,,,,3.9%,,,,"$68,400/Year","$71,043",,,Nearly 50% of students receive a grant from Columbia,Need-based,4 years,"$68,400/Year",Bachelor of Science in Applied Mathematics,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,Columbia Engineering,,,,3.9%,,,,69045,"$71,043",,,,Need-based,4 years,"$69,045/Year",Bachelor of Science in Applied Physics,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,Columbia Engineering,,,,3.9%,Fall 2026,,,69045,66350,,,,Need-based,4 years,"$69,045/Year",Bachelor of Science in Biomedical Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,Columbia Engineering,,,,3.8%,Fall 2026,,,"$69,045/Year","$71,043",,,,Need-based,4 years,"$69,045/Year",Bachelor of Science in Chemical Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,The Fu Foundation School of Engineering and Applied Science,,,,3.9%,,,,"$69,045/Year","$71,043",,,,Need-based,4 years,"$69,045/Year",Bachelor of Science in Civil Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,The Fu Foundation School of Engineering and Applied Science,,,,3.9%,Fall 2026,,,"$69,045/Year","$71,043",,,,Need-based,4 years,"$69,045/Year",Bachelor of Science in Computer Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,Columbia Engineering,,,,3.9%,,,,69045,71043,,,,Need-based,4 years,"$69,045/Year",Bachelor of Science in Computer Science,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,Columbia Engineering,,,,3.9%,Fall 2026,,,"$68,400/Year","$71,043",,,,Need-based,4 years,"$68,400/Year",Bachelor of Science in Earth and Environmental Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,The Fu Foundation School of Engineering and Applied Science,,,,3.85%,Fall 2026,,,"$69,045/Year","$66,350",,,,Need-based,4 years,"$69,045/Year",Bachelor of Science in Electrical Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors
,The Fu Foundation School of Engineering and Applied Science,,,,3.9%,Fall 2026,,,"$69,045/Year","$71,043",,,,Need-based,4 years,"$69,045/Year",Bachelor of Science in Engineering Management Systems,https://undergrad.admissions.columbia.edu/academics/engineering/majors
