Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Science in Applied Mathematics,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Optional,"Applicants must submit either the Coalition Application or Common Application. The application checklist includes: Application Fee or Fee Waiver, Official High School Transcript, School Profile, Counselor Recommendation, Two Teacher Recommendations from teachers who taught you in academic disciplines, Mid-Year Report, and Columbia-Specific Application Questions. For international students, English Proficiency Test Scores may be required. Standardized test scores (SAT/ACT) are optional for the 2023-2024 and 2024-2025 application cycles.",Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,The Fu Foundation School of Engineering and Applied Science,"$68,400/Year",,,,,,,"Applied mathematics is the branch of mathematics that concerns itself with the application of mathematical knowledge to other domains. Such applications include numerical analysis, mathematics of engineering, linear programming, optimization and operations research, continuous modeling, discrete mathematics, financial mathematics and insurance, and statistics. The major is popular among students who are interested in a career in finance, business and management, but as you can see from this list, applied mathematicians can go on to work in many different and exciting fields.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,"The B.S. degree in Applied Mathematics is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.","$71,043",,,True,,,,3.9%,,,,,,,,,,"$68,400/Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,Nearly 50% of students receive a grant from Columbia,Need-based,,,,,,,
,Bachelor of Science in Applied Physics,,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,Optional,"Prospective students apply for admission to The Fu Foundation School of Engineering and Applied Science, not to a specific major. Required application components include the Common Application or Coalition Application, Columbia-Specific Application Questions, an official high school transcript, a school profile, a counselor recommendation, and a Mid-Year Report. Applicants to the engineering school are required to have one recommendation from a math or science teacher, in addition to one other teacher recommendation. An application fee or fee waiver is necessary. For the 2023-2024 application cycle, standardized test scores (SAT or ACT) are optional. International applicants for whom English is not their native language may need to provide proof of English proficiency.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,Columbia Engineering,"$69,045/Year",,,,,,Medical Physics Concentration,"Applied physics is the branch of physics that is intended for a particular technological or practical use. Applied physicists use physics or conduct physics research with the aim of developing new technologies or solving an engineering problem. This major draws from the broad intellectual traditions of both the liberal arts college and the research university. The curriculum is distinguished by its flexibility and breadth, which allows students to gain an understanding of many subject areas or pursue a specialization in depth.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,"$71,043",,,True,,,,3.9%,,,,,,,,,,69045,,,,,,,False,False,,,135.0,,,,7.5,,,,,105.0,,,,,,,,,,,,,Need-based,,,,,,,
,Bachelor of Science in Biomedical Engineering,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,Required,"All first-year applicants must submit either the Coalition Application or the Common Application. In addition to the application, the following materials are required: an application fee or fee waiver, an official high school transcript, a school profile, a counselor recommendation, two teacher recommendations from teachers who taught you in academic disciplines, and a Mid-Year Report. All applicants must also answer the Columbia-Specific Application Questions.",Not Required,,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,Columbia Engineering,"$69,045/Year",,,,,,"biomechanics, cell and tissue engineering, biomedical imaging","The Bachelor of Science degree program in biomedical engineering is designed to be completed in eight terms. The program provides a broad foundation in biomedical engineering, including a common core of courses that leaves students prepared for careers in biomedical engineering, graduate school or medical school. Students work closely with a faculty adviser to select courses that define a specific track in an area of interest, including biomechanics, cell and tissue engineering or biomedical imaging. Research for credit with the faculty of the biomedical engineering department is highly encouraged.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,"The undergraduate program in biomedical engineering is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",66350,,,True,,,,3.9%,,,,,,,,,,69045,,,,,,,False,False,,,135.0,,,,7.5,,,,,105.0,,,,,,,,,,,,,Need-based,,,,,,,
,Bachelor of Science in Chemical Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Columbia Engineering,"$69,045/Year",,,,,,,"Chemical engineers build a bridge between science and manufacturing, applying principles of chemistry, physics, mathematics, biology and engineering to the process of turning raw materials or chemicals into more useful and valuable products. Chemical engineers are involved in all aspects of chemical production, from the research and design of a process to the construction and operation of a full-scale manufacturing plant. Today, chemical engineers use their expertise to create a wide variety of materials, from environmentally safe detergents and life-saving pharmaceuticals to innovative new textiles and materials for the aerospace industry.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,"The undergraduate program in chemical engineering is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.","$71,043",,,,,,,3.8%,,,,,,,,,,"$69,045/Year",,,,,,,,,,,125.0,,,,7.5,,,,,105.0,,,,,,,,,,,,,Need-based,,,,,,,
,Bachelor of Science in Civil Engineering,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Required,"To apply as a first-year student, applicants must submit either the Coalition Application or the Common Application. Required components include the application form, answers to Columbia-specific questions, official high school transcripts from all schools attended, a recommendation from a high school counselor along with a school profile, and one recommendation from a teacher in a core academic subject (English, social studies, science, math, or foreign language). A Mid-Year Report is also required. Submission of SAT or ACT scores is optional. Non-native English speakers may need to provide English proficiency test scores. An application fee or a fee waiver must be submitted to complete the application.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,The Fu Foundation School of Engineering and Applied Science,"$69,045/Year",,,,,,"['Structural Engineering', 'Geotechnical Engineering', 'Construction Engineering', 'Environmental and Water Resources Engineering', 'General Civil Engineering']","Civil engineering uses the principles of engineering, soil science, and physics for the design, construction, and maintenance of structures like buildings, dams, bridges, and roads. As a civil engineer, you will solve a variety of problems while serving the community and its needs. Civil engineers build and maintain the physical world all around us, often on a massive scale. At Columbia, civil engineering students will learn the fundamentals of the field while also learning to innovate, as they look towards the future of structures, of water resources, of our environment, and of our world. Students are able to specialize within specific areas of the field or to pursue a more general civil engineering education. Many students will participate in research during their time at Columbia, with the department providing special opportunities and support for undergraduate researchers. As one of the oldest and most distinguished civil engineering programs in the country, Columbia civil engineers continue to change our world for the better.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,"The undergraduate program in Civil Engineering is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.","$71,043",,,True,,,,3.9%,,,,,,,,,,"$69,045/Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Need-based,,,,,,,
,Bachelor of Science in Computer Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,The Fu Foundation School of Engineering and Applied Science,"$69,045/Year",,,,,,"Computer systems, VLSI & computer architecture, Embedded systems, Communications and networking, Intelligent systems, Systems biology, Smart electric energy","Computer engineering is the synergistic combination of computer science and electrical engineering. Computer engineers design and build the special-purpose computer systems that we use every day, from the microprocessors that run our phones to the massive computer networks that power the internet. Computer engineering is a broad discipline that encompasses a variety of topics, including computer architecture, digital logic, computer networks, robotics and embedded systems. Students learn about the fundamental principles of computing, including data structures, algorithms and operating systems, as well as the basics of electronics and circuit design.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,"The undergraduate program in Computer Engineering is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.","$71,043",,,,,,,3.9%,,,,,,,,,,"$69,045/Year",,,,,,,,,,,135.0,,,,7.5,,,,,105.0,,,,,,,,,,,,,Need-based,,,,,,,
,Bachelor of Science in Computer Science,,,,,Undergraduate,,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,Columbia Engineering,"$69,045/Year",,,,,,,"Computer Science at Columbia is an interdisciplinary program that applies principles of both engineering and applied science. Students in this major gain an understanding of the design of computer software, hardware and theory, and go on to careers in programming, software engineering, systems analysis and information technology.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,The B.S. program in computer science is accredited by the Computing Accreditation Commission of ABET.,71043,,,,,,,3.9%,,,,,,,,,,69045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Need-based,,,,,,,
,Bachelor of Science in Earth and Environmental Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,Columbia Engineering,"$68,400/Year",,,,,,"['water resources and climate risks', 'sustainable energy and materials', 'environmental and health engineering']","Earth and environmental engineers are leaders in developing solutions to the grand challenges facing humanity: climate change, access to clean water and sanitation, clean energy, sustainable resource development and resilient urban environments. Students gain in-depth knowledge in one of three tracks: water resources and climate risks, sustainable energy and materials, or environmental and health engineering. With its unique emphasis on the integration of fundamentals in natural and engineering sciences and its strong focus on hands-on and project-based learning, the earth and environmental engineering curriculum provides a solid foundation for careers in industry, government and consulting, as well as for graduate school. Graduates are prepared to address the increasingly complex and large-scale environmental challenges facing our society.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,"The undergraduate program in earth and environmental engineering is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.","$71,043",,,,,,,3.9%,,,,,,,,,,"$68,400/Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Need-based,,,,,,,
,Bachelor of Science in Electrical Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,The Fu Foundation School of Engineering and Applied Science,"$69,045/Year",,,,,,,"Electrical engineering is a broad field, encompassing a wide spectrum of technologies such as circuit design, electromagnetics, computer hardware, control systems and signal processing, as well as the physical sciences. At Columbia, the undergraduate curriculum for electrical engineering majors is a flexible program designed to provide a strong foundation in the fundamentals while allowing students to specialize in one or more areas of their choice. The electrical engineering major is available to students in both Columbia College and Columbia Engineering.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,"The undergraduate program in electrical engineering is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.","$66,350",,,,,,,3.85%,,,,,,,,,,"$69,045/Year",,,,,,,,,,,135.0,,,,8.0,,,,,105.0,,,,,,,,,,,,,Need-based,,,,,,,
,Bachelor of Science in Engineering Management Systems,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,The Fu Foundation School of Engineering and Applied Science,"$69,045/Year",,,,,,"['consulting analytics', 'financial analytics', 'operations and analytics']","Engineering management systems majors choose from one of three concentrations: consulting analytics, financial analytics or operations and analytics. Coursework focuses on management theory, operations research, statistics and computer science, teaching students to think critically and solve the complex problems that face modern businesses. Students in this major take advanced courses in economics, operations research and enterprise information systems, in addition to Columbia’s traditional core of engineering coursework. Outside of the classroom, many engineering management systems majors choose to participate in research with faculty in operations research or industrial engineering.",,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,"$71,043",,,,,,,3.9%,,,,,,,,,,"$69,045/Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Need-based,,,,,,,
