Program name,Program Page url
Bachelor of Science in Aerospace Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
Aerospace Engineering (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
African Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Air Force Leadership Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Applications of Artificial Intelligence and Machine Learning (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Applied Languages and Intercultural Studies,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Applied Physics,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Architecture,https://www.gatech.edu/academics/bachelors-degree-programs
Architecture (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
"Bachelor of Science in Arts, Entertainment, and Creative Technologies",https://www.gatech.edu/academics/bachelors-degree-programs
Astrobiology (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Astrophysics,https://www.gatech.edu/academics/bachelors-degree-programs
Astrophysics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Atmospheric and Oceanic Sciences,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Biochemistry,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Biology,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Biomedical Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
Black Media Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Business Administration,https://www.gatech.edu/academics/bachelors-degree-programs
Business of Sports and Entertainment (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Chemical and Biomolecular Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Chemistry,https://www.gatech.edu/academics/bachelors-degree-programs
Chinese (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Civil Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
Classical Studies (Minor),https://iac.gatech.edu/academics/undergraduate/minors
Computational Data Analysis (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Computational Media,https://www.gatech.edu/academics/bachelors-degree-programs
Computation and Cognition (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Computer Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Computer Science,https://www.gatech.edu/academics/bachelors-degree-programs
Computer Science (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Construction (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Creative Writing (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Defense Leadership Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
East Asian Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Earth and Atmospheric Sciences,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Economics,https://www.gatech.edu/academics/bachelors-degree-programs
Economics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Economics and International Affairs,https://www.gatech.edu/academics/bachelors-degree-programs
Bachelor of Science in Electrical Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
Energy Systems (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Engineering and Business (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
Engineering and Psychology (Minor),https://catalog.gatech.edu/programs/minor-psychology/
English (Minor),https://catalog.gatech.edu/programs/minor-creative-writing/minor-creative-writing.pdf
