Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Science in Aerospace Engineering,,,,,Undergraduate,Fall 2026,,August 2025,,Not Required,Not Required,Not Required,Required,"Georgia Tech requires the completion of the Common Application. There is no mention of a resume or a separate statement of purpose for first-year applicants. The application includes an essay. While not explicitly stated as 'Not Required' for this specific program on a dedicated page, the general first-year application requirements on the Georgia Tech admissions website do not list a resume or statement of purpose as part of the application materials.",Not Required,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,Daniel Guggenheim School of Aerospace Engineering,,,,,,,,"The Bachelor of Science in Aerospace Engineering program at Georgia Institute of Technology offers a comprehensive curriculum designed to equip students with the necessary skills and knowledge for a successful career in the aerospace industry. The curriculum provides a strong fundamental background in engineering, mathematics, and science, along with the ability to apply this knowledge to the analysis and design of future aircraft and spacecraft. [23] The program emphasizes the analytical, experimental, and design aspects of aerospace engineering, allowing students to specialize in air or space-focused tracks. [16] Students learn the fundamentals of engineering sciences in addition to specialty areas, which include aerodynamics, aircraft and spacecraft structures, flight mechanics and control, avionics, propulsion, and the design of aerospace systems. [14] The first year focuses on foundational coursework in chemistry, mathematics, physics, humanities, and social sciences, followed by the introduction of general engineering sciences and aerospace-specific disciplines in the second year. The third and fourth years emphasize advanced aerospace disciplines, vehicle systems integration and design, and customizable Options courses for individualized education. [16]",,https://www.gatech.edu/academics/bachelors-degree-programs,"The Aerospace Engineering (B.S.) program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org, under the General Criteria and the Program Criteria for Aerospace and Similarly Named Engineering Programs. [9] The Georgia Institute of Technology is also accredited by the Southern Association of Colleges and Schools Commission on Colleges to award baccalaureate, masters and doctoral degrees. [9]",,,,True,,,2,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aerospace Engineering (Minor),,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"The Aerospace Engineering minor is for current Georgia Tech students majoring in other disciplines. The minor requires the successful completion of a minimum of 15 credit-hours in aerospace engineering, with at least nine of those hours in upper-level courses (3000 or above). [19] All courses for the minor must be taken on a letter-grade basis and completed with a GPA of 2.0 or higher. [19] There are specific core courses required, such as AE 2010, AE 3030, and AE 3330. [19] There are also restrictions on certain courses; for example, courses required by name and number in a student's major cannot be counted towards the minor. [19]",Not Required,,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,Daniel Guggenheim School of Aerospace Engineering,,,,,,,,"The School of Aerospace Engineering offers a minor in aerospace engineering for students majoring in all disciplines (other than AE) at Georgia Tech. [3, 9, 10] In partnership with other units on campus, the School also offers interdisciplinary minors in the areas of energy systems, and scientific and engineering computing. [3, 9] The aerospace engineering minor requires the successful completion of a minimum of 15 credit-hours in aerospace engineering, of which at least nine (9) semester hours will be in upper-level courses (3000 or above). [11] All courses counting towards the minor must be taken on a letter-grade basis and must be completed with a grade of C or higher. [9]",,https://www.gatech.edu/academics/bachelors-degree-programs,,,,,True,,4.0,2,,114,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,90,,,,,,,,,,,,,"Scholarships, Grants, Loans, Work-Study",,,,,,,
,African Studies (Minor),,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"Students wishing to declare a minor should submit the minor declaration form. [3] The process involves completing a 'Change/Addition of Minor Form' which must be signed by the appropriate offices and submitted to the Registrar's Office. [6] Before submitting the form, students must meet the advising requirements of the intended minor and get approval. [7]",Not Required,,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"Tento interdisciplinárny minor spája štúdium všetkých afrických regiónov a krajín (sever, západ, stred, východ, juh) – ich jazykov, kultúr a národov, a to súbežne v ich národných a medzinárodných vzťahoch, ako aj pozdĺžne v priebehu dejín. Tento minor je určený pre vysokoškolákov, ktorí sa budú venovať širokej škále povolaní, ktoré môžu priamo alebo nepriamo viesť k interakciám s ľuďmi, spoločenskými organizáciami a podnikmi a vládami Afriky, a to v zahraničí aj v USA.",,https://www.gatech.edu/academics/bachelors-degree-programs,,,,,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,90,,,,,,,,,,,,,,,,,,,,
,Air Force Leadership Studies (Minor),,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Not Required,A minimum of 9 credit hours of upper-division coursework must constitute the required 16 credit hours of minor course work. Students may not repeat any course for double credit. All AS courses must be completed with a C letter grade or greater. The cumulative GPA in the AS Courses must be a 2.0 or greater. [2],Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Ivan Allen College of Liberal Arts,,,,,,,,"The minor will familiarize the student with entry level concepts of military leadership with an emphasis on Air Force & Space Force history, technology, and organization. [1, 3]",,https://www.gatech.edu/academics/bachelors-degree-programs,,,,,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Applications of Artificial Intelligence and Machine Learning (Minor),,,,,Undergraduate,Fall 2026,,,,,,Not Required,Not Required,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,Ivan Allen College of Liberal Arts and the College of Engineering,,,,,,,"['Ivan Allen College Track', 'Engineering Track']","The interdisciplinary minor in Applications of Artificial Intelligence and Machine Learning will equip undergraduate students with skills and knowledge to use AI and ML to solve problems in engineering, humanities, and social sciences. [4, 5, 6] The curriculum is designed to also provide students with the insight to describe and discuss current ethics and policy frameworks related to AI and machine learning. [4, 5, 6] The minor is open to students majoring in participating Schools in the Ivan Allen College of Liberal Arts and the College of Engineering. [4, 5, 6]",,https://www.gatech.edu/academics/bachelors-degree-programs,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor of Science in Applied Languages and Intercultural Studies,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,"The Bachelor of Science in Applied Languages and Intercultural Studies (ALIS) is offered through the School of Modern Languages, a part of the Ivan Allen College of Liberal Arts.","For the 2024-2025 academic year, the estimated cost of attendance for an in-state undergraduate student living on campus is approximately $32,934 and for an out-of-state student is approximately $54,626. These figures include tuition, mandatory fees, housing, and meals. A specific tuition rate for the Bachelor of Science in Applied Languages and Intercultural Studies program is not detailed separately.",,,,,,"['Chinese', 'French', 'German', 'Japanese', 'Korean', 'Russian', 'Spanish']","The Bachelor of Science in Applied Languages and Intercultural Studies (ALIS) degree program delivers foreign language study in the many contexts in which other languages are spoken, including social and technical communication, cultural perspectives, industry, technology, arts and literature, media and science that will provide you with the competitive edge needed to meet 21st century language requirements of government agencies, multi-national industries, and social organizations. [1] The B.S. in ALIS takes an intercultural and interdisciplinary approach that trains students in their language concentration, as well as in linguistics, literature, media, cultural studies, comparative analysis, and critical awareness. [2] Students in this program take 30 credit hours of advanced language study at the 3000-/4000-level. In aaddition, they must complete an 18-credit-hour concentration in an approved cluster, which consists of coursework applied toward certificates, minors, additional degrees, or study-abroad programs. [2]",,https://www.gatech.edu/academics/bachelors-degree-programs,,,,,,,4.0,,,,,,,,,,,,"For the 2024-2025 academic year, the estimated cost of attendance for an in-state undergraduate student living on campus is approximately $32,934 and for an out-of-state student is approximately $54,626. These figures include tuition, mandatory fees, housing, and meals. A specific tuition rate for the Bachelor of Science in Applied Languages and Intercultural Studies program is not detailed separately.",,,,,,,,,,,,,,,7,,,,,90,,,,,,,,,,,,,"Georgia Tech offers various forms of financial aid, including scholarships which are considered gift aid and do not need to be repaid. These can be awarded by governments, the university, and private organizations, and may include merit-based and need-based opportunities.",,,,,,,
,Bachelor of Science in Applied Physics,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,"School of Physics, College of Sciences",,,,,,,"['Astrophysics', 'Physics of Living Systems', 'Business Option', 'General']","The undergraduate applied physics degree begins with an initial emphasis on core topics such as classical and quantum mechanics, thermal physics, and electromagnetism. The final years of the program include several lab classes in Electronics, Modern Optics and Advanced Laboratory Techniques. The degree program in applied physics is best suited for entry into industry or government upon graduation. [9] As an Applied Physics major, you will develop knowledge of the physical sciences and mathematics, and be afforded a hands-on approach to electronics, computation, and instrumentation. The Applied Physics major differs from the Physics major — with core course requirements in computational physics and electronics (and their associated laboratories), as well as the possibility of an engineering-based capstone project. [10]",,https://www.gatech.edu/academics/bachelors-degree-programs,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Architecture,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,School of Architecture,,,,,,,,"Georgia Tech's undergraduate program in architecture offers a unique educational experience grounded in design, technology, and science. The rigorous curriculum gives students an educational profile that distinguishes them by both their knowledge and know-how. Georgia Tech students learn how to think critically about technology and how to apply new tools to architecture and the challenges of building a better world. The Bachelor of Science in Architecture program at Georgia Tech is a four-year, pre-professional degree program that immerses students in the world of design and introduces them to the field, to material culture, and to creative approaches to problem finding and problem solving. It prepares them for subsequent graduate-level study leading to professional licensure as a practicing architect and to a variety of career paths and entrepreneurial opportunities in fields dedicated to making innovations in design, planning, construction, and business.",,https://www.gatech.edu/academics/bachelors-degree-programs,,,,,,,,2.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.5,,,,,90,,,,,,,,,,,,,,,,,,,,
,Architecture (Minor),,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"The 15-credit curriculum leading to the minor in architecture includes both required and elective courses to provide training in the fundamentals of architectural design and representation processes, architecture history, systems design, architecture theory and more. [3]",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Architecture,"$5,127.50/Semester (In-State); $16,047.50/Semester (Out-of-State)",,,,,,,"The 15-credit curriculum leading to the minor in architecture includes both required and elective courses to provide training in the fundamentals of architectural design and representation processes, architecture history, systems design, architecture theory and more. [1] In addition, students will interact with faculty members in our school who are currently pursuing research across the spectrum of disciplinary and professional issues that provides a rich intellectual environment for study in this subject. [1] Architecture is a highly integrative and complex discipline that can provide a foundation for careers in different areas of environmental design and construction, as well as provide preparation for other collaborative design processes involving the integration of art and science. [1] The minor in architecture enables students to develop their creativity and passion for producing innovative, culturally-enhancing design. [1] Students in the minor will learn to produce models for handling complex, multidisciplinary collaboration for concrete solutions to real-world social and ecological sustainability problems. [1]",,https://www.gatech.edu/academics/bachelors-degree-programs,,,"$427 (In-State); $1,337 (Out-of-State)",,False,,4.0,,,,,,,,,,,,"$5,127.50/Semester (In-State); $16,047.50/Semester (Out-of-State)",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia Tech offers various scholarships, including those based on merit and specific academic programs. The Office of Scholarships and Financial Aid administers aid from federal and state governments, as well as funds from the Georgia Tech Foundation.",,,,,,,
,"Bachelor of Science in Arts, Entertainment, and Creative Technologies",,,,,Undergraduate,Fall 2026,,"August 1, 2025","The Early Action 1 deadline for Georgia residents is October 15, 2025. The Early Action 2 deadline for non-Georgia residents is November 3, 2025. The Regular Decision deadline is January 5, 2026. [4]",Not Required,Not Required,Not Required,Optional,"All first-year applicants must submit an application, a high school transcript, and results from at least one SAT and/or the ACT. [4, 8] An optional portfolio can be submitted for the Bachelor of Science in Arts, Entertainment, and Creative Technologies program, which allows applicants to showcase a wide breadth of creative work. [11]",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,"School of Arts, Entertainment, and Creative Technologies, College of Design","$12,852 per year for in-state and $33,964 per year for out-of-state students (2020-2021). [8]",,,,,,,"The new Bachelor of Science in Arts, Entertainment, and Creative Technologies (AECT) combines artistic foundations, technical innovation, creative entrepreneurship, and sustained partnerships with creative studios, technology companies, startups, nonprofits, and artists. [1] Within this degree program, studio-based learning is combined with the rigorous study of technology and entrepreneurship to build a fundamental understanding of the opportunities found when the arts combine with emerging technologies like AI and virtual reality. [3] Graduates with this degree will become the next generation of leaders and innovators at the intersection of emerging technologies and the arts. [1] In AECT, studio-based learning combines with rigorous study of technology and entrepreneurship to build a fundamental understanding of the opportunities found when the arts combine with emerging technologies like AI and virtual reality. [1] Faculty and students in the new school will help lead and sustainably grow creative industries like film, gaming, and immersive media. [1] The interdisciplinary curriculum for this undergraduate degree includes new core classes alongside collaborative offerings from across Georgia Tech's colleges, building on existing strengths in arts, entrepreneurship, music technology, digital media, and more. [1]",,https://www.gatech.edu/academics/bachelors-degree-programs,,,,,True,,4.0,2,"For the Fall 2025 (Class of 2029) admissions cycle, the overall acceptance rate was approximately 12.7%. The acceptance rate for Georgia residents was about 30%, and for non-Georgia residents, it was around 9%.",114,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Georgia Tech offers various scholarships, such as the Georgia Tech Val-Sal Scholarship, which ranges from $2,500 to $5,000 for eligible Georgia residents. [24] Another is a $5,000 non-renewable scholarship for students involved in FIRST Robotics. [18]",,"Merit-based, Need-based, 'Stamps President's Scholars Program', 'Gold Scholars Program', 'G. Wayne Clough Georgia Tech Promise Program'",,,,,,,
