Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Not Required,"To be considered for the Bachelor of Science in Public Affairs, applicants must first apply to Indiana University Bloomington and indicate a major within the O'Neill School of Public and Environmental Affairs on their application. [14] The university accepts either the Apply IU Application or the Common Application. [8] A required component of the application is an IU-specific essay of 200-400 words describing the applicant's academic and career plans. [8] Admission to the O'Neill School is competitive and decisions are made on a case-by-case basis through a holistic review that considers the applicant's academic record, the quality of their application essay(s), and other activities and achievements. [14]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Public Affairs,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"To apply to Indiana University, applicants must be on track to earn an accredited high school diploma or equivalent. [1] The application for admission requires an essay. [8] General application requirements include the online application, academic records, and an application fee. [7]",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Environmental Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"To apply for the Bachelor of Arts in Environmental and Sustainability Studies, prospective students must apply for undergraduate admission to Indiana University. The program is a joint degree between the O'Neill School of Public and Environmental Affairs and the College of Arts and Sciences. For specific admission information, prospective students are advised to contact the BAESS advisor. [8] General application is done through the Common Application.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Environmental and Sustainability Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Required,"To be considered for admission to Indiana University Bloomington, all applicants must have an accredited high school diploma or its equivalent. [5] While there's no set minimum GPA, the majority of admitted students have a GPA between 3.5 and 4.0. [2] The university takes a holistic approach, considering factors like the rigor of high school coursework, extracurricular activities, and a required personal essay that provides insight into your academic and personal goals. [1, 2] Letters of recommendation are also encouraged. [2]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Arts Management,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"General admission to Indiana University is the first step. For direct admission to the O'Neill School, which houses the program, incoming freshmen can be admitted with a 3.3 high school GPA (test-optional). Alternatively, students with a 3.0 high school GPA and an SAT score of 1000+ or an ACT composite score of 21 can be directly admitted. [4] Students who do not meet these criteria are admitted to University College and can transfer to O'Neill after their first semester if they have declared an O'Neill major and earned a 2.0 cumulative GPA. [4]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Healthcare Management and Policy,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"To be considered for direct admission to the Kelley School of Business for a Bachelor of Science in Accounting, first-year applicants must submit their IU Bloomington application by the November 1 early action deadline, indicating a Kelley business major. [1] Applicants must also complete the Kelley Prospect Inventory (KPI) through the IU Admissions Portal. [1] There are no automatic criteria for direct admission; all applicants who submit the KPI will undergo a comprehensive academic review that considers factors such as high school performance, the rigor of high school coursework, academic achievements, and potential for success at the Kelley School. [1]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Accounting,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Required,"To apply for freshman admission at Indiana University, prospective students must submit an application via the Common Application or the Apply IU application. As part of the application, an essay is required. Indiana University has a test-optional policy, which allows applicants to choose whether their SAT or ACT scores will be considered in the admission review process.",Not Required,True,True,,False,False,,,institute,Bachelor of Science in Business,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"To be considered for admission, you'll need to submit your online application and all required materials. These materials include:

* The Apply IU application or the Common Application
* The IU-specific questions and essay
* Your self-reported high school grades
* An application fee or fee waiver",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in African American & African Diaspora Studies/Religious Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"To apply, students must use the Apply IU application or the Common App. [15] Admission to Indiana University Bloomington is holistic and based on a variety of factors. The primary emphasis is placed on a student's grades and the rigor of their high school coursework (such as AP, IB, or dual-credit courses). [2] Other factors considered include the application essay, extracurricular activities, and other achievements. [2] Applicants must be on track to earn a diploma from an accredited high school or an equivalent like the Indiana High School Equivalency Diploma. [10]",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in African American & African Diaspora Studies/English,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Required,"Application for undergraduate admission to Indiana University is handled centrally through the Office of Admissions and is not specific to the Bachelor of Arts in African American & African Diaspora Studies/History. Prospective students must complete an online application, such as the Common Application, and submit a non-refundable application fee or qualify for a fee waiver. A key component of the application is a personal essay of 200–400 words. Additionally, an official high school transcript is required. Indiana University has a test-optional policy, meaning applicants can choose whether or not to submit SAT or ACT scores for consideration in the admissions process.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in African American & African Diaspora Studies/History,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Required,"Indiana University Bloomington has a test-optional admissions policy for all undergraduate applicants. The university conducts a holistic review of applications, with the greatest emphasis placed on a student's grades and the rigor of their high school coursework. Other factors considered include the application essay, extracurricular activities, and other achievements. Students can choose at the point of application whether to have SAT and/or ACT scores considered as part of their application review, and they will receive full consideration for admission without test scores. [20]",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in African American & African Diaspora Studies/Sociology,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Optional,Required,"As part of the application to Indiana University Bloomington, an essay is required. If using the Common Application, applicants can select from any of the provided prompts. For those using the Apply IU application, the prompt is: ""In 200–400 words, describe your academic and career plans and any special interest (for example, undergraduate research, academic interests, leadership opportunities, etc.) that you are eager to pursue as an undergraduate at Indiana University. Also, if you have experienced any unusual circumstances, challenges, or obstacles in pursuit of your education, you may share those experiences and how you have overcome them."" [2] While letters of recommendation are not mandatory, one recommendation from a counselor and one from a teacher are accepted. [2]",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Biology,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"Admission to IU is selective, and we base our admission decisions on an overall evaluation of applicants' merits, strengths, and weaknesses. An applicant should demonstrate a combination of academic preparation, achievements, abilities, motivation, and maturity that promises success in Indiana University's academic programs. [10] The greatest emphasis is placed on your grades earned in academic coursework; as well as performance in honors, dual-credit, International Baccalaureate, and Advanced Placement courses; your essay; extracurricular activities; and other achievements. [1]",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Biology,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"For admission, Indiana University requires completion of a high school diploma or equivalent. The application is submitted through the Common Application, and a non-refundable application fee is required. Applicants must also submit their high school transcript.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Chemistry,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"To apply for the Bachelor of Arts in Chemistry, prospective students must submit a general undergraduate application to Indiana University Bloomington through either the Apply IU Application or the Common Application. [16, 11] As part of the application, an essay of 200-400 words describing academic and career plans is required for the Apply IU application, or one of the standard essay prompts for the Common Application. [11] The university conducts a holistic review, with the greatest emphasis placed on grades in academic coursework, performance in honors, dual-credit, International Baccalaureate, and Advanced Placement courses, the essay, extracurricular activities, and other achievements. [1]",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Chemistry,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,Applicants should adhere to the general freshman admission requirements for Indiana University Bloomington. A comprehensive review of each applicant's academic record is conducted.,Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Communication and Public Advocacy,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"There are two paths for admission into the Bachelor of Science in Computer Science program: Direct Admission and Standard Admission. For Direct Admission, applicants must submit a complete application to the IU Office of Admissions by November 1, be admitted to Indiana University with Computer Science B.S. as their intended major, have a minimum cumulative GPA of 3.75 on a 4.0 scale, and have a minimum SAT score of 1310 (critical reading and math) or a minimum ACT score of 28. [1] Students who do not meet the Direct Admission criteria can be admitted to Indiana University through the standard process and enter the University Division. They can then apply for certification into the Computer Science B.S. program after completing at least 30 credit hours with a minimum cumulative GPA of 2.0 and completing the English composition requirement with a minimum grade of C. [1]",Not Required,False,False,True,True,True,28.0,1310.0,program,Bachelor of Science in Computer Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"Admission to the major is part of the general Indiana University application process. Applicants should complete at least 34 credits of college-preparatory courses in high school. The university reviews the breadth and depth of the college-preparatory program, cumulative GPA, and an application essay. [14] The IU-specific application essay should be 200-400 words describing academic and career plans. [7]",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Criminal Justice,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"Admission to the Bachelor of Science in Education in Elementary Education is a multi-step process. First, prospective students must be admitted to Indiana University Bloomington through the university's Office of Admissions. [11, 13] Following admission to the university and the completion of certain prerequisites, students must then apply for admission to the Teacher Education Program (TEP). [11, 13] Specific requirements for elementary education majors to be admitted into the TEP include maintaining a minimum overall GPA of 2.5 or higher. [8] Admission to the TEP is competitive, and meeting the minimum requirements is necessary but does not guarantee acceptance. [13]",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Education - Elementary Education,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Required,"Admission to this program is a two-step process. First, students must be admitted to Indiana University Bloomington. General freshman admission is based on a holistic review with the greatest emphasis placed on grades in academic coursework, performance in advanced courses, the application essay, and extracurricular activities. [1, 3] After being admitted to IU, students must apply for and be admitted to the Teacher Education Program (TEP) to progress into upper-level professional coursework. [11] Admission to the TEP is competitive. [14]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Education - Secondary Education,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"To apply for undergraduate admission to Indiana University, which is required for the Bachelor of Arts in English program, applicants must submit an online application through either the Apply IU application or the Common Application. There is a nonrefundable application fee. Applicants need to self-report their high school coursework and grades. An IU-specific essay of 200-400 words is also part of the application; the prompt asks applicants to describe their academic and career plans and any special interests or circumstances they want the admissions committee to consider.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in English,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"Admission to Indiana University Bloomington is selective, and the review process is holistic. The university considers several factors, with the greatest emphasis placed on your grades in academic coursework and the rigor of your high school curriculum. Other factors include performance in honors, dual-credit, International Baccalaureate, and Advanced Placement courses; your application essay; extracurricular activities; and other achievements. International applicants must also demonstrate English proficiency.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in History,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Required,"To apply for undergraduate admission at Indiana University, students need an accredited high school diploma or equivalent. [7] The application is evaluated holistically, with the greatest emphasis placed on grades earned in academic coursework, including performance in honors, dual-credit, International Baccalaureate, and Advanced Placement courses. [1] Other factors considered include a required personal essay and extracurricular activities. [1, 3] Specific to the BS in Informatics online program, applicants must complete an application for admission and submit official transcripts. [5]",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Informatics,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
,,,,,,,,,,,error,Bachelor of Science in Kinesiology,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Arts in Linguistics,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Science in Mathematics,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
Not Required,Not Required,"Admission to the Bachelor of Arts in Mathematics program is handled through the general undergraduate admission process for Indiana University. There are no specific application requirements mentioned for this program beyond the general university application. The university has a test-optional admissions policy, allowing students to choose whether to have SAT and/or ACT scores considered during the application review. [3] Students will also need to complete the degree requirements of the College of Arts and Sciences.",Not Required,False,True,True,False,False,,,program,Bachelor of Arts in Mathematics,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"For undergraduate admission, applicants must submit the Apply IU application or the Common App, official high school transcripts, an application fee, and an essay. Graduate application requirements are determined by individual schools and programs but generally include an online application and transcripts.",Not Required,True,True,,False,False,,,institute,Bachelor of Science in Neuroscience,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
Not Required,Not Required,"Admission to Indiana University Bloomington is test-optional, allowing students to decide if SAT and/or ACT scores will be considered during the application review. [1] The university conducts a holistic and individual evaluation of each application, with the greatest emphasis placed on grades in academic coursework, performance in honors, dual-credit, and Advanced Placement courses, the application essay, extracurricular activities, and other achievements. [1]",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Philosophy,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,
