QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,O'Neill School of Public and Environmental Affairs,,4,2,,Fall 2026,,"February 1, 2026","Indiana residents: $12,142, Nonresidents: $42,702 for the 2026-2027 academic year. [1]",,,"The IU Foundation offers scholarships typically ranging from $1,000 to $2,000 annually. [14] The O'Neill School provides scholarships with award amounts between $500 and $15,000 per year. [25]",,"Merit-based and need-based scholarships are available. [8, 10]",120 credit hours are required for the degree. [8],"Estimated tuition and mandatory fees for the 2026–2027 academic year are $12,142 for Indiana residents and $42,702 for non-residents. [1]",Bachelor of Science in Public Affairs,https://www.iu.edu/academics/degrees/all-majors-degrees.html
306,O'Neill School of Public and Environmental Affairs and College of Arts + Sciences,,4.0,2.0,,Fall 2026,2025-08-01,,,,,500-15000,,"Merit-based, Need-based, Underrepresented populations",4 years,,Bachelor of Science in Environmental Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html
,College of Arts and Sciences and the O'Neill School of Public and Environmental Affairs. [25],,4,2,,Fall 2026,,,,,,,,,,,Bachelor of Arts in Environmental and Sustainability Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
,O'Neill School of Public and Environmental Affairs,,4,2.3,,Fall 2026,,,"In-State: $12,142/year, Out-of-State: $42,294/year",,,,,Merit-based scholarships such as the O'Neill Scholars Award and the Boch Family Scholarship are available.,4 years,,Bachelor of Science in Arts Management,https://www.iu.edu/academics/degrees/all-majors-degrees.html
306,O'Neill School of Public and Environmental Affairs,,4.0,,80%,Fall 2026,,,,,"$392 per credit hour for in-state undergraduates, $1,112 per credit hour for out-of-state students.",1000,,"Merit-based, Need-based",4 Years,"$12,144 for in-state students and $41,891 for out-of-state students for the 2024-25 academic year.",Bachelor of Science in Healthcare Management and Policy,https://www.iu.edu/academics/degrees/all-majors-degrees.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Accounting,https://www.iu.edu/academics/degrees/all-majors-degrees.html
,Kelley School of Business,,4.0,3.0,,Fall 2026,August 2025,,"For the 2026–2027 academic year, the estimated annual direct cost for an undergraduate student, including tuition, mandatory fees, housing, and food, is $26,540 for Indiana residents and $57,100 for nonresidents. [26]",,"Indiana University utilizes a flat-rate tuition for full-time undergraduate students, covering up to 40 credit hours across the fall and spring semesters. [26] Therefore, a specific cost per credit is not the standard for full-time enrollment.","Jaguar Excellence Awards for direct-admit students at the IU Indianapolis campus range from $1,000 to $5,000 per year. [21] STEM-based scholarships for some students are available up to $15,000 for in-state students and up to $25,000 for out-of-state students. [14]",,Merit-based and need-based scholarships are available. [21],4 years,"The estimated tuition and mandatory fees for the 2026–2027 academic year are $12,142 for Indiana residents and $42,702 for nonresidents. [26]",Bachelor of Science in Business,https://www.iu.edu/academics/degrees/all-majors-degrees.html
,College of Arts and Sciences,,4,,,Fall 2026,"Applications for the fall semester typically open in the early fall of the preceding year. For example, the application season for Fall 2026 was underway by October 2025.","The regular decision deadline for Fall 2026 is February 1, 2026. The early action (non-binding) deadline is November 1 of the preceding year.","For the 2026–2027 academic year, the estimated full-time undergraduate tuition and mandatory fees are $12,142 for Indiana residents and $42,702 for non-residents. [9]",,"For undergraduate students in the College of Arts and Sciences, the cost per credit hour is approximately $392 for in-state residents and $1,112 for out-of-state residents.",,,"Indiana University offers academic and merit-based scholarships. Some scholarships are also country-specific for international students. [5, 14]",4 Years,"For the 2026–2027 academic year, the estimated full-time undergraduate tuition and mandatory fees are $12,142 for Indiana residents and $42,702 for non-residents. [9]",Bachelor of Arts in African American & African Diaspora Studies/Religious Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
306,College of Arts and Sciences,,4,2,,Fall 2026,2025-08-01,2025-11-01,,,,,,"Merit-based, Need-based",4 Years,,Bachelor of Arts in African American & African Diaspora Studies/English,https://www.iu.edu/academics/degrees/all-majors-degrees.html
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,August 2025,"February 1, 2026","$42,702/Year",,,,,"Merit-based, Need-based",4 years,"$42,702/Year",Bachelor of Arts in African American & African Diaspora Studies/History,https://www.iu.edu/academics/degrees/all-majors-degrees.html
