Program name,Program Page url
Bachelor of Science in Public Affairs,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Environmental Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Environmental and Sustainability Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Arts Management,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Healthcare Management and Policy,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Accounting,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Business,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in African American & African Diaspora Studies/Religious Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in African American & African Diaspora Studies/English,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in African American & African Diaspora Studies/History,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in African American & African Diaspora Studies/Sociology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Biology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Biology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Chemistry,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Chemistry,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Communication and Public Advocacy,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Computer Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Criminal Justice,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Education - Elementary Education,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Education - Secondary Education,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in English,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in History,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Informatics,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Kinesiology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Linguistics,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Mathematics,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Mathematics,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Neuroscience,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Philosophy,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Physics,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Political Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Science in Psychology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Psychology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Sociology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Bachelor of Arts in Spanish,https://www.iu.edu/academics/degrees/all-majors-degrees.html
"Bachelor of Science in Speech, Language and Hearing Sciences",https://www.iu.edu/academics/degrees/all-majors-degrees.html
Associate of Science in Health Information Technology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Associate of Science in Labor Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Associate of Science in Radiography,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in African American and African Diaspora Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in African Expressive Culture,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in African Languages,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in African Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in American Experience,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in American Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Animal Behavior,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Anthropology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Anthropology of Food,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Apparel Merchandising,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Archaeology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Art History,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Asian American Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Astronomy and Astrophysics,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Biology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Biotechnology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Black Cinema and Media Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Business,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Central Eurasian Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Chemistry,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Child and Adolescent Mental Health,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Classical Civilization,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Coaching,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Cognitive Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Communication and Public Advocacy,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Community Visual Arts Education,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Computer Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Counseling,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Creative Technologies in Art + Design,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Creative Writing,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Criminal Justice,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Dance,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Dutch Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Early Childhood Education,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in East Asian Languages,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in East Asian Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Economics,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Education Policy,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Educational Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in English,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Environmental and Sustainability Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Environmental Health,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Epidemiology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in European Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Event Planning,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Exercise Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Fashion Design,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Film Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Fitness Instruction,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Folklore and Ethnomusicology,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in French,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Game Design,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Gender Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Geography,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Geographic Information Systems and Remote Sensing,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Geological Sciences,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in German,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Germanic Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Global Health Promotion,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Global Media,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Greek,https://www.iu.edu/academics/degrees/all-majors-degrees.html
"Minor in Health, Identity, and Social Justice",https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Healthy Aging,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Hebrew,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Higher Education and Student Affairs,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in History,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in History and Philosophy of Science,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Hospitality Services,https://www.iu.edu/academics/degrees/all-majors-degrees.html
Minor in Human Development and Family Studies,https://www.iu.edu/academics/degrees/all-majors-degrees.html
