Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Science in Public Affairs,,,,,Undergraduate,Fall 2026,,,"February 1, 2026",Not Required,Not Required,Not Required,Required,"To be considered for the Bachelor of Science in Public Affairs, applicants must first apply to Indiana University Bloomington and indicate a major within the O'Neill School of Public and Environmental Affairs on their application. [14] The university accepts either the Apply IU Application or the Common Application. [8] A required component of the application is an IU-specific essay of 200-400 words describing the applicant's academic and career plans. [8] Admission to the O'Neill School is competitive and decisions are made on a case-by-case basis through a holistic review that considers the applicant's academic record, the quality of their application essay(s), and other activities and achievements. [14]",Not Required,,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,O'Neill School of Public and Environmental Affairs,"Estimated tuition and mandatory fees for the 2026–2027 academic year are $12,142 for Indiana residents and $42,702 for non-residents. [1]",,,,,,"['Environmental Management', 'Human Resource Management', 'Law and Public Policy', 'Management', 'Nonprofit Management and Leadership', 'Policy Analysis', 'Public Financial Management', 'Public Management and Leadership']","Whether you're interested in launching a career on Capitol Hill, learning how to manage and motivate people, or protecting the planet, a Bachelor of Science in Public Affairs (BSPA) degree equips you with the skills to make a difference. With the O'Neill School's core public affairs coursework, you'll study the basics of policymaking, budgeting, and finance. You'll also pick a major and develop leadership and analytical skills that can be applied to your specific area of interest.",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,,,False,,4,2,,,,,,,,,,,"Indiana residents: $12,142, Nonresidents: $42,702 for the 2026-2027 academic year. [1]",,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79,,,,,,,,,,,"The IU Foundation offers scholarships typically ranging from $1,000 to $2,000 annually. [14] The O'Neill School provides scholarships with award amounts between $500 and $15,000 per year. [25]",,"Merit-based and need-based scholarships are available. [8, 10]",,,,,,,
,Bachelor of Science in Environmental Science,,,,,Undergraduate,Fall 2026,,2025-08-01,,Not Required,Not Required,Not Required,Required,"To apply to Indiana University, applicants must be on track to earn an accredited high school diploma or equivalent. [1] The application for admission requires an essay. [8] General application requirements include the online application, academic records, and an application fee. [7]",Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,O'Neill School of Public and Environmental Affairs and College of Arts + Sciences,,,,,,,,"With a major in Environmental Science through a Bachelor of Science in Environmental Science (BSES) degree, you will study the environment and look for solutions to pressing environmental problems. You'll also have opportunities to study abroad in places like South Korea, South Africa, Portugal, and Costa Rica. The BSES is a joint degree program between the O'Neill School of Public and Environmental Affairs and the College of Arts + Sciences—to offer you a selection of courses on a wide range of environmental topics, taught by over 40 faculty and instructors across Indiana University. You'll follow an interdisciplinary approach, gaining knowledge and tools from the traditional sciences, such as biology, chemistry, geology, hydrology, mathematics, meteorology, and physics. [5] Many of the courses include field and laboratory work, providing valuable hands-on experience, and demonstrating the applied nature of environmental science. [5]",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,,,True,,4.0,2.0,,306,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,56.0,,80,,,,,,,,,,,500-15000,,"Merit-based, Need-based, Underrepresented populations",,,,,,,
,Bachelor of Arts in Environmental and Sustainability Studies,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"To apply for the Bachelor of Arts in Environmental and Sustainability Studies, prospective students must apply for undergraduate admission to Indiana University. The program is a joint degree between the O'Neill School of Public and Environmental Affairs and the College of Arts and Sciences. For specific admission information, prospective students are advised to contact the BAESS advisor. [8] General application is done through the Common Application.",Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Arts and Sciences and the O'Neill School of Public and Environmental Affairs. [25],,,,,,,"['sustainable food systems', 'sustainable energy and resources', 'environmental ethics and justice', 'biodiversity and sustainability', 'an individualized concentration']","If sustainability, human-environment interactions, sustainable food systems, and environmental ethics topics intrigue you, a Bachelor of Arts in Environmental and Sustainability Studies (BAESS) degree—which is also a major in environmental and sustainability studies—will give you the opportunity to study these subjects and more. [1] With a BAESS, you will gain a broad overview of environmental sustainability problems and the tools needed to address these issues. [1] You'll also have opportunities to explore sustainability globally by studying abroad in places like South Africa, Portugal, or Costa Rica. [1] The Bachelor of Arts in Environmental and Sustainability Studies is an interdisciplinary, liberal-arts degree designed to provide an introduction to the complex system-scale challenges of sustainability as well as the tools needed to address problems that transcend solely social or environmental domains. [4] Students pursuing this degree can expect to integrate experience in the humanities with the natural and social sciences. [4] The major offers the opportunity to develop skills in communication and creative expression, data collection and analysis, environmental science, and economics. [4]",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,,,False,,4,2,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79,,,,,,,,,,,,,,,,,,,,
,Bachelor of Science in Arts Management,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,,"To be considered for admission to Indiana University Bloomington, all applicants must have an accredited high school diploma or its equivalent. [5] While there's no set minimum GPA, the majority of admitted students have a GPA between 3.5 and 4.0. [2] The university takes a holistic approach, considering factors like the rigor of high school coursework, extracurricular activities, and a required personal essay that provides insight into your academic and personal goals. [1, 2] Letters of recommendation are also encouraged. [2]",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,O'Neill School of Public and Environmental Affairs,,,,,,,,"Study the behind-the-scenes elements of the arts world, including arts marketing, finance, nonprofit management, and law. You'll learn the fundamentals of running an arts organization while specializing in a specific arts area tailored to your interests and career goals. You'll also have opportunities to explore global approaches to arts management by studying abroad in places like Switzerland, Scotland, or the Netherlands. You'll complete an internship in the area you're studying—whether that's with a record label in Nashville or at a museum in the nation's capital—and graduate with real-world experience and a head start on your career. [1]",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,,,False,,4,2.3,,,,,,,,,,,"In-State: $12,142/year, Out-of-State: $42,294/year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based scholarships such as the O'Neill Scholars Award and the Boch Family Scholarship are available.,,,,,,,
,Bachelor of Science in Healthcare Management and Policy,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"General admission to Indiana University is the first step. For direct admission to the O'Neill School, which houses the program, incoming freshmen can be admitted with a 3.3 high school GPA (test-optional). Alternatively, students with a 3.0 high school GPA and an SAT score of 1000+ or an ACT composite score of 21 can be directly admitted. [4] Students who do not meet these criteria are admitted to University College and can transfer to O'Neill after their first semester if they have declared an O'Neill major and earned a 2.0 cumulative GPA. [4]",Not Required,,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,,,,O'Neill School of Public and Environmental Affairs,"$12,144 for in-state students and $41,891 for out-of-state students for the 2024-25 academic year.",,,,,,,"Study the complex economic and political factors affecting an issue that is critical to all of us—our health. In the Bachelor of Science in Healthcare Management and Policy program, you'll be taught by nationally known faculty as well as practitioners who understand the issues firsthand: Learn healthcare law from practicing attorneys, long-term care from the administrator of a 300-bed facility, and strategic planning from a hospital CEO. You'll graduate with the leadership skills necessary to ensure people have access to the health services they need—and the analytical skills to reform healthcare from the inside out. [5]",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,"$392 per credit hour for in-state undergraduates, $1,112 per credit hour for out-of-state students.",,False,,4.0,,80%,306,,,,,,,,,,,,,,,,False,False,,,130.0,,,,7.5,,,68.0,,100,,,,,,,,,,,1000,,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Accounting,,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,Required,"To be considered for direct admission to the Kelley School of Business for a Bachelor of Science in Accounting, first-year applicants must submit their IU Bloomington application by the November 1 early action deadline, indicating a Kelley business major. [1] Applicants must also complete the Kelley Prospect Inventory (KPI) through the IU Admissions Portal. [1] There are no automatic criteria for direct admission; all applicants who submit the KPI will undergo a comprehensive academic review that considers factors such as high school performance, the rigor of high school coursework, academic achievements, and potential for success at the Kelley School. [1]",Not Required,,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,"Year after year, the Kelley School's Bachelor of Science in Business (B.S.B.) in Accounting is ranked one of the best programs in the nation. In fact, U.S. News & World Report Best Undergraduate Business Programs 2024 ranks this program at No. 4. This degree could be a great fit for students who enjoy math, are skilled communicators, and a good at solving problems. With an undergraduate degree from the Kelley School of Business, you'll be able to: analyze and interpret the economic, social, political, legal, cultural, and technological influences that drive the global economy, evaluate a region or nation for business investment or expansion, and develop a comprehensive knowledge base in each essential division of business and understand the important relationships among finance, marketing, operations, and leadership. In addition, accounting majors acquire the tools for intelligent analysis, planning, control, and decision-making. Students learn to address the oral and written skills accounting professionals need in order to be effective team members and serve clients well.",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,,,False,,,,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,79,,,,,,,,,,,,,,,,,,,,
,Bachelor of Science in Business,,,,,Undergraduate,Fall 2026,,August 2025,,Not Required,Required,Not Required,Required,"To apply for freshman admission at Indiana University, prospective students must submit an application via the Common Application or the Apply IU application. As part of the application, an essay is required. Indiana University has a test-optional policy, which allows applicants to choose whether their SAT or ACT scores will be considered in the admission review process.",Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False,,,,Kelley School of Business,"The estimated tuition and mandatory fees for the 2026–2027 academic year are $12,142 for Indiana residents and $42,702 for nonresidents. [26]",,,,,,"[{'campus': 'IU Columbus', 'concentrations': ['Accounting', 'Finance', 'Management', 'Marketing']}, {'campus': 'IU Southeast', 'concentrations': ['General Business']}, {'campus': 'IU Bloomington (Kelley School of Business)', 'concentrations': ['Management']}, {'campus': 'IU Northwest', 'concentrations': 'Students focus their advanced coursework in an area of concentration that matches their career interests.'}]","The Indiana University Bachelor of Science (BS) in Business degree is a professional program designed to provide students with a broad foundation in the functional areas of business before they build on this foundation with a deeper investigation into key business areas. [2, 7] The curriculum includes courses in the arts, sciences, and humanities as part of the general education requirements. [2] Students will gain knowledge in core business disciplines such as economics, human resources, international business, commercial law, new venture creation, and consumer behavior. [7] The program at IU Online, for instance, provides a broad foundation in high-demand fields like economics, management, quantitative business analysis, finance, marketing, and information systems. [11] At IU Southeast, the general business concentration offers a comprehensive understanding of fundamental business concepts spanning finance, marketing, management, and operations. [18] The program at IU Northwest starts with a broad foundation and then allows students to focus their advanced coursework in a concentration that aligns with their career interests. [2]",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,"The business schools at Indiana University, including the Kelley School of Business (Bloomington and Indianapolis), the School of Business and Economics at IU Northwest, and the School of Business at IU Southeast, are accredited by AACSB International (The Association to Advance Collegiate Schools of Business). [1, 2, 7] This accreditation is considered the highest standard of achievement for business schools worldwide. [1, 14]",,"Indiana University utilizes a flat-rate tuition for full-time undergraduate students, covering up to 40 credit hours across the fall and spring semesters. [26] Therefore, a specific cost per credit is not the standard for full-time enrollment.",,,,4.0,3.0,,,,,,,,,,,"For the 2026–2027 academic year, the estimated annual direct cost for an undergraduate student, including tuition, mandatory fees, housing, and food, is $26,540 for Indiana residents and $57,100 for nonresidents. [26]",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Jaguar Excellence Awards for direct-admit students at the IU Indianapolis campus range from $1,000 to $5,000 per year. [21] STEM-based scholarships for some students are available up to $15,000 for in-state students and up to $25,000 for out-of-state students. [14]",,Merit-based and need-based scholarships are available. [21],,,,,,,
,Bachelor of Arts in African American & African Diaspora Studies/Religious Studies,,,,,Associate,Fall 2026,,"Applications for the fall semester typically open in the early fall of the preceding year. For example, the application season for Fall 2026 was underway by October 2025.","The regular decision deadline for Fall 2026 is February 1, 2026. The early action (non-binding) deadline is November 1 of the preceding year.",Not Required,Not Required,Not Required,,"To be considered for admission, you'll need to submit your online application and all required materials. These materials include:

* The Apply IU application or the Common Application
* The IU-specific questions and essay
* Your self-reported high school grades
* An application fee or fee waiver",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,"For the 2026–2027 academic year, the estimated full-time undergraduate tuition and mandatory fees are $12,142 for Indiana residents and $42,702 for non-residents. [9]",,,,,,,"The Departments of African American and African Diaspora Studies (AAADS) and Religious Studies offer an interdepartmental major that allow you to explore and examine the intersection of religion and its influences in African American life and culture. [1] Foundational courses in both departments give students a strong base knowledge of global religious traditions and ideas, and the historical, cultural, and artistic contributions and influences of people of African descent. [1] While students split their time between the two different departments, their course selection weaves together an understanding of how and why religion plays the part that it does in African American history, art, politics and culture. [1] Graduates from the AAADS and Religious Studies interdepartmental major successfully pursue careers in law, education, criminal justice, politics, business, community organizing, and the non-profit sector. [1] These students often seek out graduate programs in areas such as African American studies, religious studies, law, seminary, and business school. [1]",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,"For undergraduate students in the College of Arts and Sciences, the cost per credit hour is approximately $392 for in-state residents and $1,112 for out-of-state residents.",,False,,4,,,,,,,,,,,,"For the 2026–2027 academic year, the estimated full-time undergraduate tuition and mandatory fees are $12,142 for Indiana residents and $42,702 for non-residents. [9]",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana University offers academic and merit-based scholarships. Some scholarships are also country-specific for international students. [5, 14]",,,,,,,
,Bachelor of Arts in African American & African Diaspora Studies/English,,,,,Associate,Fall 2026,,2025-08-01,2025-11-01,Not Required,Not Required,Not Required,Required,"To apply, students must use the Apply IU application or the Common App. [15] Admission to Indiana University Bloomington is holistic and based on a variety of factors. The primary emphasis is placed on a student's grades and the rigor of their high school coursework (such as AP, IB, or dual-credit courses). [2] Other factors considered include the application essay, extracurricular activities, and other achievements. [2] Applicants must be on track to earn a diploma from an accredited high school or an equivalent like the Indiana High School Equivalency Diploma. [10]",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,,,,,,,,"An interdepartmental major in African American and African Diaspora Studies and English enables you to study historical, cultural, and social connections among Africans, African Americans, and other New World Black communities. [1] In pursuing this major, you study poetry, fiction, and prose—theory, philosophy, and political writings—while exploring the shifting significance of race. [1] Both English and AAADS offer a diverse array of elective options. Faculty in both departments represent a wide variety of interests and disciplines. [1]",,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,,,False,,4,2,,306,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in African American & African Diaspora Studies/History,,,,,Associate,Fall 2026,,August 2025,"February 1, 2026",Not Required,Required,Not Required,Required,"Application for undergraduate admission to Indiana University is handled centrally through the Office of Admissions and is not specific to the Bachelor of Arts in African American & African Diaspora Studies/History. Prospective students must complete an online application, such as the Common Application, and submit a non-refundable application fee or qualify for a fee waiver. A key component of the application is a personal essay of 200–400 words. Additionally, an official high school transcript is required. Indiana University has a test-optional policy, meaning applicants can choose whether or not to submit SAT or ACT scores for consideration in the admissions process.",Not Required,,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Arts and Sciences,"$42,702/Year",,,,,,,,,https://www.iu.edu/academics/degrees/all-majors-degrees.html,,,,,False,,4.0,2.0,,,,,,,,,,,"$42,702/Year",,,,,,,False,False,,,110.0,112.0,,,6.5,,,58.0,,79,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
