QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Arts and Science,,4.0,2.0,,,,,"$32,660/Semester for full-time students (12-18 points)",,"$2,178/Point",,,"Merit-based, Need-based",4 years,"$32,660/Semester for full-time students (12-18 points)",Bachelor of Arts in Africana Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/africana-studies-ba/africana-studies-ba.pdf
,College of Arts and Science,,4.0,2.0,,,,,"$31,586/Semester",,"$2,631/Credit",,,"Merit-based, Need-based",4 years,,Bachelor of Arts in American Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/american-studies-ba/
,Arts & Science,,4.0,2.0,,,,,"$30,730/Semester",,"$2,100/Credit",,,,4 years,,Bachelor of Arts in Anthropology,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-ba/
,College of Arts and Science,,4.0,2.0,,,,,,,,,,,4 years,,Bachelor of Arts in Anthropology and Classical Civilization,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-classical-civilization-ba/
,College of Arts and Science,,4.0,2.0,,,,,,,,,,,4 years,,Bachelor of Arts in Anthropology and Linguistics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-linguistics-ba/anthropology-linguistics-ba.pdf
,College of Arts and Science,,4.0,2.0,8%,,,,"$62,094/Year",,"$2,070 per credit",,,"Need-based, Merit-based, Global",4 Years,"$62,094/Year",Bachelor of Arts in Art History,https://as.nyu.edu/departments/arthistory/programs/undergraduate/art-history.html
,College of Arts and Science,,,2.0,,,,,,,,,,,4 years,,Bachelor of Arts in Art History and Classics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/classics-art-history-ba/classics-art-history-ba.pdf
,College of Arts and Science,,4.0,2.0,,,,,,,,,,"Merit-based, Need-based",,,Bachelor of Arts in Asian/Pacific/American Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/asian-pacific-american-studies-ba/asian-pacific-american-studies-ba.pdf
,College of Arts and Science,,4.0,2.0,,,,,"$30,280/Semester or $60,560/Year",,"$2,525/unit",,,"Merit-based, Need-based",4 years,"$30,280/Semester or $60,560/Year",Bachelor of Arts in Biochemistry,https://bulletins.nyu.edu/undergraduate/arts-science/programs/biochemistry-ba/biochemistry-ba.pdf
,College of Arts and Science,,4.0,2.0,,,,,,,,,,"Need-based, Merit-based, Federal Pell Grants, Federal Supplemental Educational Opportunity Grants, Federal Work-Study, Federal Perkins Loans, Federal Direct Subsidized and Unsubsidized Loans",,,Bachelor of Arts in Biology,https://bulletins.nyu.edu/undergraduate/arts-science/programs/biology-ba/
,Arts & Science,,4.0,2.0,,,,,"$2,364/Semester",,"$2,100/Credit",,,"Federal Aid, State Aid, Merit-based, NYU Grants",4 years,"$31,500/Semester",Bachelor of Science in Biology,https://as.nyu.edu/departments/biology/academics/undergraduate.html
,College of Arts and Science,,4.0,2.0,,,,,,,,,,,,,Bachelor of Arts in Chemistry,https://bulletins.nyu.edu/undergraduate/arts-science/programs/chemistry-ba/chemistry-ba.pdf
,College of Arts and Science,,4.0,2.0,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in Chemistry,https://bulletins.nyu.edu/undergraduate/arts-science/programs/chemistry-bs/chemistry-bs.pdf
,Tisch School of the Arts,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in Cinema Studies,https://en.wikipedia.org/wiki/New_York_University_Tisch_School_of_the_Arts
,College of Arts and Science,,4.0,2.0,,,,,,,,,,,4 years,,Bachelor of Arts in Classical Civilization,https://bulletins.nyu.edu/undergraduate/arts-science/programs/classical-civilization-ba/classical-civilization-ba.pdf
,College of Arts and Science,,4.0,2.0,,,,,,,,,,,,,Bachelor of Arts in Classics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/classics-art-history-ba/classics-art-history-ba.pdf
,College of Arts and Science,,4.0,2.0,,,,,30964/Semester,,2060/Credit,,,"Merit-based, Need-based",4 years,30964/Semester,Bachelor of Arts in Comparative Literature,https://bulletins.nyu.edu/undergraduate/arts-science/programs/comparative-literature-ba/comparative-literature-ba.pdf
,College of Arts and Science,,4.0,2.0,,,,,,,,,,"Institutional, federal, and state grants and scholarships",4 years (8 terms),,Bachelor of Arts in Computer Science,https://cs.nyu.edu/
,Tandon School of Engineering,,4.0,2.0,,Fall 2026,,,"$30,964/Semester","$39,267 (average financial aid award for 2022-2023 academic year)",,,,"Merit-based, Need-based (Federal Aid, State Aid, NYU Grants), Private Scholarships",4 years,"$30,964/Semester",Bachelor of Science in Computer Science,https://engineering.nyu.edu/academics/programs/computer-science-bs
