Program name,Program Page url
Bachelor of Arts in Africana Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/africana-studies-ba/africana-studies-ba.pdf
Bachelor of Arts in American Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/american-studies-ba/
Bachelor of Arts in Anthropology,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-ba/
Bachelor of Arts in Anthropology and Classical Civilization,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-classical-civilization-ba/
Bachelor of Arts in Anthropology and Linguistics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-linguistics-ba/anthropology-linguistics-ba.pdf
Bachelor of Arts in Art History,https://as.nyu.edu/departments/arthistory/programs/undergraduate/art-history.html
Bachelor of Arts in Art History and Classics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/classics-art-history-ba/classics-art-history-ba.pdf
Bachelor of Arts in Asian/Pacific/American Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/asian-pacific-american-studies-ba/asian-pacific-american-studies-ba.pdf
Bachelor of Arts in Biochemistry,https://bulletins.nyu.edu/undergraduate/arts-science/programs/biochemistry-ba/biochemistry-ba.pdf
Bachelor of Arts in Biology,https://bulletins.nyu.edu/undergraduate/arts-science/programs/biology-ba/
Bachelor of Science in Biology,https://as.nyu.edu/departments/biology/academics/undergraduate.html
Bachelor of Arts in Chemistry,https://bulletins.nyu.edu/undergraduate/arts-science/programs/chemistry-ba/chemistry-ba.pdf
Bachelor of Science in Chemistry,https://bulletins.nyu.edu/undergraduate/arts-science/programs/chemistry-bs/chemistry-bs.pdf
Bachelor of Arts in Cinema Studies,https://en.wikipedia.org/wiki/New_York_University_Tisch_School_of_the_Arts
Bachelor of Arts in Classical Civilization,https://bulletins.nyu.edu/undergraduate/arts-science/programs/classical-civilization-ba/classical-civilization-ba.pdf
Bachelor of Arts in Classics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/classics-art-history-ba/classics-art-history-ba.pdf
Bachelor of Arts in Comparative Literature,https://bulletins.nyu.edu/undergraduate/arts-science/programs/comparative-literature-ba/comparative-literature-ba.pdf
Bachelor of Arts in Computer Science,https://cs.nyu.edu/
Bachelor of Science in Computer Science,https://engineering.nyu.edu/academics/programs/computer-science-bs
Bachelor of Arts in Data Science,https://bulletins.nyu.edu/undergraduate/arts-science/programs/data-science-ba/
"Bachelor of Arts in Dramatic Literature, Theatre History, and Cinema",https://bulletins.nyu.edu/undergraduate/arts-science/programs/dramatic-literature-theatre-history-cinema-ba/dramatic-literature-theatre-history-cinema-ba.pdf
Bachelor of Arts in East Asian Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/east-asian-studies-ba/east-asian-studies-ba.pdf
Bachelor of Arts in Economics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/economics-ba/economics-ba.pdf
Bachelor of Arts in Economics and Computer Science,https://bulletins.nyu.edu/undergraduate/arts-science/programs/economics-computer-science-ba/
Bachelor of Arts in Economics and Mathematics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/economics-mathematics-ba/
Bachelor of Science in Engineering,https://engineering.nyu.edu/academics/programs
Bachelor of Arts in English,https://bulletins.nyu.edu/undergraduate/arts-science/programs/english-american-literature-ba/english-american-literature-ba.pdf
Bachelor of Arts in Environmental Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/environmental-studies-ba/environmental-studies-ba.pdf
Bachelor of Arts in European and Mediterranean Studies,https://www.nyu.edu/admissions/undergraduate-admissions/majors-and-programs.html
Bachelor of Arts in French,https://bulletins.nyu.edu/undergraduate/arts-science/programs/french-linguistics-ba/french-linguistics-ba.pdf
Bachelor of Arts in French and Linguistics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/french-linguistics-ba/
Bachelor of Arts in Gender and Sexuality Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/gender-sexuality-studies-ba/gender-sexuality-studies-ba.pdf
Bachelor of Arts in German,https://bulletins.nyu.edu/undergraduate/arts-science/programs/german-ba/german-ba.pdf
Bachelor of Arts in German and Linguistics,https://bulletins.nyu.edu/undergraduate/arts-science/programs/german-linguistics-ba/german-linguistics-ba.pdf
Bachelor of Arts in Global Public Health,https://bulletins.nyu.edu/undergraduate/arts-science/programs/global-public-health-history-ba/global-public-health-history-ba.pdf
Bachelor of Science in Global Public Health,https://steinhardt.nyu.edu/degree/bs-global-public-health-nutrition-and-dietetics
Bachelor of Arts in Hebrew and Judaic Studies,https://as.nyu.edu/departments/hebrewjudaic/undergraduate.html
Bachelor of Arts in Hellenic Studies,https://bulletins.nyu.edu/undergraduate/arts-science/programs/hellenic-studies-ba/
