QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,"Mitchell E. Daniels, Jr. School of Business",,4.0,2.0,,Fall 2026,,,,,,,,,4 years,,"Accounting, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,College of Liberal Arts,,4.0,2.0,,Fall 2026,,,"$9,992/Year (Resident), $28,794/Year (Non-resident)",,"$347.85 (Resident), $948.30 (Non-resident)",,,"Talent, Academic achievement, and/or Financial need",4 years,"$9,992/Year (Resident), $28,794/Year (Non-resident)","Acting, BFA",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,College of Science,,4.0,2.0,,,,,"$9,992/Year (Resident), $28,794/Year (Non-Resident)",,"Resident: $347.85, Non-Resident: $948.30",,,"Merit-based, Need-based",4 years,"$9,992/Year (Resident), $28,794/Year (Non-Resident)","Actuarial Science, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,Purdue Polytechnic Institute,,4.0,2.0,,Fall 2026,,,"$5,287.50/Semester",,$329.05,,,,12-13 credit hours,"$5,287.50/Semester",Advanced Global Technology Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,School of Aeronautics and Astronautics,,4.0,2.0,,Fall 2026,,,"$9,992/Year (Resident)",,$329.05,,,Merit-based and Need-based,4 years,"$9,992/Year (Resident)","Aeronautical and Astronautical Engineering, BSAAE",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,Purdue Polytechnic Institute,,4.0,2.0,,Fall 2026,,,"$10,564/Year",,$329.05,,,,4 Years,"$10,564/Year","Aeronautical Engineering Technology, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,Purdue Polytechnic Institute,,4.0,2.0,,Fall 2026,,,,,,,,,4 years,,"Aerospace Financial Analysis, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,Department of Aerospace Studies,,,,,,,,,,,,,,,,Aerospace Studies Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,College of Liberal Arts,,4.0,,,,,,,,,,,,,,African American Studies Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,College of Liberal Arts,,4.0,2.0,,Fall 2026,,,"Indiana Resident: $4,996.00/Semester; Non-Resident: $14,397.00/Semester",,Indiana Resident: $329.05; Non-Resident: $948.30,,,"Merit-based, Need-based",4 years,"Indiana Resident: $4,996.00/Semester; Non-Resident: $14,397.00/Semester","African American Studies, BA",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,College of Agriculture,,4.0,2.0,,Fall 2026,,,"$28,802/Year",,$929.05,,,,4 years,"$28,802/Year","Agribusiness, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,College of Agriculture,,4.0,2.0,,Fall 2026,,,"$9,992/Year (Resident), $28,794/Year (Non-resident)",,"$329.05 (Resident), $948.30 (Non-resident)",,,Merit-based and Need-based,4 years,"$9,992/Year (Resident), $28,794/Year (Non-resident)","Agricultural Communication, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,College of Agriculture,,4.0,2.0,,Fall 2026,,,,,,,,Merit-based and need-based,4 years,,"Agricultural Economics, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
,College of Agriculture,,4.0,2.5,,Fall 2026,,,"$9,992/Year (In-state), $28,794/Year (Out-of-state)",,"$348.10/credit hour (In-state), $948.30/credit hour (Out-of-state)",,,Merit-based and Need-based,4 years,"$9,992/Year (In-state), $28,794/Year (Out-of-state)","Agricultural Education, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
