Program name,Program Page url
"Accounting, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Acting, BFA",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Actuarial Science, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
Advanced Global Technology Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Aeronautical and Astronautical Engineering, BSAAE",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Aeronautical Engineering Technology, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Aerospace Financial Analysis, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
Aerospace Studies Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
African American Studies Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"African American Studies, BA",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Agribusiness, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Agricultural Communication, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Agricultural Economics, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Agricultural Education, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Agricultural Engineering, BSAGE",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
Agricultural Systems Management Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Agricultural Systems Management, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Agronomy, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Air Traffic Control, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
Airframe and Powerplant Maintenance Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Airline Management and Operations, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
American Studies Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"American Studies, BA",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
Animal Science Minor,https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Animal Sciences, BS",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
"Animation and Visual Effects, BA",https://catalog.purdue.edu/content.php?catoid=14&navoid=16929
