Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Not Required,"To apply, students must submit an online application (either the SUNY Application or the Common Application) and an official high school transcript. A letter of recommendation is optional but recommended. Test scores (SAT/ACT) are optional.",Not Required,True,False,False,False,False,,,program,Accounting Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,Students who wish to minor in accounting must contact the department chair and file a 'Declaration of Minor' form in the Office of Academic Advisement. All students who wish to minor in accounting must complete the following courses with a minimum grade of C. Required Courses (6 credits): ACC 281 Principles of Financial Accounting; ACC 282 Principles of Managerial Accounting. Upper-Division Accounting Electives (12 credits).,Not Required,True,False,False,False,False,,,program,Accounting Minor,https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,"Prospective first-year students can apply using either the SUNY Application or the Common Application. Required application materials include the application and an official high school transcript. Other materials, such as letters of recommendation and a personal essay, are optional but strongly encouraged. SUNY Brockport is test-optional and does not require SAT or ACT scores for admission.",Not Required,True,True,True,False,False,,,program,Actuarial and Data Science Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Adapted Physical Education (Concentration),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Addictions & Behavioral Health Major,https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"This minor consists of 18 credits, 9 of which must be taken at SUNY Brockport. A grade of “C” or better must be earned in all minor courses.",Not Required,True,False,False,False,False,,,program,Addictions & Behavioral Health Minor (non-clinical),https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Adolescence Education: Biology (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Required,"Freshman applicants must submit a completed application (SUNY Application or Common Application), an official high school transcript, a letter of recommendation, and a personal essay/statement. SUNY Brockport is test-optional, meaning students have the choice to submit SAT or ACT scores.",Not Required,True,True,True,False,False,,,program,Adolescence Education: Biology with Students with Disabilities Certification (BS),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Required,"To apply to SUNY Brockport as a first-year student, you will need: a completed application (SUNY Application or Common Application), an official high school transcript, and an essay or personal statement. SUNY Brockport is test-optional, so you can choose whether or not to submit SAT or ACT scores. One letter of recommendation from a teacher or school counselor is optional but highly encouraged.",Not Required,True,False,True,False,False,,,program,Adolescence Education: Chemistry (BS),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Required,"Prospective students must submit a completed SUNY Application or Common Application, an official high school transcript, and an essay/personal statement. A letter of recommendation is optional but encouraged. Standardized test scores (SAT/ACT) are optional.",Not Required,True,False,True,False,False,,,program,Adolescence Education: Chemistry with Students with Disabilities Certification (BS),https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Adolescence Education: Earth Science (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Required,"To apply as a first-year student, you’ll need to submit the following: a completed SUNY Application or Common Application, an official high school transcript, and a personal essay/statement. A letter of recommendation is optional but encouraged. SUNY Brockport is test-optional; SAT/ACT scores are not required for admission.",Not Required,True,False,True,False,False,,,program,Adolescence Education: Earth Science with Students with Disabilities Certification (BS),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Required,"Admission to the College at Brockport does not guarantee admission to the teacher education program. To be eligible for admission to the adolescence inclusive generalist teacher certification program, students must have an overall Brockport GPA of 3.0 or higher. Students should declare their major in adolescence education and the content area as early as possible to receive appropriate advisement.",Not Required,True,False,False,False,False,,,program,Adolescence Education: English Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,"Students can apply using the SUNY Application or Common Application. We’ll need your official high school transcript(s) sent directly from your school. If you've taken any college-level coursework, we will need those official transcripts as well. A letter of recommendation and personal essay/statement are optional, but encouraged. SUNY Brockport is test-optional, which means you can choose whether or not to submit SAT or ACT scores as part of your application.",Not Required,True,False,False,False,False,,,program,Adolescence Education: English with Students with Disabilities Certification Program (BS),https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Adolescence Education: History and Social Studies Major (BA / BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"Admission to the University does not guarantee admission to the Adolescence Inclusive Generalist Education program. Students who meet the following requirements may apply for admission to the adolescence inclusive generalist teacher certification program:
1. Complete an application for admission to the teacher education program.
2. Have a cumulative GPA of 3.0 or higher.
3. Have completed the following courses with a grade of C or higher: EDI 431 Teaching & Learning in the Inclusive Classroom; PRO 370 Health & Drug Education for Teacher Candidates; One general education writing course.
4. Submit documentation of 50 clock hours of experience working with children or adolescents.
5. Submit a Disposition Form.",Not Required,True,False,False,False,False,,,program,Adolescence Education: History and Social Studies with Students with Disabilities Certification Major (BA / BS),https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Adolescence Education: Mathematics (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Adolescence Education: Mathematics with Students with Disabilities Certification Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Adolescence Education: Physics Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Adolescence Education: Physics with Students with Disabilities Certification Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"Students intending to major in Adolescence Spanish Education should declare the major as early as possible, usually upon completion of the language prerequisite of SPN 212. To be admitted to the major, students must meet the following requirements:

1. Completion of a minimum of 36 college credits.
2. A minimum cumulative Brockport GPA of 2.5.
3. Completion of SPN 350 and SPN 351 with a minimum grade of ""C.""
4. Completion of ENL 112 with a minimum grade of ""C.""
5. A minimum content area GPA of 2.75 in all required Spanish coursework taken to date.",Not Required,True,False,False,False,False,,,program,Adolescence Education: Spanish (BS),https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Adolescence Education: Spanish with Students with Disabilities Certification Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,"African and African-American Studies Major (BA, BS)",https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To declare a minor in African and African-American Studies, contact the department chair.",Not Required,True,False,False,False,False,,,program,African and African-American Studies Minor,https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,Aging Studies Interdisciplinary Minor,https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,"Applicants must submit a completed application using either the SUNY Application or the Common Application, along with an official high school transcript. Standardized test scores (SAT/ACT), a letter of recommendation, and an essay/personal statement are optional and not required for a complete application.",Not Required,True,False,False,False,False,,,program,"Anthropology Major (BA, BS)",https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Anthropology Minor,https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Art History Minor,https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,"Art Major (BA, BS)",https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Required,"Admission into the BFA program is by application and portfolio review only. Students who have completed the foundations coursework (or who are concurrently enrolled in the remaining foundations courses) and who have an overall GPA of 2.5 and a GPA of 3.0 in Art are eligible to apply. The application requires a portfolio of 12-15 images, an artist statement of 300 words, an unofficial transcript, and two letters of recommendation from faculty.",Not Required,True,False,False,False,False,,,program,Art Major (BFA),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,"A minimum of 18 credits in studio art is required for the minor. Nine credits must be taken in residence at SUNY Brockport. A grade of C or higher is required in all courses for the minor. The student and the minor coordinator will design a coherent program to fit the student’s interests and goals.

Required Courses (9 credits)
ARS 211 Drawing I (3 credits)
ARS 221 Two-Dimensional Design (3 credits)
ARS 231 Three-Dimensional Design (3 credits)

Electives (9 credits)
Choose 9 credits from ARS courses at the 300/400 level.",Not Required,True,False,False,False,False,,,program,Art-Studio Minor,https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Biochemistry Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To apply, applicants must submit a completed application (either the SUNY Application or the Common Application) and an official high school transcript. SAT/ACT scores and one letter of recommendation are optional for freshman applicants. An essay is strongly encouraged.",Not Required,True,True,True,False,False,,,program,"Biology Major (BA, BS)",https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,Students wishing to declare a minor in biology must fill out the 'Undergraduate Program Declaration Form' online. Must be in good academic standing (GPA 2.0 or higher).,Not Required,True,False,True,False,False,,,program,Biology Minor,https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,,Not Required,True,False,True,False,False,,,program,Broadcast Meteorology Minor,https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Business Administration Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To be admitted to the program, a student must have:
- Completed a minimum of 24 college credits
- Achieved a cumulative GPA of 2.5 or higher
- Completed the following four prerequisite courses with a C or better:
    - Financial Accounting
    - Managerial Accounting
    - Microeconomics
    - Statistics",Not Required,True,False,False,False,False,,,program,Business Administration Online Degree Completion Program (BS),https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Business Minor,https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To be considered for admission to the Chemistry major, you must meet the general admission requirements for SUNY Brockport. First-year students must submit an application (either the SUNY Application or the Common Application) and an official high school transcript. Letters of recommendation and SAT/ACT scores are optional.",Not Required,True,False,True,False,False,,,program,Chemistry Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,"To be considered for admission, applicants must submit a completed application (SUNY Application or Common Application) and official high school transcript(s). Letters of recommendation and a personal essay are optional but strongly encouraged. SUNY Brockport is a test-optional institution, so SAT/ACT scores are not required for admission. Admission to the major itself requires students to earn a grade of C or higher in CHM 205 and CHM 206 and obtain permission from the department after enrolling at the university.",Not Required,True,False,True,False,False,,,program,"Chemistry Major with ACS Certification (BA, BS)",https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Chemistry Minor,https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Childhood Inclusive Education Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Climate Studies Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,"Students intending to complete this minor must meet with an advisor in the Department of Kinesiology, Sport Studies and Physical Education to declare the minor and plan a course of study.",,True,False,False,False,False,,,program,Coaching Minor,https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,"To apply for freshman admission, please submit the following: Completed application (SUNY Application or Common Application); Official high school transcript(s); Official college transcript(s), if applicable. SUNY Brockport is test-optional for undergraduate applicants.",Not Required,True,False,False,False,False,,,program,"Communication Studies Major (BA, BS)",https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Communication Studies Minor,https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To apply for first-year admission, please submit the following materials: A completed application (you can use the SUNY Application or the Common Application), Your official high school transcript, One letter of recommendation (optional but strongly recommended), An essay (optional but strongly recommended). SUNY Brockport is test-optional. You can choose whether to submit SAT/ACT scores.",Not Required,True,False,False,False,False,,,program,Community Justice Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,"In addition to meeting the general College admission requirements, students wishing to major in computer information systems are expected to have completed four units of high school mathematics.",Not Required,True,False,True,False,False,,,program,Computer Information Systems Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,
Not Required,Not Required,A grade of C or higher is required in all courses for the minor. The CIS minor is not available to majors in computer science or computer information systems.,Not Required,True,False,True,False,False,,,program,Computer Information Systems Minor,https://www.brockport.edu/academics/catalogs/programs/,,
,,,,,,,,,,,error,Computer Science Major (BS),https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Computer Science Minor,https://www.brockport.edu/academics/catalogs/programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
