QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,John F. Welch College of Business,,4.0,2.0,81%,,,,48000/Year,,1050/Credit,,,"Merit-based, Athletic, Endowed, Federal Grants, State Grants",4 years,48000/Year,Accounting - BS,https://www.sacredheart.edu/majors--programs/
,Welch College of Business & Technology,,4.0,,72%,,,,,,"$1,560/credit",,,"Merit-based, Athletic, Talent-based, ROTC, Need-based",,,Accounting - Minor,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,4.0,2.0,66%,Fall 2026,,,"$47,000/Year",,"$1,470/Credit","$10,000 to $27,000 annually",,Merit-based,4 years,"$47,000/Year",Acting - BA,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,,,59% (Fall 2022),,,,"$47,640/Year","More than $35,000 (average financial aid package for freshmen)","$1,360/credit","Merit scholarships range from $15,000 to $27,000 annually.",,"Merit-based, Need-based, Athletic, Legacy, Pioneer",18 credits,"$47,640/Year",Acting - Minor,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,4.0,2.0,69.5%,,,,46500/Year,,1450/credit,,99%,"Merit-based, Endowed, Athletic, University Grants, Pioneer Pride Grants",,46500/Year,American Studies - Minor,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,4.0,2.0,69%,,,,,"$20,000 annually","$1,550/credit","$15,000 to full tuition annually",,"Merit-based, Pioneer & Ignatian, Athletic, Endowed, External, SHU Scholars Award",,"$47,000/Year",Applied Physics - Minor,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,4.0,2.0,66%,Fall 2026,,,47080/Year,24000/Year,1260/Credit,18000-30000/Year,,"Merit-based, Need-based, Endowed, Athletic, ROTC",4 years,46000/Year,Art & Design - BA,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,4.0,2.0,84.6%,,,,"$48,000/Year","$30,000","$1,570 per credit","$15,000 - $25,000 annually",,"Merit-based, Alumni, Athletic, Performing Arts, ROTC",,"$48,000/Year",Art & Design - Minor,https://www.sacredheart.edu/majors--programs/
,College of Arts and Sciences,3.0,4.0,2.0,71%,Fall 2026,,,"$47,620/Year",,"$1,595/credit",,,"Merit-Based, Athletic, Music and Theatre Arts, Catholic High School, Diocesan, Alumni",,,Art History - Minor,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,4.0,2.0,65% (Fall 2022),Fall 2026,,,"$46,400/Year",,"$1,100","up to $31,000",,"Merit-based, Need-based, Athletic, Performing Arts, Endowed",4 years,"$46,400/Year",Artificial Intelligence - BS,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,,3.0,60%,Fall 2026,,February 15,48000/Year,29198,1470,,99%,"Merit-based, Athletic",4 years,48000/Year,Biochemistry - BS,https://www.sacredheart.edu/majors--programs/
,College of Arts & Sciences,,4.0,2.0,63%,,,,,"$26,000","$1,280/credit",,,"Academic Merit, Performing Arts, Athletic, Transfer Student, Pioneer Programs",,,Biology - BS,https://www.sacredheart.edu/majors--programs/
