Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Accounting - BS,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Required,"Common Application or Sacred Heart University Application, Official high school transcript, Counselor recommendation, Essay, Official SAT or ACT scores (optional for students applying for Fall 2024).",Required,,True,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,John F. Welch College of Business,48000/Year,,,,,,,"An accounting degree from Sacred Heart University is the perfect start to a rewarding career in a dynamic and diverse field. Our program is a leader in accounting education, recognized for its commitment to student success. You will gain a strong foundation in all areas of accounting, including financial accounting, managerial accounting, auditing, taxation, and accounting information systems. As a graduate, you'll be prepared for a variety of roles in public accounting, corporate accounting, government, and non-profit organizations. With a Sacred Heart accounting degree, you'll be well-prepared for the CPA Exam.",,https://www.sacredheart.edu/majors--programs/,"The Jack Welch College of Business & Technology is accredited by AACSB International, the premier accrediting agency for business schools worldwide.",,1050/Credit,,False,,4.0,2.0,81%,,,,,,,,,,48000/Year,,,,,,,False,False,,,105.0,112.0,,,6.5,,,54.0,,,,,,,,,,,,,,,"Merit-based, Athletic, Endowed, Federal Grants, State Grants",,,,,,,
,Accounting - Minor,,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,Welch College of Business & Technology,,,,,,,,"A minor in accounting is designed for students seeking a background in financial concepts and the theory and practice of accounting to complement their chosen major field of study. Students will gain an understanding of financial reporting, managerial accounting, and other specialized areas of accounting that can enhance their career prospects across various industries. This minor is suitable for students pursuing careers in finance, business management, entrepreneurship, law, or any field where a solid grasp of financial data and its interpretation is valuable.",,https://www.sacredheart.edu/majors--programs/,,,"$1,560/credit",,False,,4.0,,72%,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Athletic, Talent-based, ROTC, Need-based",,,,,,,
,Acting - BA,,,,,Undergraduate,Fall 2026,,,,Required,Required,Not Required,Required,"Completed Common Application or Sacred Heart University Application. Official high school transcript(s) or GED. Official college transcript(s) for any college-level coursework completed for credit. Letter of Recommendation (encouraged). Application Essay (Required for all applicants). First-year applicants applying for fall 2024, spring 2025, and fall 2025 are not required to submit SAT or ACT scores; however, students may still submit scores to be considered for admission. Applicants for the Performing Arts (Dance, Theatre Arts, and Music) programs are required to complete an audition and interview. Auditions will be held on specific dates on campus. Students unable to attend an on-campus audition may submit a video audition. An artistic resume (one-page maximum) is required in advance of the audition. Candidates will submit their artistic resume directly to the performing arts department prior to their audition. Candidates will also submit two short essays (250-500 words each). One essay should be a short personal statement detailing your interest in your program of choice. The second essay should be a response to a prompt from the department.",Required,,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Arts & Sciences,"$47,000/Year",,,,,,,"Sacred Heart University’s Acting BA program provides students with a solid foundation in the techniques of acting, voice, and movement. Through an intensive conservatory-style program, students learn how to connect with other actors, tell a story through movement, and deliver lines effectively. The program fosters creative, intellectual, and professional development and prepares students for a career in the arts or for further graduate study. Students perform in mainstage productions, work on screen projects, create original works, and have opportunities to audition for professional productions and gain real-world experience. Sacred Heart University is a member of the National Association of Schools of Theatre (NAST).",,https://www.sacredheart.edu/majors--programs/,Member of the National Association of Schools of Theatre (NAST),,"$1,470/Credit",,False,,4.0,2.0,66%,,,,,,,,,,"$47,000/Year",,,,,,,False,False,,,105.0,112.0,,,6.5,,,53.0,,80.0,,,,,,,,,,,"$10,000 to $27,000 annually",,Merit-based,,,,,,,
,Acting - Minor,,,,,Undergraduate,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,"$47,640/Year",,,,,,,"The acting minor prepares students in the liberal arts to develop skills in the craft of acting through foundational work in movement, voice, improvisation, and scene study. The minor is a practical program intended to prepare students to pursue further training in a conservatory or graduate program, or to enter the profession directly. The Acting minor serves as a gateway to the Theatre Arts major at Sacred Heart University.",,https://www.sacredheart.edu/majors--programs/,,"More than $35,000 (average financial aid package for freshmen)","$1,360/credit",,False,,,,59% (Fall 2022),,,,,,,,,,"$47,640/Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Merit scholarships range from $15,000 to $27,000 annually.",,"Merit-based, Need-based, Athletic, Legacy, Pioneer",,,,,,,
,American Studies - Minor,,,,,Undergraduate,,,,,Not Required,Not Required,,,,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,46500/Year,,,,,,,"The American Studies minor provides an interdisciplinary approach to the study of the United States, its culture, and its place in the world. It provides a unique lens through which to explore American history, literature, politics, religion, sociology, and other aspects of American life. The minor helps students develop critical thinking and communication skills and prepares them for a wide range of career paths. The American Studies minor is an excellent complement to many majors, including history, political science, English, communication, and sociology. It allows students to delve deeply into the complexities of American society and culture, fostering a deeper understanding of the nation's past, present, and future. Students gain a holistic perspective on America by drawing on diverse academic fields, which enhances their analytical abilities and broadens their intellectual horizons.",,https://www.sacredheart.edu/majors--programs/,,,1450/credit,,False,,4.0,2.0,69.5%,,,,,,,,,,46500/Year,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,99%,"Merit-based, Endowed, Athletic, University Grants, Pioneer Pride Grants",,,,,,,
,Applied Physics - Minor,,,,,Undergraduate,,,,,Not Required,Not Required,,,,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,"$47,000/Year",,,,,,,"The Applied Physics minor provides students with a foundational understanding of the principles of physics and their application across various scientific and engineering disciplines. This minor is designed for students interested in augmenting their primary major with a strong background in analytical thinking and problem-solving derived from physical principles. The curriculum emphasizes practical applications, preparing students for careers in research, technology, and industry, or for further graduate studies. Students will explore topics such as mechanics, electromagnetism, thermodynamics, and modern physics, gaining hands-on experience through laboratory work and computational tools.",,https://www.sacredheart.edu/majors--programs/,,"$20,000 annually","$1,550/credit",,True,,4.0,2.0,69%,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"$15,000 to full tuition annually",,"Merit-based, Pioneer & Ignatian, Athletic, Endowed, External, SHU Scholars Award",,,,,,,
,Art & Design - BA,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"Students applying for admission to Sacred Heart University must apply through the Common Application or through Sacred Heart University’s online application. Required Documents: Official high school transcripts, Official SAT or ACT scores (see test-optional policy), Letter of Recommendation (optional), Personal Essay (optional), Sacred Heart University’s application or Common Application, Application Fee (waived for Sacred Heart application).",Not Required,,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Arts & Sciences,46000/Year,,,,,,"Graphic Design, Studio Art","At Sacred Heart University, our Art & Design program provides a diverse and dynamic education that blends traditional techniques with modern technologies. Students develop their artistic voice and technical skills across various mediums, preparing them for creative careers in a rapidly evolving visual landscape. The curriculum emphasizes critical thinking, problem-solving, and hands-on experience, fostering a deep understanding of art history and contemporary design practices. Our faculty, composed of practicing artists and designers, are dedicated to mentoring students and guiding them through a rigorous and rewarding academic journey. Graduates emerge with a comprehensive portfolio, strong foundational knowledge, and the professional acumen necessary to succeed in a wide array of art and design fields.",,https://www.sacredheart.edu/majors--programs/,,24000/Year,1260/Credit,,False,,4.0,2.0,66%,,,,,,,,,,47080/Year,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,18000-30000/Year,,"Merit-based, Need-based, Endowed, Athletic, ROTC",,,,,,,
,Art & Design - Minor,,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Arts & Sciences,"$48,000/Year",,,,,,,"The Sacred Heart University minor in Art & Design allows students to express themselves visually and develop creative, critical thinking, problem-solving, communication, and technological skills that are applicable to a wide range of career paths. This minor complements any major through an exploration of the elements and principles of design, historical and contemporary art and design movements, and hands-on experience in studio art and digital design. The Art & Design minor prepares students to contribute to the visual culture of their organizations through the development of a creative portfolio and professional writing skills needed to pursue graduate study and/or careers in art, graphic design, and other visual media.",,https://www.sacredheart.edu/majors--programs/,,"$30,000","$1,570 per credit",,False,,4.0,2.0,84.6%,,,,,,,,,,"$48,000/Year",,,,,,,False,False,,,105.0,,,,6.5,,,54.0,,80.0,,,,,,,,,,,"$15,000 - $25,000 annually",,"Merit-based, Alumni, Athletic, Performing Arts, ROTC",,,,,,,
,Art History - Minor,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,,,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,,,,,,,,"The Art History Minor introduces students to the visual arts of various cultures and periods. Through the lens of art history, students gain a deeper understanding of human society and experience, developing critical thinking, visual analysis, and research skills. A minor in art history complements a variety of majors including studio art, graphic design, history, literature, philosophy, and communications, among others.",,https://www.sacredheart.edu/majors--programs/,,,"$1,595/credit",,False,3.0,4.0,2.0,71%,,,,,,,,,,"$47,620/Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-Based, Athletic, Music and Theatre Arts, Catholic High School, Diocesan, Alumni",,,,,,,
,Artificial Intelligence - BS,,,,,Undergraduate,Fall 2026,,,,,Required,Not Required,Required,"Sacred Heart University accepts either the Common Application or Sacred Heart University Application. To apply for admission, applicants should submit the following: Official high school transcript(s), A letter of recommendation from a school counselor or teacher, An essay or personal statement, Official SAT or ACT scores are optional for applicants entering the fall 2024 and spring 2025 semesters. Students who wish to be considered for the honors program or for direct entry to the doctorate of physical therapy program may still submit scores for consideration.",Required,,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,"$46,400/Year",,,,,,,"Sacred Heart University’s Bachelor of Science in Artificial Intelligence is an innovative program that provides students with the foundational and practical knowledge to understand, design, and implement AI systems. This program emphasizes problem-solving and critical thinking, preparing graduates to excel in a rapidly evolving technological landscape. The curriculum includes machine learning, deep learning, natural language processing, computer vision, and ethics in AI, ensuring a well-rounded education. Graduates will be equipped to pursue careers in various industries, from healthcare and finance to manufacturing and entertainment, and contribute to the advancement of artificial intelligence.",,https://www.sacredheart.edu/majors--programs/,,,"$1,100",,False,,4.0,2.0,65% (Fall 2022),,,,,,,,,,"$46,400/Year",,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,80.0,,,,,,,,,,,"up to $31,000",,"Merit-based, Need-based, Athletic, Performing Arts, Endowed",,,,,,,
