Program name,Program Page url
Bachelor of Science in Accounting,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Aerospace Engineering,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in African and African American Studies,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in American Studies,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Anthropology,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Architecture,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Art History,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Fine Arts in Art,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Asian Studies,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Biochemistry,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Biological Sciences,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Biomedical Engineering,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Biomedical Sciences,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Biotechnology,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Business Administration,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Chemical Engineering,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Chemistry,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Chemistry,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Chinese,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Civil Engineering,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Classics,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Communication,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Computer Engineering,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Computer Science,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Criminology,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Fine Arts in Dance,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Economics,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Electrical Engineering,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Engineering Physics,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in English,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Environmental Design,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Environmental Engineering,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Environmental Geosciences,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Science in Exercise Science,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in Film Studies,https://www.buffalo.edu/admissions/academics/programs.html
Bachelor of Arts in French,https://www.buffalo.edu/admissions/academics/programs.html
