Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Required,"The Paul Merage School of Business faculty offers an undergraduate minor in Accounting consisting of seven upper-division courses. [2] In addition, two lower-division introductory accounting courses (MGMT 30A and MGMT 30B), one lower-division microeconomics course (ECON 20A), and one lower-division single variable calculus course (MATH 2A) are prerequisites to the minor program. [2] Admission is on a competitive basis and students must submit an application, transcripts, and a statement of purpose. [9] Students are eligible to apply for the minor in Accounting if they have upper-division standing and have completed Management 30A and 30B with a grade no lower than B (3.0) and all other prerequisite courses with a grade no lower than C (2.0). [9] Completion of the prerequisite courses does not guarantee admission to the minor in Accounting. [9]",Not Required,False,False,False,False,False,,,program,Minor in Accounting,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"Prospective first-year students must apply to a specific major within The Henry Samueli School of Engineering. To be competitive for admission, applicants should have completed four years of mathematics (up to pre-calculus or math analysis) and are advised to have at least one year of physics and one year of chemistry. Honors and Advanced Placement (AP) courses are recommended. All applicants must meet the general University of California (UC) admission requirements, which include the completion of the 'a-g' course sequence.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Aerospace Engineering,"The official university website for the University of California, Irvine is uci.edu.",,
,,,,False,False,False,,,,,program,Bachelor of Arts in African American Studies,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"The Minor in African American Studies is an interdisciplinary program. To declare the minor, students should contact their academic counselor to have the minor added to their degree audit. Seven courses (28 units) are required for the minor. [3, 7] This includes the introductory series: AFAM 40A, AFAM 40B, and AFAM 40C. [3, 7] Students must also select three courses from different rubrics (Humanities, Gender/Sexuality, History, Fine Arts, Social Sciences) and one additional upper-division elective. [3, 7] There is no formal application process that requires documents such as a resume or statement of purpose; students declare the minor. [2, 5, 6]",Not Required,True,False,False,False,False,,,program,Minor in African American Studies,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"To apply for the Bachelor of Arts in Anthropology at the University of California, Irvine, you must submit the general University of California application. The selection process is based on a comprehensive review of your academic achievements, including your GPA in 'A-G' courses, and personal qualities, which are assessed through your answers to the personal insight questions. No specific documents like a resume, statement of purpose, or writing sample are required for freshman admission to this program.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Anthropology,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"Requirements for the minor in Anthropology are met by taking seven Anthropology courses (28 units) as specified below: ANTHRO 2A, one course from ANTHRO 2B, 2C, or 2D, one course from ANTHRO 30A or 100B, and four additional courses (16 units) from the 120-179 series. Students must also complete a School of Social Sciences Minor Degree Check form.",Not Required,True,False,False,False,False,,,program,Minor in Anthropology,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"The University of California, Irvine, is launching a new Bachelor of Science in Applied and Computational Mathematics starting in Fall 2024. [11] As a new undergraduate program, it follows the general freshman admission requirements for the University of California system. Applicants must complete 15 A-G college-preparatory courses with a grade of C or better, with at least 11 of those courses finished before the senior year of high school. For California residents, a minimum GPA of 3.0 is required in these A-G courses, while non-residents need a minimum GPA of 3.4. [8] The application includes personal insight questions, which consist of four short essays of up to 350 words each, chosen from eight prompts. [40] Letters of recommendation are not required as part of the initial application but may be requested by a campus later as part of a supplemental review. [26]",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Applied and Computational Mathematics,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"To be considered for admission as a first-year student at the University of California, Irvine, applicants must complete 15 A-G college-preparatory courses with a grade of C or better. At least 11 of these courses must be completed before the senior year of high school. For California residents, a minimum GPA of 3.0 is required in these courses, while non-residents must have a minimum GPA of 3.4. [8] The application is submitted through the UC application system, which includes responding to Personal Insight Questions.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Applied Physics,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"Undergraduates from any UCI School can minor in Archaeology. To add the minor, students should contact an academic counselor from the school of their major to have it added to their degree audit. [9, 10]",Not Required,True,False,False,False,False,,,program,Minor in Archaeology,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"To declare the Minor in Armenian Studies, current UCI students should meet with their academic counselor to have the minor added to their DegreeWorks. [9, 11, 15] Students can begin enrolling in courses that satisfy the minor's requirements and then officially add the minor. [11] The minor requires the completion of seven courses (28 units). [10, 12]",Not Required,True,False,False,False,False,,,program,Minor in Armenian Studies,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Required,"To be considered for admission into the Art major, students must submit a portfolio of 10 images or up to three videos totaling no more than 5 minutes in duration, or a mix of both images and videos, as well as a one-page artist statement. [12] For continuing UCI students applying for the honors program, a brief statement (250 words maximum) of research and career goals is required. [11] All applicants must also meet the general freshman admission requirements of the University of California, including completing the 'A-G' subject course requirements with a GPA of 3.0 or better for California residents (3.4 for non-residents). [9, 13]",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Art,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"To be considered for admission to UC Irvine as a first-year applicant, you must complete 15 year-long high school courses with a letter grade of C or better — at least 11 of them prior to your last year of high school. A minimum GPA of 3.0 is required (3.4 for non-California residents) in these ""A-G"" subject courses. [6] The university uses a comprehensive review process that considers academic GPA, the number and performance in academic courses beyond the minimum requirements, honors courses, as well as activities, talents, and skills. [6] Applicants must also respond to personal insight questions as part of the UC application. [6] Letters of recommendation are not accepted. [10]",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Art History,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"To add the Art History minor, students should contact an academic counselor from the school of their major. [7] The minor requires the completion of seven courses (28 units). [11] These include three lower-division courses from a specified list and four upper-division Art History courses. [11] A residency requirement mandates that four of the upper-division courses be completed at UCI. [9, 11]",Not Required,True,False,False,False,False,,,program,Minor in Art History,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"To be considered for admission, applicants must have earned a minimum GPA of 3.0 (3.4 for nonresidents) in all A-G courses completed in grades 10 and 11, with no grade lower than a C. [2] All UC campuses use a single application, and applicants must answer four of eight personal insight questions. [2] UCI will not consider SAT or ACT scores for admission or scholarship purposes. [2]",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Asian American Studies,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"Requirements for the Minor in Asian American Studies involve the successful completion of seven courses (28 units). [5] This includes three introductory Asian American Studies core courses and four upper-division courses selected from ASIANAM 100W–169, ASIANAM 199. [5] Four of the upper-division courses required for the minor must be completed at UCI. [5]",Not Required,True,False,False,False,False,,,program,Minor in Asian American Studies,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"The minor in Asian Studies is open to all UCI students. Requirements for the minor are met by taking eight courses, of which no more than four may be lower-division. Students choose one country and language of specialization (China, Japan, or Korea). This includes three quarters of coursework in one Asian language of specialization beyond the first-year level and one upper-division History course with a focus on Asia. [13, 14]",Not Required,True,False,False,False,False,,,program,Minor in Asian Studies,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Required,"UC Irvine uses a comprehensive review process for first-year applicants. This includes a review for the completion of the required college-preparatory ""A-G"" coursework, demonstrated academic achievements, activities, talents, and skills, all considered within the context of an applicant's circumstances and experiences. All information provided in the UC application is considered, including the answers to the personal insight questions. [16] There is a minimum GPA requirement of 3.0 for California residents and 3.4 for non-California residents in the 15 required “A-G” subject courses, with no grade lower than a C. [16]",Not Required,True,,,False,False,,,institute,Bachelor of Science in Biochemistry and Molecular Biology,"The official university website for the University of California, Irvine is uci.edu.",,
Not Required,Not Required,"The minor provides a focused study of bioinformatics to supplement a student's major program of study and prepares students for a profession, career, or academic pursuit. Requirements consist of completing a specific set of courses, including I&C SCI 31, I&C SCI 32, I&C SCI 33, BIO SCI 93, COMPSCI 184A, COMPSCI 184C, and COMPSCI 189. [10] There are no prerequisites required to declare an ICS minor. [11] Students should review the requirements, meet with an advisor if needed, and then add the minor to their DegreeWorks. [11]",Not Required,True,False,True,False,False,,,program,Minor in Bioinformatics,"The official university website for the University of California, Irvine is uci.edu.",,
