Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"The Paul Merage School of Business faculty offers an undergraduate minor in Accounting consisting of seven upper-division courses. [9] In addition, two lower-division introductory accounting courses, one lower-division microeconomics course, and one lower-division single variable calculus course are prerequisites to the minor program. [9] In establishing the undergraduate minor in Accounting, the faculty anticipated two types of students to be drawn to courses in accounting: (1) students preparing for careers in accounting or in other fields that require some knowledge of accounting, and (2) students planning to pursue a graduate degree in accounting who wish early guidance and undergraduate work appropriate to this career objective. [9, 10] Students interested in learning more about the full array of requirements for professional licensing in Accounting are encouraged to visit the California Board of Accountancy and American Institute of CPAs websites. [9, 10]",https://catalogue.uci.edu/thepaulmerageschoolofbusiness/accounting_minor/,,Minor,Minor in Accounting,"The official university website for the University of California, Irvine is uci.edu.",
,"A-STARS was established in 2021 by the Samueli School of Engineering through the Department of Mechanical and Aerospace Engineering (MAE) to inspire and prepare the next generation of diverse and inclusive aerospace leaders and to foster greater engagement with the thriving local aerospace industry. This program, which is also open to all undergraduate engineering students, creates a formal channel through which industry leaders can interact with students to help them acquire the skills needed for a successful career in aerospace.",https://mae.eng.uci.edu/undergraduate/degrees-minors/aerospace-engineering-b-s/,"The Aerospace Engineering (B.S.) program is accredited by the Engineering Accreditation Commission of ABET, under the commission's General Criteria and Program Criteria for Aerospace Engineering and Similarly Named Engineering Programs. [1]",BS,Bachelor of Science in Aerospace Engineering,"The official university website for the University of California, Irvine is uci.edu.",
,"The department of African American Studies at UC Irvine offers undergraduate students an opportunity to study those societies and cultures established by the people of the African diaspora. [2, 10] The program's curriculum encourages students to investigate the African American experience from a variety of disciplinary perspectives and theoretical approaches. [2, 10] Among the topics explored in the course offerings are the process of colonization and the forced migration of African people, the positionality of African people in the racialized symbolic and social orders of the western hemisphere, the rhetoric produced by and about African people, and the cultural and aesthetic values associated with “blackness” and “Africanness.” [2, 10, 15] The Department offers a B.A. program in African American Studies and a minor. [10]",https://www.humanities.uci.edu/afam/,,BA,Bachelor of Arts in African American Studies,"The official university website for the University of California, Irvine is uci.edu.",
,"African American Studies is an interdisciplinary program which offers undergraduate students an opportunity to study those societies and cultures established by the people of the African diaspora. The Department's curriculum encourages students to investigate the African American experience from a variety of disciplinary perspectives and theoretical approaches. Among the topics explored in the course offerings are the process of colonization and the forced migration of African people, the positionality of African people in the racialized symbolic and social orders of the western hemisphere, the rhetoric produced by and about African people, and the cultural and aesthetic values associated with “blackness” and “Africanness.” Seven courses (28 units) are required for the minor. [10, 12, 17]",https://catalogue.uci.edu/schoolofhumanities/departmentofafricanamericanstudies/africanamericanstudies_minor/,,Minor,Minor in African American Studies,"The official university website for the University of California, Irvine is uci.edu.",
,"Anthropology is the broadest of the social sciences, the only one that studies the whole of the human condition, past and present. The subject is divided into three major subfields at UCI: sociocultural anthropology, archaeology, and evolutionary anthropology.",https://www.anthropology.uci.edu/undergrad/index.php,,BA,Bachelor of Arts in Anthropology,"The official university website for the University of California, Irvine is uci.edu.",
,"The Minor in Anthropology is designed for students who seek an overview of the discipline. Requirements for the minor in Anthropology are met by taking seven anthropology courses (28 units) as specified below: Anthropology 2A, Anthropology 2B, 2C, or 2D, Anthropology 30A or 100b, and four courses (16 units) from the following: 120-179. [10, 15] Anthropology is the comparative study of past and present human societies and cultures. [15] The Department of Anthropology at UCI is at the forefront of addressing issues in contemporary theory and ethnographic methods within the discipline. [15] The department has a strong interdisciplinary bent, with research and teaching interests in economic anthropology, political and legal anthropology, the anthropology of finance, social history and social change, identity and ethnicity, gender and feminist studies, urban anthropology, and more. [15]",https://www.anthro.uci.edu/undergrad/minors,,Minor,Minor in Anthropology,"The official university website for the University of California, Irvine is uci.edu.",
"['Mathematical Biology (specialization)', 'Mathematical Finance (concentration)', 'Data Science (concentration)']","The Bachelor of Science degree in Applied and Computational Mathematics offers students a curriculum steeped in theoretical knowledge and rich in practical applications. Moreover, the program emphasizes computational proficiency, including in-demand coding skills in Matlab and Python. [10] The new program is a significant addition to the academic offerings of the School of Physical Sciences, and it exemplifies the Department of Mathematics' commitment to adapting to evolving educational and professional landscapes. [10] The creation of the Bachelor of Science in Applied and Computational Mathematics coalesces these applied tracks into a single, structured program. [10] The new degree program not only streamlines the path for students dedicated to applying mathematical principles to solve complex, real-world problems, but also continues to support pure mathematical studies through the existing Bachelor of Science in Mathematics degree program. [10]",https://catalogue.uci.edu/schoolofphysicalsciences/departmentofmathematics/appliedandcomputationalmathematics_bs/,,B.S.,Bachelor of Science in Applied and Computational Mathematics,"The official university website for the University of California, Irvine is uci.edu.",
Applied Physics,"The goal of the undergraduate majors in Physics and Applied Physics is to develop expert problem solvers with a broad understanding of physical principles. The programs are flexible and prepare students for careers in industrial research, applications programming, education, law, or business, as well as for graduate study in astronomy, biomedical physics, engineering, or physics. The major in Applied Physics allows students to combine physics courses with courses from overlapping disciplines, such as materials science, electrical engineering, geosciences, biomedical imaging, or other fields.",https://catalogue.uci.edu/schoolofphysicalsciences/departmentofphysicsandastronomy/physics_bs/#text,,B.S.,Bachelor of Science in Applied Physics,"The official university website for the University of California, Irvine is uci.edu.",
," The in­ter­dis­ci­pli­nary mi­nor in Ar­chae­ol­ogy of­fers rig­or­ous aca­d­e­mic study of the ar­chae­o­log­i­cal record and its in­ter­pre­ta­tion from cul­tures of great an­tiq­uity through the mod­ern pe­riod. The cur­ricu­lum en­gages stu­dents with method­olog­i­cal train­ing in ar­chae­o­log­i­cal re­cov­ery and analy­sis, as well as the the­o­ret­i­cal un­der­pin­nings of how we know what we know about past so­ci­eties through the ma­te­r­ial traces of hu­man ac­tiv­ity. Stu­dents also grap­ple with the ways in which ar­chae­ol­ogy is ex­pe­ri­enced and shaped through the her­itage in­dus­try, pop­u­lar cul­ture, mu­se­ums, as well as po­lit­i­cal, so­cial, and cul­tural move­ments. As they pre­pare for ca­reers or grad­u­ate study, Ar­chae­ol­ogy mi­nors are en­cour­aged to ex­plore these prob­lems while gain­ing foun­da­tional knowl­edge in the ar­chae­ol­ogy of a wide va­ri­ety of cul­tures through­out the Old and New worlds, in­clud­ing an­cient Ana­to­lia, Mesopotamia, and Iran, the an­cient and me­dieval Mediter­ranean, the Is­lamic world, South Asia, Pre-Columbian North and South Amer­ica, as well as ar­chae­ol­ogy in and of the con­tem­po­rary world. Upon com­ple­tion of the mi­nor, stu­dents are equipped to think crit­i­cally about the ar­chae­o­log­i­cal record and as ed­u­ca­tors, mu­seum pro­fes­sion­als, re­searchers, lawyers, as well as pol­icy mak­ers and em­ploy­ees of cul­tural in­sti­tu­tions and her­itage sites in var­i­ous roles across mul­ti­ple gov­ern­ment agen­cies (forestry, BLM, state parks, etc.) who man­age our shared cul­tural re­sources.",https://www.humanities.uci.edu/archaeology,,Minor,Minor in Archaeology,"The official university website for the University of California, Irvine is uci.edu.",
,"The minor in Armenian Studies encourages undergraduate students to acquire the academic breadth and depth to comprehend the major issues, themes, and concepts of Armenian culture and heritage. The interdisciplinary minor consists of courses in various disciplines, particularly Armenian history and language. Students will expand their understanding of the broader dynamics of the Armenian experience through different eras and geographic settings, both in Armenia and the Diaspora. [2, 5]",https://catalogue.uci.edu/schoolofhumanities/departmentofhistory/armenianstudies_minor/,,Minor,Minor in Armenian Studies,"The official university website for the University of California, Irvine is uci.edu.",
,"The B.A. degree in Art is a liberal arts degree that provides students with a broad background in the visual arts while encouraging them to explore the rich and diverse academic and studio offerings at UCI. Students are exposed to a variety of art media, the history and theory of art, and are encouraged to take courses outside the major to supplement their creative and intellectual goals. The B.A. degree is ideal for students who are interested in a career in the arts as well as other fields where creative problem solving and critical thinking are valued.",https://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofart/#majorstext,"The University of California, Irvine is accredited by the WASC Senior College and University Commission (WSCUC). [2, 3, 5]",B.A.,Bachelor of Arts in Art,"The official university website for the University of California, Irvine is uci.edu.",
,"The study of Art History explores visual art from all regions of the world and all periods of history. With its global outlook, Art History cultivates critical and self-reflective perspectives on diverse forms of cultural production and social organization across time. [4] Course offerings investigate the ways in which visual art and media inform our understanding of issues comprising race and ethnicity, gender and sexuality, environmentalism and climate, as well as the complexity of political expression and contestation in specific historical contexts. [4] The Department offers a major and minor in Art History, through which students learn valuable skills in how to describe and interpret objects including sculpture, painting, photography, architecture, and “new media,” such as video and performance art. [4] These skills, along with the program's concentrated focus on writing, verbal expression, and dedication to personal mentorship, prepare students to think analytically and to express themselves clearly at a time when visual communication is vitally important. [4] Majors in Art History are encouraged to take related courses in other fields in the humanities and to pursue the study of language beyond the minimum requirements. [4] Because of its international scope, Art History is a particularly good major for students interested in studying abroad. [4]",https://www.humanities.uci.edu/arthistory,,BA,Bachelor of Arts in Art History,"The official university website for the University of California, Irvine is uci.edu.",
,"Art History is the study of works of art and other visual artifacts from all regions of the world and all periods of history. Consequently, the undergraduate curriculum in Art History, with its global perspective, is one of the most diverse disciplines in the humanities. [2, 3] Through Art History, students learn how to describe and interpret a range of objects including sculpture, painting, photography, architecture, and “new media” such as video and performance art. [2, 3] These skills, along with the program's intense focus on writing and verbal expression, prepare students to think critically and to express themselves clearly at a time when visual communication is becoming ever more important. [2, 3]",https://catalogue.uci.edu/schoolofhumanities/departmentofarthistory/arthistory_minor/,,Minor,Minor in Art History,"The official university website for the University of California, Irvine is uci.edu.",
,"The Department of Asian American Studies examines the historical and contemporary experiences of Asians in the United States and in a global context. The curriculum seeks to provide an analysis of the cultural, political, and economical organization of Asian American communities. Students are invited to participate and partake in broadening their understanding of multicultural perspectives within U.S. society.",https://catalogue.uci.edu/schoolofhumanities/departmentofasianamericanstudies/asianamericanstudies_ba/,,B.A.,Bachelor of Arts in Asian American Studies,"The official university website for the University of California, Irvine is uci.edu.",
,"The Department of Asian American Studies examines the historical and contemporary experiences of Asians in the United States and in a global context. The curriculum seeks to provide an analysis of the cultural, political, and economical organization of Asian American communities. Students are invited to participate and partake in broadening their understanding of multicultural perspectives within U.S. society. Seven courses (28 units) are required for the minor.",https://catalogue.uci.edu/schoolofhumanities/departmentofasianamericanstudies/asianamericanstudies_minor/,,Minor,Minor in Asian American Studies,"The official university website for the University of California, Irvine is uci.edu.",
"Students choose one country and language of specialization. At the present the Asian Studies minor focuses on China, Japan, or Korea. [4, 9]","This course provides an opportunity for students to study Asian topics in a range of disciplines, acquire advanced language skills, and gain a broader perspective when using their major's disciplinary training for well-informed studies of Asian subjects. The minor in Asian Studies draws upon the expertise of faculty throughout UCI to create opportunities for students to explore Asian topics in a variety of fields, to develop advanced language skills, and to acquire a broader perspective as they apply the disciplinary training of their major field to effective and informed studies of Asian subjects. [4, 9] The minor is open to all UCI students. [4, 9]",https://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/departmentofinformatics/asianstudies_minor/,,Minor,Minor in Asian Studies,"The official university website for the University of California, Irvine is uci.edu.",
,"The major in Biochemistry and Molecular Biology is designed to provide a comprehensive background in this modern, conceptual understanding of biology. Students who wish to begin in-depth study of the molecular basis in any of a variety of fields, including development, gene expression, immunology, pathogenesis, disease, virology, and evolution, can do so through this major. This program will be especially attractive to those students who intend to pursue an advanced degree in biological or medical sciences. [10] It provides the rigorous training necessary for successful entry to graduate and professional programs in the medical and biological sciences. [10] The major has been designed with sufficient flexibility in upper division requirements to accommodate a wide variety of interests ranging from biological chemistry to molecular biology and genetics. [10]",https://www.bio.uci.edu/majors-minors/school-majors/,,BS,Bachelor of Science in Biochemistry and Molecular Biology,"The official university website for the University of California, Irvine is uci.edu.",
,"The minor provides a focused study of bioinformatics to supplement a student's major program of study and prepares students for a profession, career, or academic pursuit in which biomedical computing is an integral part but is not the primary focus. [8] The Bioinformatics minor contributes to students' competence in computing applied to biomedical problems and data, as well as exposing them to the fundamentals of the life sciences from a computer science perspective. [8] The minor allows students sufficient flexibility to pursue courses that complement their major field or address specific interests. [8] Students who complete the minor requirements will be able to do the following: synthesize computer science, quantitative methods, and biological science; understand the synergistic set of reciprocal influences between life and computational sciences and technologies; discuss biomedical computing problems and corresponding computer science perspectives; and employ principles, methods, and technologies fundamental to biomedical computing. [8]",https://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/departmentofcomputerscience/bioinformatics_minor/,,Minor,Minor in Bioinformatics,"The official university website for the University of California, Irvine is uci.edu.",
