Program name,Program Page url
Minor in Accounting,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Aerospace Engineering,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in African American Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in African American Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Anthropology,"The official university website for the University of California, Irvine is uci.edu."
Minor in Anthropology,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Applied and Computational Mathematics,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Applied Physics,"The official university website for the University of California, Irvine is uci.edu."
Minor in Archaeology,"The official university website for the University of California, Irvine is uci.edu."
Minor in Armenian Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Art,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Art History,"The official university website for the University of California, Irvine is uci.edu."
Minor in Art History,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Asian American Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Asian American Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Asian Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Biochemistry and Molecular Biology,"The official university website for the University of California, Irvine is uci.edu."
Minor in Bioinformatics,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Biological Sciences,"The official university website for the University of California, Irvine is uci.edu."
Minor in Biological Sciences,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Biology/Education,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Biomedical Engineering,"The official university website for the University of California, Irvine is uci.edu."
Minor in Biomedical Engineering,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Biomedical Engineering: Premedical,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Business Administration,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Business Economics,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Business Information Management,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Chemical Engineering,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Chemistry,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Chicano/Latino Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Chicano/Latino Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Chinese Language and Literature,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Chinese Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Chinese Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Civil Engineering,"The official university website for the University of California, Irvine is uci.edu."
Minor in Classical Civilization,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Classics,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Cognitive Sciences,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Comparative Literature,"The official university website for the University of California, Irvine is uci.edu."
Minor in Comparative Literature,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Computer Engineering,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Computer Game Science,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Computer Science,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Computer Science and Engineering,"The official university website for the University of California, Irvine is uci.edu."
Minor in Creative Writing,"The official university website for the University of California, Irvine is uci.edu."
"Bachelor of Arts in Criminology, Law and Society","The official university website for the University of California, Irvine is uci.edu."
"Minor in Criminology, Law and Society","The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Data Science,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Dance,"The official university website for the University of California, Irvine is uci.edu."
Minor in Digital Arts,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Drama,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in East Asian Cultures,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Earth System Science,"The official university website for the University of California, Irvine is uci.edu."
Minor in Earth and Atmospheric Science,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Ecology and Evolutionary Biology,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Economics,"The official university website for the University of California, Irvine is uci.edu."
Minor in Economics,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Education Sciences,"The official university website for the University of California, Irvine is uci.edu."
Minor in Education,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Electrical Engineering,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in English,"The official university website for the University of California, Irvine is uci.edu."
Minor in English,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Environmental Engineering,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Environmental Science and Policy,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in European Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Film and Media Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Film and Media Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in French,"The official university website for the University of California, Irvine is uci.edu."
Minor in French,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Gender and Sexuality Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Gender and Sexuality Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Genetics,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in German Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in German,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Global Cultures,https://catalogue.uci.edu/schoolofhumanities/undergraduateprograminglobalcultures/globalcultures_ba/globalcultures_ba.pdf
Bachelor of Arts in Global Middle East Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Global Middle East Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Global Sustainability,"The official university website for the University of California, Irvine is uci.edu."
Minor in Greek,"The official university website for the University of California, Irvine is uci.edu."
Minor in Health Informatics,"The official university website for the University of California, Irvine is uci.edu."
Minor in Hearing and Speech Sciences,"The official university website for the University of California, Irvine is uci.edu."
Minor in History,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in History,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Human Biology,"The official university website for the University of California, Irvine is uci.edu."
Minor in Humanities and Law,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Informatics,"The official university website for the University of California, Irvine is uci.edu."
Minor in Informatics,"The official university website for the University of California, Irvine is uci.edu."
Minor in Innovation and Entrepreneurship,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in International Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in International Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Iranian Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Italian Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Japanese Language and Literature,"The official university website for the University of California, Irvine is uci.edu."
Minor in Japanese Language and Literature,"The official university website for the University of California, Irvine is uci.edu."
Minor in Japanese Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Jewish Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Korean Literature and Culture,"The official university website for the University of California, Irvine is uci.edu."
Minor in Korean Studies,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Language Science,"The official university website for the University of California, Irvine is uci.edu."
Minor in Latin,"The official university website for the University of California, Irvine is uci.edu."
Minor in Latin American Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in LGBTQ Studies,"The official university website for the University of California, Irvine is uci.edu."
Minor in Linguistics,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Arts in Literary Journalism,"The official university website for the University of California, Irvine is uci.edu."
Bachelor of Science in Materials Science and Engineering,"The official university website for the University of California, Irvine is uci.edu."
Minor in Materials Science and Engineering,"The official university website for the University of California, Irvine is uci.edu."
