Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Minor in Accounting,,,,,Undergraduate,Fall 2026,,The application for Fall admission opens on August 1. [9],The application submission period for Fall admission is October 1 to December 1.,Not Required,Required,Not Required,Not Required,"The Paul Merage School of Business faculty offers an undergraduate minor in Accounting consisting of seven upper-division courses. [2] In addition, two lower-division introductory accounting courses (MGMT 30A and MGMT 30B), one lower-division microeconomics course (ECON 20A), and one lower-division single variable calculus course (MATH 2A) are prerequisites to the minor program. [2] Admission is on a competitive basis and students must submit an application, transcripts, and a statement of purpose. [9] Students are eligible to apply for the minor in Accounting if they have upper-division standing and have completed Management 30A and 30B with a grade no lower than B (3.0) and all other prerequisite courses with a grade no lower than C (2.0). [9] Completion of the prerequisite courses does not guarantee admission to the minor in Accounting. [9]",Not Required,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,"The Paul Merage School of Business. [25, 26]","$14,752/Year (in-state); $46,640/Year (out-of-state) for the 2025-2026 academic year. [2]",,,,,,,"The Paul Merage School of Business faculty offers an undergraduate minor in Accounting consisting of seven upper-division courses. [9] In addition, two lower-division introductory accounting courses, one lower-division microeconomics course, and one lower-division single variable calculus course are prerequisites to the minor program. [9] In establishing the undergraduate minor in Accounting, the faculty anticipated two types of students to be drawn to courses in accounting: (1) students preparing for careers in accounting or in other fields that require some knowledge of accounting, and (2) students planning to pursue a graduate degree in accounting who wish early guidance and undergraduate work appropriate to this career objective. [9, 10] Students interested in learning more about the full array of requirements for professional licensing in Accounting are encouraged to visit the California Board of Accountancy and American Institute of CPAs websites. [9, 10]",,"The official university website for the University of California, Irvine is uci.edu.",,"For undergraduates who received aid, the average amount was $21,866. [2]","The University of California generally charges tuition as a flat amount per term for full-time students. However, for specific programs like the U.S. Department of Defense Tuition Assistance (TA) Program, the per-unit cost for undergraduates in 2025-2026 is calculated as $302.27. [6]",,False,,4.0,"To remain in good academic standing at UCI, an undergraduate student must maintain a cumulative GPA of at least 2.0. [4] To be eligible to apply for the Accounting minor, students must have completed Management 30A and 30B with a grade no lower than a B (3.0) and other prerequisite courses with a grade no lower than a C (2.0). [28] Students who do not take introductory accounting courses (MGMT 30A and MGMT 30B) at UCI must complete MGMT 131A with a minimum grade of B. [25, 26]",28.94% (for first-year applicants). [9],"The official UCI website highlights its recognition in global rankings and links to the QS World University Rankings, which places UCI at #293 in the 2026 ranking. [20, 22]",,,,,,,,,"Minors do not have program-specific tuition fees. The cost is included in the general undergraduate tuition. For the 2025-2026 academic year, estimated systemwide tuition and fees are $14,752 for California residents and $46,640 for out-of-state students. [2] Total estimated cost of attendance, including room, board, and other expenses, is approximately $40,908 for in-state students living on campus. [2]",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,Approximately 75% of UCI's enrolled students are offered some form of financial aid.,"Scholarships at UCI can be awarded based on academic achievement, financial need, community activities, work experience, and more. [13]",,,,,,,
,Bachelor of Science in Aerospace Engineering,,,,,Undergraduate,Fall 2026,,2025-08-01,2025-12-01,Not Required,Not Required,Not Required,Required,"Prospective first-year students must apply to a specific major within The Henry Samueli School of Engineering. To be competitive for admission, applicants should have completed four years of mathematics (up to pre-calculus or math analysis) and are advised to have at least one year of physics and one year of chemistry. Honors and Advanced Placement (AP) courses are recommended. All applicants must meet the general University of California (UC) admission requirements, which include the completion of the 'a-g' course sequence.",Not Required,,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,The Henry Samueli School of Engineering,,,,,,,,"A-STARS was established in 2021 by the Samueli School of Engineering through the Department of Mechanical and Aerospace Engineering (MAE) to inspire and prepare the next generation of diverse and inclusive aerospace leaders and to foster greater engagement with the thriving local aerospace industry. This program, which is also open to all undergraduate engineering students, creates a formal channel through which industry leaders can interact with students to help them acquire the skills needed for a successful career in aerospace.",,"The official university website for the University of California, Irvine is uci.edu.","The Aerospace Engineering (B.S.) program is accredited by the Engineering Accreditation Commission of ABET, under the commission's General Criteria and Program Criteria for Aerospace Engineering and Similarly Named Engineering Programs. [1]",21533,302.27,,True,,4,3,26.2%,,,,,,,,,,"$13,602/Year",,,,,,,False,False,,,115.0,,,,6.5,,,,,80,,,,,,,,,,,"Up to $10,000",,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in African American Studies,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,School of Humanities. [14],,,,,,,,"The department of African American Studies at UC Irvine offers undergraduate students an opportunity to study those societies and cultures established by the people of the African diaspora. [2, 10] The program's curriculum encourages students to investigate the African American experience from a variety of disciplinary perspectives and theoretical approaches. [2, 10] Among the topics explored in the course offerings are the process of colonization and the forced migration of African people, the positionality of African people in the racialized symbolic and social orders of the western hemisphere, the rhetoric produced by and about African people, and the cultural and aesthetic values associated with “blackness” and “Africanness.” [2, 10, 15] The Department offers a B.A. program in African American Studies and a minor. [10]",,"The official university website for the University of California, Irvine is uci.edu.",,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,,6.5,,,,,80,,,,,,,,,,,,,,,,,,,,
,Minor in African American Studies,,,,,Undergraduate,Fall 2026,,2025-08-01,2025-12-01,Not Required,Not Required,Not Required,Required,"The Minor in African American Studies is an interdisciplinary program. To declare the minor, students should contact their academic counselor to have the minor added to their degree audit. Seven courses (28 units) are required for the minor. [3, 7] This includes the introductory series: AFAM 40A, AFAM 40B, and AFAM 40C. [3, 7] Students must also select three courses from different rubrics (Humanities, Gender/Sexuality, History, Fine Arts, Social Sciences) and one additional upper-division elective. [3, 7] There is no formal application process that requires documents such as a resume or statement of purpose; students declare the minor. [2, 5, 6]",Not Required,,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,School of Humanities,"For the 2025-26 academic year, the estimated systemwide tuition for an undergraduate student is $13,602.00. [8] Adding campus fees brings the total fees to around $19,268 for students living at home. [16] There is no specific tuition fee for a minor program.",,,,,,,"African American Studies is an interdisciplinary program which offers undergraduate students an opportunity to study those societies and cultures established by the people of the African diaspora. The Department's curriculum encourages students to investigate the African American experience from a variety of disciplinary perspectives and theoretical approaches. Among the topics explored in the course offerings are the process of colonization and the forced migration of African people, the positionality of African people in the racialized symbolic and social orders of the western hemisphere, the rhetoric produced by and about African people, and the cultural and aesthetic values associated with “blackness” and “Africanness.” Seven courses (28 units) are required for the minor. [10, 12, 17]",,"The official university website for the University of California, Irvine is uci.edu.",,,$302.27/unit,,False,,4,2,,293,,,,,,,,,"$13,602.00/Year",,,,,,,False,False,,,115.0,,,,6.5,,,,,80,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in Anthropology,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",Not Required,Not Required,,Required,"To apply for the Bachelor of Arts in Anthropology at the University of California, Irvine, you must submit the general University of California application. The selection process is based on a comprehensive review of your academic achievements, including your GPA in 'A-G' courses, and personal qualities, which are assessed through your answers to the personal insight questions. No specific documents like a resume, statement of purpose, or writing sample are required for freshman admission to this program.",Not Required,,True,False,False,,,,,True,False,False,False,False,True,True,False,False,,,,School of Social Sciences,,,,,,,,"Anthropology is the broadest of the social sciences, the only one that studies the whole of the human condition, past and present. The subject is divided into three major subfields at UCI: sociocultural anthropology, archaeology, and evolutionary anthropology.",,"The official university website for the University of California, Irvine is uci.edu.",,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,80,,,,,,,,,,,,,"Grants, Scholarships, Work-Study, Loans",,,,,,,
,Minor in Anthropology,,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,,"Requirements for the minor in Anthropology are met by taking seven Anthropology courses (28 units) as specified below: ANTHRO 2A, one course from ANTHRO 2B, 2C, or 2D, one course from ANTHRO 30A or 100B, and four additional courses (16 units) from the 120-179 series. Students must also complete a School of Social Sciences Minor Degree Check form.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,"The Minor in Anthropology is designed for students who seek an overview of the discipline. Requirements for the minor in Anthropology are met by taking seven anthropology courses (28 units) as specified below: Anthropology 2A, Anthropology 2B, 2C, or 2D, Anthropology 30A or 100b, and four courses (16 units) from the following: 120-179. [10, 15] Anthropology is the comparative study of past and present human societies and cultures. [15] The Department of Anthropology at UCI is at the forefront of addressing issues in contemporary theory and ethnographic methods within the discipline. [15] The department has a strong interdisciplinary bent, with research and teaching interests in economic anthropology, political and legal anthropology, the anthropology of finance, social history and social change, identity and ethnicity, gender and feminist studies, urban anthropology, and more. [15]",,"The official university website for the University of California, Irvine is uci.edu.",,,,,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor of Science in Applied and Computational Mathematics,,,,,Undergraduate,Fall 2026,,"August 1, 2025","December 1, 2025",Not Required,Not Required,Not Required,Required,"The University of California, Irvine, is launching a new Bachelor of Science in Applied and Computational Mathematics starting in Fall 2024. [11] As a new undergraduate program, it follows the general freshman admission requirements for the University of California system. Applicants must complete 15 A-G college-preparatory courses with a grade of C or better, with at least 11 of those courses finished before the senior year of high school. For California residents, a minimum GPA of 3.0 is required in these A-G courses, while non-residents need a minimum GPA of 3.4. [8] The application includes personal insight questions, which consist of four short essays of up to 350 words each, chosen from eight prompts. [40] Letters of recommendation are not required as part of the initial application but may be requested by a campus later as part of a supplemental review. [26]",Not Required,,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,School of Physical Sciences,,,,,,,"['Mathematical Biology (specialization)', 'Mathematical Finance (concentration)', 'Data Science (concentration)']","The Bachelor of Science degree in Applied and Computational Mathematics offers students a curriculum steeped in theoretical knowledge and rich in practical applications. Moreover, the program emphasizes computational proficiency, including in-demand coding skills in Matlab and Python. [10] The new program is a significant addition to the academic offerings of the School of Physical Sciences, and it exemplifies the Department of Mathematics' commitment to adapting to evolving educational and professional landscapes. [10] The creation of the Bachelor of Science in Applied and Computational Mathematics coalesces these applied tracks into a single, structured program. [10] The new degree program not only streamlines the path for students dedicated to applying mathematical principles to solve complex, real-world problems, but also continues to support pure mathematical studies through the existing Bachelor of Science in Mathematics degree program. [10]",,"The official university website for the University of California, Irvine is uci.edu.",,,292.13,,True,,4.0,3.0,28.94%,,,,,,,,,,"For the 2024-2025 academic year, the estimated undergraduate tuition is $13,146.00 per year for California residents.",,,,,,,False,False,,,115.0,,,,6.5,,,,,80,,,,,,,,,,,,72% receive Grants and Scholarships,"Merit-based scholarships such as the Regents' Scholarship, Chancellor's Excellence Scholarship, and Directors' Scholarship are offered based on the UC Application for Admission.",,,,,,,
,Bachelor of Science in Applied Physics,,,,,Undergraduate,Fall 2026,,August 1,,Not Required,Not Required,Not Required,Required,"To be considered for admission as a first-year student at the University of California, Irvine, applicants must complete 15 A-G college-preparatory courses with a grade of C or better. At least 11 of these courses must be completed before the senior year of high school. For California residents, a minimum GPA of 3.0 is required in these courses, while non-residents must have a minimum GPA of 3.4. [8] The application is submitted through the UC application system, which includes responding to Personal Insight Questions.",Not Required,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,School of Physical Sciences,"$15,588/Year",,,,,,Applied Physics,"The goal of the undergraduate majors in Physics and Applied Physics is to develop expert problem solvers with a broad understanding of physical principles. The programs are flexible and prepare students for careers in industrial research, applications programming, education, law, or business, as well as for graduate study in astronomy, biomedical physics, engineering, or physics. The major in Applied Physics allows students to combine physics courses with courses from overlapping disciplines, such as materials science, electrical engineering, geosciences, biomedical imaging, or other fields.",,"The official university website for the University of California, Irvine is uci.edu.",,22000,,,True,,4.0,2.0,,,,,,,,,,,15588,,,,,,,False,False,,,115.0,,,,6.5,,,,,80,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Minor in Archaeology,,,,,Undergraduate,Fall 2026,,2025-08-01,2025-12-01,Not Required,Not Required,,,"Undergraduates from any UCI School can minor in Archaeology. To add the minor, students should contact an academic counselor from the school of their major to have it added to their degree audit. [9, 10]",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Social Sciences,"$19,268.00/Year",,,,,,," The in­ter­dis­ci­pli­nary mi­nor in Ar­chae­ol­ogy of­fers rig­or­ous aca­d­e­mic study of the ar­chae­o­log­i­cal record and its in­ter­pre­ta­tion from cul­tures of great an­tiq­uity through the mod­ern pe­riod. The cur­ricu­lum en­gages stu­dents with method­olog­i­cal train­ing in ar­chae­o­log­i­cal re­cov­ery and analy­sis, as well as the the­o­ret­i­cal un­der­pin­nings of how we know what we know about past so­ci­eties through the ma­te­r­ial traces of hu­man ac­tiv­ity. Stu­dents also grap­ple with the ways in which ar­chae­ol­ogy is ex­pe­ri­enced and shaped through the her­itage in­dus­try, pop­u­lar cul­ture, mu­se­ums, as well as po­lit­i­cal, so­cial, and cul­tural move­ments. As they pre­pare for ca­reers or grad­u­ate study, Ar­chae­ol­ogy mi­nors are en­cour­aged to ex­plore these prob­lems while gain­ing foun­da­tional knowl­edge in the ar­chae­ol­ogy of a wide va­ri­ety of cul­tures through­out the Old and New worlds, in­clud­ing an­cient Ana­to­lia, Mesopotamia, and Iran, the an­cient and me­dieval Mediter­ranean, the Is­lamic world, South Asia, Pre-Columbian North and South Amer­ica, as well as ar­chae­ol­ogy in and of the con­tem­po­rary world. Upon com­ple­tion of the mi­nor, stu­dents are equipped to think crit­i­cally about the ar­chae­o­log­i­cal record and as ed­u­ca­tors, mu­seum pro­fes­sion­als, re­searchers, lawyers, as well as pol­icy mak­ers and em­ploy­ees of cul­tural in­sti­tu­tions and her­itage sites in var­i­ous roles across mul­ti­ple gov­ern­ment agen­cies (forestry, BLM, state parks, etc.) who man­age our shared cul­tural re­sources.",,"The official university website for the University of California, Irvine is uci.edu.",,21866,,,False,,4,2,28.7%,293,,,,,,,,,"$19,268.00/Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,72%,"['Merit-based', 'Need-based']",,,,,,,
,Minor in Armenian Studies,,,,,Undergraduate,Fall 2026,,August 1,The application submission period for fall admission is October 1 - December 1. [4],Not Required,Not Required,Not Required,Not Required,"To declare the Minor in Armenian Studies, current UCI students should meet with their academic counselor to have the minor added to their DegreeWorks. [9, 11, 15] Students can begin enrolling in courses that satisfy the minor's requirements and then officially add the minor. [11] The minor requires the completion of seven courses (28 units). [10, 12]",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,School of Humanities,"$13,602 per year for undergraduates first enrolled in AY 2025-26. [6]",,,,,,,"The minor in Armenian Studies encourages undergraduate students to acquire the academic breadth and depth to comprehend the major issues, themes, and concepts of Armenian culture and heritage. The interdisciplinary minor consists of courses in various disciplines, particularly Armenian history and language. Students will expand their understanding of the broader dynamics of the Armenian experience through different eras and geographic settings, both in Armenia and the Diaspora. [2, 5]",,"The official university website for the University of California, Irvine is uci.edu.",,,$302.27 per unit. [3],,False,,4,2,28.94% for first-year applicants for the 2025 admitted class. [32],,,,,,,,,,"$13,602 per year for undergraduates first enrolled in AY 2025-26. [6]",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"The Armenian Studies Prize in Honor of Sylvie Tertzakian offers up to $2,000. [7] The OC Trex Armenian Studies Scholarship provides two awards of $6,000 each. [5]",,"Scholarships are awarded for academic achievement, financial need, community activities, work experience, and more. [18] For Armenian Studies, there are also research-based awards. [7]",,,,,,,
