QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,Harmon College of Business and Professional Studies,,,,,Fall 2026,2025-08-01,,,,,,,Merit-based,,,Bachelor of Science in Accounting,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Business Administration in Accounting,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Actuarial Science,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Agricultural Business Management,The official university website for the University of Central Missouri is ucmo.edu.
,"College of Health, Science, and Technology",,4.0,2,,Fall 2026,"August 15, 2025","February 1, 2026",,,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Agriculture,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Animal Science,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Anthropology,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Arts in Art,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Fine Arts in Art,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Art,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Automotive Technology Management,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Aviation Management,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Professional Pilot,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Big Data and Business Analytics,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Biology,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Biomedical Sciences,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Business Economics,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Business Management,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Chemistry,The official university website for the University of Central Missouri is ucmo.edu.
,,,,,,,,,,,,,,,,,Bachelor of Science in Child and Family Development,The official university website for the University of Central Missouri is ucmo.edu.
