Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Required,"Applicants must complete the University of California (UC) Application. As a freshman applicant, you must complete a minimum of 15 year-long high school courses (A-G requirements) with a grade of C or better, including at least 11 finished prior to your last year of high school. A minimum GPA of 3.0 (3.4 for non-residents) is required. Selection for the Samueli School of Engineering is based on academic achievement in high school, with a strong emphasis on a record in mathematics and science. Applicants are required to answer four out of eight Personal Insight Questions. UCLA will not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Aerospace Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
,,"To enter the African American Studies major, students must have an overall grade-point average of 2.0 or better and have completed African American Studies 1 with a grade of C or better. Preparation for the Major Required: African American Studies 1, 6, and one course from 88A, 88B, 88C, M102, or M104A.",,True,False,False,False,False,,,program,Bachelor of Arts in African American Studies,https://catalog.registrar.ucla.edu/major/2021/africanamericanstudiesba?siteYear=2021
Not Required,Required,"To be considered for admission to the Bachelor of Arts in African and Middle Eastern Studies, applicants must submit the University of California (UC) application. Freshman applicants must complete the A-G subject requirements (15 year-long high school courses with a grade of C or better) and meet the minimum GPA requirement. Transfer applicants should complete the required preparatory courses for the major and have reached junior standing. All applicants are required to complete the Personal Insight Questions as part of the application process. UCLA does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in African and Middle Eastern Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To apply for the Bachelor of Arts in American Indian Studies, applicants must meet the general admission requirements for the University of California. For freshman applicants, this includes the completion of 15 year-long academic courses (A-G status) with a 3.4 GPA or better for non-residents (3.0 for residents). For transfer applicants, requirements include junior-level standing (60 semester or 90 quarter transferable units) by the end of the prior spring term with a competitive GPA. UCLA is test-free and does not consider SAT or ACT scores for admission decisions.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in American Indian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be eligible for admission to UCLA, students must meet the University of California's minimum admission requirements, which include completing 15 year-long 'a-g' high school courses with a grade of C or better and maintaining a minimum GPA of 3.0 (3.4 for non-California residents). Additionally, applicants must complete the UC Application, including the Personal Insight Questions. For the American Literature and Culture major specifically, preparation includes completing the following lower-division courses: English 10A, 10B, 10C (or equivalent), and two additional courses from a specified list of literature, culture, and history electives.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in American Literature and Culture,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for admission to UCLA, applicants must meet the University of California’s 'a-g' subject requirements by completing 15 year-long high school courses with a grade of C or better. Applicants must also have a minimum GPA of 3.0 (3.4 for non-residents) and submit the University of California application, which includes answering four out of eight Personal Insight Questions. UCLA is test-blind and does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Ancient Near East and Egyptology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"Preparation for the major (Anthropology 1, 2, 3, and 4) must be completed with a C or better in each course and a 2.0 GPA. Anthropology majors must complete 9 upper-division courses (at least 36 units) for the major. These include Anthropology 100, one course from each of the three core areas (Sociocultural, Archaeology, and Biological), and five elective upper-division anthropology courses.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Anthropology,https://anthro.ucla.edu/academics/undergraduate/bachelor-of-arts/
Not Required,Required,"To apply for the Bachelor of Science in Anthropology, freshman applicants must complete the University of California application, including the Personal Insight Questions. UCLA uses a holistic review process that evaluates academic performance (including the 'a-g' requirements and GPA), extracurricular activities, and personal achievements. For transfer applicants, specific major preparation is required, including the completion of introductory courses in Biological Anthropology, Archaeology, Culture and Society, and Culture and Communication, as well as a science sequence involving Chemistry (General and Organic), Life Sciences (Evolution, Ecology, and Genetics), and Calculus.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Anthropology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
,Required,"Lower Division Requirements: All courses must be taken for a letter grade (C or better). 1. Foreign Language: Students must complete 6 quarters (or equivalent) of a foreign language. 2. Linguistics 1: Introduction to Language. 3. Linguistics 20: Introduction to Linguistics. 4. Applied Linguistics 30W: Language in Social Contexts. For current UCLA students, the application for the major requires completing the change of major form and submitting a personal statement.",,True,False,False,False,False,,,program,Bachelor of Arts in Applied Linguistics,https://linguistics.ucla.edu/wp-content/uploads/2021/09/APPLING_0074_GuideEffective_F21.pdf
Not Required,Required,"To be considered for admission to UCLA for the Bachelor of Arts in Arabic, freshman applicants must complete the University of California 'a-g' subject requirements with a grade of C or better, including history, English, mathematics, science, a language other than English, visual and performing arts, and a college-preparatory elective. Applicants must submit the UC application, which includes four Personal Insight Questions. For transfer applicants, admission is based on the completion of required preparatory courses and general education requirements; however, for the Arabic major specifically, no major preparation coursework is required prior to transfer, although students are encouraged to complete general education. UCLA is test-free and does not consider SAT or ACT scores for admission.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Arabic,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"The Bachelor of Arts in Architectural Studies is a two-year major that begins in the junior year of residence. Students apply to the major in the spring of their sophomore year. Transfer students apply to the major at the time of their application to UCLA. A supplemental application is required for all applicants to the major. The supplemental application consists of: a Questionnaire, Statement of Interest, Portfolio, and Unofficial Transcripts.",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Architectural Studies,https://aud.ucla.edu/academics
Not Required,Required,"Applicants to the Bachelor of Arts in Art program must submit the University of California (UC) Application, which includes Personal Insight Questions. Additionally, a Department of Art Supplemental Application is mandatory. The supplemental application consists of a portfolio of 8-10 still images of work in any media, an artist statement (500 words maximum), and unofficial transcripts. UCLA is a test-free campus and does not consider SAT or ACT scores for admission purposes.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Art,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To enter the major, students must be in good standing and have completed all lower-division preparation for the major courses with a minimum 2.0 grade-point average in those courses. Preparation for the major includes Art History 20, 21, 23, 24, and 25 (select three); Art History 100W (must be taken after at least two lower-division art history courses are completed). All courses must be taken for a letter grade. Students must also complete a foreign language requirement, demonstrating a reading knowledge of a foreign language at the level of fourth-quarter or fifth-quarter instruction at UCLA.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Art History,https://catalog.registrar.ucla.edu/browse/Departments/ArtHistory
Not Required,Not Required,"To be admitted to the Bachelor of Arts in Asian American Studies, applicants must meet UCLA's general undergraduate admission requirements. Freshman applicants must complete a minimum of 15 year-long college-preparatory (A-G) courses with a grade of C or better, including at least 11 finished prior to the start of their senior year. A minimum GPA of 3.0 (3.4 for non-residents) is required in these courses. The application process includes submitting the University of California Application, which requires responding to Personal Insight Questions and providing information on extracurricular activities and awards. Transfer applicants are expected to have completed 60 semester (90 quarter) units of transferable coursework with a minimum GPA of 3.2 and are encouraged to complete major preparation courses such as Asian American Studies 10, 20, 30, 40, or 50.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Asian American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Not Required,Required,"To be considered for admission to the Asian Humanities major, applicants must meet UCLA's general undergraduate admission requirements. Freshman applicants must complete a minimum of 15 college-preparatory (A-G) courses with a GPA of 3.0 or higher (3.4 for non-residents). Transfer applicants must have a minimum 3.0 GPA in all transferable college coursework. Specifically for the Asian Humanities major, transfer preparation includes completion of one year of an Asian language (e.g., Chinese, Japanese, Korean, etc.) and two lower-division courses in Asian humanities or related fields. All applicants must complete the University of California application, which includes Personal Insight Questions.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Asian Humanities,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
