Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level,error,level
,"The aerospace engineering program is designed for students interested in the design and development of aircraft and spacecraft. It is a four-year program that provides a broad and fundamental education in the engineering sciences and their application to the design and development of aeronautical and astronautical systems. The curriculum is based on a core of mathematics, physics, and chemistry, followed by a series of engineering science and design courses. Students are prepared for careers in the aerospace industry, in government, and in graduate study. The program is designed to provide students with the ability to apply knowledge of mathematics, science, and engineering; to design and conduct experiments, as well as to analyze and interpret data; to design a system, component, or process to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability; and to function on multidisciplinary teams.",https://www.mae.ucla.edu/aerospace-engineering-bs/,"The Aerospace Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",Bachelor of Science in Aerospace Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The African American Studies Department offers a multidisciplinary curriculum that provides students with a broad understanding of the African American experience. The program is designed to provide students with a deep understanding of the historical and contemporary issues facing African American communities, as well as the skills necessary to analyze and address these issues from a variety of perspectives. The major is intended to provide students with a broad-based education in the humanities and social sciences, while also offering opportunities for more specialized study in specific areas of interest.",https://catalog.registrar.ucla.edu/major/2021/africanamericanstudiesba?siteYear=2021,,Bachelor of Arts in African American Studies,https://catalog.registrar.ucla.edu/major/2021/africanamericanstudiesba?siteYear=2021,BA,,
Africa; Middle East,"The African and Middle Eastern Studies major is a multidisciplinary program that provides a broad foundation in the history, geography, and cultures of Africa and the Middle East. It is designed for students who wish to pursue a career in international affairs, government service, or international business, or who plan to pursue graduate study in the field. The program offers two concentrations: Africa and the Middle East.",https://www.international.ucla.edu/apid/ames,,Bachelor of Arts in African and Middle Eastern Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The American Indian Studies Interdepartmental Program (IDP) provides an innovative and rigorous environment for students to study the histories, societies, and cultures of Native American and indigenous peoples. Our curriculum is multidisciplinary, drawing from history, law, politics, literature, and the arts, with a focus on tribal sovereignty, self-determination, and community engagement. The Bachelor of Arts in American Indian Studies is designed to equip students with critical analytical tools to understand the complex issues facing indigenous communities today.",https://ais.ucla.edu/academics/undergraduate.php,,Bachelor of Arts in American Indian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BA,,
,"The American Literature and Culture major is designed for students who wish to focus their study on American literature and its cultural contexts. It provides an opportunity to study American literature in its historical, social, and cultural dimensions. Students explore the diversity of American literature and culture, including the contributions of various ethnic and social groups, while also examining the relationship between literature and other forms of cultural expression.",https://english.ucla.edu/undergraduate/the-majors/american-literature-and-culture/,,Bachelor of Arts in American Literature and Culture,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
Ancient Near East or Egyptology,"The Ancient Near East and Egyptology major is a multidisciplinary program that provides students with a broad and deep understanding of the civilizations of the ancient Near East and Egypt. The program covers the languages, history, archaeology, and cultures of these regions, from the earliest urban societies to the advent of Islam. Students can choose to focus their studies in one of two tracks: Ancient Near East or Egyptology.",https://registrar.ucla.edu/academics/curricula-and-courses/ancient-near-east-and-egyptology-ba,,Bachelor of Arts in Ancient Near East and Egyptology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Bachelor of Arts degree in Anthropology is for students who are interested in a broad-based approach to the study of humans. Students are encouraged to explore the four sub-fields of anthropology: archaeology, biological anthropology, linguistic anthropology, and sociocultural anthropology. The program provides students with a solid foundation in anthropological theory and methodology, while also allowing for flexibility in choosing elective courses that align with their specific interests.",https://anthro.ucla.edu/academics/undergraduate/bachelor-of-arts/,,Bachelor of Arts in Anthropology,https://anthro.ucla.edu/academics/undergraduate/bachelor-of-arts/,,,
,"The Anthropology BS degree is for students interested in biological anthropology, archaeology, or both. It is particularly appropriate for those who intend to continue their education in graduate school in one of these areas or who intend to pursue a career in any of the health sciences. Students are required to take a set of core courses in biological anthropology and archaeology, as well as a selection of elective courses in these areas.",https://anthro.ucla.edu/undergraduate/majors-minors/anthropology-b-s/,,Bachelor of Science in Anthropology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"Applied Linguistics is an interdisciplinary field that studies language in its social and cognitive contexts. The Applied Linguistics major offers students the opportunity to learn how we use language to communicate, the relationship between language and culture, how children and adults learn first and second languages, and how to teach languages.",https://linguistics.ucla.edu/wp-content/uploads/2021/09/APPLING_0074_GuideEffective_F21.pdf,,Bachelor of Arts in Applied Linguistics,https://linguistics.ucla.edu/wp-content/uploads/2021/09/APPLING_0074_GuideEffective_F21.pdf,BA,,
,"The major in Arabic provides students with a solid foundation in the Arabic language, literature, and culture. Students are required to take courses in Modern Standard Arabic as well as in the literature and culture of the Arab world.",https://nelc.ucla.edu/undergraduate/majors-minors/arabic-major/,,Bachelor of Arts in Arabic,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"Architecture and Urban Design’s Bachelor of Arts in Architectural Studies (B.A.) is a two-year major that begins in the junior year of residence. The program provides a foundation in the field of architecture within the context of a liberal arts education. Students in the major learn to think critically about architectural and urban spaces, and to see architecture as a cultural and creative practice with a relationship to larger social, political, and environmental issues. Through the study of architecture and urbanism, students gain a deep understanding of the historical, theoretical, and technical aspects of the field, and are introduced to the tools and techniques of design.",https://aud.ucla.edu/academics/undergraduate,,Bachelor of Arts in Architectural Studies,https://aud.ucla.edu/academics,,,
,"The Department of Art is committed to professional art training within the context of a major research university. The Department of Art’s world-renowned faculty is comprised of artists who are active in their respective fields. The curriculum for the B.A. degree in Art provides a wide range of experiences in several studio areas: Ceramics, Drawing, New Genres, Painting, Photography, and Sculpture. Students take a variety of courses within the Department of Art and choose from a variety of courses across the university to complete their general education requirements. The program provides students with the tools to develop their own practice and to understand the historical and theoretical contexts in which art is made and received.",https://www.art.ucla.edu/undergraduate/index.html,All of the degree programs in the UCLA School of the Arts and Architecture are accredited by the Western Association of Schools and Colleges (WASC).,Bachelor of Arts in Art,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Art History major is a liberal arts program that provides students with a broad knowledge of the history of art and visual culture. The curriculum is designed to develop students’ ability to analyze works of art and to understand the historical and cultural contexts in which they were produced. Students are encouraged to take courses in a variety of periods and regions and to explore different methodological and theoretical approaches to the study of art history. The major provides a strong foundation for students who wish to pursue graduate study in art history or related fields, as well as for those who wish to pursue careers in museums, galleries, or other cultural institutions.",https://catalog.registrar.ucla.edu/major/2024/ArtHistoryBA,,Bachelor of Arts in Art History,https://catalog.registrar.ucla.edu/browse/Departments/ArtHistory,,,
,"The Asian American Studies Department offers a Bachelor of Arts degree in Asian American Studies. The major is designed to provide students with a comprehensive understanding of the history, culture, and experiences of Asian Americans and Pacific Islanders in the United States and globally. Students engage in interdisciplinary study, exploring themes such as migration, community development, identity, social justice, and cultural expression. The Asian American Studies major provides a multidisciplinary analysis of the history, culture, and contemporary issues of Asian Americans and Pacific Islanders. It offers an opportunity for students to examine the historical and contemporary experiences of these groups through various lenses, including sociology, history, literature, art, and public policy.",https://asianam.ucla.edu/undergraduate/asian-american-studies-major/,,Bachelor of Arts in Asian American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Asian Humanities major is designed for students whose interests in Asia are not confined to a single country or language area. It is particularly suitable for students who wish to explore the religious, literary, and cultural traditions of East, South, and Southeast Asia in a comparative and interdisciplinary way.",https://www.alc.ucla.edu/undergraduate/majors/asian-humanities-major/,,Bachelor of Arts in Asian Humanities,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BA,,
,"The Bachelor of Arts in Asian Languages and Linguistics is designed for students who want to study one or more Asian languages and learn how these languages are structured, how they have developed historically, and how they are used in their social and cultural contexts. The major is particularly appropriate for students who wish to pursue graduate study in linguistics, or for those who wish to pursue a career in language teaching or translation.",https://alc.ucla.edu/undergraduate/asian-languages-and-linguistics-ba/,,Bachelor of Arts in Asian Languages and Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
