QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
42,Samueli School of Engineering,,4.0,3.4,5.7%,Fall 2026,"August 1, 2025","November 30, 2025","$15,222/Year",,,,,Merit-based and Need-based,4 years,"$15,222/Year",Bachelor of Science in Aerospace Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,2.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,134/Year",,,,,,4 years,"$15,134/Year",Bachelor of Arts in African American Studies,https://catalog.registrar.ucla.edu/major/2021/africanamericanstudiesba?siteYear=2021
42,College of Letters and Science,,4.0,2.0,,Fall 2026,"August 1, 2025","November 30, 2025","$14,436/Year (CA Resident); $48,636/Year (Non-Resident)",,,,,"Merit-based, Need-based",4 years,"$14,436/Year (CA Resident); $48,636/Year (Non-Resident)",Bachelor of Arts in African and Middle Eastern Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,3.0,8.8%,Fall 2026,"August 1, 2025","November 30, 2025","$15,223/Year",,,,,Merit-based and Need-based,4 years,"$15,223/Year",Bachelor of Arts in American Indian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,UCLA College (College of Letters and Science),,4.0,3.0 for California residents; 3.4 for non-residents,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,312/Year (California Resident); $49,518/Year (Non-Resident)","$21,114",,,,Merit-based and Need-based,4 years,"$15,312/Year (California Resident); $49,518/Year (Non-Resident)",Bachelor of Arts in American Literature and Culture,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,3.0,9%,Fall 2026,August 1,November 30,"$15,312/Year (California Residents); $49,512/Year (Non-Residents)",,,"$2,000/Year (Regents Scholarship)",,Merit-based and Need-based,4 years,"$15,312/Year (California Residents); $49,512/Year (Non-Residents)",Bachelor of Arts in Ancient Near East and Egyptology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,2.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,254/Year",,,,,"Merit-based, Need-based",4 years,"$15,254/Year",Bachelor of Arts in Anthropology,https://anthro.ucla.edu/academics/undergraduate/bachelor-of-arts/
42,UCLA College,,4.0,3.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,310/Year",,,,,Merit-based and Need-based,4 years,"$15,310/Year",Bachelor of Science in Anthropology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science (Division of Humanities),,4.0,,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,222/Year",,,,,Merit-based and Need-based,4 years,"$15,222/Year",Bachelor of Arts in Applied Linguistics,https://linguistics.ucla.edu/wp-content/uploads/2021/09/APPLING_0074_GuideEffective_F21.pdf
42,UCLA College of Letters and Science,,4.0,3.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,310/Year (California Residents); $49,510/Year (Non-residents)",,,,,Merit-based and Need-based,4 years,"$15,310/Year (California Residents); $49,510/Year (Non-residents)",Bachelor of Arts in Arabic,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,School of the Arts and Architecture,,4.0,3.0,,Fall 2026,"August 1, 2025","November 30, 2025","$15,312/Year",,,,,Merit and Need-based,2 years,"$15,312/Year",Bachelor of Arts in Architectural Studies,https://aud.ucla.edu/academics
42,School of the Arts and Architecture,,4.0,3.0,,Fall 2026,"August 1, 2025","November 30, 2025","$15,141/Year",,,,,Merit-based and Need-based,4 years,"$15,141/Year (Resident), $49,341/Year (Non-resident)",Bachelor of Arts in Art,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,2.0,8.7%,Fall 2026,"August 1, 2025","November 30, 2025","$15,104/Year","$22,504",,,,"Merit-based, Need-based",4 years,"$15,104/Year",Bachelor of Arts in Art History,https://catalog.registrar.ucla.edu/browse/Departments/ArtHistory
42,College of Letters and Science,,4.0,3.0,9%,Fall 2026,"October 1, 2025","November 30, 2025","$15,222/Year (CA Resident); $49,428/Year (Non-resident)",,,,,"Merit-based, Need-based",4 years,"$15,222/Year (CA Resident); $49,428/Year (Non-resident)",Bachelor of Arts in Asian American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,3.0,9%,Fall 2026,"August 1, 2025","November 30, 2025",,,,,,Merit-based and Need-based,4 years,"$15,196/Year (California Resident); $49,396/Year (Non-Resident)",Bachelor of Arts in Asian Humanities,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,UCLA College (College of Letters and Science),,4.0,3.0,,Fall 2026,"August 1, 2025","November 30, 2025","$15,156/Year (California Resident); $51,114/Year (Non-resident)",,,,,Merit-based and Need-based,4 years,"$15,156/Year (California Resident); $51,114/Year (Non-resident)",Bachelor of Arts in Asian Languages and Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,2.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,196/Year (California Resident)",,,,,Merit-based and Need-based,4 years,"$15,196/Year (California Resident)",Bachelor of Arts in Asian Religions,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,International Institute,,4.0,3.4,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,190/Year (CA Resident); $49,390/Year (Non-Resident)",,,,,Merit-based and Need-based,4 years,"$49,390/Year",Bachelor of Arts in Asian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,UCLA College of Letters and Science,,4.0,3.4,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,222/Year (California Resident); $49,422/Year (Non-Resident)",,,"$2,000 (Regents Scholarship base)",,"Merit-based, Need-based",4 years,"$15,222/Year (California Resident); $49,422/Year (Non-Resident)",Bachelor of Science in Astrophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,3.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,196/Year (Resident), $49,396/Year (Non-resident)",,,,,Merit-based and Need-based,4 years,"$15,196/Year (Resident), $49,396/Year (Non-resident)",Bachelor of Science in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,3.0 (California residents) / 3.4 (Non-residents),9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,310 (California Residents) / $49,516 (Non-residents) per year",,,,,"Merit-based (e.g., Regents Scholarships) and Need-based (e.g., Blue and Gold Opportunity Plan)",4 years,"$15,310 (California Residents) / $49,516 (Non-residents) per year",Bachelor of Science in Atmospheric and Oceanic Sciences/Mathematics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,2.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,222/Year (Resident); $49,422/Year (Non-Resident)",,,,,"Merit-based, Need-based (e.g., Regents Scholarship, Chancellor’s Blue and Gold Opportunity Plan)",4 years,"$15,222/Year (Resident); $49,422/Year (Non-Resident)",Bachelor of Science in Biochemistry,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,Henry Samueli School of Engineering and Applied Science,,4.0,3.4,5.4%,Fall 2026,"August 1, 2025","November 30, 2025","$15,312/Year (California Resident); $49,512/Year (Non-resident)",,,,,Merit-based and Need-based,4 years,"$15,312/Year (California Resident); $49,512/Year (Non-resident)",Bachelor of Science in Bioengineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science (Division of Life Sciences),,4.0,3.4,9%,Fall 2026,"August 1, 2025","November 30, 2025","$14,436/Year",,,"$2,000",,Merit-based and Need-based,4 years,"$14,436/Year (California Residents); $48,636/Year (Non-residents)",Bachelor of Science in Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science (Department of Physics and Astronomy),,4.0,3.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,254/Year",,,,,"Merit-based (e.g., Regents Scholarship), Need-based",4 years,"$15,254/Year",Bachelor of Science in Biophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,2.5,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,213/Year",,,,,Merit-based and Need-based,4 years,"$15,213/Year",Bachelor of Arts in Business Economics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,3.4,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,312/Year (Resident); $49,518/Year (Non-Resident)",,,,,Merit-based and Need-based,4 Years,"$15,312/Year (Resident); $49,518/Year (Non-Resident)",Bachelor of Arts in Central and East European Languages and Cultures,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,Samueli School of Engineering,,4.0,3.4,5.3%,Fall 2026,"August 1, 2025","November 30, 2025","$15,310/Year",,,"$2,000 - $5,000/Year",,"Merit-based, Need-based",4 years,"$15,310/Year",Bachelor of Science in Chemical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,3.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,213/Year",,,,,Merit-based and Need-based,4 years,"$15,213/Year",Bachelor of Science in Chemistry,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHBnl8sv3OZ0ncoqQOGal25UEmrUcvD8GeVIHXDaYTgilpCV2wH64fWTehcpTvpae5dN1tpyPRR7L_A0jk4Ln9JCP8qnHJouFeB6pzVNUaG8G39hRaaml-LxhIJdGMCvNqfh5tPz6HFqEYd2JJCiVj1czSHdnDGeS8Nnu-ORBDX770dtbU2Nt7oTc1QsPXWsJ7y
42,College of Letters and Science,,4.0,2.0,8.8%,Fall 2026,"August 1, 2025","November 30, 2025","$15,311 (California Resident); $49,511 (Non-Resident)",,,,,Merit-based and Need-based,4 years,"$15,311 (California Resident); $49,511 (Non-Resident)",Bachelor of Science in Chemistry/Materials Science,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHqvx6hXvJf4Rk-K3OJ0bEdKIx6c9lu4gzZPBJhXYnYpsOQvN_VMDfHl1HXKRQ5872FHzLpHhdcErojApbzDr4mmGev-xqH1G0ULffnhm40aZ7M6Krk4AM-ocGXo0dXE_3HHLL7PujGraHkIFXssX8n5HZFMjEVyRUbU35GTSbAHyTEyXf4EhQY0zgYro25mvVf_4d2qQxRL6TjFsoktdKrXc6s
42,College of Letters and Science,,4.0,3.0,8.8%,Fall 2026,"August 1, 2025","November 30, 2025","$15,316/Year",,,,,Merit-based and Need-based,4 years,"$15,316/Year",Bachelor of Arts in Chicana and Chicano Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,3.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,222/Year",,,,,Merit-based and Need-based,4 years,"$15,222/Year (California Resident); $49,428/Year (Non-resident)",Bachelor of Arts in Chinese,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,Samueli School of Engineering,,4.0,3.0,5.8%,Fall 2026,"August 1, 2025","November 30, 2025","$15,312/Year",,,"$2,000/Year",,Merit-based,4 years,"$15,312/Year",Bachelor of Science in Civil Engineering,https://www.fst.um.edu.mo/cee/degrees/bachelor/
42,College of Letters and Science,,4.0,2.0,,Fall 2026,"August 1, 2025","November 30, 2025","$15,141/Year",,,"Up to $2,000",,Merit-based,4 years,"$15,141/Year",Bachelor of Arts in Classical Civilization,https://catalog.registrar.ucla.edu/browse/Departments/Classics
42,College of Letters and Science,,4.0,3.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,254/Year (California Resident); $49,454/Year (Non-resident)",,,,,"Merit-based, Need-based",4 years,"$15,254/Year (California Resident); $49,454/Year (Non-resident)",Bachelor of Science in Climate Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
42,College of Letters and Science,,4.0,2.0,9%,Fall 2026,"August 1, 2025","November 30, 2025","$15,057/Year (Resident); $51,411/Year (Non-Resident)",,,,,Merit-based and Need-based,4 years,"$15,057/Year (Resident); $51,411/Year (Non-Resident)",Bachelor of Science in Cognitive Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
