Program name,Program Page url
Bachelor of Science in Aerospace Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in African American Studies,https://catalog.registrar.ucla.edu/major/2021/africanamericanstudiesba?siteYear=2021
Bachelor of Arts in African and Middle Eastern Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in American Indian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in American Literature and Culture,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Ancient Near East and Egyptology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Anthropology,https://anthro.ucla.edu/academics/undergraduate/bachelor-of-arts/
Bachelor of Science in Anthropology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Applied Linguistics,https://linguistics.ucla.edu/wp-content/uploads/2021/09/APPLING_0074_GuideEffective_F21.pdf
Bachelor of Arts in Arabic,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Architectural Studies,https://aud.ucla.edu/academics
Bachelor of Arts in Art,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Art History,https://catalog.registrar.ucla.edu/browse/Departments/ArtHistory
Bachelor of Arts in Asian American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Asian Humanities,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Asian Languages and Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Asian Religions,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Asian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Astrophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Atmospheric and Oceanic Sciences/Mathematics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Biochemistry,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Bioengineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Biophysics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Business Economics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Central and East European Languages and Cultures,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Chemical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Chemistry,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHBnl8sv3OZ0ncoqQOGal25UEmrUcvD8GeVIHXDaYTgilpCV2wH64fWTehcpTvpae5dN1tpyPRR7L_A0jk4Ln9JCP8qnHJouFeB6pzVNUaG8G39hRaaml-LxhIJdGMCvNqfh5tPz6HFqEYd2JJCiVj1czSHdnDGeS8Nnu-ORBDX770dtbU2Nt7oTc1QsPXWsJ7y
Bachelor of Science in Chemistry/Materials Science,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHqvx6hXvJf4Rk-K3OJ0bEdKIx6c9lu4gzZPBJhXYnYpsOQvN_VMDfHl1HXKRQ5872FHzLpHhdcErojApbzDr4mmGev-xqH1G0ULffnhm40aZ7M6Krk4AM-ocGXo0dXE_3HHLL7PujGraHkIFXssX8n5HZFMjEVyRUbU35GTSbAHyTEyXf4EhQY0zgYro25mvVf_4d2qQxRL6TjFsoktdKrXc6s
Bachelor of Arts in Chicana and Chicano Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Chinese,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Civil Engineering,https://www.fst.um.edu.mo/cee/degrees/bachelor/
Bachelor of Arts in Classical Civilization,https://catalog.registrar.ucla.edu/browse/Departments/Classics
Bachelor of Science in Climate Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Science in Cognitive Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
Bachelor of Arts in Communication,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu)."
