Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Science in Aerospace Engineering,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",Not Required,Required,Not Required,Required,"Applicants must complete the University of California (UC) Application. As a freshman applicant, you must complete a minimum of 15 year-long high school courses (A-G requirements) with a grade of C or better, including at least 11 finished prior to your last year of high school. A minimum GPA of 3.0 (3.4 for non-residents) is required. Selection for the Samueli School of Engineering is based on academic achievement in high school, with a strong emphasis on a record in mathematics and science. Applicants are required to answer four out of eight Personal Insight Questions. UCLA will not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Samueli School of Engineering,"$15,222/Year",,,,,,,"The aerospace engineering program is designed for students interested in the design and development of aircraft and spacecraft. It is a four-year program that provides a broad and fundamental education in the engineering sciences and their application to the design and development of aeronautical and astronautical systems. The curriculum is based on a core of mathematics, physics, and chemistry, followed by a series of engineering science and design courses. Students are prepared for careers in the aerospace industry, in government, and in graduate study. The program is designed to provide students with the ability to apply knowledge of mathematics, science, and engineering; to design and conduct experiments, as well as to analyze and interpret data; to design a system, component, or process to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability; and to function on multidisciplinary teams.",,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).","The Aerospace Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,,,True,,4.0,3.4,5.7%,42,,,,,,,,,"$15,222/Year",,,,,,,False,False,,,120.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,Merit-based and Need-based,,,,,,,
,Bachelor of Arts in African American Studies,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",,,Not Required,Required,"To enter the African American Studies major, students must have an overall grade-point average of 2.0 or better and have completed African American Studies 1 with a grade of C or better. Preparation for the Major Required: African American Studies 1, 6, and one course from 88A, 88B, 88C, M102, or M104A.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Letters and Science,"$15,134/Year",,,,,,,"The African American Studies Department offers a multidisciplinary curriculum that provides students with a broad understanding of the African American experience. The program is designed to provide students with a deep understanding of the historical and contemporary issues facing African American communities, as well as the skills necessary to analyze and address these issues from a variety of perspectives. The major is intended to provide students with a broad-based education in the humanities and social sciences, while also offering opportunities for more specialized study in specific areas of interest.",,https://catalog.registrar.ucla.edu/major/2021/africanamericanstudiesba?siteYear=2021,,,,,False,,4.0,2.0,9%,42,,,,,,,,,"$15,134/Year",,,,,,,False,False,,,120.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
,Bachelor of Arts in African and Middle Eastern Studies,,,,,Associate,Fall 2026,,"August 1, 2025","November 30, 2025",Not Required,Required,Not Required,Required,"To be considered for admission to the Bachelor of Arts in African and Middle Eastern Studies, applicants must submit the University of California (UC) application. Freshman applicants must complete the A-G subject requirements (15 year-long high school courses with a grade of C or better) and meet the minimum GPA requirement. Transfer applicants should complete the required preparatory courses for the major and have reached junior standing. All applicants are required to complete the Personal Insight Questions as part of the application process. UCLA does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,,,,College of Letters and Science,"$14,436/Year (CA Resident); $48,636/Year (Non-Resident)",,,,,,Africa; Middle East,"The African and Middle Eastern Studies major is a multidisciplinary program that provides a broad foundation in the history, geography, and cultures of Africa and the Middle East. It is designed for students who wish to pursue a career in international affairs, government service, or international business, or who plan to pursue graduate study in the field. The program offers two concentrations: Africa and the Middle East.",,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,,,False,,4.0,2.0,,42,,,,,,,,,"$14,436/Year (CA Resident); $48,636/Year (Non-Resident)",,,,,,,False,False,,,120.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in American Indian Studies,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",Not Required,Required,Not Required,Required,"To apply for the Bachelor of Arts in American Indian Studies, applicants must meet the general admission requirements for the University of California. For freshman applicants, this includes the completion of 15 year-long academic courses (A-G status) with a 3.4 GPA or better for non-residents (3.0 for residents). For transfer applicants, requirements include junior-level standing (60 semester or 90 quarter transferable units) by the end of the prior spring term with a competitive GPA. UCLA is test-free and does not consider SAT or ACT scores for admission decisions.",Not Required,,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Letters and Science,"$15,223/Year",,,,,,,"The American Indian Studies Interdepartmental Program (IDP) provides an innovative and rigorous environment for students to study the histories, societies, and cultures of Native American and indigenous peoples. Our curriculum is multidisciplinary, drawing from history, law, politics, literature, and the arts, with a focus on tribal sovereignty, self-determination, and community engagement. The Bachelor of Arts in American Indian Studies is designed to equip students with critical analytical tools to understand the complex issues facing indigenous communities today.",,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,,,False,,4.0,3.0,8.8%,42,,,,,,,,,"$15,223/Year",,,,,,,False,False,,,130.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,Merit-based and Need-based,,,,,,,
,Bachelor of Arts in American Literature and Culture,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",Not Required,Required,Not Required,Required,"To be eligible for admission to UCLA, students must meet the University of California's minimum admission requirements, which include completing 15 year-long 'a-g' high school courses with a grade of C or better and maintaining a minimum GPA of 3.0 (3.4 for non-California residents). Additionally, applicants must complete the UC Application, including the Personal Insight Questions. For the American Literature and Culture major specifically, preparation includes completing the following lower-division courses: English 10A, 10B, 10C (or equivalent), and two additional courses from a specified list of literature, culture, and history electives.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,UCLA College (College of Letters and Science),"$15,312/Year (California Resident); $49,518/Year (Non-Resident)",,,,,,,"The American Literature and Culture major is designed for students who wish to focus their study on American literature and its cultural contexts. It provides an opportunity to study American literature in its historical, social, and cultural dimensions. Students explore the diversity of American literature and culture, including the contributions of various ethnic and social groups, while also examining the relationship between literature and other forms of cultural expression.",,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,"$21,114",,,False,,4.0,3.0 for California residents; 3.4 for non-residents,9%,42,,,,,,,,,"$15,312/Year (California Resident); $49,518/Year (Non-Resident)",,,,,,,False,False,,,120.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,Merit-based and Need-based,,,,,,,
,Bachelor of Arts in Ancient Near East and Egyptology,,,,,Associate,Fall 2026,,August 1,November 30,Not Required,Required,Not Required,Required,"To be considered for admission to UCLA, applicants must meet the University of California’s 'a-g' subject requirements by completing 15 year-long high school courses with a grade of C or better. Applicants must also have a minimum GPA of 3.0 (3.4 for non-residents) and submit the University of California application, which includes answering four out of eight Personal Insight Questions. UCLA is test-blind and does not consider SAT or ACT scores for admission or scholarship purposes.",Not Required,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Letters and Science,"$15,312/Year (California Residents); $49,512/Year (Non-Residents)",,,,,,Ancient Near East or Egyptology,"The Ancient Near East and Egyptology major is a multidisciplinary program that provides students with a broad and deep understanding of the civilizations of the ancient Near East and Egypt. The program covers the languages, history, archaeology, and cultures of these regions, from the earliest urban societies to the advent of Islam. Students can choose to focus their studies in one of two tracks: Ancient Near East or Egyptology.",,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,,,False,,4.0,3.0,9%,42,,,,,,,,,"$15,312/Year (California Residents); $49,512/Year (Non-Residents)",,,,,,,False,False,,,,,,,7.0,,,,,100.0,,,,,,,,,,,"$2,000/Year (Regents Scholarship)",,Merit-based and Need-based,,,,,,,
,Bachelor of Arts in Anthropology,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",Not Required,Required,Not Required,Required,"Preparation for the major (Anthropology 1, 2, 3, and 4) must be completed with a C or better in each course and a 2.0 GPA. Anthropology majors must complete 9 upper-division courses (at least 36 units) for the major. These include Anthropology 100, one course from each of the three core areas (Sociocultural, Archaeology, and Biological), and five elective upper-division anthropology courses.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Letters and Science,"$15,254/Year",,,,,,,"The Bachelor of Arts degree in Anthropology is for students who are interested in a broad-based approach to the study of humans. Students are encouraged to explore the four sub-fields of anthropology: archaeology, biological anthropology, linguistic anthropology, and sociocultural anthropology. The program provides students with a solid foundation in anthropological theory and methodology, while also allowing for flexibility in choosing elective courses that align with their specific interests.",,https://anthro.ucla.edu/academics/undergraduate/bachelor-of-arts/,,,,,False,,4.0,2.0,9%,42,,,,,,,,,"$15,254/Year",,,,,,,False,False,,,130.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Anthropology,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",Not Required,Required,Not Required,Required,"To apply for the Bachelor of Science in Anthropology, freshman applicants must complete the University of California application, including the Personal Insight Questions. UCLA uses a holistic review process that evaluates academic performance (including the 'a-g' requirements and GPA), extracurricular activities, and personal achievements. For transfer applicants, specific major preparation is required, including the completion of introductory courses in Biological Anthropology, Archaeology, Culture and Society, and Culture and Communication, as well as a science sequence involving Chemistry (General and Organic), Life Sciences (Evolution, Ecology, and Genetics), and Calculus.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,UCLA College,"$15,310/Year",,,,,,,"The Anthropology BS degree is for students interested in biological anthropology, archaeology, or both. It is particularly appropriate for those who intend to continue their education in graduate school in one of these areas or who intend to pursue a career in any of the health sciences. Students are required to take a set of core courses in biological anthropology and archaeology, as well as a selection of elective courses in these areas.",,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,,,True,,4.0,3.0,9%,42,,,,,,,,,"$15,310/Year",,,,,,,False,False,,,120.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,Merit-based and Need-based,,,,,,,
,Bachelor of Arts in Applied Linguistics,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",,Required,Not Required,Required,"Lower Division Requirements: All courses must be taken for a letter grade (C or better). 1. Foreign Language: Students must complete 6 quarters (or equivalent) of a foreign language. 2. Linguistics 1: Introduction to Language. 3. Linguistics 20: Introduction to Linguistics. 4. Applied Linguistics 30W: Language in Social Contexts. For current UCLA students, the application for the major requires completing the change of major form and submitting a personal statement.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Letters and Science (Division of Humanities),"$15,222/Year",,,,,,,"Applied Linguistics is an interdisciplinary field that studies language in its social and cognitive contexts. The Applied Linguistics major offers students the opportunity to learn how we use language to communicate, the relationship between language and culture, how children and adults learn first and second languages, and how to teach languages.",,https://linguistics.ucla.edu/wp-content/uploads/2021/09/APPLING_0074_GuideEffective_F21.pdf,,,,,False,,4.0,,9%,42,,,,,,,,,"$15,222/Year",,,,,,,False,False,,,120.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,Merit-based and Need-based,,,,,,,
,Bachelor of Arts in Arabic,,,,,Undergraduate,Fall 2026,,"August 1, 2025","November 30, 2025",Not Required,Required,Not Required,Required,"To be considered for admission to UCLA for the Bachelor of Arts in Arabic, freshman applicants must complete the University of California 'a-g' subject requirements with a grade of C or better, including history, English, mathematics, science, a language other than English, visual and performing arts, and a college-preparatory elective. Applicants must submit the UC application, which includes four Personal Insight Questions. For transfer applicants, admission is based on the completion of required preparatory courses and general education requirements; however, for the Arabic major specifically, no major preparation coursework is required prior to transfer, although students are encouraged to complete general education. UCLA is test-free and does not consider SAT or ACT scores for admission.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,UCLA College of Letters and Science,"$15,310/Year (California Residents); $49,510/Year (Non-residents)",,,,,,,"The major in Arabic provides students with a solid foundation in the Arabic language, literature, and culture. Students are required to take courses in Modern Standard Arabic as well as in the literature and culture of the Arab world.",,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,,,False,,4.0,3.0,9%,42,,,,,,,,,"$15,310/Year (California Residents); $49,510/Year (Non-residents)",,,,,,,False,False,,,120.0,,,,7.0,,,,,100.0,,,,,,,,,,,,,Merit-based and Need-based,,,,,,,
