Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error,level
,The accounting minor allows students to acquire analytical and technical skills that are helpful in a variety-of-business-related careers. The courses in the minor provide a foundation in accounting and a deep dive into the areas of financial and managerial accounting. This foundation will prepare students for more specialized accounting studies should they wish to continue their education in a graduate accounting program.,https://rady.ucsd.edu/programs/undergraduate-programs/accounting-minor/,,Minor,Accounting Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
"Aerodynamics and Fluid Mechanics, Astrodynamics and Space Applications, Aerospace Structures and Materials, Flight Dynamics and Controls","The B.S. program in aerospace engineering is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org. The aerospace engineering program is designed to provide students with a strong foundation in engineering fundamentals with an emphasis on aerospace-related topics. The program is structured to provide a broad introduction to the discipline of aerospace engineering and subsequently to allow the student to select a focus of study (a specialization) from one of the following four areas: (1) aerodynamics and fluid mechanics; (2) astrodynamics and space applications; (3) aerospace structures and materials; or (4) flight dynamics and controls. The mission of the aerospace engineering program is to provide its students with a strong technical education and the communication skills that will enable them to have successful careers as aerospace engineering professionals. The educational objectives of the aerospace engineering program are that, within a few years of graduation, our alumni will be engaged and advancing in aerospace engineering careers or other professional careers, and/or be engaged in and advancing in graduate studies in a related field.",https://catalog.ucsd.edu/curricricula-departments-programs/jacobs-school-of-engineering/mechanical-aerospace-engineering/aerospace-engineering-bs.html,Accredited by the Engineering Accreditation Commission of ABET,B.S.,Aerospace Engineering (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Aerothermodynamics,"The B.S. program in aerospace engineering is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org. The aerospace engineering program is designed to prepare students for a career in the aeronautical and astronautical industries, as well as for graduate study in these disciplines. The curriculum provides a strong foundation in the fundamental engineering sciences, including fluid mechanics, thermodynamics, solid mechanics, materials, and dynamics. It includes a sequence of two aerospace engineering design courses, one for conceptual design and the other for preliminary design. Core technical elective courses are offered in aerothermodynamics, astrodynamics and space applications, and aerospace systems. The specific courses for the major can be found in the MAE B.S. (Aerospace Engineering) four-year plan. Educational objectives for the program are listed on the department website at http://mae.ucsd.edu.",https://catalog.ucsd.edu/curric/MAE-ug.html,"The B.S. program in aerospace engineering is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",B.S.,Aerospace Engineering with a Specialization in Aerothermodynamics (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Astrodynamics and Space Applications,"The B.S. in aerospace engineering program is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org. The aerospace engineering program is designed to prepare students for a career in the aeronautical and astronautical industries and for graduate study in aerospace engineering and in other, related fields. The program provides a strong foundation in the fundamental disciplines of aerospace engineering: aerodynamics, fluid mechanics, thermodynamics, and heat transfer; solid mechanics and structures; propulsion; and flight mechanics, stability, and control. A series of aerospace engineering design courses is an essential feature of the program. These courses provide students with hands-on experience in the design of aerospace systems and components.",https://catalog.ucsd.edu/curric/MAE-ug.html,"The B.S. in aerospace engineering program is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",,Aerospace Engineering with a Specialization in Astrodynamics and Space Applications (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Flight Dynamics and Controls,"The aerospace engineering program is designed to prepare students for a career in the aeronautical and astronautical industries and for graduate study in aerospace and other engineering disciplines. The curriculum provides a strong foundation in the fundamental engineering sciences of mechanics, thermodynamics, materials, and electronics, and in the core aerospace disciplines of aerodynamics, flight mechanics, and control, and propulsion. All aerospace engineering majors must choose one of the following specializations: A. Aerothermodynamics, B. Astrodynamics and Space Applications, C. Aerospace Structures and Materials, or D. Flight Dynamics and Controls.",https://catalog.ucsd.edu/curric/MAE-ug.html,"The BS degree in aerospace engineering is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",B.S.,Aerospace Engineering with a Specialization in Flight Dynamics and Controls (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Propulsion,"The aerospace engineering program is designed to prepare students for a career in the aeronautical and astronautical industries and the related fields that require a solid foundation in the engineering sciences. The curriculum provides a strong background in the fundamentals of engineering, with an emphasis on the disciplines of aerodynamics, fluid mechanics, propulsion, flight mechanics, stability and control, and structural mechanics. A major component of the curriculum is a two-quarter senior design course in which students work in teams to design, build, and fly an aerospace vehicle or system.",https://catalog.ucsd.edu/curric/MAE-ug.html#aerospaceengineeringbs,"The BS program in aerospace engineering is accredited by the Engineering Accreditation Commission of ABET, http://www.abet.org.",B.S.,Aerospace Engineering with a Specialization in Propulsion (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,"The African American Studies Program (AASP) at UC San Diego offers an interdisciplinary minor focused on the histories and cultures of peoples of African descent in the United States and the broader African diaspora. Students take courses in a variety of fields and disciplines to explore the social, cultural, political, economic, and historical processes that have shaped the lives and communities of African-descended peoples. With its focus on issues of race, ethnicity, class, gender, and social justice, the African American studies minor is an excellent complement to any major. It prepares students for a wide range of professions as well as for graduate and professional school.",https://aasp.ucsd.edu/academics/minor.html,,Minor,African American Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
,The African studies minor is an interdisciplinary minor. Its goal is to provide a broad-based introduction to the study of Africa and to offer students a more intensive knowledge of a particular field or fields of African studies. The minor is especially useful for students who plan to work in Africa or who plan to go to graduate school in a field that has an Africanist component. Students who minor in African studies are encouraged to participate in the Education Abroad Program in Africa.,https://catalog.ucsd.edu/curric/AFR-mi.html,,Minor,African Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Archaeology,The archaeology concentration is designed for students interested in the study of past societies and their material culture. The concentration introduces students to the theories and methods of anthropological archaeology and provides them with a strong background in the scientific analysis of the past.,https://catalog.ucsd.edu/departments-programs-gs/ANTH.html#anthropology-archaeology,,B.A.,Anthropology (Archaeology) (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Biological Anthropology,"The anthropology major at UC San Diego is a holistic, four-field program that offers a wide range of courses in archaeological, biological, sociocultural, and linguistic anthropology. We emphasize scientific and interpretive approaches to the study of human evolution, human biology, cultural and social diversity, language, and the material record of human societies. The department offers a bachelor of arts and a bachelor of science degree in anthropology, as well as several concentrations. The department also offers a minor in anthropology.

This major focuses on the evolution of humans and other primates. This includes the study of human biology and variation; the fossil evidence for human evolution; and the behavior of human and nonhuman primates. Students who major in biological anthropology can pursue careers in medicine and public health, primatology, conservation biology, and forensic sciences, and can prepare for graduate school in biological anthropology and archaeology.",https://catalog.ucsd.edu/curric/ANTH-ug.html,,B.A.,Anthropology (Biological Anthropology) (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Climate Change and Human Solutions,"The concentration in climate change and human solutions provides students with the tools to understand the cultural, political, economic, and ecological dimensions of climate change. Students will learn about the disproportionate impacts of climate change on vulnerable communities in the United States and around the world. The concentration offers a unique, biocultural perspective on the social and health-related consequences of climate change as well as effective strategies for mitigation and adaptation. Students can choose to focus on courses related to a particular area of interest, such as sociocultural, archaeological, or biological anthropology. The major prepares students for graduate studies and a wide range of careers in education, research, and policy, including with nonprofit organizations, government agencies, and the private sector.",https://catalog.ucsd.edu/curricula-departments-programs/anthropology/anthropology-ug.html#majors,,B.A.,Anthropology (Climate Change and Human Solutions) (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Sociocultural Anthropology,"Sociocultural anthropology is the study of social and cultural diversity, of different ways of being human around the world. Whereas the traditional image of the sociocultural anthropologist is a researcher living for a year or more among a small, isolated, and preliterate group, contemporary sociocultural anthropology is equally concerned with the study of modern life. The specialization in sociocultural anthropology is organized to allow students a great deal of flexibility in designing a program that will suit their interests.",https://catalog.ucsd.edu/curricula-departments-programs/anthropology.html,,,Anthropology (Sociocultural Anthropology) (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Climate Change and Human Solutions,"This concentration focuses on the growing field of climate change and its implications for human societies, past, present, and future. Climate change is a complex problem that requires interdisciplinary and cross-cultural solutions. Anthropologists are uniquely positioned to address the sociocultural dimensions of climate change, from understanding the human causes and consequences of environmental transformation to analyzing the differential impacts on vulnerable communities. Students will learn about the science of climate change, its social and cultural drivers, and the diverse ways in which human societies are responding to its challenges. The curriculum provides a foundation in anthropological theory and methods, with a focus on environmental anthropology, political ecology, and science and technology studies. Students will gain skills in research, analysis, and communication, preparing them for careers in academia, government, nongovernmental organizations, and the private sector.",https://catalog.ucsd.edu/curric/ANTH-ug.html,,B.A.,Anthropology with a Concentration in Climate Change and Human Solutions (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
Archaeology,"The Minor in Anthropology with a concentration in Archaeology offers students the opportunity to learn about the human past through the analysis of material remains. Courses cover a wide range of topics in archaeology, including the origins of human culture; the development of social inequality; the relationship between archaeology and contemporary communities; and ancient civilizations throughout the world, including Egypt, the Near East, Mesoamerica, and the Andes. Students will also be introduced to the methods of archaeological research through courses with a hands-on component. The minor provides an excellent foundation for students interested in graduate studies in archaeology, and for careers in cultural resource management (CRM) and historic preservation.",https://anthro.ucsd.edu/undergraduate/minors/archaeology.html,,Minor,Anthropology-Archaeology Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California.",,
