QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
62,Rady School of Management,1.0,4.0,2.0,34.3% (Fall 2022),,,,"$18,416.03/Year (CA Resident)",,,,,"Merit-based, Restricted, Outside Agency",,"$13,752.00/Year (CA Resident)",Accounting Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
62,Jacobs School of Engineering,,4.0,2.0,24.7%,Fall 2026,"August 1, 2025","November 30, 2025",,,,"$500 to $40,000",,"Merit-based, Need-based",4 years,"$17,931/Year (in-state); $50,505/Year (out-of-state) for 2023-24",Aerospace Engineering (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
62,Jacobs School of Engineering,,4.0,2.0,23.7%,Fall 2026,"August 1, 2025","November 30, 2025","$18,414/Year",,,"Regents Scholarship provides $2,000/year; Chancellor's Scholarship provides up to $10,000/year.",,"Merit-based, Need-based",4 years,"$18,414/Year",Aerospace Engineering with a Specialization in Aerothermodynamics (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
72,Jacobs School of Engineering,,4.0,2.0,24.7%,Fall 2026,"August 1, 2025","November 30, 2025","$18,414/Year (CA Resident) or $52,614/Year (Non-Resident)",,,,,"Merit-based, Need-based",4 years,"$18,414/Year (CA Resident) or $52,614/Year (Non-Resident)",Aerospace Engineering with a Specialization in Astrodynamics and Space Applications (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
72,Jacobs School of Engineering,,4.0,2.0,17.4% (Fall 2023 for Jacobs School of Engineering),Fall 2026,"August 1, 2025 (Projected)","November 30, 2025 (Projected)","$18,414/Year for California residents, $51,468/Year for non-residents (2024-2025 rates)",,$360 per unit (Summer Session 2024 rate),"Varies, for example, the Regents Scholarship offers $5,000 per year.",,"Merit-based, Need-based, Leadership-based",4 years,"$18,414/Year for California residents, $51,468/Year for non-residents (2024-2025 rates)",Aerospace Engineering with a Specialization in Flight Dynamics and Controls (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
62,Jacobs School of Engineering,,4.0,2.0,24.7%,Fall 2026,"August 1, 2025","November 30, 2025","$17,097/Year",,,"$2,000 - $10,000 per year",,"Merit-based, Need-based",4 years,"$17,097/Year",Aerospace Engineering with a Specialization in Propulsion (B.S.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
62,Division of Social Sciences,,4.0,2.0,24.7% (Fall 2023),,,,,"$25,125 (average need-based); $7,203 (average non-need-based)",,,,"Merit-based, Need-based",,"CA residents: $18,416/Year; Non-residents: $52,616/Year (2024-2025)",African American Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
34,Institute of Arts and Humanities,,4.0,2.0,23.7% (fall 2023),,,,"$18,414/Year",,,,,"Merit-based, Need-based",,"$18,414/Year",African Studies Minor,"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
62,School of Social Sciences,,4.0,2.0,24.7%,Fall 2026,"August 1, 2025","November 30, 2025","$18,418/Year (California Resident); $52,618/Year (Non-resident)",,,,,"Merit-based, Need-based",4 years,,Anthropology (Archaeology) (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
62,School of Social Sciences,,4.0,2.0,24.7% (Fall 2023),Fall 2026,"August 1, 2025","November 30, 2025","$15,795/Year (CA Resident), $48,369/Year (Non-Resident)",,,,,"Merit-based, Need-based",4 years,"$15,795/Year (CA Resident), $48,369/Year (Non-Resident)",Anthropology (Biological Anthropology) (B.A.),"The official university website for the University of California San Diego is https://ucsd.edu. The university is a leading public research institution located in La Jolla, California."
