Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level
,"The Bachelor of Arts in Art and Design provides a broad education in the visual arts and prepares students to become skilled professionals in a wide variety of areas, including graphic design, illustration, photography, 3D modeling, web design, game design, animation, museum and gallery studies, art history and studio art. Our program is uniquely structured to allow students flexibility to explore the breadth of the visual arts, while developing expertise in an emphasis area such as graphic design, studio art, or art history and museum studies. Art and Design students at UHCL may choose to focus their studies in one of three emphasis areas: Studio Arts, Art History and Museum Studies, Graphic Design. Students in the Studio Arts emphasis area will develop hands-on skills in traditional artmaking, including painting, drawing, sculpture, and printmaking. Students in the Art History and Museum Studies emphasis area learn to analyze art from a historical and cultural perspective. They also gain knowledge and skills relevant to museum careers. Students in the Graphic Design emphasis area learn to create visual solutions to communication problems. They will gain skills in areas such as typography, branding, web design, and digital illustration.",https://www.uhcl.edu/academics/degrees/art-design-ba/,,Bachelor of Arts in Art and Design,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",
,"As a Communication major at University of Houston-Clear Lake, you’ll master the art of relaying messages, whether you’re broadcasting on a global scale or engaging in a one-on-one discussion. Our coursework emphasizes communication theory and its application, ethical practices, and cultural contexts, which will prepare you for a range of professional pursuits that require adaptable and effective communicators. A Bachelor of Arts in Communication degree from UHCL develops your analytical, rhetorical and creative skills through coursework in visual and digital media, interpersonal communication, professional speaking, and public relations. You can choose to study general communication, or specialize in public relations, organizational communication or digital media. From there, you’ll hone your skills by gaining experience in internships or service learning. Graduates of the program are well-prepared for entry-level positions in a variety of industries, or to pursue graduate school.",https://www.uhcl.edu/academics/degrees/communication-ba,,Bachelor of Arts in Communication,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",
"Administration and Management, Criminal Justice, Homeland Security","Do you want to study the motivations and prevention of criminal behavior? Or perhaps explore a career in law enforcement, probation or corrections? The Bachelor of Arts in Criminology and Criminal Justice at University of Houston-Clear Lake is a broad-based, interdisciplinary program that emphasizes both the theoretical foundations and the practical application of criminal justice research. Students are exposed to a variety of topics, including law enforcement, corrections, homeland security, juvenile justice, and forensic psychology, preparing them for a wide range of careers.",https://www.uhcl.edu/academics/degrees/criminology-criminal-justice-ba,,Bachelor of Arts in Criminology and Criminal Justice,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",
,,,,Bachelor of Arts in Geography,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",
,"The study of history introduces you to the evolution of human societies from prehistory to the present, giving you the skills to interpret social, political, economic, cultural and intellectual developments of the past. As a student in the Bachelor of Arts in History program at University of Houston-Clear Lake, you’ll develop valuable analytical and critical thinking skills while learning to evaluate historical evidence and construct compelling arguments. You'll work with faculty members who are dedicated to developing your skills as a historian, providing you with a strong foundation for a variety of careers or further graduate study.",https://www.uhcl.edu/academics/degrees/history-ba,,Bachelor of Arts in History,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",Bachelor of Arts
,"In the Bachelor of Arts in Humanities degree program at University of Houston-Clear Lake, you can gain a broad understanding of the arts, literature, philosophy and history that shape the human experience. With an interdisciplinary humanities degree, you can tailor your studies to topics that truly interest you, allowing you to choose from a vast array of courses in the arts, literature, philosophy, history, communication and other areas. A degree in humanities lets you explore a wide range of interests as you cultivate crucial skills desired by employers: critical thinking, writing, communication and problem-solving. It’s an ideal foundation for a career in nearly any industry, as well as for further graduate studies in a variety of fields, including law. This degree allows for a unique, interdisciplinary experience by letting you customize your degree plan. You’ll be able to shape your education around your unique interests, all while preparing for a fulfilling career. With the flexibility and unique study options, you'll be able to work with advisors to choose the courses that best align with your personal and professional goals. This includes choosing from areas of study like: Art and design, Communication, English and literature, History, Modern languages, Philosophy, Religious studies, World cultures and literatures.",https://www.uhcl.edu/academics/degrees/humanities-ba,,Bachelor of Arts in Humanities,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",
Teacher Certification Option,"Through the Bachelor of Arts in Literature at University of Houston-Clear Lake, you can experience a stimulating journey into the written world, where you'll cultivate analytical skills that prepare you for a variety of careers. You'll engage with diverse literary texts, from classic to contemporary, and explore the vast landscape of human experience and expression. The Bachelor of Arts in Literature at UHCL offers a comprehensive exploration of literary history, theory, and criticism. Through rigorous coursework, you'll develop critical thinking, communication, and research abilities essential for success in today's dynamic world. Our dedicated faculty members, who are experts in their fields, provide personalized attention, ensuring a rich and rewarding learning experience. You’ll explore the vast landscape of human experience and expression, from classic to contemporary literary texts. A Bachelor of Arts in Literature from UHCL prepares you for a wide array of career paths, including: Writing and editing, Journalism and publishing, Education, Law and public policy, Marketing and public relations, Library and information science, Nonprofit work.",https://www.uhcl.edu/academics/degrees/literature-ba/,,Bachelor of Arts in Literature,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",BA
,"The Bachelor of Arts in Psychology program at University of Houston-Clear Lake offers you the opportunity to build a solid educational foundation in psychology, focusing on general applications in a variety of fields. Students pursuing a BA in psychology typically have broad interests and are looking for a flexible curriculum that will prepare them for careers in social services, human resources, business, education, or for advanced studies in law or other fields. If you are interested in a career in psychology or human services, you should consider the Bachelor of Science in Psychology program. If you are a transfer student, UHCL welcomes you. Our students benefit from learning in a diverse environment and have opportunities to learn outside the classroom through participation in community-engaged learning and faculty-mentored research.",https://www.uhcl.edu/academics/degrees/psychology-ba,,Bachelor of Arts in Psychology,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",
,"The Bachelor of Arts in Sociology offers a comprehensive curriculum that introduces students to the study of social life, social change, and the social causes and consequences of human behavior. Students will develop a strong foundation in sociological theory and research methods, while exploring topics such as social inequality, crime and deviance, family, religion, race and ethnicity, gender, globalization, and urban sociology.

Through a rigorous coursework and hands-on learning experiences, students will cultivate critical thinking skills, analytical abilities, and a deep understanding of complex social issues. The program emphasizes ethical considerations in research and practice, preparing students to contribute positively to society. Graduates are well-prepared for diverse career paths in areas such as social services, government, non-profit organizations, education, and research, or to pursue graduate studies in sociology or related fields.",https://www.uhcl.edu/academics/degrees/sociology-ba/,,Bachelor of Arts in Sociology,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",
,"The Bachelor of Applied Science (BAS) in Healthcare Services prepares students to enter and advance in various healthcare services and administrative careers. The curriculum builds on previous college-level work, including an Associate of Applied Science (AAS) degree or at least 42 semester credit hours of academic courses, and emphasizes the critical skills necessary for successful leadership and management roles. Students develop competencies in healthcare administration, finance, legal and ethical issues, human resources, and health information technology. The program aims to produce graduates who can effectively navigate the complexities of the healthcare system, improve patient care, and contribute to organizational efficiency. The program is designed for students with existing allied health credentials or significant healthcare work experience, offering a flexible pathway to a bachelor's degree while accommodating their professional commitments.",https://www.uhcl.edu/academics/degrees/healthcare-services-bas/,,Bachelor of Applied Science in Healthcare Services,"The official university website for the University of Houston-Clear Lake is www.uhcl.edu.

The University of Houston-Clear Lake (UHCL) is a public university located in Pasadena and Houston, Texas, with additional campuses in Pearland and the Texas Medical Center. It is a part of the University of Houston System. The university is situated on a 524-acre nature preserve near the NASA Johnson Space Center. UHCL offers a variety of undergraduate, graduate, and doctoral programs to its student body.",
