QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
"#1 public university in the United States (QS World University Rankings, 2023-24)",Stephen M. Ross School of Business,,,,18%,Fall 2026,,,"Upper Division (Junior/Senior): Resident: $20,282/Year; Non-Resident: $64,484/Year",,,,,"Need-based, Merit-based",,,"Accounting, BBA",https://admissions.umich.edu/academics-majors/majors-degrees
33,"College of Literature, Science, and the Arts",,,,,Fall 2026,,,,,,,,Merit-based and Need-based,,,"Actuarial Mathematics, AB, BS",https://admissions.umich.edu/academics-majors/majors-degrees
,College of Engineering,,4.0,,,Fall 2026,,,,,"Resident: $1,691 per credit hour, Non-Resident: $3,054 per credit hour (for Lower Division Engineering)",,,"Need-based, Merit-based, Residency-based",4 years,"Resident: $19,000/Year, Non-Resident: $63,600/Year (for Lower Division Engineering, 2024-2025 rates)",Aerospace Engineering,https://admissions.umich.edu/academics-majors/majors-degrees
,"College of Literature, Science, and the Arts",,,,,Fall 2026,,,,,,,,"Need-based, merit-based, talent-based, or academic interest-based",4 years,,Afroamerican and African Studies,https://admissions.umich.edu/academics-majors/majors-degrees
,"College of Literature, Science, and the Arts",,,,,Fall 2026,,,,,,,,"Need-based, Merit-based",4 years,"LSA (Lower Division): In-state - $17,228/Year, Out-of-state - $58,072/Year. LSA (Upper Division): In-state - $19,300/Year, Out-of-state - $61,772/Year",American Culture,https://admissions.umich.edu/academics-majors/majors-degrees
,"College of Literature, Science, and the Arts",,,,18%,,,,"In-state: $17,228 - $19,484 per year; Out-of-state: $58,072 - $62,156 per year",,,,,"Merit-based, Need-based",,"In-state: $17,228 - $19,484 per year; Out-of-state: $58,072 - $62,156 per year",Anthropology,https://admissions.umich.edu/academics-majors/majors-degrees
,College of Engineering,,,,19%,Fall 2026,,,"Michigan Resident: $17,994/Year; Non-Michigan Resident: $60,208/Year",,,,,"Need-based, Merit-based",,"Michigan Resident: $17,994/Year; Non-Michigan Resident: $60,208/Year",Applied and Engineering Physics,https://admissions.umich.edu/academics-majors/majors-degrees
33,,,,,17.8%,,,,,,,,,"Merit-based, Need-based",,,Applied Arts,https://admissions.umich.edu/academics-majors/majors-degrees
,School of Kinesiology,,4.0,,,Fall 2026,,,"Michigan Resident: $17,228 - $18,078/Year; Non-Resident: $58,072 - $62,356/Year (for Lower-Division Kinesiology students, 2024-2025 rates)",,,,,"Merit-based, need-based",Four-year undergraduate degree,"Michigan Resident: $17,228 - $18,078/Year; Non-Resident: $58,072 - $62,356/Year (for Lower-Division Kinesiology students, 2024-2025 rates)",Applied Exercise Science,https://admissions.umich.edu/academics-majors/majors-degrees
,School of Kinesiology,,4.0,,18%,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Applied Fitness and Conditioning,https://admissions.umich.edu/academics-majors/majors-degrees
