Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,"Accounting, BBA",,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"Prospective students apply for Preferred Admission to the Ross School of Business while applying as a first-year to the University of Michigan. Applicants must select the College of Literature, Science, and the Arts (LSA), the College of Engineering (CoE), or the School of Kinesiology as their home school on the Common Application and then indicate their interest in Ross on the U-M Member Questions page. The application requires the standard U-M materials (Common App, high school transcript, School Report, teacher recommendation, application fee) plus the Ross Admissions Portfolio, which includes a business case discussion based on a chosen current event and an artifact showcasing teamwork and communication skills.",Required,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,Stephen M. Ross School of Business,,,,,,,,"The Bachelor of Business Administration (BBA) degree program is a full-time, four-year undergraduate business program. It provides an opportunity to develop business acumen and leadership skills in a challenging, yet supportive, student-centered environment. Ross BBAs get a comprehensive education that includes business fundamentals, liberal arts courses, a required international experience, and a capstone course in which they start and run a real business. First-year applicants may apply directly to Ross for preferred admission consideration. Students not admitted to Ross through preferred admission may apply to Ross as a transfer student from another U-M unit, such as LSA, at the end of their first year.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,False,,,,18%,"#1 public university in the United States (QS World University Rankings, 2023-24)",,,,,,,,,"Upper Division (Junior/Senior): Resident: $20,282/Year; Non-Resident: $64,484/Year",,,,,,,False,False,,,130.0,,,,7.0,,,68.0,,100.0,,,,,,,,,,,,,"Need-based, Merit-based",,,,,,,
,"Actuarial Mathematics, AB, BS",,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,True,True,True,False,False,,,,"College of Literature, Science, and the Arts",,,,,,,,"Actuaries are professionals who work in the insurance and financial services industries. Their work is to analyze the financial consequences of risk. They use mathematics, statistics, and financial theory to study uncertain future events. Actuarial mathematics is the body of mathematics that is used by these professionals. Traditionally, actuarial mathematics has dealt primarily with the mathematics of life insurance, health insurance, property and casualty insurance, pensions, and social insurance. More recently, actuarial mathematics has grown to include the study of financial risk in a much wider setting. Examples of this are the pricing of stock options and other financial derivatives, and the development of sophisticated investment strategies.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,130.0,,,,7.0,,,68.0,,100.0,,,,,,,,,,,,,Merit-based and Need-based,,,,,,,
,Aerospace Engineering,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"First-year applicants to the College of Engineering must submit either the Common Application or the Coalition Application, which includes University of Michigan-specific essays. Additional required materials include a high school transcript, a School Report, and one teacher recommendation. An application fee of $75 or a fee waiver is also required. Submission of SAT or ACT scores is optional.",Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False,,,,College of Engineering,"Resident: $19,000/Year, Non-Resident: $63,600/Year (for Lower Division Engineering, 2024-2025 rates)",,,,,,,"Aerospace Engineering is the branch of engineering that deals with the design, analysis, testing, and production of aircraft, spacecraft, and related systems. Our undergraduates develop a solid foundation in the fundamentals of aerodynamics and propulsion, structural mechanics and materials, and flight dynamics and control systems. The program culminates in a senior-level capstone design course that gives students the opportunity to work in teams to design a complete aerospace vehicle system, such as a passenger aircraft, helicopter, satellite, or interplanetary probe.",,https://admissions.umich.edu/academics-majors/majors-degrees,"The Aerospace Engineering undergraduate program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,"Resident: $1,691 per credit hour, Non-Resident: $3,054 per credit hour (for Lower Division Engineering)",,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,130.0,,,,7.0,,,68.0,,100.0,,,,,,,,,,,,,"Need-based, Merit-based, Residency-based",,,,,,,
,Afroamerican and African Studies,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"To apply for first-year admission, applicants must submit The Common Application or Coalition Application, including the University of Michigan Questions. Additional requirements include a high school transcript, a School Report (or Counselor Recommendation), one teacher recommendation, and a $75 application fee or fee waiver. English proficiency test scores are required for non-native English speakers. Submission of SAT or ACT scores is optional.",Not Required,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,"College of Literature, Science, and the Arts",,,,,,,"['African Studies', 'Afroamerican and African Diaspora Studies']","The Department of Afroamerican and African Studies (DAAS) at the University of Michigan provides a multidisciplinary and interdisciplinary program of study about the history, culture, and society of Africa and the African diaspora. With over twenty core faculty members who conduct research on the African continent, the Caribbean, Latin America, and the United States, DAAS offers students a wide range of courses and concentrations that analyze the economic, political, and cultural formations of the African diaspora. Our courses expose students to current debates and new fields of knowledge and prepare them for careers in education, social work, law, public policy, and many other fields.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,False,,,,,,,,,,,,,,,,,,,,,False,False,,,102.0,,,,7.0,,,68.0,,100.0,,,,,,,,,,,,,"Need-based, merit-based, talent-based, or academic interest-based",,,,,,,
,American Culture,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,True,True,True,False,False,,,,"College of Literature, Science, and the Arts","LSA (Lower Division): In-state - $17,228/Year, Out-of-state - $58,072/Year. LSA (Upper Division): In-state - $19,300/Year, Out-of-state - $61,772/Year",,,,,,"['Arab and Muslim American Studies', 'Asian/Pacific Islander American Studies', 'Digital Studies', 'Latina/o Studies', 'Native American Studies']","The American Culture (AC) major offers an interdisciplinary approach to the study of United States society and culture. You’ll examine the country from multiple perspectives, drawing on sources from literature, history, the arts, and the social sciences. The program emphasizes the multicultural diversity of the American experience, asking you to look at the country through the lenses of race, ethnicity, class, gender, and religion. You will explore America in the contexts of its global and transnational relationships as well as the impact of its domestic diversity.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,7.0,,,68.0,,100.0,,,,,,,,,,,,,"Need-based, Merit-based",,,,,,,
,Anthropology,,,,,Undergraduate,,,,,Required,Required,Not Required,Required,"An Academic Statement of Purpose is required. A Personal Statement is required. Three letters of recommendation are required. A curriculum vitae (CV) or resume is required. A writing sample is required (a piece of scholarly writing, e.g., a term paper, an honor’s or master’s thesis chapter, or a published article of no more than 15-30 double-spaced pages). The GRE General Test is not required.",Required,,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,,,,"College of Literature, Science, and the Arts","In-state: $17,228 - $19,484 per year; Out-of-state: $58,072 - $62,156 per year",,,,,,"['Biological Anthropology', 'Archaeology', 'Sociocultural Anthropology', 'Linguistic Anthropology', 'General Anthropology']","Anthropology is the study of humankind from a broad comparative and historical perspective. The field is traditionally divided into four subfields: biological anthropology, archaeology, sociocultural anthropology, and linguistic anthropology. Because of its breadth, a major in anthropology is an excellent foundation for a liberal arts education and can be a bridge to many other disciplines in the humanities (e.g., history, classics), the social sciences (e.g., sociology, psychology), and the natural sciences (e.g., biology, geology, environmental science).",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,False,,,,18%,,,,,,,,,,"In-state: $17,228 - $19,484 per year; Out-of-state: $58,072 - $62,156 per year",,,,,,,False,False,,,130.0,,,,7.0,,,68.0,,100.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Applied and Engineering Physics,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Engineering,"Michigan Resident: $17,994/Year; Non-Michigan Resident: $60,208/Year",,,,,,,"The BSE in Applied Physics is jointly administered by the Department of Physics and the College of Engineering. It is intended for students who want to apply the principles of physics to the development of new technology. Students can choose to concentrate in an area of engineering or pursue an interdisciplinary course of study. Applied Physics students take core courses in physics and mathematics, as well as a selection of engineering courses chosen to provide a solid foundation in the engineering discipline of their choice. They also receive training in the design of experiments and in the process of technological innovation. With its combination of a solid background in basic science and an introduction to engineering, the Applied Physics program is excellent preparation for graduate study in either physics or engineering.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,,,,,19%,,,,,,,,,,"Michigan Resident: $17,994/Year; Non-Michigan Resident: $60,208/Year",,,,,,,,,,,120.0,,,,6.5,,,68.0,,84.0,,,,,,,,,,,,,"Need-based, Merit-based",,,,,,,
,Applied Arts,,,,,Undergraduate,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,False,,,,17.8%,33,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Applied Exercise Science,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,School of Kinesiology,"Michigan Resident: $17,228 - $18,078/Year; Non-Resident: $58,072 - $62,356/Year (for Lower-Division Kinesiology students, 2024-2025 rates)",,,,,,,"The Applied Exercise Science (AES) undergraduate program prepares students to be leaders in a variety of fields related to health, fitness, and the prevention and treatment of chronic disease. AES provides a strong science-based academic background, comprehensive professional development, and practical hands-on experiences to enable students to excel in a variety of health-related careers, including physical therapy, occupational therapy, physician assistant, medicine, and corporate wellness/fitness.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,,,4.0,,,,,,,,,,,,"Michigan Resident: $17,228 - $18,078/Year; Non-Resident: $58,072 - $62,356/Year (for Lower-Division Kinesiology students, 2024-2025 rates)",,,,,,,,,,,130.0,,,,7.0,,,68.0,,100.0,,,,,,,,,,,,,"Merit-based, need-based",,,,,,,
,Applied Fitness and Conditioning,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,,"To be considered for admission, first-year applicants will need to submit the following: Common Application or Coalition Application, High school transcript, School Report, One teacher evaluation, and English proficiency scores if applicable. The University of Michigan will be test-optional for the 2024-2025 application cycle, so applicants can choose whether to submit ACT/SAT scores.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Kinesiology,,,,,,,,"The Applied Fitness and Conditioning major prepares students for careers in applied exercise physiology, strength and conditioning, corporate wellness, and for graduate study in a number of health- and fitness-related fields. The required coursework addresses the American College of Sports Medicine (ACSM) standards and prepares students for their nationally accredited certifications (e.g., certified personal trainer, certified exercise physiologist). Students also have the opportunity to take advanced coursework in athletic training, biomechanics, exercise physiology, motor control, and sport management.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,,True,,4.0,,18%,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
