Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,"Accounting, BS",,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,College of Business,,,,,,,,"The accounting program helps students prepare for a variety of careers in accounting, finance and business, including positions as CPAs, auditors, tax accountants, financial analysts and forensic accountants. The Bachelor of Science degree in accounting prepares students to pursue certification as a CPA in Texas or in other states that require 150 hours of college credit. The program satisfies the undergraduate requirements for admission to the Master of Science degree in accounting or the MBA with a concentration in accounting. The BS in accounting provides a broad understanding of accounting issues for those who plan to pursue careers in accounting and business. In addition, the program serves as a strong foundation for students who plan to pursue graduate studies in accounting, business, or law. The program is accredited by AACSB International.",,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,Accredited by AACSB International.,,,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,"Academic Merit, Leadership, Extracurricular Activities, Special Talents, Financial Need",,,,,,,
,"Accounting, BS/MS",,,,,Undergraduate,,,,,,,Either,Required,"Students should apply to the BS/MS program during their junior year. They must have completed at least 60 hours toward a bachelor's degree at the time of application. Students must apply for admission to the College of Business, G. Brint Ryan College of Business Department of Accounting, and the Toulouse Graduate School. The requirements for admission to the BS/MS program are: Overall GPA of 3.25 or greater; GPA of 3.25 or greater in all accounting courses (ACCT 3110, ACCT 3210, ACCT 3310, ACCT 3410 and ACCT 4400); GPA of 3.25 or greater in all professional field of study courses (BANA 2010, BANA 2030, BCIS 3610, ECON 1100, ECON 1110, FINA 3770, MGMT 3830 and MKTG 3650); Applicants must complete the GMAT or GRE (with a combined verbal and quantitative score of 300 on the revised GRE or 1000 on the old GRE, or a GMAT score of 500) and must apply for graduate admission to the Toulouse Graduate School. Students must satisfy the minimum requirements for admission to the graduate program.",,,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,,,,College of Business,,,,,,,,"The Bachelor of Science/Master of Science in accounting (BS/MS) program is designed for students seeking to qualify for the Uniform CPA Examination while simultaneously earning both a bachelor’s degree and a master’s degree in a focused and efficient timeframe. The BS/MS accounting program offers high-ability students the opportunity to earn both degrees in as little as five years. Students applying for the BS/MS accounting program must select a graduate major: Accounting, MS, or Taxation, MS. For specific requirements for these programs, please refer to the College of Business, Department of Accounting, website. Admission to the BS/MS program is competitive and requires a separate application from the general university admission process.",,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,,,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,"Merit-based, Need-based, Specific background",,,,,,,
,Acoustics (Minor),,,,,Undergraduate,,,,,Not Required,Not Required,,,,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Science,,,,,,,,"The minor in acoustics is an interdisciplinary program designed to give students a basic understanding of acoustical principles. The minor is offered by the College of Engineering and the College of Music in collaboration with the Department of Physics. Students completing this minor will gain knowledge in the measurement, analysis, and perception of sound, and will be prepared to apply this knowledge to a wide variety of careers including architectural acoustics, audio engineering, environmental noise, and biomedical acoustics.",,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,,,True,,,2.5,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,"Addiction Studies, BS",,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Education,,,,,,,,"Addiction is one of society's most complex and challenging problems. It is an epidemic that impacts individuals, families, communities, and nations. The University of North Texas has developed a comprehensive Bachelor of Science degree in Addiction Studies to prepare students to be leaders in the addiction profession. This program provides a strong foundation in addiction theory, prevention, treatment, and recovery. Students will learn about the biological, psychological, sociological, and spiritual aspects of addiction, as well as the legal and ethical considerations of working with individuals and families affected by addiction. The curriculum emphasizes evidence-based practices, cultural competence, and interdisciplinary collaboration. Upon completion of the program, students will be prepared for a variety of entry-level positions in the addiction field, including addiction counselor, prevention specialist, case manager, and recovery coach. The program also provides a solid foundation for graduate studies in addiction, counseling, social work, and related fields.",,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Addiction Studies (Minor),,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,,"A minimum of 18 hours, 9 of which must be advanced, is required for the minor. A minimum of 6 advanced hours must be completed at UNT. A minimum 2.0 GPA is required on all courses that apply to the minor. Students must meet the university requirements for minors. Courses to be applied to the minor may not be taken on a pass/no pass basis. The minor is open to all majors. The minor is only available to undergraduate students. Students interested in a minor in Addiction Studies should contact the Department of Behavior Analysis.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Health and Public Service,"$6,373.00/Semester (based on 15 SCH for Texas Resident Undergraduate, 2023-2024)",,,,,,,"The Addiction Studies minor, housed in the Department of Rehabilitation and Health Services, provides students with an understanding of addictive behaviors. The minor is designed to serve students interested in working in the addiction field. The curriculum provides core competencies required for certification as an LCDC (Licensed Chemical Dependency Counselor) in Texas. Students are responsible for verifying specific certification requirements with the Texas Health and Human Services Commission.",,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,"$424.87/Credit (estimated, based on 15 SCH for Texas Resident Undergraduate, 2023-2024)",,False,,4.0,2.0,,,,,,,,,,,"$6,373.00/Semester (based on 15 SCH for Texas Resident Undergraduate, 2023-2024)",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Advertising, BA",,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,G. Brint Ryan College of Business,,,,,,,,"The Bachelor of Arts degree with a major in advertising emphasizes creativity and problem-solving skills in developing advertising messages for a variety of media. Students learn strategic planning, media placement and research in preparation for careers as advertising professionals. Advertising faculty members have extensive professional experience and actively engage students in creative work and research. Many students gain professional experience through internships at advertising agencies or with corporate marketing departments. The major prepares students for careers in media planning, account management, creative services, production, research and other areas in advertising.",,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,100.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,,,,,,,,,,
,Advertising (Minor),,,,,Undergraduate,,,,,Not Required,Not Required,,,,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Business,"Resident: $12,142/Academic Year; Non-Resident: $23,782/Academic Year",,,,,,,,,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,,,False,,4.0,2.5,,,,,,,,,,,"Resident: $12,142/Academic Year; Non-Resident: $23,782/Academic Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Presidential Scholarships, UNT Excellence Scholarships, Transfer Excellence Scholarships, various departmental scholarships, private scholarships",,,,,,,
,Aerospace Studies (Minor),,,,,Undergraduate,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Social Sciences,,,,,,,,"The Aerospace Studies minor is designed to provide students with a foundational understanding of aerospace power and its role in national security. Students will learn about the history of air power, the development of military aviation, and the organization and operations of the United States Air Force and Space Force. The minor complements a wide range of academic majors, offering a unique perspective on leadership, global affairs, and technological advancement within the aerospace domain. It also serves as an excellent foundation for students considering a commission in the U.S. Air Force or U.S. Space Force through the Air Force Reserve Officer Training Corps (AFROTC) program, though enrollment in AFROTC is not required to pursue the minor.",,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Africana Studies (Minor),,,,,Undergraduate,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Social Sciences,,,,,,,,"The Africana Studies minor is an interdisciplinary program designed to give students a systematic and critical understanding of the experiences of African peoples in the United States, Africa, and the Caribbean. Drawing primarily upon the insights and methods of the social sciences and humanities, the curriculum focuses on topics such as the history of African peoples, socio-economic and political developments, cultural forms, and gender issues. The minor provides an excellent foundation for students interested in careers in teaching, government, law, social work, business, journalism, or public policy. It is also an excellent option for students planning to pursue graduate studies in Africana studies or related fields.",,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,American Sign Language (Minor),,,,,Undergraduate,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Liberal Arts and Social Sciences,,,,,,,,,,https://catalog.unt.edu/content.php?catoid=37&navoid=4292,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
