QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$66,154/Year",,,,,Need-based,4 years,58620,"Africana Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,60920,,,,,,4 years,"$60,920/Year","Ancient History, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,,,,"$58,620/Year","$62,442",,,,Need-based,4 years,"$58,620/Year","Anthropology, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,,4.0,2.0,,,,,"$60,920/Year",,,,,"Need-based, Grant-based",16 course units,"$60,920/Year","Architecture, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,,2.0,,Fall 2026,,,,"$63,600",,,,Need-based,4 years,,"Biochemistry, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,School of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$64,438/Year",,"$7,328/c.u.",,,Need-based,4 years,"$58,620/Year","Biology, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,5.0,4.0,2.0,,,,,58620,,"7,328/c.u.",,,Need-based,8 semesters,,"Biophysics, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,School of Arts & Sciences,,4.0,2.0,,,,,"$60,920/Year",,"$7,616/Credit",,,"Need-based, Merit-based",4 years,"$60,920/Year","Chemistry, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,5.0,4.0,2.0,,,,,"$58,620/Year",,"$7,328/course unit",,,Need-based,4 years,"$58,620/Year","Cinema and Media Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,,4.0,2.0,,,,,,,,,,Need-based,4 years,,"Classical Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$58,620/Year",,"$7,328 per course unit",,,Need-based,4 years,"$58,620/Year","Cognitive Science, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,School of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$60,920/Year",,,,,Need-based,4 years,"$60,920/Year","Communication, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,66884,,8300,,,,4 years,60920,"Comparative Literature, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,School of Arts & Sciences,5.0,4.0,2.0,,,,,5582,,7328,,,,4 years,58620,"Criminology, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts and Sciences,,4.0,2.0,,,,,58620,,,,,,4 years,"$58,620/Year","Design, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$58,620/Year",,,,,"Grant-based, Need-based",4 years,"$58,620/Year","Earth and Environmental Science, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,,,,"$58,620/Year",,,,,Need-based grants,4 years,58620,"East Asian Languages and Civilizations, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$66,588/Year",,"$7,615/CU",,,Need-based,4 years,"$60,920/Year","Economics, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,School of Arts & Sciences,,4.0,2.0,,,,,60920,,,,,Need-based,4 years,60920,"English, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,58620,,"$7,328/Course Unit",,,,4 years,"$58,620/Year","Environmental Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,60920,,,,,,4 years,60920,"Fine Arts, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,,,,"$66,186/Year",,,,,,4 years,"$66,186/Year","Francophone, Italian and Germanic Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,9330,,7615,,,,4 years,60920,"Gender, Sexuality, & Women's Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,School of Arts and Sciences,8.0,4.0,2.0,,Fall 2026,,,,,,,,"Need-based (including Penn Grant, Federal Pell Grant, FSEOG, State Grants)",4 years,"$60,920/Year","Health and Societies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$68,644/Year",66694,,,,Need-based,4 years,60920,"Hispanic Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$58,620/Year",,"$7,328/course unit",,,Need-based,4 years,"$58,620/Year","History of Art, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$58,620/Year",,"$7,328/course unit",,,Need-based,4 years,"$58,620/Year","History, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,3.0,,Fall 2026,,,"$60,920/Year",,,,,"Need-based (e.g., Penn Grant, Named Scholarships)",4 years,"$60,920/Year","Individualized Major, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,,4.0,2.0,,,,,68552/Year,,7615/course unit,,,Need-based,4 years,68552/Year,"International Relations, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$7,474/Year","$60,000",,,,Need-based,4 years,"$58,620/Year","International Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,,4.0,2.0,,,,,"$60,920/Year",,,,,Need-based,4 years,"$60,920/Year","Jewish Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,"$60,920/Year",,"$8,296",,,,4 years,"$60,920/Year","Latin American & Latinx Studies, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
,The College of Arts & Sciences,,4.0,2.0,,,,,"$58,620/Year",,,,,Need-based,4 years,"$58,620/Year","Law and Society, BA",https://catalog.upenn.edu/undergraduate/arts-sciences/majors/
