Program name,Program Page url
3-D Animation in Cinematic Arts Minor,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
3-Dimensional Design Minor,https://catalogue.usc.edu/content.php?catoid=11&navoid=3429&p2339=2&print=&expand=1
Accounting Minor,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Addiction Science Minor,https://catalogue.usc.edu/preview_program.php?catoid=12&poid=16590
Advertising Minor,https://annenberg.usc.edu/academics/minors
African American Studies,https://dornsife.usc.edu/ase/undergraduate/
American Studies and Ethnicity,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Anthropology (Visual Anthropology),https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Asian American Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Behavioral Economics and Psychology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Biokinesiology and Physical Therapy,https://en.wikipedia.org/wiki/USC_Division_of_Biokinesiology_and_Physical_Therapy
Biophysics,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Central European Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Chicano/Latino Studies,https://dornsife.usc.edu/ase/bachelor-of-arts-chicano-latino-studies/
Computational Linguistics,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=8153&hl=linguistic&returnto=search
Computational Neuroscience,https://catalogue.usc.edu/preview_degree_planner.php?catoid=6&poid=5372&print
Contemporary Latino and Latin American Studies,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=8103
Data Science Program,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Economics and Data Science,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Economics/Mathematics,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Environmental Science and Health,https://dornsife.usc.edu/environmental-studies/environmental-science-and-health-major/
Film & Television Production,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
French,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
French and Italian,https://catalogue.usc.edu/content.php?catoid=16&navoid=6200
Gender and Sexuality Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Geodesign,https://earth.rowan.edu/departments/geography/academics/gis.html
Geological Sciences,https://catalogue.usc.edu/preview_program.php?catoid=14&poid=16822
Global Geodesign,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Health and Humanity,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=7492
Health and Human Sciences,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
History and Social Science Education,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Human Biology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Human Security and Geospatial Intelligence,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Industrial and Systems Engineering,https://catalogue.usc.edu/preview_entity.php?catoid=8&ent_oid=1784
Intelligence and Cyber Operations,https://tac.usc.edu/academics/cyberops/
International Relations (Global Business),https://catalogue.usc.edu/preview_entity.php?catoid=12&ent_oid=2520
International Relations and the Global Economy,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Italian,https://dornsife.usc.edu/fren-ital/italian-undergraduate-program/
Jewish Studies,https://catalogue.usc.edu/preview_entity.php?catoid=8&ent_oid=1736
Latin American and Iberian Cultures,https://catalogue.usc.edu/content.php?catoid=12&navoid=4130
"Latin American and Iberian Cultures, Media and Politics",https://catalogue.usc.edu/preview_program.php?catoid=8&poid=8194
"Law, History and Culture",https://catalogue.usc.edu/preview_program.php?catoid=8&poid=7495
Materials Science,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Queers Arts and Culture Minor,https://dornsife.usc.edu/genderstudies/undergraduate-education/
"Race, Ethnicity, and Politics Minor",https://catalogue.usc.edu/preview_degree_planner.php?catoid=2&poid=1292&print
Religion,https://catalogue.usc.edu/content.php?catoid=8&navoid=2270
"Renaissance, Early Modern, and Reformation Studies Minor",https://catalogue.usc.edu/preview_program.php?catoid=11&poid=10597
Russian Minor,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
"Science, Technology, and Society Minor",https://catalogue.usc.edu/preview_degree_planner.php?catoid=2&poid=1325&print
Spanish,https://catalogue.usc.edu/preview_entity.php?catoid=14&ent_oid=2942
Thematic Approaches to Culture Minor,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Visual Culture Minor,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=7385&returnto=2401
Web Technologies and Applications Minor,https://catalogue.usc.edu/content.php?catoid=14&navoid=5200&print=&expand=1
Bachelor of Science in Accounting,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor of Science in Accounting and Finance,https://catalogue.usc.edu/preview_program.php?catoid=21&poid=30709
"Bachelor of Fine Arts in Acting, Stage and Screen",https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor of Science in Aerospace Engineering,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor of Arts in American Popular Culture,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor of Science in Medical Laboratory Science,https://catalogue.usc.edu/content.php?catoid=12&navoid=4086
Bachelor of Arts in Narrative Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor of Science in Neuroscience,https://dornsife.usc.edu/usc-neuroscience/undergraduate-curriculum/
Bachelor of Arts in Public Policy,https://catalogue.usc.edu/content.php?catoid=8&navoid=2164
Bachelor of Science in Quantitative Biology,https://www.qcb-dornsife.usc.edu/major
Bachelor of Science in Real Estate Development,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor of Arts in Spatial Sciences,https://dornsife.usc.edu/spatial/undergraduate/
Bachelor of Science in Spatial Sciences,https://dornsife.usc.edu/spatial/undergraduate/
Bachelor of Arts in Theatre,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor of Arts in Writing,https://dornsife.usc.edu/engl/undergraduate/english-major/
"Bachelor in Adult Development, Gerontology, and Aging",https://catalogue.usc.edu/preview_program.php?catoid=8&poid=7817
Bachelor in African American Studies,https://dornsife.usc.edu/ase/undergraduate/
Bachelor in Anthropology,https://dornsife.usc.edu/anth/undergraduate/anthropology-ba/
Bachelor in Archaeology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Architecture,https://catalogue.usc.edu/preview_program.php?catoid=14&poid=16651
Bachelor in Art History,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH973BtrakX3WxEoHyx7qOgYF3ywigugyk4bvs2LuTU-Vfrl56Ix0dQ6mKHhAnA9IrRZvpblGVrhe3cn8AJxLN-kRtakk7vlFKv6EZ7Qnu1UxeVhz0YhlbptC7R2v3awj12o3HvLHGYn50c1nzleeqpWkKSN-6C_kcCdcqWvI_5XGcA
Bachelor in Arts,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Asian Studies,https://dornsife.usc.edu/eascenter/academics/easc-undergraduate-programs/
Bachelor in Astronomy and Astrophysics,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Astronautical Engineering,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=7720&returnto=3397
Bachelor in Behavioral Sciences,https://dornsife.usc.edu/psyc/academic-programs-and-course-syllabi/
Bachelor in Biochemistry,https://catalogue.usc.edu/preview_program.php?catoid=12&poid=12633
Bachelor in Biochemistry and Molecular Biology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Bioengineering and Biomedical Engineering,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Bioinformatics,https://www.qcb-dornsife.usc.edu/
Bachelor in Biology,https://bio.sciences.ncsu.edu/undergraduate/degree-programs/biological-sciences-bs/
Bachelor in Biotechnology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Cellular Biology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Chemical Engineering,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Chemistry,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Cinematography and Video Production,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Civil Engineering,https://cee.usc.edu/academics/undergraduate-programs/civil-engineering/
Bachelor in Classics,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Cognitive Science,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Communications,https://annenberg.usc.edu/academics/undergraduate-communication
Bachelor in Comparative Literature,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Computational and Applied Mathematics,https://dornsife.usc.edu/mathematics/undergraduate-general-information/
Bachelor in Computer and Information Sciences,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Computer Graphics,https://catalogue.usc.edu/preview_program.php?catoid=21&poid=30609&returnto=8930
Bachelor in Computer Hardware Engineering,https://catalogue.usc.edu/preview_program.php?catoid=18&poid=25450
Bachelor in Computer Science,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Creative Writing,https://dornsife.usc.edu/engl/undergraduate/
Bachelor in Dance,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Design and Visual Communications,https://catalogue.usc.edu/preview_program.php?catoid=20&poid=29108
Bachelor in Drama and Theatre Production,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Earth Sciences,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in East Asian Area Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in East Asian Languages and Cultures,https://catalogue.usc.edu/preview_program.php?catoid=18&poid=25137
Bachelor in East Asian Languages and Literatures,https://catalogue.usc.edu/content.php?catoid=12&navoid=4093
Bachelor in Ecology and Evolutionary Biology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Economics,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Electrical Engineering,https://minghsiehece.usc.edu/bs-ece-program/
Bachelor in English,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Environmental Engineering,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Environmental Science,https://catalogue.usc.edu/preview_program.php?catoid=20&poid=28390&returnto=8428
Bachelor in Environmental Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Film and Video Studies,https://sllc.umd.edu/fields/cinema-media/major-ba
Bachelor in French Language and Literature,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
Bachelor in Game Design and Interactive Media,https://catalogue.usc.edu/preview_program.php?catoid=20&poid=29368
Bachelor in Geography,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464
