Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,3-D Animation in Cinematic Arts Minor,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,,,"Admission to the minor is by portfolio review and faculty interview only. To be considered for admission, students must be in good academic standing and have a minimum 2.0 cumulative GPA. No additional materials are required other than the portfolio. Application forms and deadlines are available in the Cinematic Arts Student Services Office, SCA 120. Note: Admission to all Cinematic Arts minors is on a competitive basis.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,USC School of Cinematic Arts,45460,,,,,,,"The 3-D Animation in Cinematic Arts Minor offers students an opportunity to learn a broad range of skills and techniques related to 3-D computer animation. The goal of the minor is to foster talented artists and animators to create compelling animation, from conceptualization to modeling, rigging, animation and rendering. The minor is a useful supplement to a wide array of majors, from those within the cinematic arts, such as visual effects, animation and games, to those within engineering, such as computer science, and to majors within the fine arts, such as painting, drawing and photography, and beyond. This minor is not available to students in the BA in Animation and Digital Arts, the BFA in Animation and Digital Arts or the BS in Computer Science (Games) programs.",,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,,2273,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Dimensional Design Minor,,,,,Undergraduate,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Roski School of Art and Design,,,,,,,,"The minor in 3-Dimensional Design teaches the language of form as a foundation for understanding the aesthetic, functional and structural concerns of three-dimensional objects and spaces. Through a range of projects and media, students develop skills in observation, conceptualization, and representation of 3-D forms in both physical and digital modes. The minor also provides an opportunity to develop an understanding of the relationship of 3-D design to its history and to the larger contexts of art and society.",,https://catalogue.usc.edu/content.php?catoid=11&navoid=3429&p2339=2&print=&expand=1,,,"$3,514/Unit",,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accounting Minor,,,,,Undergraduate,,,,,Not Required,Not Required,,,,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Leventhal School of Accounting,35952,,,,,,,"The Accounting Minor is designed for students outside of the Leventhal School of Accounting who desire an understanding of the concepts and principles of accounting. This minor provides a foundational knowledge of accounting crucial for understanding business operations and financial health. Students will gain insights into financial reporting, managerial accounting, and the role of accounting information in decision-making, equipping them with valuable skills applicable across various industries and professions.",,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,The Marshall School of Business and Leventhal School of Accounting are accredited by AACSB International – The Association to Advance Collegiate Schools of Business.,,2247,,False,,4.0,2.0,,,,,,,,,,,35952,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based, Loans, Work-study",,,,,,,
,Addiction Science Minor,,,,,Undergraduate,,,,,Not Required,Not Required,,,,Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"USC Dornsife College of Letters, Arts and Sciences",,,,,,,,"The Addiction Science minor is designed for students interested in a career in public health, health care, social work, public policy, or medicine, with a particular focus on addiction and related issues. Students learn to recognize substance use disorders and addictive behaviors in various populations, how to implement evidence-based screening and prevention strategies across diverse settings, and develop a foundational understanding of the biological, psychological, and sociological underpinnings of addiction. Students also examine the role of public policy, epidemiology, and health services in addressing addiction and health equity. Graduates will gain expertise in addressing this critical public health issue from multiple perspectives and will be equipped to make a meaningful impact in their chosen professional path.",,https://catalogue.usc.edu/preview_program.php?catoid=12&poid=16590,,,,,False,,,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Advertising Minor,,,,,Undergraduate,,,,,,,,,"Open to all USC undergraduates. Students interested in applying for this minor must have a minimum 2.5 USC GPA. Enrollment is limited, and students must apply through the Annenberg School for Communication and Journalism. Students interested in applying for this minor must apply online. Applications for fall admission are due on May 15, and applications for spring admission are due on December 15. Students interested in applying should contact their home department advisor, then schedule an appointment with an Annenberg academic advisor.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,USC Annenberg School for Communication and Journalism,,,,,,,,"The Annenberg School for Communication and Journalism offers an interdisciplinary minor in advertising that prepares students for careers in the dynamic field of advertising. The minor introduces students to the principles and practices of advertising through a blend of courses in communication, business, and design. Students learn about advertising strategy, media planning, creative development, and consumer insights, gaining a comprehensive understanding of the advertising industry. The curriculum emphasizes both theoretical knowledge and practical skills, preparing students to develop effective advertising campaigns in a rapidly evolving media landscape.",,https://annenberg.usc.edu/academics/minors,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,African American Studies,,,,,Undergraduate,Fall 2026,,,,,,,Required,,,,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,"USC Dornsife College of Letters, Arts and Sciences",34453/Semester,,,,,,,"A dynamic interdisciplinary major focused on the experiences, history, culture, and intellectual traditions of African peoples throughout the world.",,https://dornsife.usc.edu/ase/undergraduate/,,,2297 per unit,,False,,4.0,2.0,,,,,,,,,,,34453/Semester,,,,,,,,,,,120.0,,,,7.0,,,68.0,,100.0,,,,,,,,,,,,,Merit-based,,,,,,,
,American Studies and Ethnicity,,,,,Undergraduate,,,,,,,Not Required,Required,,,,,,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,"USC Dornsife College of Letters, Arts and Sciences",,,,,,,,"This interdisciplinary minor introduces students to the study of race and ethnicity in the United States and the Americas. The program encourages students to analyze the history and contemporary experience of racial and ethnic groups in the United States, and to consider the theoretical, political, and cultural implications of race and ethnicity as categories of analysis in American society. Students will develop an understanding of various historical periods, cultural forms, and social movements, as well as the interplay of race, gender, class, and sexuality. Course work can include topics such as Native American studies, African American studies, Asian American studies, Chicano/Latino studies, and comparative ethnic studies.",,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,115.0,,,,6.5,,,61.0,,90.0,,,,,,,,,,,,,"Fellowships, Scholarships",,,,,,,
,Anthropology (Visual Anthropology),,,,,Undergraduate,Fall 2026,,,,Required,Required,GRE,Required,"The department is seeking applicants with a strong academic background, a clear sense of purpose, and intellectual maturity. In addition to meeting the university requirements for graduate admission, applicants must submit the following: Official Transcripts from all colleges and universities attended, Statement of Purpose, Three letters of recommendation, Writing Sample (e.g., a term paper, thesis chapter, or professional paper on a topic related to the applicant's research interests. Minimum 15 pages in length.) and Curriculum Vitae (CV). GRE scores are not required for admission to the Anthropology Ph.D. program.",Required,,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,,,"Dornsife College of Letters, Arts and Sciences",61292,,,,,,Visual Anthropology,"The Ph.D. program in Anthropology (Visual Anthropology) at the University of Southern California has been in existence since 1983. It is designed to train students in the analysis of visual systems and the production of visual media, including ethnographic film, photography, and new media. It is unique in its integration of theoretical training in anthropology with professional training in ethnographic media production. Visual anthropology focuses on the study of culture through visual modalities (e.g. ethnographic film, photography, new media, performance, architecture, the built environment) and, relatedly, on the study of how people communicate through such media, and how anthropologists might represent culture using them. In keeping with this, faculty in visual anthropology teach and train students in critical approaches to analyzing and making visual media, and in using visual media to communicate ethnographic knowledge and theory. We train students in theory, methods, and the history of visual anthropology; they produce a visual ethnographic project in addition to a written dissertation. The program encourages interdisciplinary work with other departments at USC, including Cinema, Art History, and American Studies and Ethnicity.",,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,,2189,,False,,4.0,3.0,,,,,,,,,,,61292,,,,,,,False,False,,,115.0,,,,6.5,,,61.0,,90.0,,,,,,,,,,,,,"Fellowships, Assistantships",,,,,,,
,Asian American Studies,,,,,Associate,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"Dornsife College of Letters, Arts and Sciences",,,,,,,,"The minor in Asian American Studies introduces students to the experiences of Asian Americans through an interdisciplinary approach that considers issues of race, gender, sexuality, ethnicity, and class in historical and contemporary contexts. The minor aims to provide students with a critical understanding of the forces that have shaped Asian American communities and how Asian Americans have responded to and resisted these forces. The minor prepares students to engage with a diverse society and to become advocates for social justice.",,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Behavioral Economics and Psychology,,,,,Undergraduate,,,,,,,GRE,Required,A minimum of 20 units is required for the minor. All courses must be taken for a letter grade. All students must have a minimum cumulative GPA of 2.0 in the courses taken for the minor. Courses applied to the minor may not be taken on a pass/no pass basis. All minor coursework must be taken at USC.,,,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,,,"Dornsife College of Letters, Arts and Sciences",,,,,,,,"A growing body of research suggests that psychological factors influence economic behavior, decision-making, and market outcomes. The minor in Behavioral Economics and Psychology introduces students to foundational knowledge in both fields as they relate to and integrate with one another. Students will gain an understanding of the cognitive, social, and emotional factors that influence individual decision-making, as well as an understanding of how these factors can lead to deviations from traditional economic models. The minor provides students with an interdisciplinary perspective on human behavior, equipping them with valuable analytical tools applicable to various fields, including public policy, marketing, finance, and organizational behavior.",,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,,,,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,,,90.0,,,,,,,,,,,,,Merit-based,,,,,,,
