QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Business,,4.0,2.5,,Fall 2026,,,,,$538.92 (Ohio Resident),"Up to $7,500 per year",,Merit-based,4 years,"$12,934.08/Year (Ohio Resident)",Bachelor of Science in Accounting,https://bulletin.uakron.edu/undergraduate/colleges-programs/business-administration/accountancy/accounting-bs/accounting-bs.pdf
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$12,747.92/Year",,$531.17/credit (in-state); $875.33/credit (out-of-state),"$1,000 to $7,500 per year",,Merit-based,4 years,"$12,747.92/Year","Bachelor of Science in Actuarial Science, Statistics",https://www.uakron.edu/academics_majors/
,LeBron James Family Foundation School of Education,,4.0,3.0,,Fall 2026,,,"$14,660.12/Year (Ohio Resident)",,$544.93/credit hour (Ohio Resident),"$1,000 - $7,500 per year",,"Merit-based, Departmental, Private",4 years,"$14,660.12/Year (Ohio Resident)",Bachelor of Arts in Adolescent to Young Adult (AYA),https://www.uakron.edu/academics_majors/
801-1000,College of Engineering and Polymer Science,,4.0,2.0,,Fall 2026,,,,,582.82,"$1,000 to $7,500 per year",,Merit-based,4 years,"$14,305.98/Year",Bachelor of Science in Aerospace Systems Engineering,https://www.uakron.edu/engineering/me/undergraduate/aerospace-systems
,College of Health and Human Sciences,,4.0,2.5,,,,,"$12,750.24/Year (Ohio Resident)",,$524.49 per credit hour (Ohio Resident),"$1,000 to $7,500 annually",,Merit-based,4 years,"$12,750.24/Year (Ohio Resident)",Bachelor of Science in Allied Health Care Administration,https://www.uakron.edu/allied-health/baha/
801-1000,Buchtel College of Arts and Sciences,,4.0,2.0,84.3%,Fall 2026,,,$600.00/Semester (General Service Fee for Ohio Resident),,$502.14 per credit hour (Ohio Resident),"$1,000 to $7,500 per year",,Merit-based,4 years,"$5,735.68/Semester or $11,471.36/Year (Ohio Resident)",Bachelor of Arts in Anthropology,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,,,,,7277.5,,$538.08/credit (Ohio Resident),"Up to $7,500 per year",,Merit-based,4 years,"$14,555/Year (Ohio Resident)",Bachelor of Science in Applied Mathematics,https://bulletin.temple.edu/undergraduate/science-technology/applied-mathematics-bs/
1201-1400,Myers School of Art,,4.0,2.0,,Fall 2026,,,,,$530.23/Credit,"$1,000 to $7,500 annually",,Merit-based,4 years,"$12,745/Year",Bachelor of Fine Arts in Art,https://www.uakron.edu/academics_majors/
,"Buchtel College of Arts and Sciences, School of Art",,4.0,2.75,,,,,13051.6,,$543.82 (Ohio Resident),"$1,000 - $7,500 per year",,Merit-based,4 years,"$13,051.60/Year (Ohio Resident)",Bachelor of Arts in Art Education,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/art/art-education-ba/
,Buchtel College of Arts and Sciences,,4.0,2.0,,,,,"$6,233.98/Semester (Ohio Resident)",,$483.98 (Ohio Resident),"Up to $7,500 annually",,"Merit-based, Need-based",60 credit hours,"$6,233.98/Semester (Ohio Resident)",Associate of Arts,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/interdisciplinary-programs/associate-arts/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$6,819.12/Semester",,$568.26/Credit,"$1,000 - $7,500 per year",,Merit-based,2 years,"$6,819.12/Semester",Associate of Science,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/arts-sciences.pdf
,Summit College,,4.0,2.0,,Fall 2026,,,12929.4,,538.73,"Up to $3,500/year",,Merit-based,2 years,"$12,929.40/Year (Ohio Resident)",Associate of Technical Studies,https://www.uakron.edu/academics_majors/
,College of Engineering and Polymer Science,,4.0,2.0,,Fall 2026,,,12929.4,,$538.73 per credit hour for Ohio residents (plus fees),"$1,000 to $5,500 per year",,"Merit-based, Departmental",4 years,"$15,785.80 per year for an Ohio resident, including general and program fees (based on 15 credits per semester for 2024-25).",Bachelor of Science in Automated Manufacturing Engineering Technology,https://www.uakron.edu/academics_majors/
,College of Business,,4.0,2.0,,Fall 2026,,,,,$559.36 per credit,"$1,000 to $7,500 per year",,Merit-based,4 years (120 credits),"$15,115.68 per year",Bachelor of Science in Organizational Supervision,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$12,760.18/Year",,$531.67,"$1,000 - $7,500 per year",,Merit-based,4 years,"$12,760.18/Year",Bachelor of Science in Biochemistry,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,,,$533.06 per credit hour,"$1,000 - $4,500 annually",,Merit-based,4 years,"$12,793.36 per year",Bachelor of Science in Biology,https://www.uakron.edu/biology/academics/undergraduate/
,College of Engineering and Polymer Science,15.0,4.0,2.0,,Fall 2026,,,"$15,704/Year",,$640.41/Credit,"$1,000 - $7,500 per year",,Merit-based,4 years,"$15,704/Year",Bachelor of Science in Biomedical Engineering,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$14,686.40/Year",,$611.94,"$1,000 - $7,500 per year",,"Merit-based, Departmental",4 years,"$14,686.40/Year",Bachelor of Science in Biomedical Science,https://www.uakron.edu/academics_majors/
,College of Business,,4.0,2.5,,,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Business Administration in Business Administration,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGyyYLA1e2yo0Msw7UTg6M7-OdVFd2O0ldK6YpDJv0FxaOCgm9D7hh9CqZF9WduI0dQOV1FZ6JaBJnwk6x8Dky-XwEmvSMbiefzTpM2E3rXaccvsy3RlGSSBXyUYj64CAV2qV9OE972rTY5KmGwwgMIhFbfhM93lc8-92QzVqbdML705CDFPxudond4IdXN-A9B56whxoaU0j9g5EnnZDJ7bhheE4X_RQ0SocsuJG2LBzqx-HkFXbC2r3VbLYpIaA_FJ7yg0gn84V9PsCZ5zL8k_2wferBT2EYcJcAo
,College of Business,,4.0,2.0,,,,,,,$524.32 - $548.06 per credit hour (base tuition) + $26.74 per credit hour (College of Business fee),,,,,,Minor in Business Administration for Non-Business Majors,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHy3qAbF3nTKR7vj1NhGXAOJAqxdo-CaIvOHh7MrvrroaDMYR2WHbS3RYVkqOKNJD74PxH9ouPOFd_BOhjHdcCMSBti9_EK1B_l-WfgdVxi6-lBNVA_wemzneFEJNYlHKRr8we7Ic403UWAtpcUrpYsiwmt8gNunrkePab6I7ZjWtWYMkhlkZr4qbtvQ0nZ5nP_Malx2eaDTRd7XyvL3NB1e_baKX4Pp_YoNfgRPaw8t24LutBxItUuRziypfZt0hfkTYQlfXocGw5U
,College of Business,,4.0,2.5,,,,,"$12,929.40/Year",,$538.73/credit hour,"$1,000 to $7,500 per year",,Merit-based,4 years,"$12,929.40/Year",Bachelor of Business Administration in Business Data Analytics,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFH3ymWxFo2BJB-QEiF2bhGDUYWKDgtNEB26Zrus48ZOzTaLNJZhKiPXw0-z5_WqZrIUL6_TvuBdbQwXxK90Mych-B5EKMeanMKq3AC_s3CiMAfldXydWivBJpA5L8ZmPMZ1m_032Ub_RhdQ0wSOws2J_ilTm1mkg8Sf-y_vonsFiot9Nffrx6nNRD3ipXnx2gv0WmaINZ97-hPZThoFiGp_8IT3WIvPDyIGpKCwBLyuISn3AtR934OpNfPIKQWEruWrBSF6P0BVP5wxGDnxlELVz0D6A==
,College of Business,,4.0,2.0,86.3%,,,,"$14,638.20/Year",,$538.73,"$1,000 - $7,500 per year",,Merit-based,,"$14,638.20/Year",Minor in Business Essentials for Engineering Majors,https://www.uakron.edu/academics_majors/
,College of Business,,4.0,2.0,,,,,,,,"Scholarships for Excellence awards range up to $7,500 per year.",,Merit-based,4 years,,Bachelor of Business Administration in Business Management,https://bulletin.uakron.edu/undergraduate/colleges-programs/business-administration/management/business-management-bs/
,Myers School of Art,,4.0,2.3,,,,,12929.4,,539.11,"$1,000 - $7,500 per year",,Merit-based,4 years,"$12,929.40/Year",Bachelor of Fine Arts in Ceramics,https://www.temple.edu/academics/degree-programs/ceramics-major-ta-crme-bfa
,College of Engineering and Polymer Science,,4.0,2.0,83.8%,Fall 2026,,,"$14,846/Year (Ohio Resident, including engineering fees)",,"$567.02/credit (Ohio Resident, including engineering fees)","$1,000 - $7,500 per year",,Merit-based,4 years,"$14,846/Year (Ohio Resident, including engineering fees)",Bachelor of Science in Chemical Engineering,https://www.uakron.edu/engineering/cbe/undergraduate-programs/chemical-engineering
1001-1200,Buchtel College of Arts and Sciences,2.0,4.0,2.0,,Fall 2026,,,"$13,079.88/Year",,$544.99/credit hour,"$1,000 to $7,500 per year",,Merit-based,4 years,"$13,079.88/Year",Bachelor of Arts in Chemistry,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,,,,,"$13,079.76/Year (in-state); $21,080.76/Year (out-of-state)",,$544.99/credit (in-state); $878.37/credit (out-of-state),"Up to $7,500 per year",,"Merit-based, Departmental",4 years,"$13,079.76/Year (in-state); $21,080.76/Year (out-of-state)",Bachelor of Science in Chemistry,https://www.uakron.edu/chemistry/undergraduate.dot
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,,,$531.16,,,"Academic achievement, talent, and/or financial need-based",4 years,"$6,373.92/Semester",Bachelor of Science in Chemistry - Polymer,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/chemistry/chemistry-polymer-option-bs/
,College of Health and Human Sciences,,4.0,2.0,,Fall 2026,,,13678,,530.85/Credit,"$1,000 - $7,500 per year",,Merit-based,4 years,13678,Bachelor of Arts in Child & Family Development,https://www.uakron.edu/academics_majors/
,College of Engineering and Polymer Science,,4.0,2.3,,,,,,,"Ohio Resident: $595.56, Non-Resident: $941.16","$1,000 - $7,500 annually",,Merit-based,4 years,,Bachelor of Science in Civil Engineering,https://bulletin.uakron.edu/undergraduate/colleges-programs/engineering-polymer-science/civil-engineering/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$6,501.36/Semester",,541.78,"Up to $7,500 per year",,Merit-based,4 years,"$6,501.36/Semester",Bachelor of Arts in Communication,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/communication/strategic-organizational-communication-ba/
,School of Education,,4.0,2.75,,,,,"$6,318.00/Semester",,$526.50,"$1,000 to $7,500 per year",,Merit-based,4 years,"$6,318.00/Semester",Bachelor of Arts in Community and Workforce Education,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/education/community_workforce_education_ba/
1201-1400,College of Engineering and Polymer Science,,4.0,2.0,,,,,"$14,372.34/Year",,$587.71,"$1,000 to $7,500 per year",,Merit-based,4 years,"$14,372.34/Year",Bachelor of Science in Computer Engineering,https://www.uakron.edu/academics_majors/
,College of Business,,4.0,2.0,85%,Fall 2026,,,"$13,350.72/Year",,$551.28/credit,"$1,000 - $7,500",,Merit-based,4 years,"$13,350.72/Year",Bachelor of Science in Computer Information Systems,https://www.uakron.edu/academics_majors/
1201-1400,College of Business,,4.0,2.0,83%,Fall 2026,,,"$14,564.82/Year (Ohio Resident)",,$556.86/Credit (Ohio Resident),"$1,000 - $7,500 per year",,Merit-based,2 years,"$14,564.82/Year (Ohio Resident)",Associate of Applied Business in Computer Information Systems,https://www.uakron.edu/academics_majors/
,College of Engineering and Polymer Science,,4.0,2.0,,Fall 2026,,,"$6,539.52/Semester (Ohio Resident)",,$544.96 per credit hour (Ohio Resident),"Up to $7,500 annually",,Merit-based,4 years,"$6,539.52/Semester (Ohio Resident)",Bachelor of Science in Computer Science,https://www.ics.hawaii.edu/academics/undergraduate-programs/bs/
,College of Engineering and Polymer Science,,4.0,2.0,,Fall 2026,,,,,$544.31/Credit Hour (Ohio Resident),"$1,000 to $7,500 per year",,Merit-based,2 years,"$7,147.24/Semester (Ohio Resident)",Associate of Applied Science in Construction Engineering Technology,https://www.uakron.edu/academics_majors/
1201-1400,College of Engineering and Polymer Science,,4.0,2.0,86.8%,Fall 2026,,,"$14,706.32/Year",,$546.68,"$1,000 to $7,500 per year",,Merit-based,4 years,"$14,706.32/Year",Bachelor of Science in Construction Engineering Technology,https://www.uakron.edu/academics_majors/
,College of Engineering and Polymer Science,,4.0,2.0,,Fall 2026,,,,,,"Up to $17,500 per year",,Merit-based,,,Associate of Applied Science in Construction Field Operations,https://bulletin.uakron.edu/undergraduate/colleges-programs/engineering-polymer-science/civil-engineering/construction-field-operations-aas/
,College of Engineering and Polymer Science,,4.0,2.0,,Fall 2026,,,"$14,334.74/Year",,542.21,"$1,000 - $7,500 per year",,Merit-based,4 years,"$14,334.74/Year",Bachelor of Science in Corrosion Engineering Technology,https://bulletin.uakron.edu/undergraduate/colleges-programs/engineering-polymer-science/chemical-biomolecular-corrosion-engineering/corrosion-engineering-bs/corrosion-engineering-bs.pdf
,Buchtel College of Arts and Sciences,,4.0,2.0,,,,,"$6,370.88/Semester",,$530.91/Credit,"$1,000 to $7,500 annually",,Merit-based,4 years,"$6,370.88/Semester",Bachelor of Science in Criminal Intelligence Analysis,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/criminal-justice-studies/criminal-intelligence-analysis-bs/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$6,776.48/Semester or $13,552.96/Year",,564.71,"$1,500 - $3,500 per year",,Merit-based,4 years,"$6,776.48/Semester or $13,552.96/Year",Bachelor of Science in Criminology and Criminal Justice,https://www.uakron.edu/academics_majors/
,College of Engineering and Polymer Science,,4.0,2.3,,Fall 2026,,,,,$547.49 per credit hour (Ohio Resident) + $60.50 per credit hour (College of Engineering and Polymer Science Fee),"Up to $3,500 per year",,Merit-based,4 years,"$14,829.80/Year (Ohio Resident, flat rate for 12-18 credits, excluding program fees)",Bachelor of Science in Cyber Forensics,https://bulletin.uakron.edu/undergraduate/colleges-programs/health-professions/health-professions.pdf
,"School of Dance, Theatre, and Arts Administration",,4.0,2.3,,Fall 2026,,,12544,,$502.50/credit hour,"$1,000 - $7,500 per year",,"Merit-based, Talent-based",4 years,"$12,544/Year",Bachelor of Arts in Dance,https://www.uakron.edu/dtaa/prospective-students/index.dot
1201-1400,"School of Dance, Theatre, and Arts Administration",,4.0,3.0,,,,,"In-state: $6,365.16/Semester; Out-of-state: $10,816.68/Semester",,In-state: $528.73/credit; Out-of-state: $893.54/credit,"$1,000 to $7,500 per year (Akron Guarantee Scholarship)",,Merit-based,4 years,"In-state: $6,365.16/Semester; Out-of-state: $10,816.68/Semester",Bachelor of Fine Arts in Dance,https://www.downtownakron.com/newsitem/the-university-of-akron-school-of-dance-theatre-and-arts-administration-proudly-presents-uadc-fall-2025
1001-1200,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,2025-08-01,2026-08-01,"$14,564.64/Year",,$606.87/Credit,"$1,000 - $7,500 per year",,Merit-based,4 years,"$14,564.64/Year","Bachelor of Science in Data Science, Statistics",https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,,,,,,,$526.84,"$1,000 to $7,500 annually",,"Merit-based, Need-based",4 years,"$12,644.16/Year",Bachelor of Arts in Earth Science,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/geosciences/geology-earth-science-ba/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,13678,,$472.27/credit hour for Ohio Resident,"$1,000 to $7,500 annually",,Merit-based,4 years,"$13,678/Year (Ohio Resident)",Bachelor of Arts in Economics,https://www.uakron.edu/academics_majors/
,College of Engineering and Polymer Science,,4.0,2.0,,,,,,,,"$1,000 - $7,500 per year",,"Merit-based, Need-based",2 years,,Associate of Applied Science in Electrical and Electronic Engineering Technology,https://bulletin.uakron.edu/undergraduate/colleges-programs/engineering-polymer-science/electrical-computer/
,College of Engineering and Polymer Science,,4.0,2.0,,,,,15130.16,,576.3,"$1,000 to $7,500 annually for the Akron Guarantee Scholarship",,"Merit-based, Need-based",4 years,"$15,130.16/Year (This is an estimated annual cost for a full-time, Ohio resident including instructional fees, general fees, and the maximum College of Engineering and Polymer Science surcharge for the 2023-2024 academic year.)",Bachelor of Science in Electrical and Electronic Engineering Technology,https://bulletin.uakron.edu/undergraduate/colleges-programs/engineering-polymer-science/electrical-computer/electronic-engineering-technology-aas/electronic-engineering-technology-aas.pdf
1201-1400,College of Engineering and Polymer Science,,4.0,2.0,,Fall 2026,,,"$14,379.24/Year",,$599.14/Credit,"$1,000 to $7,500 per year",,Merit-based,4 years,"$14,379.24/Year",Bachelor of Science in Electrical Engineering,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,83%,,,,,,"$531.30 (Ohio Resident), $581.30 (Non-Ohio Resident)","$1,000 - $7,500 per year",,Merit-based,4 years,$531.30 per credit for Ohio residents; $581.30 per credit for non-Ohio residents,Bachelor of Science in Emergency Management and Homeland Security,https://www.uakron.edu/academics_majors/
,College of Health and Human Sciences,,4.0,2.0,83%,,,,"$12,931.40/Year",,$538.81,"$1,000 - $7,500 per year",,"Merit-based, Departmental",4 years,"$12,931.40/Year",Bachelor of Science in Emergency Medical Services Technology,https://www.uakron.edu/dses/
,Buchtel College of Arts & Sciences,,4.0,2.0,,Fall 2026,,,6561.44,,$546.79 per credit hour,,,"Merit-based, Need-based, Department-specific",4 years,"$6,561.44 per semester",Bachelor of Arts in English,https://bulletin.uakron.edu/undergraduate/colleges-programs/arts-sciences/english/english-ba/english-ba.pdf
,College of Business,,4.0,2.0,,Fall 2026,,,12630,,526.25,"$1,000 to $7,500 annually",,"Merit-based, Need-based",,"$12,630/Year",Minor in Entrepreneurship,https://www.uakron.edu/academics_majors/
1201-1400,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$6,375.68 per semester (Ohio Resident)",,$531.31 (Ohio Resident),"$1,000 to $7,500 annually",,Merit-based,4 years,"$12,751.36 per year (Ohio Resident)",Bachelor of Science in Environmental Science,https://www.uakron.edu/academics_majors/
,School of Sport Science and Wellness Education,,4.0,2.0,,Fall 2026,"August 1, 2025","August 1, 2026",,,Ohio Resident: $530.13; Non-Ohio Resident: $816.80,"Up to $7,500 per year",,Merit-based,4 years,"Ohio Resident: $15,904/Year; Non-Ohio Resident: $24,504/Year",Bachelor of Science in Exercise Science,https://www.uakron.edu/academics_majors/
,College of Business,,4.0,2.5,83% (Fall 2023),Fall 2026,,,387,,$642.75 (Ohio Resident),"$1,000 to $7,500 per year",,"Merit-based, Need-based",12 credits,"$14,651.80/Year (Ohio Resident, full-time)",Minor in Finance for Business Majors,https://www.uakron.edu/academics_majors/
,College of Business,,4.0,2.0,,Fall 2026,,,"$13,493.04/Year",,$556.08,"$1,000 - $7,500 annually",,"Merit-based, Need-based",4 years,13493.04,Bachelor of Business Administration in Financial Management,https://bulletin.uakron.edu/undergraduate/colleges-programs/business-administration/finance/financial-management-bs/
,College of Business,,4.0,2.5,,Fall 2026,,,"$14,463.84/Year",,$509.31,"$1,500 - $5,500 per year",,Merit-based,4 years,"$14,463.84/Year",Bachelor of Business Administration in Financial Planning,https://www.uakron.edu/cba/departments/finance/financial-planning.dot
,College of Business,,4.0,2.3,83%,Fall 2026,,,12929.4,,"$538.73 per credit hour (Ohio Resident, Lower Division)","$1,000 - $7,500 per year",,Merit-based,18 credits,"$12,929.40/Year (Ohio Resident, 12-18 credits/semester)",Minor in Financial Planning,https://www.uakron.edu/academics_majors/
,School of Nutrition and Dietetics,,4.0,2.5,,Fall 2026,,,12931.4,,538.81,"$1,000 to $7,500 per year",,Merit-based,4 years,"$12,931.40/Year (In-state)",Bachelor of Science in Food and Nutrition Sciences,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,6368.64,,530.72,"Up to $7,500 per year",,Merit-based,4 years,"$6,368.64 per semester for full-time Ohio residents (Tuition Promise rate for Fall 2023 cohort)",Bachelor of Arts in Geology,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.5,,Fall 2026,,,,,$538.77 per credit hour,"$1,000 - $7,500 per year",,Merit-based,4 years,"$12,930/Year",Bachelor of Science in Geology,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,"$14,558.56/Year (Ohio Resident)",,$606.60 (Ohio Resident),"$1,000 to $7,500 per year",,Merit-based,4 years,"$14,558.56/Year (Ohio Resident)",Bachelor of Arts in Global Studies,https://www.uakron.edu/academics_majors/
,Myers School of Art,,4.0,2.0,96%,Fall 2026,"August 1, 2025","August 1, 2026","$13,019.64/Year",,$542.49/Credit,"Up to $7,500 per year",,Merit-based,4 years,"$13,019.64/Year",Bachelor of Fine Arts in Graphic Design,https://www.uakron.edu/academics_majors/
,Buchtel College of Arts & Sciences,,4.0,2.0,,Fall 2026,"August 1, 2025",,,,$513.68 per credit hour,"Up to $7,500 per year",,Merit-based,4 years,"$12,908.24/Year",Bachelor of Arts in History,https://www.uakron.edu/academics_majors/
,College of Business Administration,,4.0,2.0,,Fall 2026,,,,,,"$1,000 - $7,500 per year",,"Merit-based, Need-based",4 years,,Bachelor of Business Administration in Human Resource Management,https://bulletin.uakron.edu/undergraduate/colleges-programs/business-administration/management/human-resources-management-bs/
,College of Business,,4.0,2.5,83%,Fall 2026,,,"$12,929.40/Year",,$538.73 per credit hour,"$1,000 - $7,500 per year",,Merit-based,,"$12,929.40/Year",Minor in Human Resource Management,https://www.uakron.edu/academics_majors/
,College of Business,,4.0,2.5,,,,,12928.64,,538.69 per credit hour (Ohio Resident In-State),"Varies, with awards like the Akron Guarantee Scholarship ranging from $1,000 to $7,500 per year.",,Merit-based,4 years,"$12,928.64 per year (Ohio Resident In-State)",Bachelor of Business Administration in Information Systems,https://guide.wisc.edu/undergraduate/business/operations-information-management/business-information-systems-bba/
,College of Business,,4.0,2.0,82.9%,Fall 2026,,,"$13,078.28/Year",,570.93,"$1,000 - $7,500 per year",,Merit-based,18 credits,"$13,078.28/Year",Minor in Information Systems,https://www.uakron.edu/academics_majors/
