Program name,Program Page url
Accounting,https://degrees.midway.edu/undergrad-majors-landing-page.html
"Agricultural Business and Management, General",https://www.tuitionrewards.com/colleges/513/midway-university
Biology,https://degrees.midway.edu/undergrad-majors-landing-page.html
Biology (Minor),https://degrees.midway.edu/undergrad-majors-landing-page.html
Bourbon Studies (Minor),https://degrees.midway.edu/undergrad-majors-landing-page.html
Business Administration,https://degrees.midway.edu/undergrad-majors-landing-page.html
Business Administration - Human Resource Management,https://degrees.midway.edu/undergrad-majors-landing-page.html
Business Administration - Leadership Concentration,https://www.midway.edu/academics/majors-and-programs/business-administration.html
Chemistry (Minor),https://degrees.midway.edu/undergrad-majors-landing-page.html
Coaching and Sport Leadership,https://degrees.midway.edu/coaching-and_sports.html
Computer Science,https://www.midway.edu/academics/majors-and-programs/computer-science.html
Criminal Justice,https://degrees.midway.edu/undergrad-majors-landing-page.html
Data Analytics,https://degrees.midway.edu/undergrad-majors-landing-page.html
Education (Elementary),https://www.midway.edu/academics/majors-and-programs/elementary-education.html
Education (Middle School),https://degrees.midway.edu/undergrad-majors-landing-page.html
Middle School Education - English (Area of Emphasis),https://www.midway.edu/academics/majors-and-programs/middle-school-education.html
Middle School Education - Math (Area of Emphasis),https://degrees.midway.edu/undergrad-majors-landing-page.html
Middle School Education - Science (Area of Emphasis),https://degrees.midway.edu/undergrad-majors-landing-page.html
Middle School Education - Social Studies (Area of Emphasis),https://www.midway.edu/academics/majors-and-programs/middle-school-education.html
Education (Secondary),https://degrees.midway.edu/undergrad-majors-landing-page.html
Secondary Biology Education,https://www.midway.edu/academics/majors-and-programs/secondary-education.html
Secondary English Education,https://degrees.midway.edu/undergrad-majors-landing-page.html
Secondary Mathematics Education,https://degrees.midway.edu/undergrad-majors-landing-page.html
Education Studies,https://www.quora.com/What-is-the-difference-between-academics-and-education
Education Studies - English (Concentration),https://degrees.midway.edu/undergrad-majors-landing-page.html
Education Studies - Math (Concentration),https://degrees.midway.edu/undergrad-majors-landing-page.html
Education Studies - Science (Concentration),https://degrees.midway.edu/undergrad-majors-landing-page.html
Education Studies - Social Studies (Concentration),https://degrees.midway.edu/undergrad-majors-landing-page.html
Emergency Management/Homeland Security,https://www.pennfoster.edu/programs/legal/criminal-justice-bachelors-degree
English,https://degrees.midway.edu/undergrad-majors-landing-page.html
Environmental Science,https://degrees.midway.edu/undergrad-majors-landing-page.html
Equine Business and Sales,https://degrees.midway.edu/undergrad-majors-landing-page.html
Equine Studies,https://degrees.midway.edu/undergrad-majors-landing-page.html
Exercise Science,https://degrees.midway.edu/undergrad-majors-landing-page.html
Game Studies and Design,https://www.midway.edu/news/2024/game_design-press_release.html
Health Care Administration,https://degrees.midway.edu/undergrad-majors-landing-page.html
Health Service Preparatory Studies,https://www.midway.edu/academics/majors-and-programs/pre-professional-programs.html
Interdisciplinary Studies,https://degrees.midway.edu/undergrad-majors-landing-page.html
Liberal Arts and Humanities,https://www.midway.edu/academics/majors-and-programs/index.html
Marketing Communications,https://degrees.midway.edu/undergrad-majors-landing-page.html
Marketing Communications - Graphic Design (Specialization),https://degrees.midway.edu/undergrad-majors-landing-page.html
Marketing Communications - Writing (Specialization),https://degrees.midway.edu/undergrad-majors-landing-page.html
Mathematics,https://www.midway.edu/campaigns/stem.html
Music (Minor),https://www.midway.edu/academics/majors-and-programs/music.html
Music (Minor) - General Music (Track),https://degrees.midway.edu/undergrad-majors-landing-page.html
Music (Minor) - Music Education (Track),https://www.midway.edu/academics/majors-and-programs/index.html
Music (Minor) - Music Therapy (Track),https://degrees.midway.edu/undergrad-majors-landing-page.html
Music (Minor) - Performance (Track),https://degrees.midway.edu/undergrad-majors-landing-page.html
Nursing (ADN),https://degrees.midway.edu/undergrad-majors-landing-page.html
Nursing (Prelicensure BSN),https://degrees.midway.edu/undergrad-majors-landing-page.html
Nursing (RN-BSN),https://www.midway.edu/academics/majors-and-programs/rn-bsn.html
Nursing Administration,https://degrees.midway.edu/undergrad-majors-landing-page.html
Nursing Education,https://www.midway.edu/academics/majors-and-programs/msn.html
Physical Education Teaching and Coaching,https://www.midway.edu/academics/majors-and-programs/coaching-and-sport-leadership.html
Psychology,https://degrees.midway.edu/undergrad-majors-landing-page.html
Psychology - Alcohol and Drug Counseling (Concentration),https://degrees.midway.edu/undergrad-majors-landing-page.html
Public Health,https://degrees.midway.edu/undergrad-majors-landing-page.html
Sport Management,https://degrees.midway.edu/undergrad-majors-landing-page.html
Sport Marketing,https://www.midway.edu/academics/majors-and-programs/sport-marketing.html
Sports Communication,https://degrees.midway.edu/undergrad-majors-landing-page.html
Supply Chain Management,https://degrees.midway.edu/undergrad-majors-landing-page.html
