Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Not Required,"The CSD program is a non-competitive program, meaning there are no extra application materials needed to declare the major, as long as you meet the general K-State admissions requirements.",Not Required,True,,False,,False,False,,,program,Communication Sciences and Disorders,https://www.k-state.edu/chhs/shs/academics/undergraduate/csd/
,,Students may declare the CATS minor or secondary major at any point in their undergraduate career by visiting the CATS program office in 202 Eisenhower Hall and speaking to the program director.,,,,,,,,,,program,Conflict Analysis and Trauma Studies,https://cats.k-state.edu/academics/undergraduate/cats/
,,"Any undergraduate or graduate student in good standing at K-State may enroll in the Conflict Resolution certificate program.

For undergraduate students, complete the secondary major/certificate form (pdf).

For graduate students, complete the certificate program plan form (pdf) in consultation with your major professor and the Director of the Conflict Resolution program.

Undergraduate and graduate students who are not admitted to a degree program may be admitted to the certificate program upon approval by the program director and the dean of the Graduate School (for graduate certificate) or the dean of the appropriate college (for undergraduate certificate).",,,,,,,,,,program,Conflict Resolution,https://www.k-state.edu/nonviolence/Academics/ConflictResolutionCertificate.html
Required,Required,The Couple and Family Therapy Program accepts students for Fall admission only. The deadline to be considered for an assistantship is December 1. The final deadline for all applications is January 15. All applicants must meet the K-State Graduate School requirements. A minimum 3.0 GPA in the last 60 hours of undergraduate coursework is required. Required application materials include: 1. A personal statement. 2. A resume or curriculum vitae. 3. Three letters of recommendation. 4. Official transcripts from all colleges/universities attended. 5. A scholarly writing sample. 6. Official GRE test scores (optional for Fall 2025 admission). 7. TOEFL scores for international applicants.,Required,False,True,True,,False,False,,,program,Couple and Family Therapy,https://hhs.k-state.edu/ahs/hdfs/undergrad/
Required,,"To be admitted to the professional teacher education program, students must have:
• 2.75 overall GPA
• Passed the basic skills test OR have an ACT score of 22 OR an SAT score of 1100
• Completion of 40-45 hours of general education requirements with C or better
• Completion of EDCI 200, 230, and EDSP 324 with B or better
• Successful completion of the Professional Portfolio, which includes philosophy of teaching, resume, and reflections
• Two letters of recommendation from faculty members
• A successful interview",,True,False,True,False,False,False,22.0,1100.0,program,Early Childhood Education,https://coe.k-state.edu/academics/early-childhood-education/
Not Required,Not Required,"To be admitted to the teacher education program, students must meet the following requirements:

- Complete an online application for admission to the Teacher Education Program.
- Must be admitted to Kansas State University.
- Must have a minimum cumulative GPA of 2.75 from all previous coursework (transfer and K-State).
- Must complete a minimum of 30 credit hours.
- Must complete EDCI 200, EDCI 230, and ENGL 100 with a grade of 'C' or higher.
- Must complete the Professional Dispositions survey.
- Must complete a background check through the College of Education contracted service.",Not Required,,,False,False,False,False,,,program,Elementary Education,https://coe.k-state.edu/academics/bachelors/elementary-education/
,,"Kansas State University has assured admission criteria for freshmen. You will be admitted if you meet ONE of the following criteria: Attain a 3.25 or higher high school GPA OR Achieve an ACT composite score of 21 or higher OR a SAT ERW+M of 1060 or higher. If you don't meet the assured admission criteria, your application will be reviewed on an individual basis. K-State is test-optional, so you can apply without an ACT or SAT score.",,,,,False,False,False,,,program,Human Development and Family Science,https://www.hhs.k-state.edu/hdfs/undergrad/
,,K-State has a test-optional admissions process. Assured admissions for Kansas residents: Achieve a 3.25 or higher high school GPA OR Achieve a 21 or higher ACT composite or 1060 or higher SAT ERW+M. Assured admissions for nonresidents: Achieve a 3.25 or higher high school GPA OR Achieve a 21 or higher ACT composite or 1060 or higher SAT ERW+M.,,,,False,False,False,False,21.0,1060.0,program,Personal Financial Planning,https://hhs.k-state.edu/pfp/undergraduate/
,,"A bachelor's degree from an accredited institution.
A minimum GPA of 3.0.
Successful completion of all prerequisite courses.",,,,False,,False,False,,,program,Speech-Language Pathology Assistant,https://global.k-state.edu/academics/speech-language-pathology-assistant-certificate/
,,"Prospective freshmen need to complete the online application, pay the application fee, and submit their official high school transcript. K-State has a test-optional admissions policy and does not require an ACT or SAT score for admission or scholarships.",,,,,,False,False,,,institute,Athletic Training,https://www.hhs.k-state.edu/fndh/undergraduate/pre-athletic-training/
