QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,College of Business,,4.0,3.0,,"Fall, Spring, Summer",,,17413.5,,580.45,,,"Merit-based, need-based, major-specific",One year,17413.5,Master of Accountancy (MAcc),https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Humanities and Social Sciences,,4.0,3.0,,"Fall, Spring, Summer",,February 15 (Priority),18121.8,,543.05,10000,,Graduate Assistantships,2 years,18121.8,Master of Arts in Art and Design,https://www.mnsu.edu/programs/art-design/
,College of Humanities and Social Sciences,,4.0,3.0,,"Fall, Spring, Summer",,"March 15, 2026",18622.4,,581.95,,,Graduate Assistantships,2 years,18622.4,Master of Arts in Communication and Media,https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Humanities and Social Sciences,,4.0,3.0,,"Fall, Spring",,"Fall Semester: July 1 (final), Spring Semester: October 15",16987.2,,530.85,"a stipend of $12,000 for the nine-month academic year",,Graduate Assistantships,2 years,16987.2,Master of Arts in English,https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Education,,4.0,3.0,,"Summer, Fall",,"June 15, 2026",16038.0,,534.6,,,"Merit-based, Departmental",1 year,16038,Master of Arts in English Education,https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Social & Behavioral Sciences,,4.0,3.0,,"Fall, Spring",,,17770.1,,522.65,,,,,17770.1,Master of Arts in Gender and Women's Studies,https://catalog.aucegypt.edu/preview_program.php?catoid=39&poid=6921&returnto=1977
,"College of Science, Engineering & Technology",2.0,4.0,3.0,,Fall,,"December 1, 2025",9849.6,,547.2,,,"Merit-based, Research-based",2 years,9849.6,Master of Arts in Industrial-Organizational Psychology,https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Humanities and Social Sciences,,4.0,3.0,,"Fall, Spring",,February 15,1445.12,,529.75,10000,,Graduate Assistantships,2 years,16952,Master of Arts in Literature and English Studies,https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Humanities and Social Sciences,,4.0,3.0,,"Fall, Spring",,,16824.0,,525.75,"Up to $1,500 for departmental scholarships; Graduate Assistantships include a $10,000 stipend and tuition waiver.",,"Merit-based, Need-based, Graduate Assistantships",four semesters,16824,Master of Arts in Teaching English to Speakers of Other Languages,https://www.mnsu.edu/programs/teaching-english-to-speakers-of-other-languages/teaching-english-to-speakers-of-other-languages-ma/
,College of Education,2.0,4.0,3.0,,Summer,,,15337.5,,511.25,,,Merit-based,1 year,15337.5,Master of Arts in Teaching: K-12 and Secondary Programs (MAT),https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Business,,4.0,3.0,,"Fall, Spring, Summer",,,20173.5,,672.45,,,Graduate Assistantships,as few as 10-12 months,20173.5,Master of Business Administration (MBA),https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Humanities and Social Sciences,,4.0,3.0,,Fall,,,30759.0,,512.65,10000,,Graduate Assistantships,3 years,30759,Master of Fine Arts in Creative Writing,https://www.mnsu.edu/find-a-program/graduate-programs/
,College of Arts and Humanities,,4.0,3.0,,Fall,,February 1,31209.0,,569.41,"Stipend of $5,000 to $10,000 for the academic year and a tuition waiver for 6-9 credits per semester.",,Graduate Assistantships,3 years,31209,Master of Fine Arts in Theatre Arts,https://www.mnsu.edu/programs/theatre-arts/theatre-and-dance-mfa/
,College of Allied Health and Nursing,,4.0,3.0,,"Fall, Spring",,,23100.0,,550,,,"Merit-based scholarships, Graduate Assistantships",2 years (full-time) or 3 years (part-time),23100,Master of Public Health (MPH),https://www.mnsu.edu/find-a-program/graduate-programs/
