ProgramId,CollegeId,ProgramName,CollegeName,City,Level,QsWorldRanking,UsNewsRanking
46512,401,Master of Science in Computer Science,University of Maine,Orono,Graduate,,
46513,401,"Master of Science in Curriculum, Assessment and Instruction",University of Maine,Orono,Graduate,,
46514,401,Master of Science in Data Science and Engineering,University of Maine,Orono,Graduate,,
46515,401,Master of Science in Earth and Climate Sciences,University of Maine,Orono,Graduate,,
46516,401,Master of Science in Ecology and Environmental Sciences,University of Maine,Orono,Graduate,,
46517,401,Master of Science in Economics,University of Maine,Orono,Graduate,,
46518,401,Master of Arts in Education,University of Maine,Orono,Graduate,,
46519,401,Master of Arts in Educational Leadership,University of Maine,Orono,Graduate,,
46520,401,Master of Science in Electrical and Computer Engineering,University of Maine,Orono,Graduate,,
46521,401,Master of Science in Electrical Engineering,University of Maine,Orono,Graduate,,
46522,401,Master of Science in Electrical Engineering Technology,University of Maine,Orono,Graduate,,
46523,401,Master of Science in Engineering and Business,University of Maine,Orono,Graduate,,
46524,401,Master of Science in Engineering Applications for Artificial Intelligence,University of Maine,Orono,Graduate,,
46525,401,Master of Science in Engineering Physics,University of Maine,Orono,Graduate,,
46526,401,Master of Science in Engineering Technology,University of Maine,Orono,Graduate,,
46527,401,Master of Arts in English,University of Maine,Orono,Graduate,,
46528,401,Master of Science in Entomology,University of Maine,Orono,Graduate,,
46529,401,Master of Science in Financial Economics,University of Maine,Orono,Graduate,,
46530,401,Master of Science in Food and Nutrition Sciences,University of Maine,Orono,Graduate,,
46531,401,Master of Science in Food Science and Human Nutrition,University of Maine,Orono,Graduate,,
46532,401,Master of Science in Forest Resources,University of Maine,Orono,Graduate,,
46533,401,Master of Arts in Global Policy,University of Maine,Orono,Graduate,,
46534,401,Master of Arts in Higher Education,University of Maine,Orono,Graduate,,
46535,401,Master of Arts in History,University of Maine,Orono,Graduate,,
46536,401,Master of Science in Horticulture,University of Maine,Orono,Graduate,,
46537,401,Master of Arts in Human Development,University of Maine,Orono,Graduate,,
46538,401,Master of Arts in Individually Designed Education,University of Maine,Orono,Graduate,,
46539,401,Information Systems,University of Maine,Orono,Graduate,,
46540,401,Instructional Technology,University of Maine,Orono,Graduate,,
46541,401,Interdisciplinary Climate Studies,University of Maine,Orono,Graduate,,
46542,401,Interdisciplinary Program,University of Maine,Orono,Graduate,,
46543,401,Interdisciplinary Studies,University of Maine,Orono,Graduate,,
46544,401,Intermedia (Studio),University of Maine,Orono,Graduate,,
46545,401,Kinesiology and Physical Education,University of Maine,Orono,Graduate,,
46546,401,Literacy Education,University of Maine,Orono,Graduate,,
46547,401,Marine Biology,University of Maine,Orono,Graduate,,
46548,401,Marine Policy,University of Maine,Orono,Graduate,,
46549,401,Marine Sciences,University of Maine,Orono,Graduate,,
46550,401,Materials Science and Engineering,University of Maine,Orono,Graduate,,
46551,401,Mathematics,University of Maine,Orono,Graduate,,
