ProgramName,CollegeId
Master of Education in School Counseling,95
Master of Arts in Liberal Arts,95
Master of Business Administration in Concrete Industry Management,95
Master of Science in Health Care Informatics,95
Master of Arts in International Affairs,95
Master of Arts in International Security and Peace,95
Master of Arts in International Development and Globalization,95
Master of Science in Actuarial Science,95
"Doctor of Education in Assessment, Learning, and Student Success",95
Master of Arts in Economics,95
Master of Science in Geosciences,95
Master of Arts in History,95
Master of Arts Public History,95
Master of Science in Professional Science,95
Master of Science in Professional Science - Actuarial Sciences,95
Master of Science Professional Science - Biotechnology,95
Master of Science Professional Science - Engineering Management,95
Master of Arts in Psychology,95
Concentration in Psychology - Quantitative,95
Concentration in Psychology - Industrial/Organizational,95
Doctor of Philosophy in Public History,95
Master of Fine Arts in Recording Arts and Technologies,95
Master of Science in Aeronautical Science,95
Master of Science in Aviation Education,95
Master of Science in Aviation Management,95
Master of Science in Aviation Safety and Security Management,95
Master of Science in Horse Science,95
Master of Science in Horse Science - Industry Management,95
Master of Education in Professional Counseling,95
Master of Arts in Psychology (Clinical Psychology),95
Master of Arts in Psychology (Experimental),95
Master of Arts in Psychology (Pre-Specialist in Education - School Psychology Concentration),95
Master of Arts in Psychology (Quantitative Psychology),95
Master in Accounting,95
Master in Criminal Justice Administration,95
Master of Science in Engineering Management,95
Master of Science in Athletic Training,95
Master of Science in Engineering Technology (Occupational Health and Safety),95
Master of Science in Exercise Science,95
Master in Leadership in Nutrition,95
Master in Nursing,95
"Master in Nursing, Psychiatric Mental Health Nurse Practitioner",95
Master in Physician Assistant Studies,95
Master of Education in Curriculum and Instruction,95
Master of Education in Digital Teaching and Learning,95
Master of Education in Elementary School Education,95
Master of Education in Higher Education,95
Master of Education in Literacy,95
Master of Education in Special Education,95
Master of Professional Studies,95
Master of Professional Studies - Leadership in Nutrition,95
"Master of Education in Administration and Supervision, Higher Education Specialization",95
Master of Social Work,95
Master of Science in Mathematics,95
Doctor of Philosophy in Computational and Data Science,95
Doctor of Philosophy in Mathematics and Science Education,95
Master of Science in Mathematics - Actuarial and Financial Mathematics,95
Master of Business Administration,95
MBA - Marketing,95
MBA - Healthcare Management,95
MBA - Strategic Marketing Analytics,95
MBA - Legal and Ethical Governance,95
MBA - Risk Management,95
MBA - Human Resource Management,95
MBA - Data Analytics,95
MBA - IT Project Management,95
Music Business,95
Bachelor of Arts,95
Bachelor of Business Administration (B.B.A.),95
Bachelor of Fine Arts,95
Bachelor of Music (B.M.),95
Bachelor of Science,95
Bachelor of Science in Nursing,95
Bachelor of Social Work (B.S.W.),95
Aerospace B.S. (Maintenance Management concentration only),95
Bachelor of Science in Animation,95
Bachelor of Science in Audio Production,95
Bachelor of Science in Concrete Industry Management,95
Bachelor of Science in Fermentation Science,95
Bachelor of Science in Horse Science,95
Bachelor of Science in Mechatronics Engineering,95
"Recording Industry, B.S. (Commercial Songwriting | Music Business)",95
"Video & Film Production, B.S. (Live Production and Filmmaking concentrations)",95
"Aerospace B.S. (Aviation Management, Flight Dispatch, Maintenance Management, Professional Pilot, Technology only)",95
Bachelor of Science in Industrial/Organizational Psychology,95
Supply Chain Management B.B.A.,95
Bachelor of Science in Media Management,95
"Aerospace B.S. (Flight Dispatch, Unmanned Aircraft Systems only)",95
Engineering Technology (Electro-Mechanical concentration only),95
Bachelor of Science in Environmental Science,95
Bachelor of Science in Forensic Science,95
Music B.M. (Music Industry concentration only),95
Textiles Merchandising and Design (Fashion Merchandising and Apparel Design),95
Bachelor of Science in Interior Design,95
Bachelor of Business Administration in Accounting,95
Bachelor of Science in Actuarial Science,95
Bachelor of Science in Aerospace – Aviation Management,95
Bachelor of Science in Aerospace – Flight Dispatch,95
Bachelor of Science in Aerospace – Maintenance Management,95
Bachelor of Science in Aerospace – Professional Pilot,95
Bachelor of Science in Aerospace – Technology,95
Bachelor of Science in Aerospace – Unmanned Aircraft Systems Operations,95
Bachelor of Science in Aerospace – Unmanned Aircraft Systems Technology,95
Bachelor of Science in Agribusiness,95
Bachelor of Science in Animal Science,95
Bachelor of Science in Anthropology,95
Bachelor of Science in Art Education – Art Education K-12 Teacher Licensure,95
Bachelor of Science in Art – Art History,95
Bachelor of Fine Arts in Art – Graphic Design,95
Bachelor of Fine Arts in Art – Studio Art,95
Bachelor of Science in Art – Visual Arts,95
Bachelor of Science in Biology,95
Bachelor of Science in Chemistry,95
Bachelor of Science in Chemistry – Teacher Licensure (MTeach),95
Bachelor of Science in Commerce,95
Bachelor of Science in Communication,95
Bachelor of Science in Communication – Culture and Social Influence,95
Bachelor of Science in Communication – Organizational Communication,95
Bachelor of Science in Computer Science – Artificial Intelligence,95
Bachelor of Science in Computer Science – Business Applications,95
Bachelor of Science in Computer Science – Cybersecurity Systems,95
Bachelor of Science in Computer Science – Professional Computer Science,95
Bachelor of Science in Concrete Industry Management – Concrete Contracting,95
Bachelor of Science in Concrete Industry Management – Production,95
Bachelor of Science in Construction Management – Commercial Construction Management,95
Bachelor of Science in Construction Management – Land Development/Residential Building Construction Management,95
Bachelor of Science in Criminal Justice,95
Bachelor of Science in Cybersecurity Management,95
Bachelor of Science in Elementary Education,95
Bachelor of Science in Emergency Management and Homeland Security,95
Bachelor of Science in Engineering Technology – Computer Engineering Technology,95
Bachelor of Science in Engineering Technology – Electromechanical Engineering Technology,95
Bachelor of Science in Engineering Technology – Mechanical Engineering Technology,95
Bachelor of Science in English,95
Bachelor of Science in English – Creative Writing,95
