ProgramName,CollegeId,CleanedProgramName
Accounting,97,Bachelor of Science in Accounting
Accounting Minor,97,Minor in Accounting
Actuarial Science Minor,97,Minor in Actuarial Science
Advocating for Social Justice Minor,97,Minor in Advocating for Social Justice
Aeronautics Minor,97,Minor in Aeronautics
Aging Studies for Nursing Students Minor,97,Minor in Aging Studies for Nursing Students
Aging Studies Minor,97,Minor in Aging Studies
Agribusiness and Food Innovation,97,Bachelor of Science in Agribusiness and Food Innovation
Agribusiness and Food Innovation Minor,97,Minor in Agribusiness and Food Innovation
Agricultural Sciences,97,Bachelor of Science in Agricultural Sciences
Agriculture Minor,97,Minor in Agriculture
Agronomy,97,Bachelor of Science in Agronomy
Alcohol and Drug Studies,97,Bachelor of Science in Alcohol and Drug Studies
Alcohol & Drug Studies Minor,97,Minor in Alcohol & Drug Studies
American Indigenous Studies,97,Bachelor of Science in American Indigenous Studies
Anthropology,97,Bachelor of Science in Anthropology
Anthropology Minor,97,Minor in Anthropology
Applied Health Science,97,Bachelor of Science in Applied Health Science
Applied Health Science Minor,97,Minor in Applied Health Science
Applied Leadership,97,Bachelor of Science in Applied Leadership
Art & Design,97,Bachelor of Science in Art and Design
Art & Design Minor,97,Minor in Art & Design
Art History,97,Bachelor of Arts in Art History
Art History Minor,97,Minor in Art History
Art Teaching (K-12),97,Bachelor of Fine Arts in Art Teaching (K-12)
Astronomy Minor,97,Minor in Astronomy
Athletic Coaching Minor,97,Minor in Athletic Coaching
Automotive Engineering Technology,97,Bachelor of Science in Automotive Engineering Technology
Automotive Engineering Technology Minor,97,Minor in Automotive Engineering Technology
Aviation,97,Bachelor of Science in Aviation
Aviation Minor,97,Minor in Aviation
Biochemistry,97,Bachelor of Science in Biochemistry
Biology,97,Bachelor of Science in Biology
Biology Minor,97,Minor in Biology
Biology Teaching (5-12),97,Bachelor of Science in Biology Teaching (5-12)
Biotechnology,97,Bachelor of Science in Biotechnology
Business Administration,97,Bachelor of Science in Business Administration
Business Administration Minor,97,Minor in Business Administration
Business Law Minor,97,Minor in Business Law
Business Teaching (5-12),97,Bachelor of Science in Business Teaching (5-12)
Chemistry,97,Bachelor of Science in Chemistry
Chemistry Minor,97,Minor in Chemistry
Chemistry Teaching,97,Bachelor of Science in Chemistry Teaching
Civil Engineering,97,Bachelor of Science in Civil Engineering
Cognitive Science,97,Bachelor of Science in Cognitive Science
Communication and Media,97,Bachelor of Arts in Communication and Media
Communication and Media Minor,97,Minor in Communication and Media
Earth Science,97,Bachelor of Science in Earth Science
Earth Science Minor,97,Minor in Earth Science
Gender and Women's Studies,97,Bachelor of Arts in Gender and Women's Studies
Latin American Studies Minor,97,Minor in Latin American Studies
Networking & Information Security Minor,97,Minor in Networking & Information Security
Philosophy,97,Bachelor of Arts in Philosophy
Scandinavian Studies,97,Bachelor of Arts in Scandinavian Studies
Scandinavian Studies Minor,97,Minor in Scandinavian Studies
