Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Accountancy,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://msb.georgetown.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,Accounting/Finance,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Nursing in Adult-Gerontology Acute Care Nurse Practitioner,,,,,Graduate-Certificate,Fall 2026,,,,,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,Adult-Gerontology Acute Care Nurse Practitioner,"The Berkley School of Nursing at Georgetown University online Adult Gerontology Acute Care Nurse Practitioner (AG-ACNP) program prepares you for clinical practice providing holistic care for adult and geriatric patients with acute and critical illnesses as well as complex chronic conditions. [14] The program is designed for registered nurses (RNs) to manage the care of patients with acute and complex chronic conditions. [12, 16] Through interactive online courses and clinical placements, students learn to provide advanced care for those with acute health care conditions and those requiring critical care. [16] Students develop advanced clinical reasoning and decision-making skills during HD-streaming, live online classes, informed by interactive content and unfolding case studies. [14] At on-campus Objective Clinical Intensives (OCI), students practice interviewing and assessing with standardized patients and gain specialized skills such as central line insertion, rapid sequence intubation, and point-of-care ultrasounds. [14] The program prepares registered nurses to communicate clearly with patients and families, listen actively to their concerns, and diagnose and treat acute and complex chronic health situations. [16]",,https://grad.georgetown.edu/programs/,"The Master of Science in Nursing program, through which the AG-ACNP specialization is offered, is accredited by the Commission on Collegiate Nursing Education (CCNE). [16] Graduates of the AG-ACNP program are eligible to sit for the AG-ACNP certification exams offered by the American Nurses Credentialing Center (ANCC) and the American Association of Critical-Care Nurses (AACN). [16]",,,FALSE,False,,,,,,,,,,,,,,,,,,Nurse Practitioner,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Nursing in Adult-Gerontology Primary Care Nurse Practitioner,,,,,Graduate-Certificate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://online.nursing.georgetown.edu/academics/adult-gerontology-acute-care-nurse-practitioner-ag-acnp/,,,,FALSE,False,,,,,,,,,,,,,,,,,,Nurse Practitioner,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Advertising,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://grad.georgetown.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,Advertising,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Anthropology,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,Graduate School of Arts & Sciences,,,,,,,,,,,https://anthropology.georgetown.edu/,,,"$2,525 per credit",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,Anthropology,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based partial tuition scholarships,FALSE,,,FALSE,FALSE,,,
,Applied Biological Anthropology,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anthropology.georgetown.edu/,,,,FALSE,False,,,,,,,,,,,,,,,,,,Anthropology,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Applied Carbonate Geology Cert,,,,,Graduate-Certificate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bulletin.miami.edu/graduate-academic-programs/marine-atmospheric-science/marine-geology-geophysics/applied-carbonate-geology-certificate/,,,,FALSE,False,,,,,,,,,,,,,,,,,,Geology,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Education in Applied Learning Sciences Online,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,School of Continuing Studies,"$65,664*","$65,664*",,,,,,,,,https://scs.georgetown.edu/programs/43/doctor-of-liberal-studies/,,,"$1,824",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,Education,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,10%,"service-based scholarships, tuition discounts, Federal Workforce Transition Scholarship",FALSE,,,FALSE,FALSE,,,
,Master of Science in Education in Applied Physiology,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,"Biomedical Graduate Education (BGE), Georgetown University Medical Center","$31,416/Semester for full-time students (12 or more credits) for the 2026-27 academic year. [108]","$31,416/Semester for full-time students (12 or more credits) for the 2026-27 academic year. [108]",,,,,,,,,https://grad.georgetown.edu/programs/,,"The Dean's Excellence Merit Scholarship offers amounts tiered by GPA, such as $7,500 for a GPA of 3.80-3.84 and $11,500+ for a GPA of 3.95+. [131]",,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,Kinesiology,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"The Dean's Excellence Merit Scholarship provides awards from $7,500 to over $11,500 based on undergraduate GPA. [131]",,Merit-based and service-based scholarships are available. [134],FALSE,,,FALSE,FALSE,,,
,Master of Professional Studies in Applied Remote Sensing,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://mps.earth.miami.edu/degree-tracks/applied-remote-sensing/index.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,Remote Sensing & Geospatial Sciences,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Professional Studies in Aquaculture,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=4S8LzFaOGAw,,,,FALSE,False,,,,,,,,,,,,,,,,,,Agriculture,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Architectural Engineering,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://grad.georgetown.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,Architectural Engineering,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
