Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,PhD in Accounting Information and Management,,,,,Doctoral,Fall 2026,,,,Required,Required,,,"General application requirements include submission of an online application form, a non-refundable application fee, a bachelor's degree from an accredited institution, transcripts from all undergraduate and graduate work, two letters of recommendation, a resume or CV, and a statement of purpose. All applicants are required to submit either GRE or GMAT scores. For economics-based PhD programs, including Accounting Information & Management, the application should show evidence of solid training in math, econometrics and statistics. Recommended math courses include calculus, linear algebra, probability and mathematical statistics. [16]",Not Required,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Kellogg School of Management,All admitted students receive a full tuition scholarship. [4],All admitted doctoral students receive a five-year financial aid package that includes tuition scholarships. [9],,,,,,,"The Accounting Information & Management doctoral program trains students in empirical/archival and analytical/theoretical research methods focusing on the role of accounting in the market for financial information. [3] We prepare students to conduct research on the use of accounting information: 1) in the firm's internal decision-making and performance evaluation functions; 2) in the contractual relationships between the firm and both internal and external parties; 3) in the functioning of capital markets and 4) by other stakeholders and potential stakeholders in the firm. [3] Accounting students receive rigorous training in the basic disciplines of economics and econometrics in addition to the more specialized areas of accounting and finance. [3] The cross training our students receive in empirical and analytic research is one of the strengths of our program. [3] Another major strength of our department is the collaboration between our faculty and PhD students on research projects, a collaboration that often begins within the first year. [3] Accounting is the language of business and its role is key in communicating financial information to all parties engaged in any type of commerce. [3] Accounting research focuses on the decisions of what, how, and to whom to communicate information and the consequences of these communications. [3]",,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Fellowship,FALSE,,,FALSE,FALSE,,,
,Master of Science in Advanced Manufacturing,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,McCormick School of Engineering,,"$21,098/quarter",,,,,,,,,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in African Studies,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,"['Development and public policy', 'Africa in world affairs', 'Language, literature, and the arts']","As a student in the M.A. program in African Studies, you may choose from three ﬁelcds_of_specialization: Development and public policy; Africa in world affairs; and language, literature, and the arts. [2]",,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Graduate Certificate in Analytics and Modeling,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"To pursue a graduate certificate at the School of Professional Studies, an applicant must hold a U.S. bachelor's degree from a regionally accredited institution or foreign equivalent. A complete application includes an online application, a $75 non-refundable application fee, a 300 to 550-word statement of purpose, a resume, and official transcripts. [6]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Professional Studies,"$20,912/Year","$20,912/Year",,,,,,,,,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,5098,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Graduate Certificate in Analytics Management,,,,,Graduate-Certificate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Anthropology,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,Weinberg College of Arts and Sciences,"All incoming students are offered full funding, which includes a tuition scholarship.","All incoming students are offered full funding, which includes a tuition scholarship.",,,,,,,,,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,100% of tuition,Full funding package including tuition scholarship and stipend.,FALSE,,,FALSE,FALSE,,,
,PhD in Applied Physics,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,True,False,True,False,True,False,False,False,,,,,,,,,,,,,,,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Art History,,,,,Doctoral,Fall 2026,,,,,Required,Not Required,REQUIRED,"Completed application. This must be received by December 1 for admission the following September, and includes a mandatory application fee that must be paid online. [5] When reviewing applications to the Art History Program, the Department considers the applicant's: Strength of the Academic Statement, which should demonstrate the applicant's ability to compellingly frame his or her intended intervention within the discipline. Fit with the geographical, temporal, and methodological orientation of our tenured and tenure-track faculty. Abilities in art historical research and independence of thought, as demonstrated in the writing sample. Breadth and sophistication of undergraduate (and master's level) art historical training. [5]",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Weinberg College of Arts and Sciences,PhD students in Art History typically receive full funding which includes tuition remission.,,,,,,,,,,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90,,,,,,,,,,,,,Fellowships and assistantships,FALSE,,,FALSE,FALSE,,,
,Master of Fine Arts in Art Theory and Practice,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Weinberg College of Arts and Sciences; The Graduate School,,,,,,,,,,,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Advanced Graduate Certificate in Artificial Intelligence,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,,,"Applicants to this certificate program must hold a graduate degree from an accredited U.S. college, university or its foreign equivalent. [4] A competitive graduate record that indicates strong academic ability is required. [4] Work, internship, or research experience is highly desirable, but not a requirement. [4] A complete application includes an online application, a $75 non-refundable application fee, a 300 to 550-word statement of purpose, a current resume or curriculum vitae, and official transcripts. [10] Prior to applying to this program, students must have completed MSDS 420-DL Database Systems and MSDS 422-DL Practical Machine Learning or are expected to possess equivalent knowledge and skills. [1]",Not Required,,True,False,,,,,,,,,,,,,,,,,,School of Professional Studies,,,,,,,,,"Recent advances in and integrations of machine learning and artificial intelligence are significantly impacting the ways that data scientists build and program computer software, statistical models, and intelligent agents. Many of today's prominent applications of artificial intelligence – including computer vision, natural language processing, and robotics – rely on deep learning, the area where machine learning and artificial intelligence overlap. Please note that courses completed in the Artificial Intelligence Advance Graduate Certificate program cannot be transferred to the corresponding graduate degree.",,https://www.northwestern.edu/academics/graduate-a-to-z.html,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
