Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,"Accounting, M.S.",,,,,Graduate,Fall 2026,,,,Required,Required,Either,REQUIRED,"The master's degree application checklist specifies that the admissions committee will not review an application until all required materials have been received. These include the online application, transcripts of academic credentials (one from the degree-bearing undergraduate university and also from a graduate degree, if applicable), two letters of recommendation, a resume, an essay, and a video component. [7] A GMAT/GRE score is strongly recommended but not required. [7] International applicants have additional requirements to submit. [7]",Not Required,,True,True,True,True,True,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,"The Whitman School at Syracuse University offers a STEM-designated Master of Science in Professional Accounting (MSA) program through the Joseph I. Lubin School of Accounting. This program is designed to create skilled practicing accountants, consultants, and managers by combining a thorough curriculum with practical, real-world experience. [4] It is accommodating to students with an undergraduate degree in accounting as well as those from other academic fields who might need to complete additional coursework. [4] Upon completion of the MSA program, students are eligible to take the Certified Professional Accounting (CPA) exam. [4] The program is flexible, allowing students to incorporate various business aspects into their degree and engage in professional associations, seminars, and networking events. [4]",,The official university website for Syracuse University is syracuse.edu.,"The Whitman School of Management is accredited by the Association to Advance Collegiate Schools of Business (AACSB International). [3, 2] The Master of Science in Professional Accounting program is registered as a New York State CPA Licensure Qualifying Program, meeting the educational requirements for CPA licensure. [4]",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110,,,,6.5,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Advanced Media Management, M.S.",,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To apply for the Advanced Media Management, M.S. program, applicants must submit an online application. Required materials include official transcripts from all post-secondary institutions attended. [14] A personal statement and a resume or CV are also necessary. [13] Two letters of recommendation are required. [8] For this specific program, a video interview is required in place of GRE scores. [13] The application deadline for priority consideration is January 15. [9]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,S.I. Newhouse School of Public Communications,,,,,,,,,"The master's degree program in advanced media management enables students to drive innovation by providing practical experience and the business and technological knowledge necessary for managing both emerging and traditional media organizations. [1] Students will learn to apply innovative digital solutions to strategic communications problems. [1] The curriculum covers the impact of technological advancements such as generative artificial intelligence (AI), web3, blockchain, virtual reality (VR), and augmented reality (AR) on the media landscape, including content creation, distribution, and audience engagement. [1] Coursework focuses on the latest practices for managing technology, media organizations, platforms, products, content, and data. [2] This 12-month, 36-credit M.S. program is designed to position students at the intersection of media, technology, and business. [1] The program is also STEM-designated. [1]",,The official university website for Syracuse University is syracuse.edu.,"The Advanced Media Management program is an accredited media management program. [2, 3]",,2015,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110,,,,7.0,,,,,102,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Advertising, M.A.",,,,,Graduate,Fall 2026,,,,Required,Required,,,"To apply for the Advertising, M.A. program at Syracuse University's Newhouse School, prospective students must submit an online application. [3] The required materials include a personal statement of purpose, a resume or curriculum vitae, and transcripts from all post-secondary institutions attended. Three letters of recommendation are also necessary. For international applicants, proof of English proficiency through TOEFL or IELTS scores may be required. [2]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,S.I. Newhouse School of Public Communications,,"The Syracuse University Academic Catalog indicates that the 'Advertising, M.A.' program is currently not admitting students. The cost per credit for graduate programs at the Newhouse School for the 2023-2024 academic year was $1,968.",,,,,,"['Advertising production', 'Brand management', 'Cross-cultural advertising', 'Digital engagement', 'Fashion promotion', 'Health promotion', 'Media planning', 'Non-profit promotion']","Forge your future in advertising at Newhouse. Our M.S. program equips you with cutting-edge skills in strategic planning, data analysis and digital innovation. Dive deep into media landscapes, brand positioning and emerging platforms. With hands-on experience and real-world clients, you'll graduate ready to lead in a rapidly evolving industry. Join us and become the innovative brain behind tomorrow's breakthrough campaigns. As a Newhouse advertising master's student, you'll learn through a combination of theory and practice about how successful campaigns get created. You'll learn about the strategy and insights that build campaigns and how shifts in technology, society and culture offer opportunities for brands to create a conversation with audiences, rather than shouting at them. At Newhouse, we are passionate about giving you the skills to prepare you for the future. [9]",,The official university website for Syracuse University is syracuse.edu.,"The S.I. Newhouse School of Public Communications is accredited by the Accrediting Council on Education in Journalism and Mass Communications (ACEJMC). [3, 5]",,"$1,968/credit hour",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based scholarships, fellowships, and instructional associate positions.",FALSE,,,FALSE,FALSE,,,
,"Aerospace Engineering, M.S.",,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Admission to the MS degree program is granted on the basis of undergraduate preparation and performance, GRE scores, and letters of recommendation documenting the recent technical proficiency of the applicant. A grade-point average (GPA) of 3.0 or higher on a 4.0 scale (or equivalent), and a GRE Quantitative Reasoning score of 700 or higher (155 or higher on the new scale) are normally expected. Admission to this MS degree program requires a Bachelor's degree in Engineering, or an acceptable field of Science. [9]",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Engineering and Computer Science,,"The total estimated tuition for the 30-credit program is $60,450, based on the 2025-2026 per-credit rate. [80]",,,,,,"['Thermal/Fluids', 'Solids/Structure', 'Design/Manufacturing', 'General']","The M.S. in mechanical and aerospace engineering provides a pathway for students to further develop skills to advance their careers in industry or pursue a doctoral degree. Students will find a collaborative and collegiate community of faculty, staff, and students.",,The official university website for Syracuse University is syracuse.edu.,,,"$2,015 per credit for the 2025-2026 academic year. [80]",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,Quantitative Reasoning score of 155 or higher is normally expected,,,,,,,,,,,,,,,,,,,"Federal Direct Unsubsidized Loans, Federal Direct PLUS Loans, Private Loans, Veterans Benefits, Employer Sponsorship. [80]",FALSE,,,FALSE,FALSE,,,
,"Aerospace Engineering, Ph.D.",,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"A sufficient level of academic and professional achievement must be documented by transcripts of the student's prior academic performance (a GPA of 3.33/4.0 or better is expected), GRE Quantitative score of 700+ (155+ on the new scale) and an acceptable GRE verbal score, and letters of recommendation and other supporting information. [3] The focusing of the student's efforts in one area of specialization should be clear from the student's transcript and statement of purpose. [3] A faculty adviser must be willing to supervise research in the student's area of specialization. [3]",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Engineering and Computer Science,,"The tuition rate for the online master's programs in the College of Engineering and Computer Science for the 2025-2026 academic year is $2,015 per credit. [13]",,,,,,, The program leading to the doctoral degree in Mechanical and Aerospace Engineering offers advanced students the opportunity to engage in cutting edge research with faculty in a number of areas within the disciplines of mechanical and aerospace engineering. [3] Students work closely with a faculty mentor to plan and carry out an individualized and significant research program. [3] Highly qualified doctoral students are supported by either externally funded Research Assistantships or through Departmental Teaching Assistantships or University Fellowships. [3],,The official university website for Syracuse University is syracuse.edu.,,,2015,FALSE,True,,4.0,3.33,,,,,,,,,,,,,,,,,,False,False,,,,,,Quantitative score of 700+ (155+ on the new scale),,,,,,,,,,,,,,,,,,,"Fellowships, Assistantships, Scholarships",FALSE,,,FALSE,FALSE,,,
,"Anthropology, M.A.",,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Admission is based on an examination of previous academic work, references, and a personal statement of interest. [5, 7] Applicants must submit unofficial transcripts from all post-secondary institutions, three letters of recommendation, a resume or CV, and a personal statement. [7]",Required,,False,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Maxwell School of Citizenship and Public Affairs,,"$2,015 per credit hour for the 2025-26 academic year. [17]",,,,,,"['Cultural Anthropology', 'Archaeology']","The Master of Arts degree in anthropology at Syracuse University is designed to provide students with a comprehensive understanding of the breadth of the discipline and the articulation of its various sub-fields. [3] The program's coursework and qualifying examinations are intended to expose students to the full scope of anthropology before they engage in more narrowly defined scholarly studies and doctoral research. [3, 5] The department admits students interested in a terminal M.A. and provides broad training in both quantitative and qualitative methods of social science research. [7] The M.A. coursework exposes students to the breadth of anthropology. [4] The degree can be earned concurrently with a Certificate of Advanced Study in a range of regions or specializations, or a second master's degree. [4] Students who do not continue to the doctoral level are required to submit a master's paper. [3]",,The official university website for Syracuse University is syracuse.edu.,"Syracuse University is accredited by the Middle States Commission on Higher Education. [9] The official website does not mention a specific accreditation for the Anthropology, M.A. program.",,2015,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,Full-tuition scholarships are available for qualified M.A. students. [7],,Merit-based,FALSE,,,FALSE,FALSE,,,
,"Anthropology, Ph.D.",,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Completed applications for the Ph. D. program must be accompanied by official transcripts, three letters of reference, a statement of interest and a representative sample of recent work. [2, 5] All required application materials must be submitted by January 10th to ensure full consideration for admission and financial aid. [4] The application includes an online application form, a $75 application fee, unofficial transcripts from all post-secondary institutions attended, 3 letters of recommendation, a resume or CV, and a personal statement. [4] GRE scores are recommended but not required. [4] International students may need to provide English proficiency exam scores (TOEFL, IELTS, or Duolingo are accepted). [4]",Required,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Maxwell School of Citizenship and Public Affairs,,"In 2025-26, tuition for graduate students is $2,015 per credit hour. [17] The Ph.D. program requires 72 credit hours. [17]",,,,,,"['Cultural Anthropology', 'Archaeology']","The Anthropology Department offers M.A. and Ph.D. degrees. While most graduate students are in the doctoral program, the Department does admit some students interested in a terminal M.A. All students receive broad training in quantitative and qualitative methods of social science research. Students work alongside faculty advisors to develop research expertise in topical and regional foci. Students can further deepen their expertise with a Certificate in Advanced Study earned concurrently with their degree.  At Syracuse University, we embrace a holistic approach to anthropology through teaching and research in archaeological, biological, cultural and linguistic anthropology. The Anthropology Department encourages faculty and students to become engaged in scholarship for the public good and to seek out and address solutions to past, present and future human problems locally and globally. [2] The objective of the anthropology department is a to produce doctors of philosophy of the highest quality. The Ph.D. requirements build upon the educational training and background gained through the completion of master's requirements. Ph.D. students are expected to demonstrate outstanding quality in coursework. They must demonstrate that they are qualified to carry out a significant body of anthropological research. Once their proposal has been approved by their committee, they are expected to carry out the project and write a dissertation based on this research. [3]",,The official university website for Syracuse University is syracuse.edu.,,,"$2,015 per credit hour",FALSE,False,,4.0,2.8,,,,,,,,,,,,,,,,,,False,False,,,110,,,,6.5,,,,,90,,,,,,,,,,,"University Fellowships in 2025-26 include a stipend of $28,750 plus tuition reduction credits. [17] Teaching assistantships for the 2025-26 academic year are valued at $14,375 per semester plus tuition reduction credits. [17] The Maxwell Dean's Summer Assistantship carried a cash award of $5,000 in 2025. [17]",,"Merit-based financial awards, including tuition scholarships, fellowships, and assistantships. [2] The Claudia DeLys Scholarship in Cultural Anthropology is also available. [17]",FALSE,,,FALSE,FALSE,,,
,"Applied Data Science, M.S.",,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"To apply for the on-campus Master of Science in Applied Data Science, applicants must complete the graduate program application, pay a non-refundable $75 application fee, and submit one copy of transcripts from all post-secondary institutions attended. [4] A current resume or curriculum vitae (CV) is required. [4] Applicants must also write a personal statement of approximately 500 words describing their academic and personal interests, relevant experiences, reasons for choosing this degree and Syracuse University, and future plans. [4] Two letters of recommendation are required and can be submitted electronically. [4]",Not Required,,True,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Information Studies and the Martin J. Whitman School of Management,,,,,,,,"['Artificial Intelligence', 'Big Data', 'Data and Business Analytics', 'Data Pipelines and Platforms', 'Language Analytics', 'Project Management', 'Visual Analytics']","Offered jointly by the School of Information Studies and the Martin J. Whitman School of Management, the Master of Applied Data Science degree program is designed to be a professional program of study, with a strong emphasis on the applications of data science to enterprise operations and processes, particularly in the areas of data capture, management, analysis and communication for decision making. [11] With an online master's degree in data science, you'll blend technical skills with the ability to transform data into valuable insights that guide decision-making. [13] Our practical approach focuses on applying data science to business operations and workflows. [13] You'll develop proficiency in data collection, management, analysis, and presentation. [13] At Syracuse University's iSchool, you'll gain the analytical, technical and managerial expertise required to stand out in a competitive job market. [13] The curriculum combines a primary core, secondary core (your data science concentration), and electives to give you a strong data science foundation with a focus of your choosing. [49]",,The official university website for Syracuse University is syracuse.edu.,,,2015,FALSE,True,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,100,,,,,,,,,,,,,"['Fellowships', 'Research Assistantships', 'Teaching Assistantships', 'Institutionally-sponsored Loans', 'Scholarship and/or loans']",FALSE,,,FALSE,FALSE,,,
,"Applied Human Development and Family Science, M.A.",,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,"According to the Syracuse University website, the Applied Human Development and Family Science, M.A. program is not currently admitting students. [4]",,,False,False,True,True,False,False,,True,False,False,False,False,True,False,False,False,,,,Falk College of Sport and Human Dynamics,,,,,,,,,Information for this program is not available. The Syracuse University course catalog indicates that the program is not currently admitting students. [1],,The official university website for Syracuse University is syracuse.edu.,,,"$2,015 per credit for the 2025-2026 academic year. [27] Some online programs in Falk College have a different rate. [23]",FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,110,,,,6.5,,,,,90,,,,,,,,,,,,,Merit-based awards,FALSE,,,FALSE,FALSE,,,
,"Applied Statistics, M.S.",,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"All applicants are expected to have a basic foundation in statistical training that includes one course in introductory statistics, one course in regression analysis, and four courses in applications areas. Graduate Record Examination scores, or their equivalent, and performance in a student's undergraduate degree program will be carefully evaluated. The program is intended for quantitatively oriented students with bachelors' degrees in agriculture, biological sciences, business and management, computer science, engineering, mathematics, physical or social sciences or a related field.",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts and Sciences,"The master’s degree in applied statistics requires the completion of 33 graduate credits. [2, 6, 7] For the 2025-2026 academic year, the graduate tuition rate is $2,015 per credit. [33] This would amount to a total tuition cost of approximately $66,495 for the entire program.",,,,,,,,"Created in 1989, the Applied Statistics Program at Syracuse University is an interdisciplinary program within the College of Arts and Sciences that includes faculty from computer and information science, management, mathematics, psychology, and the social sciences, among others. The Master of Science program in Applied Statistics is a professional degree program administrated by the Interdisciplinary Statistics Program based in the College of Arts & Sciences. [2, 4] The program prepares students to apply cutting-edge statistical methodologies and theory in making meaningful inferences on the measurements obtained from the government, health science and services, industry, and management. [2, 4] This program is distinguished from other graduate programs in statistics by its emphasis on applications. [5] By learning a variety of statistical software and through proper training in statistical consulting, our graduates will be able to analyze real-world data correctly and efficiently. The program is intended for quantitatively oriented students with bachelors' degrees in agriculture, biological sciences, business and management, computer science, engineering, mathematics, physical or social sciences or a related field. [2, 4] This program is also suitable for professionals who handle data in their current positions, and who are mostly interested in the practical side of statistics. [4]",,The official university website for Syracuse University is syracuse.edu.,,,"$2,015",FALSE,True,2,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based financial awards may include tuition scholarships, fellowships, and various forms of assistantships. [3]",FALSE,,,FALSE,FALSE,,,
