Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Accountancy,,,,,Graduate,Fall 2026,,,,Required,Required,Either,REQUIRED,"To apply for the Chicago Booth Full-Time MBA, applicants must submit a completed online application, which includes application essays, a one-page resume, and transcripts from all post-secondary institutions attended. One letter of recommendation is also required. While not explicitly stated on a single page, a holistic review of the application considers professional and personal achievements, collaborative skills, and academic ability demonstrated through undergraduate records, and potentially, standardized test scores.",Not Required,,False,True,True,False,True,False,,True,False,False,False,True,True,True,False,False,,,,The University of Chicago Booth School of Business,"$26,987/Quarter","$26,987/Quarter",,,,,,Accounting,"The study of accounting provides a language for communicating financial information and for making a variety of decisions. These decisions range from a simple evaluation of the creditworthiness of a potential customer to a complex analysis of a firm facing financial distress. In addition to a set of core courses, the accounting concentration offers a wide array of courses. This curriculum prepares students for a variety of careers. The courses in financial accounting are important for those planning careers as financial analysts, investment bankers, and managers. In each of these roles, an individual must be able to understand how a firm's performance and position is reported and how that information is used by market participants in the valuation of the firm. The courses in managerial accounting prepare students for careers in consulting and the management of manufacturing or service organizations. There is a great deal of flexibility in the accounting concentration, so a student can select those courses that best suit their interests and career plans. A student who chooses to concentrate in accounting can select courses that develop the following skills and knowledge bases: a language of business; an understanding of how accounting information is used in the securities market and in contracting; an understanding of the incentives for and the consequences of earnings management; a framework for financial statement analysis; a framework for structuring a firm’s system of internal controls; a basic understanding of taxes and their effect on business decisions; and an ability to analyze case studies.",,https://www.chicagobooth.edu/mba/academics/curriculum/concentrations/accounting,,,,FALSE,True,,4.33,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,600,,,,,,,,,,,,,Merit-Based,FALSE,,,FALSE,FALSE,,,
,Post-Master's Certificate in Nursing in Adult-Gerontology Acute Care Nurse Practitioner,,,,,Graduate-Certificate,Fall 2026,,,,,,Either,REQUIRED,,,,False,False,False,False,True,False,,True,False,False,False,True,True,,False,False,,,,,,,,,,,,,,,https://nursing.uic.edu/programs/six-campuses/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,100,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Post-Master's Certificate in Nursing in Adult-Gerontology Primary Care Nurse Practitioner,,,,,Graduate-Certificate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://nursing.uic.edu/programs/doctor-nursing-practice/dnp-focus-areas/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Advertising,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://www.coursera.org/degrees/masters,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Anthropology,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applications are submitted through the Division of the Social Sciences. Required documents include: Unofficial transcripts from all prior post-secondary institutions, a 2-4 page candidate statement, a writing sample, a resume/CV, and three letters of recommendation. An application fee is also required. International applicants may need to provide TOEFL/IELTS scores.",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Division of the Social Sciences,"For the 2024-2025 academic year, tuition for a full-time MA student (3 courses per quarter) in the Social Sciences Division is $22,400 per quarter. [4] A full-time program consists of nine courses over three quarters, making the annual tuition approximately $67,200.",,,,,,,Anthropology,"While MAPSS students pursue an individualized curriculum, many concentrate in a specific discipline or interdisciplinary research area. We ask applicants to identify the discipline or interdisciplinary research area most aligned with their interests as part of the application. With the exception of MAPSS-QMSA, which has additional course requirements, the specific discipline or interdisciplinary research area indicated on the application does not restrict or define a student's curriculum. Anthropology. The University of Chicago's Department of Anthropology is one of the leading centers of socio-cultural, linguistic, and archaeological research in the United States. [4] In research seminars, workshops, conferences, and weekly colloquia, MAPSS students interact with senior scholars and anthropology doctoral students in a collaborative and supportive environment. [4] Faculty and students pursue knowledge in areas such as archaeology, linguistic anthropology, human rights, indigenous groups, globalization, the politics of race, gender, sexuality, mass media, visual culture, and the study of science and technology. [4] MAPSS students also work with anthropologists and archaeologists in the Divinity School, the Institute for the Study of Ancient Cultures, and the Harris School of Public Policy. [4]",,https://grad.uchicago.edu/admissions/programs/,,,"For the 2024-2025 academic year, the cost for a single MA course in the Social Sciences Division is $7,466. [4]",FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,"7.0 overall, with no less than 7.0 on each section",,,,,"104 total, no less than 26 on each subsection",,,,,,,,,,,,,"The Division of the Social Sciences offers merit-based tuition scholarships, with the majority of admitted students who request consideration receiving some aid. [8, 18] Admitted students can also apply for a limited number of full-tuition awards like the Dean's Opportunity Scholarship. [16] Additionally, specialized scholarships, such as the Chicago Studies Scholarship ($30,000 tuition scholarship), are available for students with specific research interests. [8]",FALSE,,,FALSE,FALSE,,,
,Applied Biological Anthropology,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Application requirements include: Unofficial transcripts for all post-secondary schools attended; Three letters of recommendation; Candidate statement; Resume/CV; Writing sample; Official TOEFL or IELTS scores, if required per the University English Proficiency Policy; Application fee (view waiver options). [4]",Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Department of Anthropology,,,,,,,,,"Based on the information available on the official The University of Chicago website, a specific program or concentration titled 'Applied Biological Anthropology' is not offered. The Department of Anthropology offers doctoral programs in sociocultural and linguistic anthropology, and in archaeology. [1] While physical anthropology is a component of the department's offerings, it does not have a formal, named program or concentration in 'Applied Biological Anthropology'. [1] The university provides various interdisciplinary opportunities, including joint PhD programs with other departments and a Master of Arts in Social Sciences (MAPSS) where students can concentrate in anthropology, but a specific 'Applied Biological Anthropology' track is not listed. [3, 5]",,https://anthropology.uchicago.edu/graduate-study,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Certificate in Applied Carbonate Geology,,,,,Graduate-Certificate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://grad.uchicago.edu/admissions/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Applied Learning Sciences EdD, EdD Online",,,,,Doctoral,Fall 2026,,,,,,Either,REQUIRED,,,,False,False,False,False,True,False,,True,,False,,False,True,,False,False,,,,,,,,,,,,,,,https://sociology.uchicago.edu/research-initiatives/committee-on-education,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Education in Applied Physiology,,,,,Graduate,Fall 2026,,,,,,Either,REQUIRED,,,,True,True,False,False,True,False,,True,False,False,False,True,True,,False,False,,,,,,,,,,,,,,,https://ahs.uic.edu/academics/kinesiology-and-nutrition/ms-in-kinesiology/clinical-exercise-physiology/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Professional Studies in Applied Remote Sensing,,,,,Graduate,Fall 2026,,,,,,Either,REQUIRED,,,,True,True,True,False,True,False,,True,,,,True,True,,False,False,,,,,,,,,,,,,,,http://collegecatalog.uchicago.edu/thecollege/geographicalstudies/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
