Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Accounting,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"In addition to the online graduate application and a non-refundable application fee, applicants must submit official transcripts from all undergraduate institutions attended, and proof of bachelor's degree completion. Two letters of recommendation and a professional resume or curriculum vitae highlighting experience are also required. [9]",Not Required,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Pompea College of Business,,"$19,916",,,,,,"['Corporate Accounting', 'Forensic Accounting', 'Accounting Analytics (STEM)', 'Corporate Track']","Our Master of Science in Accounting (MSA) program develops your advanced technical expertise and professional judgment, preparing you for sustained career growth—whether you aim to advance within the accounting profession or transition into it. [3] The objective of the Master of Science in Accounting program is to provide an in-depth framework for artificial intelligence (AI)/analytics, corporate, forensic, and taxation accounting inquiry, devised in structure and content from the entire scope and process of accounting-information-based economic decision-making. [10] The existence of such a framework is intended to provide graduate accountants and professional practitioners with an opportunity to share in the development and assessment of issues of accounting interest within a decision-making context. [10] Additionally, the Master of Science in Accounting program is designed to provide non-accountants and practitioners with the accounting credits requisite for certification. [10]",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.","The Pompea College of Business at the University of New Haven is accredited by AACSB International —The Association to Advance Collegiate Schools of Business. [8, 9] This accreditation was granted in 2015 and renewed in 2025, extending through the 2030-2031 academic year. [9] AACSB accreditation places the Pompea College of Business among the top 6% of business schools worldwide. [3, 9]",,"$1,136",FALSE,True,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,up to 50% or 75%,Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Accounting - Accounting Analytics (STEM) Concentration,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"These are the standard Graduate Application Requirements; please refer to individual Masters, Doctorate and Graduate Certificate program pages for any specific or additional requirements. [2]

*   Complete the online graduate application. [2]
*   $50 non-refundable fee – this fee is waived for our current University of New Haven students and University of New Haven alumni. [2]
*   Official transcripts from all undergraduate institutions attended, and proof of bachelor's degree completion. [2]
*   Two letters of recommendation (example: one from a past employer, one from an academic source who can attest to the applicant's academic performance). [2]
*   A Statement of Purpose. [2]
*   Professional resume or curriculum vitae highlighting experience. [2]",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Pompea College of Business,,"Approximately $37,488 - $44,304, calculated based on the per-credit cost for the 2024-2025 academic year and the required program credits.",,,,,,Accounting Analytics (STEM) Concentration,"The objective of the Master of Science in Accounting program is to provide an in-depth framework for corporate, accounting analytics, and taxation accounting inquiry, devised in structure and content from the entire scope and process of accounting-information-based economic decision-making. [2] The existence of such a framework is intended to provide graduate accountants and professional practitioners with an opportunity to share in the development and assessment of issues of accounting interest within a decision-making context. [2] Additionally, the Master of Science in Accounting program is designed to provide non-accountants and practitioners with the accounting credits requisite for certification. [2, 3] The accounting analytics concentration provides the tools for data analysis used in auditing, predictive modeling, and business operations analytics. [3] These tools will enhance the traditional skillsets provided in the Master of Science in Accounting core. [2] This is a cutting-edge field in the modern American marketplace. [2, 3] The Master of Science in Accounting with Accounting Analytics concentration is recognized as a STEM-compliant degree program (CIP 52.1302). [3]",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.","The Pompea College of Business, which offers the M.S. in Accounting program, is accredited by The Association to Advance Collegiate Schools of Business (AACSB). [6, 7, 8] This accreditation was renewed in 2025 and is valid through the 2030-2031 academic year. [6]",,"$1,136",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,"Up to 75% for Provost's Assistantship and up to 50% for Dean's Scholarship. [20, 24]","Merit-based scholarships, Provost's Assistantship, Dean's Scholarship. [20, 24]",FALSE,,,FALSE,FALSE,,,
,Master of Science in Accounting - Corporate Track Concentration,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Complete the online graduate application, $50 non-refundable fee, official transcripts from all undergraduate institutions attended, and proof of bachelor's degree completion, two letters of recommendation, a Statement of Purpose, and a professional resume or curriculum vitae highlighting experience. [4]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Pompea College of Business,"The total program cost for the 30-credit track is approximately $35,550, and for the 36-credit track, it is approximately $42,660.","$1,185 per credit hour for the 2026-2027 academic year.",,,,,,Corporate Track,"The objective of the Master of Science in Accounting program is to provide an in-depth framework for artificial intelligence (AI)/analytics, corporate, forensic, and taxation accounting inquiry, devised in structure and content from the entire scope and process of accounting-information-based economic decision-making. [2] The existence of such a framework is intended to provide graduate accountants and professional practitioners with an opportunity to share in the development and assessment of issues of accounting interest within a decision-making context. [2] Additionally, the Master of Science in Accounting program is designed to provide non-accountants and practitioners with the accounting credits requisite for certification. [2]",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.","Earning your MSA degree from the AACSB-accredited Pompea College of Business distinguishes you on a global scale, as only 6% of business schools worldwide hold this prestigious accreditation. [3]",,1185,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,"The Provost's Assistantship provides 75% tuition assistance along with an hourly wage, and the Dean's Scholarship offers up to 50% tuition assistance. [35, 38]","75% for the Provost's Assistantship and up to 50% for the Dean's Scholarship. [35, 38]",Merit-based,FALSE,,,FALSE,FALSE,,,
,Master of Science in Accounting - Forensic Track Concentration,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"The Master of Science in Accounting program requires 36-39 credits. Of these, 7.5 credits are prerequisites and may be waived with departmental approval. For the forensic concentration, the total degree credits are 36 (or 30 if prerequisites are met). [6]",Not Required,,True,True,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,Pompea College of Business,,,,,,,,Forensic Track,"The objective of the Master of Science in Accounting program is to provide an in-depth framework for artificial intelligence (AI)/analytics, corporate, forensic, and taxation accounting inquiry, devised in structure and content from the entire scope and process of accounting-information-based economic decision-making. The existence of such a framework is intended to provide graduate accountants and professional practitioners with an opportunity to share in the development and assessment of issues of accounting interest within a decision-making context. Additionally, the Master of Science in Accounting program is designed to provide non-accountants and practitioners with the accounting credits requisite for certification.",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.","The Pompea College of Business has been accredited by The Association to Advance Collegiate Schools of Business (AACSB) since 2015, and in 2025 that accreditation was renewed through the 2030-2031 academic year. [3]",,,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,"The Provost's Assistantship offers 75% tuition assistance plus an hourly wage, and the Dean's Scholarship provides up to 50% tuition assistance. The Pompea Scholarship is for $3,000. [30]",Up to 75%,"Merit-based scholarships, Provost's Assistantships, and Dean's Scholarships. [27]",FALSE,,,FALSE,FALSE,,,
,Master of Science in Accounting - Taxation Track Concentration,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"These are the standard Graduate Application Requirements; please refer to individual Masters, Doctorate and Graduate Certificate program pages for any specific or additional requirements. Complete the online graduate application. $50 non-refundable fee – this fee is waived for our current University of New Haven students and University of New Haven alumni. Official transcripts from all undergraduate institutions attended, and proof of bachelor's degree completion. Statement of Purpose. Professional resume.",Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,Pompea College of Business,,,,,,,,Taxation Track Concentration,"The objective of the Master of Science in Accounting program is to provide an in-depth framework for artificial intelligence (AI)/analytics, corporate, forensic, and taxation accounting inquiry, devised in structure and content from the entire scope and process of accounting-information-based economic decision-making. [3, 4] The existence of such a framework is intended to provide graduate accountants and professional practitioners with an opportunity to share in the development and assessment of issues of accounting interest within a decision-making context. [3, 4] Additionally, the Master of Science in Accounting program is designed to provide non-accountants and practitioners with the accounting credits requisite for certification. [3]",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.","The Pompea College of Business, which houses the Master of Science in Accounting program, is accredited by The Association to Advance Collegiate Schools of Business (AACSB). [2, 11, 12] This accreditation has been renewed through the 2030-2031 academic year. [12]",,1136,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.5,,,53.0,,80.0,,,,,,,,,,,,"The Provost's Assistantship offers 75% tuition assistance, while the Dean's Scholarship provides up to 50% tuition assistance. [1]","Provost's Assistantship, Dean's Scholarship",FALSE,,,FALSE,FALSE,,,
,Master of Science in Anti-Money Laundering and Compliance Investigations,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Henry C. Lee College of Criminal Justice and Forensic Sciences,"The graduate tuition for the 2025-2026 academic year is $1,136 per credit. [7] The M.S. in Anti-Money Laundering and Compliance Investigations requires the completion of 36 credits, resulting in a total estimated tuition cost of $40,896.","The graduate tuition for the 2025-2026 academic year is $1,136 per credit. [7] The M.S. in Anti-Money Laundering and Compliance Investigations requires the completion of 36 credits, resulting in a total estimated tuition cost of $40,896.",,,,,,,"The Master of Science in Anti-Money Laundering (AML) and Compliance investigations at the University of New Haven combines the expertise of the investigations program with leading experts in the deterrence and investigation of money laundering. [4] With this M.S. program, students develop the high degree of financial acumen needed to recognize clues to a crime, the different ways money can go rogue, the ability to trace its movements, and the leadership skills to head up an investigations team. [2] The program integrates the legal, regulatory and prosecution issues with the investigative knowledge and skills for investigating money laundering and compliance failures. [4] This online program requires the completion of 36 credits and can be completed in under a year. [2, 4] By the end of the program, students will be able to identify money laundering typologies, identify correct investigative tools and information sources used in investigations, prepare Suspicious Activity Reports (SARs) and other reports, and analyze the legal requirements for investigations. [2, 4] Depending on their career goals, students can focus on a particular investigative track such as Organized Crime, Sports Integrity, Financial Intelligence, Trafficking in Persons, and Healthcare Fraud. [2]",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.",,,"$1,136",FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,"The Provost's Assistantship offers 75% tuition assistance, while the Dean's Scholarship program provides up to 50% tuition assistance. [4]",The University of New Haven offers merit-based awards such as the Provost's Assistantship and the Dean's Scholarship for eligible full-time graduate students. [4],FALSE,,,FALSE,FALSE,,,
,Master of Science in Artificial Intelligence,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"The standard application requirements for a Master's program at the University of New Haven include a completed online graduate application, a $50 non-refundable fee, official transcripts from all undergraduate institutions attended with proof of bachelor's degree completion, and two letters of recommendation.",Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,Tagliatela College of Engineering,,,,,,,,"['Thesis', 'Non-Thesis']","The Master of Science in Artificial Intelligence (MSAI) at the University of New Haven is a 33-credit hour graduate program designed to address the increasing industry demand for AI professionals. [2] Offered both online and on-ground, the program equips students with theoretical foundations, practical engineering skills, and deployment methodologies for AI systems. [2, 3] The curriculum balances foundational AI theory with applied engineering and real-world deployment, and each course produces portfolio-ready projects. [3] The program integrates ethics, bias mitigation, security, and privacy into the coursework, focusing on Responsible AI. [3] Students will learn to develop AI models, evaluate modern AI techniques including foundation models and LLMs, deploy scalable AI solutions, assess the ethical implications of AI systems, and communicate technical details effectively. [2] Students complete 15 credits of core courses and then choose between a Thesis track (12 elective credits and 6 thesis research credits) or a Non-Thesis track (15 elective credits and a 3-credit internship or capstone project). [2]",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.",,,"$1,092 per credit hour",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.0,,,50.0,,75.0,,,,,,,,,,,,Up to 75% tuition assistance,"Merit-based scholarships, Provost's Assistantships, and Dean's Scholarships",FALSE,,,FALSE,FALSE,,,
,Master of Science in Biomedical Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants to the master of science in biomedical engineering program must have earned or are close to earning a Bachelor's degree in engineering, physics, biology, chemistry, or a related field. Admission will usually require a 3.0 grade point average on a 4.0 scale, though this is a guideline and not a strict requirement. Applicants must submit official transcripts from all undergraduate institutions attended. No more than three letters of recommendation are required. [2]",Not Required,,True,False,True,True,False,False,,True,False,False,False,True,True,False,False,False,,,,Tagliatela College of Engineering,,,,,,,,,"The master of science in biomedical engineering prepares students for positions in biomedical engineering and continued education in biomedical engineering. It addresses the improvement of human health through a multi-disciplinary approach, where integration of concepts from engineering and mathematics with those in the life sciences provide directed technologies for the advancement of health care. [2] Students enrolled in the program will address unmet medical needs using knowledge of engineering, biology, chemistry, mathematics, etc. They will take measurements on and interpret data from living systems, address the problems associated with the interaction between living and non-living materials and systems, work on team projects, and communicate their work orally and in writing. [2] The program provides you with exciting opportunities to explore multidisciplinary focus areas that address: Medical devices such as artificial lungs, replacement heart valves, pacemakers, dental implants, catheters, stents, and hip and knee prostheses, Biomaterials in medicine (metals, ceramics, polymers, nanomaterials), Biomedical Imaging, Biomedical Instrumentation — for example, biosensors and bioanalytics, and Tissue Engineering. [6] With a biomedical engineering master's degree from the University of New Haven you will be superbly prepared to take your place in the field as a competent engineer with skills set sought by the global market and as a researcher capable of independent investigation. [6]",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.",,,,FALSE,True,A graduate student is placed on academic probation if their term or cumulative GPA falls below 3.00. Failure to meet the requirements of academic probation can lead to dismissal.,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.0,,,50.0,,75.0,,,,,,,,,,,"The University offers various scholarships, including a new opportunity for students in Project Lead the Way (PLTW) which provides at least $20,000 annually for eligible engineering students. [20] The Tagliatela Family High-Impact Scholarship for Engineering Students has also been established with a $1 million gift to support high-achieving, high-need students from New Haven County. [27]","A 50% tuition scholarship is available for eligible graduating high school students from West Haven. [24] While a non-official source mentions a Dean's Scholarship covering 50% of tuition and other scholarships up to 75%, this is not confirmed on the official university website. [30]","Merit-based and need-based scholarships are available for students. [20, 28] Some scholarships are specifically for engineering students, such as the Tagliatela Family High-Impact Scholarship for Engineering Students and awards for those who participated in Project Lead the Way. [20, 27]",FALSE,,,FALSE,FALSE,,,
,Master of Business Administration in Business Administration - Business Analytics Concentration,,,,,Graduate,Fall 2026,,,,Required,Required,,REQUIRED,"A completed online graduate application, official transcripts from all colleges or universities attended, two letters of recommendation, a Statement of Purpose, and a resume or curriculum vitae are required for admission to a master's program at the University of New Haven. [12]",Not Required,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,Business Analytics,"Courses intended to build technical proficiency in the skills needed to implement and oversee data-driven business decisions, forming inferences and predictions from data, and making optimal and robust decisions. Applications of business analytics span all function areas.",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.","The AACSB accredited M.B.A. program at the University of New Haven is designed to transform current and future business leaders by providing in-depth expertise in the discipline of business administration and management, while concurrently exposing students to high impact learning practices and a global business perspective.",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration in Business Administration - Cyber Risk Management Concentration,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"To be considered for admission to the M.B.A. program, applicants must submit a completed graduate school application form, official transcripts from an undergraduate degree, a current resume, a statement of purpose, and two letters of recommendation. [2, 9, 11]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Pompea College of Business,,"For the 2025-2026 academic year, the graduate tuition is $1,136 per credit hour. [4] For the online MBA program, the tuition for students who enrolled prior to the Fall 2025 term is $886 per credit hour. [4]",,,,,,Cyber Risk Management Concentration,"This online-only concentration provides students with skills and competencies to understand the complex world of cybersecurity as it relates to the business discipline. Exposure to cyber techniques and vulnerabilities will assist students in recognizing and combatting aggressions in cybersecurity, financial crimes, and general business irregularities. Key managerial components of communication, leadership, and implementing effective crisis response will be emphasized. [6]",,"The official university website for the University of New Haven is newhaven.edu.

The University of New Haven is a private, coeducational university located in West Haven, Connecticut. Founded in 1920 on the Yale campus, it has grown to a community of nearly 10,000 students. The university offers over 100 academic programs across a variety of fields including liberal arts and sciences, fine arts, business, engineering, healthcare, and public safety.","The AACSB accredited M.B.A. program at the University of New Haven is designed to transform current and future business leaders by providing in-depth expertise in the discipline of business administration and management, while concurrently exposing students to high impact learning practices and a global business perspective. [6]",,"$1,136",FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Provost's Assistantships and Dean's Scholarships,FALSE,,,FALSE,FALSE,,,
