Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Accountancy,,,,,Master's,Fall,,,,Required,Required,Either,"All international applicants must submit an English proficiency exam score. This requirement is separate from any requirements of the U.S. Citizenship and Immigration Services (USCIS). We accept the following tests: TOEFL, IELTS, and Duolingo.","The following are required to apply for this program: Resume or CV, Statement of Purpose, Transcripts, 3 Letters of Recommendation, GRE/GMAT not required.",,,True,False,True,False,True,False,0.0,True,False,False,False,False,True,False,False,False,,,,Hankamer School of Business,59565,,,,,,"['General', 'Taxation Track']","The Baylor Master of Accountancy (MAcc) program provides a firm foundation for a career in public accounting and industry. Within 10 months, students can complete the 33 required semester hours and gain the skills necessary to excel in the competitive business world. Our students enjoy excellent job placement and high pass rates on the CPA exam. Students can choose a general MAcc degree or a taxation track. The Baylor MAcc is designed for students with an undergraduate degree in accounting from an accredited U.S. institution. Students without an undergraduate degree in accounting should consider the Master of Taxation (MTax) program.",,https://graduate.baylor.edu/programs,"The Accounting and Business Law department holds a separate AACSB accreditation, an honor held by less than 2 percent of business schools worldwide.",,1805,True,True,,,,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,,,Merit-based,,,,,,,
,Doctor of Nursing Practice in Adult-Gerontology Acute Care Nurse Practitioner,,,,,Doctoral,Fall,,"September 1, 2025","March 1, 2026",Required,Required,Not Required,"All applicants whose native language is not English must submit a score from one of the following tests: TOEFL, IELTS, or Duolingo. The requirement is waived for applicants who have earned a bachelor's degree from a U.S. institution. The following scores are accepted: TOEFL iBT: 80, TOEFL pBT: 550, IELTS: 6.5, Duolingo: 110.","Completed online application and $50 application fee.
A Bachelor of Science in Nursing (BSN) or a Master of Science in Nursing (MSN) degree from a regionally accredited institution.
A minimum of a 3.0 cumulative GPA.
Official transcripts from all academic institutions attended.
Three letters of recommendation.
A Statement of Purpose.
A current resume or curriculum vitae (CV).
A valid, unencumbered RN license to practice in the United States.
A minimum of one year of full-time RN experience in a critical care setting is preferred.",,,True,False,True,False,False,False,0.0,True,False,False,False,False,True,True,False,False,,,,Louise Herrington School of Nursing,"$23,400/Year",,,,,,Adult-Gerontology Acute Care Nurse Practitioner,"The Baylor University Louise Herrington School of Nursing Doctor of Nursing Practice (DNP) program for Adult-Gerontology Acute Care Nurse Practitioner (AGACNP) is a 75-credit hour program offered in a hybrid format, combining online and in-person learning. This program is tailored for nurses who hold a Bachelor of Science in Nursing (BSN) degree and are looking to advance their careers to the highest level of clinical practice. The curriculum is designed to equip students with advanced skills in assessing and managing the health of acutely ill adult and older adult patients, preparing them for leadership roles in various healthcare settings. Graduates of the AGACNP track are eligible to sit for the national certification exam through the American Nurses Credentialing Center (ANCC) or the American Association of Critical-Care Nurses (AACN), qualifying them to practice as certified Adult-Gerontology Acute Care Nurse Practitioners.",,https://graduate.baylor.edu/programs,"The Doctor of Nursing Practice degree program at Baylor University Louise Herrington School of Nursing is accredited by the Commission on Collegiate Nursing Education, 655 K Street, NW, Suite 750, Washington, DC 20001, 202-887-6791.",,1300,True,False,1.0,4.0,3.0,,,,,,,,,,,"$23,400/Year",,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,,,Merit-based,,,,,,,
,Master of Arts in American Studies,,,,,Master of Arts,Fall,,Applications for Fall admission typically open in early August of the preceding year.,December 15,,,Not Required,"All international applicants must submit an English proficiency test score. Official TOEFL, IELTS, or Duolingo scores are required. Applicants who have completed a bachelor's degree or higher from a regionally accredited U.S. institution are exempt from the English proficiency exam requirement.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,"$18,567/Semester",,,,,,,The Master of Arts degree in American Studies is an interdisciplinary program that draws its faculty and curriculum from departments throughout the humanities and social sciences. The program emphasizes a foundation in traditional and contemporary American culture and a flexibility that encourages students to follow individual interests. Both a thesis and a non-thesis option are available. American Studies offers a joint degree program with the School of Law. Contact the departmental Graduate Program Director for more information about the J.D./M.A. in American Studies.,,https://catalog.baylor.edu/graduate-school/curriculum-departments-institutes-instruction/college-arts-sciences/american-studies/american-studies.pdf,,,2063,,,,4.0,3.0,,,,,,,,,,,"$18,567/Semester",,,,,,,,,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,"Annual stipend of at least $19,000, plus full tuition remission.",100%,Graduate assistantships,,,,,,,
,Doctor of Nursing Practice in Anesthesia Nursing (Army-Baylor),,,,,Doctoral,Fall,,"July 1, 2024","August 31, 2025",,,GRE,,,,,,,False,False,True,False,1.0,False,False,False,False,False,False,False,False,False,,,,Louise Herrington School of Nursing,,,,,,,,"The Doctor of Nursing Practice (DNP) Program is a cooperative program between the U.S. Army Medical Center of Excellence (MEDCoE) at Fort Sam Houston, Texas and the Baylor University Louise Herringer School of Nursing. The program is designed to produce independent and competent anesthetists who are able to serve in all branches of the uniformed services. The program consists of a rigorous curriculum divided into two phases. The first phase consists of didactic instruction for 12 months at the MEDCoE, Fort Sam Houston, Texas. The MEDCoE offers an excellent learning environment with an experienced faculty and state-of-the-art simulation center for hands-on crisis management training. The curriculum emphasizes basic sciences in the first semester, including anatomy, physiology, pathophysiology, pharmacology, chemistry, and physics. The second semester focuses on advanced anesthesia principles. Upon completion of the didactic phase, students progress to the second phase of the program, the clinical residency. The clinical residency is a minimum of 24 months in length. The residency consists of supervised patient care in a variety of clinical settings where students are exposed to a wide spectrum of patient acuity and subspecialty anesthesia practice. Students are assigned to a military medical center and a variety of civilian hospitals for their clinical training. All students will perform a clinical rotation in a combat support hospital as part of their training.",,https://catalog.baylor.edu/graduate-school/affiliated-programs/nursing-anesthesia/anesthesia-nursing-dnp-bsn-dnp-program/,The program is accredited by the Council on Accreditation of Nurse Anesthesia Educational Programs (COA).,,0,,,1.0,4.0,3.0,,,,,,,,,,,0,,,,,,,,,,,,,,"Verbal 150, Quantitative 150, and Writing 4.0 (competitive)",,,,,,,,,,,,,,,,,,,,,,,,,,
,PhD in Anthropology,,,,,PhD,Fall,,,December 1,Required,Required,Not Required,"All international applicants must submit a test score that shows English proficiency unless they qualify for an exemption. Approved exams and minimum scores are: TOEFL iBT - 80, IELTS - 6.5, or DuoLingo - 110.","Completed online application, including the application fee.
Bachelor's degree from an accredited university.
Statement of Purpose: Please include a description of your primary research interests and why you want to pursue your graduate studies at Baylor. You should also list the name(s) of any faculty members that you have been in contact with.
Official transcripts from all universities attended.
Three letters of recommendation.
Writing Sample (10-20 pages): The sample should demonstrate your scholarly potential.
CV or Resume.
GRE scores are not required.
International applicants must also provide a score from the TOEFL, IELTS, or DuoLingo exam.",Required,,True,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,21105/Semester,,,,,,,"The Department of Anthropology offers graduate coursework leading to a PhD in Anthropology. Our program specializes in the archaeology of complex societies and we encourage cross-disciplinary research that bridges the sciences and the humanities. We currently conduct research in Mesoamerica, the Near East, North America, and South America on a variety of topics and theoretical problems relevant to complex societies. The department encourages students to develop a course of study that takes advantage of our faculty’s strengths and the diverse resources available through other Baylor departments and programs, such as the Baylor Archaeometry Laboratory, Environmental Science, Geosciences, History, Museum Studies, and Religion. Our graduate students are also encouraged to participate in a variety of departmental research projects. As a department, we believe that field and laboratory experience are essential for our graduate students’ training. We endeavor to provide our students with opportunities to gain research experience in the field and in the laboratory in order to promote their individual research interests and future employment.",,https://graduate.baylor.edu/programs,,"annual stipend of $25,000",2345,True,False,3.0,4.0,,,,,,,,,,,,21105/Semester,,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,"annual stipend of $25,000",100,"Fellowship, Stipend, Tuition Waiver",,,,,,,
,Master of Athletic Training,,,,,Master's,Fall,,,,Required,Required,Optional,,"Baylor’s MAT Program utilizes the Athletic Training Centralized Application System (ATCAS). You will apply through ATCAS and also submit a Baylor GoGrad application. You will need to identify your ATCAS ID in your GoGrad application. The Graduate School requires a minimum GPA of 2.7 for Master's programs. The GRE is not required. A minimum of 50 observation hours are required to be completed under the direct supervision of a certified athletic trainer (ATC). Prerequisite courses include: Biology with lab, Human Anatomy & Physiology I with lab, Human Anatomy & Physiology II with lab, Chemistry with lab, Physics with lab, Exercise Physiology, Biomechanics or Kinesiology, Nutrition, Psychology, and Statistics. An interview is required.",Not Required,,True,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,Robbins College of Health and Human Sciences,"$17,900 per semester",,,,,,,"The Master of Athletic Training (MAT) is a full-time, two-year (six-semester) program that prepares students to become highly skilled and competent healthcare professionals. The program’s challenging curriculum will focus on critical-thinking, evidence-based practice, and advanced clinical-skills. The MAT is a cohort model, where a new group of students begins each summer. The program requires 62-hours of graduate-level coursework, which is uniquely divided between didactic, laboratory, and clinical education experiences. The program utilizes a variety of clinical experiences, including on-campus athletic teams, as well as local high schools and healthcare facilities. Students are also required to complete an immersive clinical experience during their second year, which can take place anywhere in the United States.",,https://graduate.baylor.edu/programs,"Baylor University’s Master of Athletic Training Program is accredited by the Commission on Accreditation of Athletic Training Education (CAATE), 6850 Austin Center Blvd., Suite 100, Austin, TX 78731-3101.",,,False,False,,4.0,3.0,,,,,,,,,,,"$17,900 per semester",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Fellowships, Assistantships",,,,,,,
,PhD in Biology,,,,,,Fall,,"August 1, 2025","December 1, 2025",Required,Required,Not Required,"Applicants who are not U.S. citizens are required to submit proof of English proficiency. Baylor accepts the following tests: TOEFL, IELTS, and DuoLingo. The minimum score required for the TOEFL is 80 on the iBT, the minimum score required for the IELTS is 6.5, and the minimum score for the DuoLingo English Test is 110.","Your application will need to be complete before it is reviewed by the department. In addition to the general application requirements of the Graduate School, the following are required for the PhD program in Biology: Transcripts, Letters of Recommendation, Statement of Purpose, Résumé or Curriculum Vitae.",Not Required,,True,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,"$21,069/Semester",,,,,,,,,https://science.indianapolis.iu.edu/academics/degrees-and-programs/_degrees/biology-phd-iupui-biophd.html,,,2341,False,True,2.0,4.0,3.0,,,,,,,,,,,21069/Semester,,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,"$32,000/year stipend and full tuition remission",100%,Graduate Assistantship,,,,,,,
,Master of Science in Biology,,,,,,Fall,,,,Required,Required,Optional,"International applicants must submit a score from one of the following testing agencies: TOEFL, IELTS, or Duolingo. An international applicant is exempt from the English proficiency test requirement if they have completed a bachelor's degree or higher from a U.S. institution.","Standardized Tests: The Biology Department no longer requires the GRE general test or subject test. Statement of Purpose: Required. Please describe your motivation for pursuing graduate study, your research interests and experience, and your career goals. Applicants should identify at least one faculty member in the Biology Department with whom they would like to study. The statement should be 1-2 pages in length. Resume/CV: Required. Please provide your current curriculum vitae. Letters of Recommendation: Required. 3 letters are required. At least two letters should be from science faculty with whom you have studied or conducted research. Writing Sample: Not required.",Not Required,,True,False,True,False,False,False,0.0,True,False,False,False,False,True,True,False,False,,,,College of Arts & Sciences,"$18,981 per semester",,,,,,,"The Department of Biology offers a Master of Science (M.S.) degree program that provides students with a broad background in biology while allowing for specialization in areas such as ecology, evolution, organismal biology, and cell and molecular biology. The M.S. degree program prepares students for various careers in research, education, and industry, or for further graduate studies in a Ph.D. program. The research-based M.S. program is the terminal degree for some students, while it provides a stepping stone to a Ph.D. program for others. Coursework and research leading to the M.S. degree are offered in a broad range of biological disciplines.",,https://graduate.baylor.edu/programs,,"$22,000 stipend","$2,109 per credit hour",True,True,,4.0,3.0,,801-1000,,,,,,,,,"$18,981 per semester",,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,"$22,000 stipend and a full tuition waiver",100% tuition waiver,Teaching or research assistantship,,,,,,,
,Master of Arts in Biology – Health Professions,,,,,MA,Fall,,,,Required,Required,GRE,"Applicants whose native language is not English must submit a score from a recent (within two years) English proficiency test. You may submit a score from either the TOEFL, IELTS or Duolingo.","Complete the online application by selecting the term you are applying for and then “Biology MA”.
A $50 non-refundable application fee is required.
Official transcripts are required from every institution you have attended. A bachelor’s degree from an accredited US institution, or the equivalent from a foreign institution, is required.
Official GRE scores are recommended but not required. Submit your scores through ETS to code 6032. If you choose to submit official GRE scores, these must be from within the last 5 years.
A statement of purpose is required. What are your aspirations for graduate study, for your career? How will a Baylor graduate degree help you achieve those aspirations? Your statement should be a minimum of 400 words, and should address the following:
- What are your motivations for pursuing a Master of Arts in Biology at Baylor University?
- How have your academic, research, or life experiences prepared you for this program?
- What are your long-term goals, and how will this program help you achieve them?
A resume or curriculum vitae (CV) is required.
Three letters of recommendation are required.",Not Required,,True,True,False,False,True,False,0.0,False,False,False,False,False,False,False,False,False,,,,College of Arts & Sciences,"$42,768/Year",,,,,,Health Professions,"The Master of Arts degree in Biology is a non-thesis program that offers a specialization in health professions. Its goal is to provide students with a strong background in the biological sciences in preparation for admission to a professional school (medical, dental, etc). This program is designed to strengthen an applicant's credentials for professional school by improving his/her GPA, providing an opportunity for a robust standardized test (MCAT/DAT) preparatory course, and reinforcing a strong academic background. To this end, students will take courses offered at the Baylor College of Medicine on the Baylor University campus and/or graduate-level science courses offered on the Baylor University campus. Most of our students will also be enrolled in a robust MCAT/DAT preparatory course in the spring.",,https://graduate.baylor.edu/programs,,,2376,False,False,,4.0,3.0,,,,,,,,,,,"$42,768/Year",,,,,,,False,False,,,110.0,,,,6.5,,,,,80.0,,,,,,,,,,,,,Merit-based,,,,,,,
,Master of Science in Biomedical Engineering,,,,,Masters,"Fall, Spring, Summer",,,,,,Optional,"Applicants who are not U.S. citizens are required to submit an English proficiency test score. Baylor's Graduate School accepts the following tests: TOEFL, IELTS, PTE Academic, and Duolingo. We also accept completion of the ELS Language Centers Academic Program.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,School of Engineering and Computer Science,"$37,962/Year",,,,,,,"The Master of Science in Biomedical Engineering (MSBE) is intended for students with a bachelor’s degree in engineering or related field. Students can obtain either a thesis-based or non-thesis MSBE, both of which prepare them for careers in industry or for advanced studies in a doctoral program. The MSBE is a joint program between the School of Engineering & Computer Science and Baylor’s Graduate School. The program requires 30 semester hours of graduate-level course work. Students must successfully complete BME 5310, 5320, 5330, and 5340. Additional courses required depend on the student’s interests and degree track (thesis or non-thesis).",,https://www.ecs.baylor.edu/students-academics/degree-programs/graduate/msbe,,,"$2,109",,,,4.0,3.0,,,,,,,,,,,"$37,962/Year",,,,,,,,,,,110.0,112.0,,,6.5,,,60.0,,80.0,,,,,,,,,,,Full tuition coverage,100%,"Merit-based scholarships, Graduate assistantships, Baylor Graduate Fellowships",,,,,,,
